,알페신 C1_0,알페신 C1_1,XTM 헤어라이너_0,XTM 헤어라이너_1,미쟝센 스프레이9_0,미쟝센 스프레이9_1,스웨거 포마드_0,스웨거 포마드_1,우르오스 스칼프샴푸_0,우르오스 스칼프샴푸_1,제이슨 샴푸_0,제이슨 샴푸_1,미쟝센 파워스윙왁스맥스하드M9_0,미쟝센 파워스윙왁스맥스하드M9_1,미쟝센 워터스프레이_0,미쟝센 워터스프레이_1,바바리안H 왁스_0,바바리안H 왁스_1,수아베시토포마드 포마드_0,수아베시토포마드 포마드_1,블랙몬스터 펌_0,블랙몬스터 펌_1,러쉬 칼라마주_0,러쉬 칼라마주_1,스웨거 샴푸_0,스웨거 샴푸_1,스웨거 (크리미&소프트)_0,스웨거 (크리미&소프트)_1,그라펜 포마드_0,그라펜 포마드_1,로레알 프로페셔널 파리 왁스_0,로레알 프로페셔널 파리 왁스_1,엠솔릭 워시_0,엠솔릭 워시_1,우르오스 스킨워시_0,우르오스 스킨워시_1,XTM 퍼퓸건_0,XTM 퍼퓸건_1,젠틀코드 [젠틀맨]_0,젠틀코드 [젠틀맨]_1,미쟝센 샤워젤_0,미쟝센 샤워젤_1,더바디샵 워시_0,더바디샵 워시_1,브로앤팁스 바디워시_0,브로앤팁스 바디워시_1,스킨푸드 포맨_0,스킨푸드 포맨_1,카밀 맨_0,카밀 맨_1,스웨거 룰브레이커_0,스웨거 룰브레이커_1,스웨거 샷콜러_0,스웨거 샷콜러_1,니베아 맨 킥_0,니베아 맨 킥_1,보드맨 바디스프레이_0,보드맨 바디스프레이_1,포맨트 허그_0,포맨트 허그_1,니베아 스프레이_0,니베아 스프레이_1,포블랑시 남성청결제_0,포블랑시 남성청결제_1,칼밋 바디워시_0,칼밋 바디워시_1,디티알티 샷_0,디티알티 샷_1,샤넬 젤_0,샤넬 젤_1,페리페라 팔레트_0,페리페라 팔레트_1,아임미미 큐브_0,아임미미 큐브_1,16BRAND 매거진_0,16BRAND 매거진_1,라카 팔레트_0,라카 팔레트_1,NYX 내추럴룩키트_0,NYX 내추럴룩키트_1
46,99.06542,51.47058,0.0,0.0,0.0,0.0,15.0,70.0,70.0,0.0,46.34146,53.08641,0.0,0.0,36.8421,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,37.5,0.0,0.0,0.0,0.0,74.2616,58.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4945,15.46391,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.46938,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.78723,7.55319,0.0,9.67741,0.0,0.0,38.98305,23.07692,0.0,0.0
47,81.30841,70.58823,0.0,0.0,0.0,0.0,45.0,35.0,0.0,0.0,52.43902,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,51.85185,31.25,0.0,0.0,0.0,0.0,70.88607,46.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8901,15.46391,0.0,68.75,55.55555,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,81.63265,81.99999,0.0,0.0,77.77777,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63829,6.48936,0.0,9.67741,0.0,0.0,25.42372,25.64102,0.0,0.0
48,73.83177,58.82352,0.0,0.0,0.0,0.0,40.0,70.0,0.0,0.0,64.02439,56.79012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,59.25925,21.875,0.0,0.0,0.0,0.0,61.18143,58.77192,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5934,8.24742,0.0,100.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65957,7.23404,0.0,24.19354,0.0,0.0,28.81355,39.74358,0.0,0.0
49,67.28971,73.52941,0.0,0.0,0.0,0.0,25.0,35.0,50.0,0.0,56.09756,82.71604,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,62.96296,90.625,0.0,0.0,0.0,0.0,57.8059,64.82456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98901,11.3402,85.71428,56.25,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.59183,66.0,0.0,0.0,88.88888,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19148,4.57446,29.41176,25.80645,0.0,0.0,20.33898,34.61538,0.0,0.0
50,61.68224,54.41176,0.0,0.0,0.0,0.0,62.5,75.0,0.0,0.0,41.46341,50.61728,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,71.875,0.0,0.0,0.0,0.0,40.50632,56.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,0.0,0.0,55.55555,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06382,7.23404,0.0,27.41935,0.0,0.0,42.37288,25.64102,0.0,0.0
51,49.53271,72.05882,0.0,0.0,0.0,0.0,100.0,45.0,0.0,0.0,42.68292,44.44444,0.0,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.62962,68.75,0.0,0.0,0.0,0.0,54.00843,52.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4945,6.18556,71.42857,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.95918,62.0,0.0,0.0,88.88888,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,26.31578,0.0,7.4468,5.0,0.0,9.67741,0.0,0.0,20.33898,26.92307,0.0,0.0
52,57.00934,61.7647,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,40.2439,75.30864,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,18.75,0.0,0.0,0.0,0.0,55.6962,52.45614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.79591,50.0,0.0,0.0,0.0,0.0,46.15384,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,9.25531,4.68085,0.0,9.67741,0.0,0.0,44.06779,39.74358,0.0,0.0
53,71.96261,42.64705,0.0,0.0,0.0,0.0,80.0,45.0,0.0,0.0,54.87804,51.85185,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,55.55555,59.375,0.0,0.0,0.0,0.0,70.88607,49.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08791,8.24742,0.0,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81632,46.0,0.0,71.42857,0.0,0.0,38.46153,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,6.27659,4.57446,0.0,14.51612,0.0,0.0,35.59322,8.97435,0.0,0.0
54,94.39252,54.41176,0.0,0.0,0.0,0.0,42.5,35.0,60.0,0.0,64.02439,53.08641,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,37.03703,81.25,0.0,0.0,0.0,0.0,72.15189,45.96491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5934,0.0,0.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,54.0,0.0,0.0,0.0,0.0,100.0,55.55555,0.0,0.0,0.0,0.0,26.31578,0.0,9.3617,5.53191,0.0,0.0,0.0,0.0,25.42372,21.79487,0.0,0.0
55,69.15887,52.94117,0.0,0.0,0.0,0.0,45.0,80.0,0.0,0.0,36.58536,59.25925,0.0,0.0,31.57894,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03703,31.25,0.0,0.0,0.0,0.0,56.11814,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,7.21649,0.0,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7551,66.0,0.0,0.0,66.66666,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,4.14893,7.4468,0.0,0.0,0.0,0.0,27.11864,19.23076,0.0,0.0
56,65.42056,91.17647,0.0,0.0,0.0,0.0,45.0,75.0,0.0,0.0,55.4878,30.86419,0.0,0.0,26.31578,40.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,46.875,0.0,0.0,0.0,0.0,59.49367,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.18681,9.27835,71.42857,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.97959,60.0,0.0,0.0,66.66666,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,26.31578,0.0,5.53191,4.78723,0.0,8.06451,0.0,0.0,44.06779,20.51282,0.0,0.0
57,72.89719,100.0,0.0,0.0,0.0,0.0,57.5,55.0,0.0,0.0,45.7317,54.32098,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,59.25925,100.0,0.0,0.0,0.0,0.0,49.36708,76.14035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8901,11.3402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.22448,44.0,0.0,0.0,77.77777,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10638,6.59574,0.0,14.51612,0.0,0.0,37.28813,17.94871,0.0,0.0
58,76.63551,61.7647,0.0,0.0,0.0,0.0,32.5,40.0,0.0,83.33333,26.21951,56.79012,0.0,0.0,31.57894,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,59.25925,84.375,0.0,0.0,0.0,0.0,60.33755,65.08771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,7.21649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81632,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,7.55319,6.27659,0.0,0.0,0.0,0.0,54.23728,23.07692,0.0,0.0
59,57.00934,82.35294,23.80952,0.0,0.0,0.0,50.0,30.0,0.0,0.0,42.07317,32.09876,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59.25925,65.625,0.0,0.0,0.0,0.0,61.18143,58.24561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38461,5.15463,0.0,46.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.67346,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48936,4.25531,0.0,0.0,0.0,0.0,32.20338,37.17948,0.0,0.0
60,62.61682,67.64705,33.33333,0.0,0.0,0.0,60.0,50.0,0.0,100.0,89.02439,48.14814,0.0,0.0,36.8421,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,50.0,0.0,0.0,0.0,0.0,73.41772,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7912,6.18556,0.0,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.67346,96.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,7.23404,4.89361,0.0,9.67741,0.0,0.0,45.76271,16.66666,0.0,0.0
61,15182,524,494,4612,14765,26356,10286,1806,1222943,632253,1222943,632253,314632,46697,26356,12227,221,362,15654,1659,20108,11085,14173,358,875,1182,1806,4251,2373,682,270,278,80182,7,7378,6211,15029,2229,1241,8128,305112,481,4508,1477,579,52452,10565,132114,11142,206,149167,40329,1182,396704,1068,222,87914,934154,404352,17761,2155,17108,3646,10351,440802,14899,8606,690,123534,97818,351048,71944,58346,15656,38951,5149,165583,96218,4116,5089
