,뺄리오복숭아맛_0,뺄리오복숭아맛_1,뉴트리디데이 올뉴_0,뉴트리디데이 올뉴_1,레인보우라이트 구미_0,레인보우라이트 구미_1,바이탈뷰티 미네랄_0,바이탈뷰티 미네랄_1,락토핏 골드_0,락토핏 골드_1,고려은단 1000_0,고려은단 1000_1,고려은단 플러스_0,고려은단 플러스_1,브이에이피 햇살비타민D젤리_0,브이에이피 햇살비타민D젤리_1,레인보우라이트 레몬젤리_0,레인보우라이트 레몬젤리_1,캘리포니아골드뉴트리션 유산균_0,캘리포니아골드뉴트리션 유산균_1,자로우포뮬러스 유산균_0,자로우포뮬러스 유산균_1,바이탈뷰티 멀티팩_0,바이탈뷰티 멀티팩_1,얼라이브 비타민_0,얼라이브 비타민_1,스킨톡 필_0,스킨톡 필_1,정관장에브리타임_0,정관장에브리타임_1,네이처스웨이 비타민_0,네이처스웨이 비타민_1,솔가 800_0,솔가 800_1,바이탈뷰티 프로바이오_0,바이탈뷰티 프로바이오_1,자로우포뮬러스 이피에스_0,자로우포뮬러스 이피에스_1,나우푸드 시스테인_0,나우푸드 시스테인_1,나트롤 10000mcg_0,나트롤 10000mcg_1,나우푸드 실리마린_0,나우푸드 실리마린_1,아토팜 로션_0,아토팜 로션_1,그린핑거 얼굴로션_0,그린핑거 얼굴로션_1,아비노베이비 로션_0,아비노베이비 로션_1,아토팜 크림_0,아토팜 크림_1,그린핑거 로션_0,그린핑거 로션_1,아비노베이비 크림_0,아비노베이비 크림_1,프리메라 크림_0,프리메라 크림_1,베베가닉 크림_0,베베가닉 크림_1,궁중비책 로션_0,궁중비책 로션_1,더 순수 로션_0,더 순수 로션_1,아토앤오투 수딩젤_0,아토앤오투 수딩젤_1,숨37˚ 크림_0,숨37˚ 크림_1,오이보스 페이스크림_0,오이보스 페이스크림_1,그린핑거 [SPF50+/PA+++]_0,그린핑거 [SPF50+/PA+++]_1,닥터아토 [SPF30/PA++]_0,닥터아토 [SPF30/PA++]_1,그린핑거 [SPF45/PA+++]_0,그린핑거 [SPF45/PA+++]_1,아토팜 [SPF43/PA+++]_0,아토팜 [SPF43/PA+++]_1
30,0.0,0.0,32.25806,61.29032,0.0,0.0,0.0,0.0,65.1715,38.16631,48.14814,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,100.0,65.46762,0.0,0.0,0.0,0.0,23.07692,52.59259,0.0,0.0,33.87096,58.05798,33.33333,0.0,28.0,28.0,62.68656,79.41176,0.0,0.0,0.0,0.0,0.0,0.0,72.70531,81.75675,65.74074,65.311,35.29411,0.0,16.97171,50.0,66.31578,46.12244,53.04659,58.49056,19.54022,0.0,79.74683,58.22784,37.41496,26.5625,85.47854,46.38157,0.0,0.0,63.92405,63.92405,0.0,0.0,30.0,54.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,45.16129,70.96774,0.0,0.0,0.0,0.0,55.93667,73.9872,37.03703,37.03703,35.29411,41.17647,0.0,0.0,0.0,0.0,83.45323,57.55395,0.0,0.0,0.0,0.0,38.12709,64.44444,0.0,0.0,39.12442,47.85692,0.0,0.0,48.0,28.0,73.13432,80.39215,0.0,0.0,0.0,0.0,0.0,0.0,69.56521,94.93243,70.37037,55.50239,70.58823,0.0,22.79534,52.24719,37.36842,32.65306,66.12903,76.10062,24.13793,0.0,73.41772,60.75949,31.97278,39.0625,86.79867,33.55263,0.0,0.0,37.97468,37.97468,0.0,0.0,34.0,48.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,45.16129,70.96774,0.0,0.0,0.0,0.0,73.35092,71.21535,59.25925,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,76.25899,43.88489,0.0,100.0,0.0,0.0,36.1204,77.77777,0.0,0.0,37.48387,37.63248,0.0,0.0,36.0,60.0,46.26865,56.86274,0.0,0.0,0.0,0.0,0.0,0.0,77.05314,83.44594,67.28395,44.01913,41.17647,40.0,22.62895,54.49438,33.68421,46.53061,72.93906,70.64989,34.48275,61.53846,46.83544,55.6962,20.40816,12.5,100.0,32.89473,0.0,0.0,37.34177,37.34177,0.0,0.0,54.0,37.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,32.25806,51.6129,0.0,0.0,0.0,0.0,56.46437,65.88486,33.33333,25.92592,0.0,52.94117,0.0,0.0,0.0,0.0,79.85611,66.90647,0.0,0.0,0.0,0.0,28.42809,71.85185,0.0,0.0,37.52995,30.83697,0.0,0.0,52.0,32.0,55.22388,38.23529,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,75.33783,48.76543,55.74162,47.05882,23.33333,27.45424,55.61797,48.94736,30.61224,72.75985,49.68553,22.9885,53.84615,68.35443,74.68354,42.85714,23.4375,68.64686,39.80263,0.0,0.0,43.67088,43.67088,0.0,0.0,30.0,51.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,70.96774,48.38709,0.0,0.0,0.0,0.0,68.07387,59.06183,33.33333,22.22222,35.29411,0.0,0.0,0.0,0.0,0.0,74.82014,46.76258,0.0,0.0,0.0,0.0,42.47491,67.4074,0.0,0.0,41.71428,22.74002,0.0,0.0,40.0,0.0,49.25373,46.07843,0.0,0.0,0.0,0.0,0.0,0.0,58.69565,80.74324,63.58024,98.80382,41.17647,56.66666,20.96505,46.06741,84.73684,35.91836,59.13978,56.81341,20.68965,92.30769,67.0886,53.16455,59.86394,0.0,63.0363,48.02631,0.0,0.0,39.87341,39.87341,0.0,0.0,34.0,45.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,45.16129,48.38709,0.0,0.0,0.0,0.0,52.77044,76.75906,44.44444,66.66666,76.47058,0.0,0.0,0.0,0.0,0.0,75.53956,62.58992,0.0,0.0,0.0,0.0,36.78929,79.25925,0.0,0.0,45.7235,20.3086,0.0,0.0,48.0,48.0,79.10447,48.03921,0.0,0.0,0.0,0.0,0.0,0.0,52.657,49.32432,75.0,65.55023,0.0,60.0,23.46089,38.20224,58.42105,40.40816,51.79211,52.4109,22.9885,38.46153,83.5443,44.30379,48.97959,25.0,82.83828,39.14473,0.0,0.0,48.10126,48.10126,0.0,0.0,60.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,64.51612,54.8387,0.0,0.0,0.0,0.0,69.39313,60.76759,70.37037,33.33333,70.58823,0.0,0.0,0.0,0.0,0.0,58.27338,65.46762,0.0,0.0,0.0,0.0,28.09364,66.66666,0.0,0.0,49.05069,25.84164,40.0,0.0,60.0,32.0,83.58208,74.5098,0.0,0.0,0.0,0.0,0.0,0.0,57.48792,65.87837,79.32098,57.6555,35.29411,40.0,26.78868,32.58426,61.05263,43.67346,40.50179,47.79874,17.24137,76.92307,59.49367,50.63291,27.21088,20.3125,85.80858,42.10526,0.0,0.0,49.36708,49.36708,0.0,0.0,80.0,17.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,48.38709,29.03225,0.0,0.0,0.0,0.0,77.04485,87.84648,48.14814,33.33333,100.0,0.0,0.0,0.0,0.0,0.0,76.97841,99.28057,0.0,0.0,0.0,0.0,25.08361,59.25925,0.0,0.0,48.63594,26.34819,53.33333,0.0,36.0,100.0,43.28358,57.84313,0.0,0.0,0.0,0.0,0.0,0.0,78.01932,85.81081,69.75308,53.58851,0.0,60.0,20.79866,33.70786,46.8421,48.57142,51.25448,48.00838,19.54022,69.23076,69.62025,67.0886,30.61224,25.0,69.96699,36.51315,0.0,0.0,37.97468,37.97468,0.0,0.0,70.0,51.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,61.29032,19.35483,0.0,0.0,0.0,0.0,71.2401,87.63326,59.25925,18.51851,0.0,0.0,0.0,0.0,0.0,0.0,89.92805,66.90647,0.0,0.0,0.0,0.0,29.09698,95.55555,0.0,0.0,50.11981,22.45947,0.0,0.0,44.0,44.0,31.34328,55.88235,0.0,0.0,0.0,0.0,0.0,0.0,70.0483,95.27027,62.34567,45.69377,29.41176,26.66666,32.44592,55.05617,35.78947,61.63265,65.94982,46.12159,48.27586,46.15384,51.89873,63.29113,34.69387,29.6875,83.49834,27.63157,0.0,0.0,32.27848,32.27848,0.0,0.0,78.0,51.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,45.16129,45.16129,0.0,0.0,0.0,0.0,69.65699,84.64818,22.22222,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,94.96402,61.8705,0.0,0.0,0.0,0.0,39.13043,74.81481,0.0,0.0,51.46543,20.45667,0.0,0.0,44.0,48.0,47.76119,38.23529,0.0,0.0,100.0,0.0,0.0,0.0,76.57004,86.14864,63.2716,36.8421,0.0,0.0,25.62396,50.0,31.57894,55.10204,75.44802,40.25157,22.9885,38.46153,94.9367,81.01265,38.77551,23.4375,67.65676,34.86842,0.0,0.0,26.58227,26.58227,0.0,0.0,86.0,45.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
