,홀리카홀리카 쉬머_0,홀리카홀리카 쉬머_1,타르트 팔레트_0,타르트 팔레트_1,에뛰드 카페]_0,에뛰드 카페]_1,롬앤 아이즈_0,롬앤 아이즈_1,스틸라 아이섀도우_0,스틸라 아이섀도우_1,홀리카홀리카 나이트]_0,홀리카홀리카 나이트]_1,클리오 섀도우_0,클리오 섀도우_1,미샤 [매트]_0,미샤 [매트]_1,클리오 컬링]_0,클리오 컬링]_1,VDL 픽서_0,VDL 픽서_1,홀리카홀리카 컬링]_0,홀리카홀리카 컬링]_1,더샘 컬링]_0,더샘 컬링]_1,어퓨 모어댄텐미리]_0,어퓨 모어댄텐미리]_1,헤라 마스카라_0,헤라 마스카라_1,시드물 세럼_0,시드물 세럼_1,페리페라 컬링]_0,페리페라 컬링]_1,에뛰드 카라_0,에뛰드 카라_1,라네즈 마스카라_0,라네즈 마스카라_1,키스미 EX_0,키스미 EX_1,키스미 워터프루프_0,키스미 워터프루프_1,비바이바닐라 블랙_0,비바이바닐라 블랙_1,미샤 볼륨]_0,미샤 볼륨]_1,네이처리퍼블릭 마스카라_0,네이처리퍼블릭 마스카라_1,키스미 브라운_0,키스미 브라운_1,미샤 슬림_0,미샤 슬림_1,나스 베이스_0,나스 베이스_1,맥 베이스_0,맥 베이스_1,미샤 프라이머_0,미샤 프라이머_1,VDL 아이즈_0,VDL 아이즈_1,어반디케이 포션_0,어반디케이 포션_1,코드글로컬러 아이프라이머_0,코드글로컬러 아이프라이머_1,어퓨 프라이머_0,어퓨 프라이머_1,바비브라운 베이스_0,바비브라운 베이스_1,스킨푸드 프라이머_0,스킨푸드 프라이머_1,투페이스드 인슈어런스_0,투페이스드 인슈어런스_1,더샘 프라이머_0,더샘 프라이머_1,아임미미 헌터_0,아임미미 헌터_1,NYX 프라이머_0,NYX 프라이머_1,정샘물 프라이머_0,정샘물 프라이머_1,맥퀸뉴욕 립앤아이_0,맥퀸뉴욕 립앤아이_1
28,0.0,0.0,68.06083,61.37184,0.0,0.0,0.0,0.0,55.2,8.62068,0.0,0.0,50.0,63.45177,0.0,0.0,0.0,0.0,16.66666,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,39.74358,0.0,87.5,0.0,0.0,0.0,0.0,40.0,44.68085,0.0,0.0,36.8421,34.80176,0.0,0.0,0.0,0.0,29.03225,58.69565,41.66666,0.0,0.0,0.0,46.15384,46.15384,50.56818,47.95918,16.99029,21.79487,0.0,0.0,0.0,0.0,0.0,0.0,56.30252,22.58064,37.66233,91.48936,33.33333,10.31746,0.0,0.0,18.82352,19.35483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,58.55513,48.01444,0.0,0.0,0.0,0.0,67.2,100.0,0.0,0.0,58.16326,59.39086,0.0,0.0,0.0,0.0,15.27777,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,70.51282,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,51.11111,17.02127,0.0,0.0,47.36842,47.13656,0.0,0.0,0.0,0.0,32.25806,26.08695,41.66666,0.0,0.0,0.0,38.46153,0.0,32.38636,51.0204,17.47572,13.14102,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,25.80645,58.44155,29.78723,46.66666,12.69841,0.0,0.0,22.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,54.37262,62.81588,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,48.97959,60.40609,0.0,0.0,0.0,0.0,13.88888,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,44.87179,48.71794,45.45454,62.5,0.0,0.0,0.0,0.0,100.0,38.29787,0.0,0.0,57.89473,45.81497,0.0,0.0,0.0,0.0,40.32258,34.7826,0.0,0.0,0.0,0.0,30.76923,0.0,58.52272,62.24489,15.04854,16.98717,0.0,0.0,0.0,0.0,0.0,0.0,45.37815,54.8387,33.76623,57.4468,76.66666,8.73015,0.0,0.0,14.11764,19.35483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,66.66666,0.0,65.01901,64.25992,0.0,0.0,100.0,0.0,68.79999,25.86206,0.0,0.0,45.91836,64.97461,0.0,0.0,0.0,0.0,19.44444,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,41.02564,100.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,68.0851,0.0,0.0,0.0,47.57709,0.0,0.0,0.0,0.0,66.12903,30.43478,0.0,0.0,0.0,0.0,88.46153,46.15384,44.88636,62.24489,19.41747,49.35897,0.0,0.0,0.0,0.0,0.0,0.0,40.33613,41.93548,70.12987,53.19148,20.0,6.74603,0.0,0.0,18.82352,16.12903,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
32,0.0,33.33333,50.95057,65.34296,0.0,0.0,0.0,0.0,62.4,23.10344,0.0,0.0,65.81632,63.95939,0.0,0.0,0.0,0.0,16.66666,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,41.02564,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,55.31914,0.0,0.0,31.57894,48.89867,0.0,0.0,0.0,0.0,72.58064,54.34782,75.0,75.0,0.0,0.0,50.0,0.0,46.5909,38.77551,25.72815,25.96153,0.0,0.0,0.0,0.0,0.0,0.0,52.94117,41.93548,55.84415,55.31914,76.66666,5.95238,0.0,0.0,16.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,33.33333,53.23193,71.11913,0.0,0.0,0.0,0.0,56.79999,17.5862,0.0,0.0,55.10204,58.88324,0.0,0.0,0.0,0.0,15.27777,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,88.46153,54.54545,0.0,0.0,0.0,0.0,0.0,42.22222,36.17021,0.0,0.0,52.63157,42.73127,0.0,0.0,0.0,0.0,35.48387,52.17391,0.0,50.0,0.0,0.0,69.23076,0.0,35.79545,63.2653,16.50485,39.74358,0.0,0.0,0.0,0.0,0.0,0.0,40.33613,54.8387,80.51948,34.04255,30.0,10.31746,0.0,0.0,14.11764,25.80645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,49.42965,66.42599,0.0,0.0,0.0,0.0,54.4,18.62068,0.0,0.0,47.44897,56.34517,0.0,0.0,0.0,0.0,16.66666,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,41.02564,0.0,62.5,0.0,0.0,0.0,0.0,66.66666,42.55319,100.0,100.0,0.0,38.76651,0.0,0.0,0.0,0.0,24.19354,67.3913,0.0,0.0,0.0,0.0,80.76923,61.53846,42.04545,57.14285,8.25242,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,19.35483,59.74025,51.06382,56.66666,9.12698,0.0,0.0,17.64705,25.80645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,50.19011,61.73285,0.0,0.0,0.0,0.0,69.59999,18.96551,0.0,0.0,50.0,53.8071,0.0,0.0,0.0,0.0,30.55555,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,78.7234,0.0,0.0,47.36842,56.82819,0.0,0.0,0.0,0.0,32.25806,34.7826,0.0,41.66666,0.0,0.0,57.6923,38.46153,71.5909,51.0204,9.70873,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,25.80645,70.12987,59.57446,53.33333,9.5238,0.0,0.0,7.05882,29.03225,0.0,0.0,60.0,0.0,45.45454,0.0,0.0,0.0
36,0.0,50.0,52.85171,64.98194,0.0,0.0,0.0,0.0,60.8,14.13793,0.0,0.0,52.04081,59.89847,0.0,0.0,0.0,0.0,19.44444,50.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,62.82051,0.0,62.5,0.0,0.0,0.0,0.0,40.0,34.04255,0.0,0.0,31.57894,60.35242,0.0,0.0,0.0,0.0,19.35483,41.30434,41.66666,0.0,0.0,0.0,88.46153,61.53846,50.0,39.79591,14.07766,20.51282,0.0,0.0,0.0,0.0,0.0,0.0,33.61344,29.03225,46.75324,38.29787,80.0,7.9365,0.0,0.0,10.58823,41.93548,0.0,0.0,0.0,80.0,45.45454,0.0,0.0,0.0
37,0.0,66.66666,68.44106,46.57039,0.0,0.0,0.0,0.0,69.59999,13.44827,0.0,0.0,33.67346,55.32994,0.0,0.0,0.0,0.0,38.88888,50.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05128,67.94871,0.0,0.0,0.0,0.0,0.0,0.0,28.88888,68.0851,0.0,0.0,0.0,39.20704,0.0,0.0,0.0,0.0,53.2258,69.56521,0.0,0.0,0.0,0.0,57.6923,0.0,35.79545,42.85714,17.47572,14.42307,0.0,0.0,0.0,0.0,0.0,0.0,36.97478,45.16129,71.42857,48.93617,50.0,9.12698,0.0,0.0,18.82352,22.58064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
