,클라랑스 로션_0,클라랑스 로션_1,뉴스킨 에이지락바디_0,뉴스킨 에이지락바디_1,클라랑스 마스벨트_0,클라랑스 마스벨트_1,블리스 식스팩_0,블리스 식스팩_1,벨레다 오일_0,벨레다 오일_1,클라랑스 컨트롤_0,클라랑스 컨트롤_1,미스레그 핫볼_0,미스레그 핫볼_1,아므 바디_0,아므 바디_1,스킨조아 크림_0,스킨조아 크림_1,라뮤즈 이펙터_0,라뮤즈 이펙터_1,라뮤즈 젤_0,라뮤즈 젤_1,커버라인 수면쉐이퍼_0,커버라인 수면쉐이퍼_1,힐플렉스 크림_0,힐플렉스 크림_1,더마콜 버턱스앤힙스_0,더마콜 버턱스앤힙스_1,크리스탈 스틱_0,크리스탈 스틱_1,크리스탈 [무향]_0,크리스탈 [무향]_1,크리스탈 스프레이_0,크리스탈 스프레이_1,비오레 파우더시트_0,비오레 파우더시트_1,더마비 프라이머_0,더마비 프라이머_1,프라도어 [무향]_0,프라도어 [무향]_1,레이디 스피드 스틱 데오드란트_0,레이디 스피드 스틱 데오드란트_1,프라도어 파우더리향]_0,프라도어 파우더리향]_1,니베아 컴포트_0,니베아 컴포트_1,이솝 데오도란트_0,이솝 데오도란트_1,니베아 [스틱]_0,니베아 [스틱]_1,하이드로퓨갈 미스트_0,하이드로퓨갈 미스트_1,유리아쥬 두세르_0,유리아쥬 두세르_1,미스사사 향_0,미스사사 향_1,니베아 스틱드라이콤포트_0,니베아 스틱드라이콤포트_1,니베아 플라워_0,니베아 플라워_1,Rexena패션_0,Rexena패션_1,미스사사 슈퍼쿨링파우더시트_0,미스사사 슈퍼쿨링파우더시트_1,니베아 [롤온]_0,니베아 [롤온]_1,바이빠세 [뱀부]_0,바이빠세 [뱀부]_1,RAP PHYTO 쿨링젤_0,RAP PHYTO 쿨링젤_1,미스레그 [백합향]_0,미스레그 [백합향]_1,클라랑스 레그스_0,클라랑스 레그스_1,RAP PHYTO 시트러스_0,RAP PHYTO 시트러스_1,아이뽀 젤_0,아이뽀 젤_1,안나홀츠 오일_0,안나홀츠 오일_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.15254,5.07812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.38271,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.33333,100.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.81355,24.60937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,38.46153,0.0,53.08641,50.75757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,66.66666
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62711,12.10937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,46.91358,39.39393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.79661,12.10937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,46.15384,0.0,0.0,38.46153,0.0,43.20987,19.69696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.66666,66.66666
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57627,17.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,46.15384,0.0,34.5679,30.30303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,41.66666
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.84745,7.42187,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,38.46153,0.0,0.0,0.0,0.0,37.03703,29.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33333,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.10169,6.64062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,38.46153,0.0,0.0,46.15384,0.0,25.92592,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.79661,8.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,38.46153,0.0,0.0,0.0,0.0,20.98765,43.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.66666
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62711,8.59375,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,38.46153,0.0,0.0,0.0,0.0,23.45679,47.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.33333,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.54237,25.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,47.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0
