,토니모리 [SPF35/PA+++]_0,토니모리 [SPF35/PA+++]_1,그린핑거 베이비로션_0,그린핑거 베이비로션_1,존슨즈베이비 로션_0,존슨즈베이비 로션_1,존슨즈베이비 크림_0,존슨즈베이비 크림_1,존슨즈베이비 파우더_0,존슨즈베이비 파우더_1,존슨즈베이비 오일_0,존슨즈베이비 오일_1,얼스마마 밤_0,얼스마마 밤_1,그린핑거 울트라크림_0,그린핑거 울트라크림_1,보타니컬테라피 로션_0,보타니컬테라피 로션_1,아토팜 오일_0,아토팜 오일_1,프리메라 로션_0,프리메라 로션_1,존슨즈베이비 밤_0,존슨즈베이비 밤_1,존슨즈베이비 워시_0,존슨즈베이비 워시_1,아토팜 워시_0,아토팜 워시_1,얼스마마 바디워시앤삼푸_0,얼스마마 바디워시앤삼푸_1,궁중비책 샴푸&바스_0,궁중비책 샴푸&바스_1,그린핑거 베이비워시_0,그린핑거 베이비워시_1,존슨즈베이비 바스_0,존슨즈베이비 바스_1,캘리포니아베이비 바디워시_0,캘리포니아베이비 바디워시_1,무스텔라 젤_0,무스텔라 젤_1,누크 밀크_0,누크 밀크_1,누들앤부 NB워시_0,누들앤부 NB워시_1,그린핑거 워시_0,그린핑거 워시_1,그린핑거 샴푸_0,그린핑거 샴푸_1,아토앤오투 샴푸_0,아토앤오투 샴푸_1,세타필 샴푸_0,세타필 샴푸_1,아비노베이비 워시&샴푸_0,아비노베이비 워시&샴푸_1,호호에미 클렌저_0,호호에미 클렌저_1,유리아쥬 라방떼_0,유리아쥬 라방떼_1,비욘드 워시_0,비욘드 워시_1,보타니컬테라피 워시_0,보타니컬테라피 워시_1,비레디 [SPF50+/PA++++]_0,비레디 [SPF50+/PA++++]_1,이니스프리 에센스_0,이니스프리 에센스_1,보타닉힐 보 아이디얼 포 맨 올인원_0,보타닉힐 보 아이디얼 포 맨 올인원_1,엠솔릭 올인원_0,엠솔릭 올인원_1,이니스프리 스킨_0,이니스프리 스킨_1,우르오스 스킨밀크_0,우르오스 스킨밀크_1,비오템옴므 토너_0,비오템옴므 토너_1,불독 모이스처라이저_0,불독 모이스처라이저_1,아이오페 올인원_0,아이오페 올인원_1
20,0.0,0.0,0.0,11.11111,76.81992,67.68292,31.81818,42.30769,44.39461,13.0185,61.68224,49.50495,0.0,0.0,85.86956,36.66666,44.88188,33.33333,40.42553,43.51851,33.33333,51.85185,42.10526,0.0,0.0,19.23076,17.10526,12.65822,0.0,0.0,0.0,0.0,9.25925,36.8421,0.0,55.55555,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.38888,19.23076,62.71186,32.59259,50.0,30.30303,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58426,0.0,0.0,0.0,40.625,23.49137,0.0,72.72727,0.0,52.8,51.10294,50.99601,87.70491,49.62406,0.0,0.0,0.0,0.0,60.0,66.11111
21,0.0,0.0,17.17171,15.27777,79.69348,57.46951,51.51515,30.76923,43.49775,14.55009,77.94392,62.17821,0.0,0.0,41.30434,100.0,48.81889,37.03703,70.21276,15.74074,36.66666,44.44444,52.63157,0.0,50.0,61.53846,9.21052,10.12658,0.0,0.0,0.0,0.0,18.51851,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,25.96153,75.14124,29.62962,41.66666,18.18181,46.15384,65.21739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.69662,40.90909,0.0,0.0,55.625,26.50862,0.0,0.0,0.0,44.8,65.07352,44.2231,62.70491,47.36842,54.54545,0.0,0.0,0.0,67.5,88.33333
22,0.0,0.0,20.20202,23.61111,69.7318,60.82317,84.84848,0.0,37.66816,11.86981,98.31775,60.59405,100.0,0.0,35.86956,30.0,35.43307,31.48148,68.0851,23.14814,26.66666,35.18518,63.15789,0.0,0.0,46.15384,12.2807,16.87763,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,56.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,22.11538,53.67231,35.55555,75.0,51.51515,0.0,56.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.64044,31.81818,0.0,0.0,41.875,20.47413,0.0,0.0,45.45454,36.0,41.17647,40.63745,51.63934,39.24812,72.72727,0.0,0.0,0.0,67.5,93.33333
23,0.0,0.0,13.13131,9.72222,73.37164,42.53048,89.39393,0.0,28.25112,8.16847,68.03738,58.61386,0.0,0.0,25.0,24.66666,30.70866,51.85185,74.46808,50.0,36.66666,51.85185,63.15789,0.0,50.0,61.53846,13.59649,13.5021,0.0,0.0,0.0,0.0,11.11111,36.8421,13.95348,77.77777,20.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.05555,44.23076,43.50282,48.88888,0.0,39.39393,84.61538,52.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23595,0.0,0.0,0.0,36.875,20.90517,0.0,0.0,54.54545,35.2,48.16176,46.61354,72.54098,40.90225,45.45454,42.85714,0.0,0.0,62.5,72.77777
24,0.0,0.0,18.18181,20.83333,63.60153,61.43292,39.39393,0.0,25.1121,8.48755,64.11214,56.83168,0.0,0.0,26.08695,11.33333,39.37007,42.59259,46.80851,30.55555,35.0,50.0,36.8421,0.0,0.0,61.53846,11.8421,15.18987,0.0,0.0,0.0,0.0,20.37037,0.0,13.95348,0.0,52.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11111,48.07692,32.20338,65.92592,0.0,42.42424,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.07865,0.0,0.0,0.0,38.125,25.0,0.0,0.0,100.0,35.2,52.94117,41.03585,84.42622,41.35338,0.0,35.71428,0.0,0.0,46.875,70.0
25,0.0,0.0,9.0909,15.27777,51.34099,58.68902,59.0909,0.0,28.69955,7.72176,65.04672,51.0891,0.0,0.0,53.26086,16.0,37.79527,66.66666,46.80851,42.59259,56.66666,68.51851,36.8421,0.0,50.0,30.76923,15.78947,9.70464,0.0,0.0,0.0,0.0,12.96296,42.10526,16.27906,0.0,47.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,40.38461,37.28813,43.7037,0.0,18.18181,46.15384,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.81818,0.0,0.0,43.75,27.5862,0.0,0.0,0.0,35.2,41.91176,43.42629,73.36065,53.68421,0.0,35.71428,0.0,0.0,63.125,57.77777
26,0.0,0.0,18.18181,12.5,51.72413,52.13414,46.96969,26.92307,35.87443,9.31716,55.51401,50.69306,0.0,0.0,45.65217,10.0,62.99212,24.07407,29.78723,49.07407,100.0,48.14814,47.36842,0.0,50.0,61.53846,7.01754,16.87763,0.0,0.0,0.0,0.0,18.51851,0.0,18.60465,55.55555,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61111,30.76923,33.8983,51.11111,0.0,24.24242,92.30769,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.14606,27.27272,0.0,0.0,39.375,47.41379,0.0,0.0,54.54545,36.8,37.5,60.15936,59.01639,55.48872,63.63636,0.0,0.0,0.0,58.125,56.66666
27,0.0,0.0,11.11111,38.88888,47.318,41.46341,53.0303,38.46153,49.77578,13.59285,69.34579,60.19801,0.0,0.0,63.04347,22.0,33.85826,22.22222,40.42553,61.11111,48.33333,64.81481,57.89473,0.0,31.25,57.6923,14.91228,10.54852,0.0,0.0,0.0,0.0,29.62962,0.0,0.0,55.55555,38.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,15.38461,75.14124,43.7037,41.66666,0.0,46.15384,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.80898,22.72727,0.0,0.0,26.875,91.16379,0.0,0.0,0.0,27.2,38.23529,52.58964,60.2459,48.1203,54.54545,78.57142,0.0,0.0,58.125,72.77777
28,0.0,0.0,12.12121,31.94444,54.78927,36.28048,63.63636,26.92307,33.18385,22.91001,79.06542,57.22772,0.0,0.0,53.26086,20.66666,28.34645,9.25925,68.0851,42.59259,50.0,20.37037,47.36842,0.0,56.25,69.23076,16.66666,19.83122,0.0,0.0,0.0,0.0,18.51851,52.63157,11.6279,55.55555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61111,28.84615,63.27683,25.92592,75.0,24.24242,46.15384,52.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68539,40.90909,0.0,0.0,45.625,52.5862,0.0,0.0,54.54545,25.6,47.79411,39.44223,52.86885,42.70676,45.45454,100.0,0.0,0.0,68.75,76.11111
29,0.0,0.0,8.0808,27.77777,60.72796,39.32926,69.69696,30.76923,86.09865,16.78366,75.88785,54.85148,0.0,0.0,39.13043,8.0,37.79527,14.81481,57.4468,44.44444,56.66666,48.14814,0.0,0.0,50.0,53.84615,14.47368,24.05063,0.0,0.0,0.0,100.0,88.88888,0.0,0.0,55.55555,61.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,24.03846,53.67231,36.29629,0.0,42.42424,53.84615,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38202,0.0,0.0,0.0,46.25,43.53448,0.0,0.0,45.45454,32.0,56.98529,35.05976,52.04918,34.28571,0.0,0.0,0.0,0.0,87.5,85.0
