,맥 하이라이터_0,맥 하이라이터_1,더밤 루머나이저_0,더밤 루머나이저_1,홀리카홀리카 하이라이터_0,홀리카홀리카 하이라이터_1,샤넬 에쌍씨엘_0,샤넬 에쌍씨엘_1,베네피트 하이라이터_0,베네피트 하이라이터_1,잇츠스킨 하이라이터_0,잇츠스킨 하이라이터_1,어퓨 하이라이터_0,어퓨 하이라이터_1,부르조아 파우더_0,부르조아 파우더_1,베네피트 글로우_0,베네피트 글로우_1,캔메이크 하이라이터_0,캔메이크 하이라이터_1,레어카인드 [쉐딩]_0,레어카인드 [쉐딩]_1,미샤 컨투어_0,미샤 컨투어_1,투쿨포스쿨 로댕_0,투쿨포스쿨 로댕_1,삐아 [쉐딩]_0,삐아 [쉐딩]_1,페리페라 쉐딩_0,페리페라 쉐딩_1,롬앤 쉐입_0,롬앤 쉐입_1,이글립스 쉐딩_0,이글립스 쉐딩_1,아리따움 파우더_0,아리따움 파우더_1,베네피트 라이트_0,베네피트 라이트_1,삐아 컨투어링_0,삐아 컨투어링_1,블랙루즈 컨투어링_0,블랙루즈 컨투어링_1,이니스프리 컨투어링_0,이니스프리 컨투어링_1,케빈어코인 파우더_0,케빈어코인 파우더_1,미샤 스틱(쉐딩)_0,미샤 스틱(쉐딩)_1,클리오 쉐이딩_0,클리오 쉐이딩_1,맥퀸뉴욕 쉐딩_0,맥퀸뉴욕 쉐딩_1,어퓨 키트_0,어퓨 키트_1,에뛰드 휠_0,에뛰드 휠_1,스킨푸드 쿠키)_0,스킨푸드 쿠키)_1,네이처리퍼블릭 팔레트_0,네이처리퍼블릭 팔레트_1,클리오 팔레트_0,클리오 팔레트_1,웨이크메이크 치크_0,웨이크메이크 치크_1,크리니크 팔레트_0,크리니크 팔레트_1,베네피트 바)_0,베네피트 바)_1,더밤 팔레트_0,더밤 팔레트_1,톰포드 뷰티 일루미네이트_0,톰포드 뷰티 일루미네이트_1,더샘 팔레트_0,더샘 팔레트_1,투페이스드 팔레트_0,투페이스드 팔레트_1,정샘물 팔레트_0,정샘물 팔레트_1,베네피트 스쿼드_0,베네피트 스쿼드_1
18,59.43152,43.29268,0.0,0.0,73.17073,8.87096,69.50354,50.94339,14.31297,100.0,50.0,0.0,15.66265,25.0,0.0,0.0,0.0,0.0,55.55555,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44961,0.0,0.0,59.61538,55.17241,57.6923,69.81132,0.0,0.0,58.82352,27.77777,0.0,0.0,10.69182,17.35537,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,48.35164,0.0,0.0,0.0,45.45454,0.0,0.0,60.65573,27.8481,78.72928,46.77002,43.58974,40.90909,34.06593,0.0,0.0,0.0,13.48314,0.0,0.0,0.0,0.0,17.14285,26.86567,41.16379,86.95652,40.90909,0.0,0.0
19,76.22739,69.71544,0.0,0.0,56.91056,8.06451,57.4468,45.28301,11.83206,91.30434,0.0,0.0,19.2771,33.33333,0.0,0.0,0.0,0.0,48.88888,43.75,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.22163,58.44961,0.0,71.42857,26.92307,58.62068,36.53846,54.71698,0.0,0.0,58.82352,27.77777,0.0,56.25,15.72327,17.35537,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,48.35164,0.0,0.0,0.0,0.0,0.0,0.0,73.77049,46.20253,66.29834,50.77519,48.71794,36.36363,17.58241,30.0,0.0,0.0,11.23595,0.0,0.0,0.0,4.7244,31.42857,26.36815,36.20689,69.56521,54.54545,0.0,0.0
20,76.22739,100.0,0.0,0.0,60.1626,30.64516,46.80851,62.26415,23.0916,98.26086,100.0,0.0,16.86746,43.75,0.0,0.0,0.0,0.0,57.77777,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31028,47.90697,0.0,0.0,38.46153,96.55172,59.61538,39.62264,0.0,0.0,47.05882,0.0,0.0,100.0,11.94968,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,36.26373,0.0,0.0,0.0,100.0,0.0,0.0,50.81967,33.5443,70.99447,28.29457,46.15384,81.81818,8.7912,20.0,0.0,0.0,11.23595,0.0,0.0,0.0,27.55905,25.71428,44.77611,53.44827,43.47826,45.45454,0.0,0.0
21,66.92506,78.04878,0.0,0.0,40.6504,14.51612,53.19148,32.07547,20.80152,85.21739,0.0,0.0,19.2771,29.16666,0.0,0.0,0.0,0.0,71.11111,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26595,53.79844,0.0,0.0,44.23076,79.31034,44.23076,54.71698,0.0,0.0,0.0,38.88888,0.0,68.75,27.04402,12.39669,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,56.04395,0.0,0.0,0.0,0.0,0.0,0.0,34.42622,42.40506,67.40331,20.73643,30.76923,45.45454,13.18681,20.0,0.0,0.0,14.60674,71.42857,0.0,0.0,19.68503,20.0,53.98009,43.53448,0.0,22.72727,0.0,0.0
22,60.72351,87.39837,0.0,0.0,50.4065,44.35483,51.77304,75.47169,16.98473,75.65217,0.0,41.66666,16.86746,25.0,0.0,0.0,0.0,0.0,42.22222,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22163,48.06201,0.0,71.42857,40.38461,55.17241,69.23076,37.73584,0.0,0.0,35.29411,0.0,0.0,50.0,16.3522,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,42.59259,49.45054,0.0,0.0,0.0,0.0,0.0,0.0,36.06557,30.37974,69.06077,26.42118,46.15384,36.36363,23.07692,0.0,0.0,0.0,24.7191,0.0,0.0,0.0,15.74803,17.14285,40.2985,41.16379,21.73913,86.36363,0.0,0.0
23,57.10594,84.95934,0.0,0.0,47.96747,100.0,62.41134,47.16981,100.0,75.65217,58.33333,58.33333,20.48192,18.75,0.0,0.0,0.0,0.0,48.88888,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.55813,0.0,0.0,71.15384,44.82758,40.38461,43.39622,0.0,0.0,47.05882,27.77777,0.0,0.0,20.12578,13.22314,0.0,0.0,0.0,0.0,0.0,0.0,35.18518,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,68.85245,39.2405,62.15469,23.12661,41.02564,40.90909,17.58241,15.0,0.0,0.0,22.47191,0.0,0.0,0.0,18.11023,22.85714,35.57213,37.5,39.13043,59.0909,0.0,0.0
24,51.93798,69.51219,0.0,0.0,50.4065,58.06451,56.73758,32.07547,31.67938,81.73913,41.66666,41.66666,51.80722,29.16666,55.55555,0.0,0.0,0.0,48.88888,36.25,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.31028,50.85271,0.0,0.0,69.23076,55.17241,36.53846,26.41509,0.0,0.0,100.0,0.0,0.0,50.0,15.72327,19.83471,0.0,0.0,0.0,0.0,0.0,0.0,50.0,41.75824,0.0,0.0,0.0,0.0,0.0,0.0,65.57377,37.97468,64.64088,19.70284,35.89743,68.18181,14.28571,0.0,0.0,0.0,19.10112,0.0,0.0,0.0,24.40944,20.0,33.33333,37.5,47.82608,77.27272,0.0,0.0
25,50.38759,69.51219,0.0,0.0,44.71544,45.16129,40.42553,69.81132,23.47328,86.95652,0.0,50.0,67.46987,22.91666,0.0,0.0,0.0,0.0,48.88888,60.0,0.0,0.0,27.5862,0.0,0.0,0.0,0.0,0.0,0.48758,47.28682,70.0,0.0,53.84615,86.20689,59.61538,37.73584,0.0,0.0,47.05882,0.0,53.84615,31.25,27.04402,19.00826,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,41.75824,0.0,0.0,0.0,0.0,0.0,0.0,44.26229,41.77215,62.15469,16.98966,61.53846,77.27272,12.08791,25.0,0.0,0.0,25.84269,0.0,0.0,0.0,12.59842,20.0,45.27363,31.25,86.95652,27.27272,0.0,0.0
26,48.8372,56.70731,0.0,0.0,39.02439,41.12903,31.20567,49.0566,23.47328,71.30434,41.66666,0.0,57.83132,31.25,0.0,0.0,0.0,0.0,33.33333,53.75,0.0,0.0,17.24137,50.0,0.0,0.0,0.0,0.0,1.64007,41.24031,0.0,0.0,46.15384,48.27586,59.61538,60.37735,0.0,0.0,35.29411,0.0,0.0,62.5,14.4654,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,12.96296,80.21978,0.0,0.0,0.0,0.0,0.0,0.0,29.50819,45.56962,65.46961,13.50129,23.07692,63.63636,0.0,22.5,0.0,0.0,11.23595,0.0,0.0,0.0,17.32283,31.42857,44.2786,25.86206,26.08695,50.0,0.0,0.0
27,46.77002,73.78048,0.0,0.0,40.6504,33.06451,43.26241,58.49056,24.0458,95.65217,0.0,100.0,55.42168,22.91666,0.0,0.0,0.0,0.0,71.11111,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77304,42.32558,0.0,0.0,53.84615,58.62068,48.07692,43.39622,0.0,0.0,58.82352,33.33333,0.0,87.5,17.61006,11.57024,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,72.52747,0.0,0.0,0.0,0.0,0.0,0.0,55.7377,88.60759,54.41988,17.05426,35.89743,59.0909,15.38461,22.5,0.0,0.0,11.23595,0.0,0.0,0.0,15.74803,31.42857,62.18905,36.20689,34.7826,31.81818,0.0,0.0
