,일리윤 크림_0,일리윤 크림_1,더마비 크림_0,더마비 크림_1,비욘드 에멀전_0,비욘드 에멀전_1,아비노 로션_0,아비노 로션_1,러쉬 컨디셔너_0,러쉬 컨디셔너_1,홀리카홀리카 로션_0,홀리카홀리카 로션_1,바이오더마 크림_0,바이오더마 크림_1,러쉬 슬리피_0,러쉬 슬리피_1,암웨이 바디로션_0,암웨이 바디로션_1,엘리자베스아덴 바디크림_0,엘리자베스아덴 바디크림_1,뉴트로지나 에멀젼_0,뉴트로지나 에멀젼_1,멜라루카 로션_0,멜라루카 로션_1,헉슬리 가드너_0,헉슬리 가드너_1,메디포포 크림_0,메디포포 크림_1,더마비 오일_0,더마비 오일_1,김정문알로에크림_0,김정문알로에크림_1,LUCAS PAPAW REMEDIES 포포크림_0,LUCAS PAPAW REMEDIES 포포크림_1,아쿠아퍼 오인트먼트_0,아쿠아퍼 오인트먼트_1,로즈버드 퍼퓸 컴퍼니 오리지널_0,로즈버드 퍼퓸 컴퍼니 오리지널_1,퓨어포레 밤_0,퓨어포레 밤_1,ROSE & CO.살브_0,ROSE & CO.살브_1,록시땅 -에코서트_0,록시땅 -에코서트_1,더바디샵 오일_0,더바디샵 오일_1,버츠비 오일_0,버츠비 오일_1,비욘드 오일_0,비욘드 오일_1,로즈버드 퍼퓸 컴퍼니 튜브_0,로즈버드 퍼퓸 컴퍼니 튜브_1,아쿠아퍼 밤_0,아쿠아퍼 밤_1,록시땅 오일_0,록시땅 오일_1,꼬달리 오일_0,꼬달리 오일_1,비욘드 미스트_0,비욘드 미스트_1,러쉬 트와일라잇_0,러쉬 트와일라잇_1,더프트앤도프트 바디미스트_0,더프트앤도프트 바디미스트_1,바디홀릭 [화이트포션]_0,바디홀릭 [화이트포션]_1,빅토리아시크릿 아쿠아키스_0,빅토리아시크릿 아쿠아키스_1,바디판타지 스프레이_0,바디판타지 스프레이_1,바디홀릭 포션_0,바디홀릭 포션_1,더바디샵 미스트_0,더바디샵 미스트_1,록시땅 스플래쉬_0,록시땅 스플래쉬_1,프라도어 03_0,프라도어 03_1,라운드어라운드 [천일홍]_0,라운드어라운드 [천일홍]_1
23,25.80645,38.29787,12.0,17.02127,0.0,0.0,28.42105,37.07865,17.17171,48.8372,0.0,0.0,62.61682,81.60919,53.125,63.15789,21.27659,53.2967,47.74774,22.03389,0.0,22.22222,0.0,36.11111,0.0,0.0,59.61538,0.0,34.21052,0.0,78.49462,83.69565,0.0,0.0,62.96296,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.77777,59.375,50.0,0.0,23.52941,0.0,0.0,0.0,0.0,57.31707,100.0,62.80991,76.0,32.43243,26.41509,67.71929,54.17956,18.65284,46.875,0.0,0.0,21.62162,10.99476,0.0,0.0,0.0,21.73913,65.38461,51.72413,0.0,0.0,0.0,0.0,0.0,0.0
24,51.6129,44.68085,14.0,15.95744,53.84615,46.15384,52.63157,29.21348,9.59595,44.18604,0.0,0.0,33.64485,100.0,40.625,50.37593,24.11347,76.37362,42.34234,40.67796,64.28571,16.66666,60.86956,75.0,0.0,0.0,59.61538,0.0,18.42105,2.95857,69.89247,73.91304,0.0,0.0,92.59259,25.53191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,48.88888,28.125,51.13636,36.0,20.58823,0.0,0.0,0.0,0.0,56.09756,94.59459,50.41322,54.0,40.54054,26.41509,70.52631,65.01547,12.95336,42.96875,0.0,0.0,29.72972,10.4712,0.0,0.0,0.0,0.0,80.76923,50.0,0.0,0.0,0.0,0.0,0.0,0.0
25,87.09677,27.65957,40.0,24.46808,0.0,38.46153,35.78947,38.20224,11.11111,60.46511,0.0,45.45454,66.35514,93.10344,49.21875,40.6015,34.04255,64.83516,21.62162,29.9435,100.0,20.37037,52.17391,72.22222,0.0,0.0,64.42307,0.0,23.68421,5.91715,72.04301,55.43478,0.0,0.0,25.92592,82.97872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,68.88888,46.875,65.90909,32.0,7.84313,0.0,0.0,0.0,0.0,51.21951,98.64864,63.63636,50.0,32.43243,24.5283,74.03508,56.03715,13.98963,51.95312,0.0,0.0,21.62162,10.4712,0.0,0.0,0.0,39.13043,88.46153,62.06896,0.0,0.0,0.0,0.0,0.0,0.0
26,96.77419,48.93617,32.0,9.57446,0.0,0.0,38.94736,52.80898,8.58585,46.51162,62.5,63.63636,57.94392,87.35632,51.5625,48.1203,28.36879,85.71428,40.54054,20.33898,57.14285,20.37037,47.82608,91.66666,0.0,0.0,37.5,0.0,26.31578,0.0,62.36559,76.08695,0.0,0.0,48.14814,38.29787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.44444,59.375,42.04545,0.0,8.82352,0.0,0.0,0.0,0.0,62.19512,97.29729,57.02479,80.0,59.45945,26.41509,87.36842,68.73065,16.58031,51.95312,0.0,0.0,59.45945,12.56544,0.0,0.0,0.0,0.0,80.76923,74.13793,0.0,0.0,0.0,0.0,0.0,0.0
27,77.41935,34.04255,28.0,11.70212,0.0,0.0,35.78947,55.05617,10.10101,39.53488,0.0,0.0,54.2056,54.02298,53.125,47.36842,33.33333,69.23076,36.03603,22.59887,0.0,22.22222,30.43478,55.55555,0.0,0.0,43.26923,0.0,31.57894,0.0,46.23655,53.26086,0.0,0.0,0.0,40.42553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,44.44444,53.125,48.86363,0.0,13.72549,0.0,0.0,0.0,0.0,56.09756,91.89189,50.41322,44.0,43.24324,33.96226,100.0,53.86996,21.76165,53.51562,0.0,0.0,64.86486,8.37696,0.0,0.0,0.0,26.08695,69.23076,67.24137,0.0,0.0,0.0,0.0,0.0,0.0
28,64.51612,44.68085,32.0,15.95744,0.0,0.0,36.8421,48.3146,10.10101,41.86046,0.0,0.0,90.6542,67.81609,51.5625,48.87218,23.40425,52.74725,46.84684,26.55367,64.28571,20.37037,39.13043,97.22222,0.0,0.0,37.5,0.0,34.21052,0.0,61.29032,45.65217,0.0,0.0,55.55555,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.11111,43.75,84.0909,72.0,7.84313,0.0,0.0,0.0,0.0,40.2439,77.02702,71.07438,62.0,40.54054,24.5283,90.17543,54.17956,20.20725,51.17187,0.0,0.0,45.94594,10.4712,0.0,0.0,0.0,21.73913,57.6923,84.48275,0.0,0.0,0.0,0.0,0.0,0.0
29,80.64516,19.14893,36.0,29.78723,0.0,38.46153,77.89473,30.33707,9.0909,76.74418,0.0,0.0,85.04672,83.90804,51.5625,100.0,24.82269,48.35164,24.32432,18.07909,42.85714,44.44444,43.47826,47.22222,0.0,0.0,58.65384,0.0,28.94736,0.0,80.64516,54.34782,0.0,0.0,25.92592,23.40425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.55555,100.0,72.72727,52.0,6.86274,0.0,0.0,0.0,0.0,64.63414,71.62162,82.64462,56.0,67.56756,20.75471,84.91228,72.75541,12.95336,57.8125,0.0,0.0,56.75675,13.089,0.0,0.0,0.0,0.0,46.15384,51.72413,0.0,0.0,0.0,0.0,0.0,0.0
30,29.03225,57.4468,22.0,87.23404,0.0,0.0,32.63157,42.69662,16.16161,58.13953,0.0,0.0,88.78504,89.65517,56.25,60.90225,23.40425,71.97802,62.16216,25.42372,92.85714,38.88888,34.7826,30.55555,0.0,0.0,40.38461,0.0,55.26315,62.72189,98.92473,41.30434,0.0,0.0,44.44444,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,31.11111,50.0,73.86363,24.0,11.7647,0.0,0.0,0.0,0.0,62.19512,87.83783,70.24793,68.0,72.97297,20.75471,80.0,79.87616,12.43523,62.10937,0.0,0.0,37.83783,6.80628,0.0,0.0,0.0,0.0,46.15384,65.51724,0.0,0.0,0.0,0.0,0.0,0.0
31,48.38709,44.68085,34.0,26.59574,61.53846,0.0,34.73684,25.84269,17.67676,48.8372,62.5,0.0,52.33644,63.21839,38.28125,70.67669,24.82269,81.31868,27.02702,43.50282,42.85714,46.29629,39.13043,69.44444,0.0,0.0,42.30769,0.0,23.68421,100.0,87.09677,48.91304,0.0,0.0,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,66.66666,50.0,61.36363,20.0,9.80392,0.0,0.0,0.0,0.0,48.78048,63.51351,45.45454,34.0,51.35135,22.6415,73.33333,62.53869,13.4715,49.21875,0.0,0.0,48.64864,12.56544,0.0,0.0,0.0,21.73913,42.30769,31.03448,0.0,0.0,0.0,0.0,0.0,0.0
32,45.16129,29.78723,24.0,32.97872,0.0,0.0,53.68421,25.84269,7.57575,53.48837,62.5,0.0,79.43925,67.81609,50.78125,68.42105,56.02836,84.61538,59.45945,49.71751,50.0,44.44444,21.73913,80.55555,0.0,0.0,40.38461,0.0,39.47368,38.46153,79.56989,46.73913,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,51.11111,15.625,63.63636,44.0,14.70588,0.0,0.0,0.0,0.0,48.78048,55.4054,54.54545,66.0,37.83783,20.75471,74.03508,69.65944,12.95336,62.5,0.0,0.0,32.43243,6.80628,0.0,0.0,0.0,43.47826,57.6923,43.10344,0.0,0.0,0.0,0.0,0.0,0.0
