,베르사체 오드뚜왈렛_0,베르사체 오드뚜왈렛_1,버버리 오드트왈렛_0,버버리 오드트왈렛_1,구찌 오드뚜왈렛_0,구찌 오드뚜왈렛_1,바이레도 퍼퓸_0,바이레도 퍼퓸_1,겐조 오드뚜왈렛_0,겐조 오드뚜왈렛_1,겐조 퍼퓸_0,겐조 퍼퓸_1,우드윅 체리_0,우드윅 체리_1,허브타임 방향제-레드프룻_0,허브타임 방향제-레드프룻_1,멈칫 솝]_0,멈칫 솝]_1,더블유드레스룸 코튼_0,더블유드레스룸 코튼_1,우드윅 린넨_0,우드윅 린넨_1,샤프란 클린코튼향_0,샤프란 클린코튼향_1,양키캔들 [블랙체리]_0,양키캔들 [블랙체리]_1,양키캔들 바하마브리즈_0,양키캔들 바하마브리즈_1,이니스프리 벚꽃_0,이니스프리 벚꽃_1,양키캔들 라벤더_0,양키캔들 라벤더_1,이니스프리 작약_0,이니스프리 작약_1,샤프란 연꽃_0,샤프란 연꽃_1,러비더비 로제_0,러비더비 로제_1,양키캔들 비치워크_0,양키캔들 비치워크_1,샤프란 그레이프향_0,샤프란 그레이프향_1,양키캔들 쟈스민_0,양키캔들 쟈스민_1,조말론 디퓨저_0,조말론 디퓨저_1,이니스프리 삼나무_0,이니스프리 삼나무_1,이니스프리 한란_0,이니스프리 한란_1,포레오 2_0,포레오 2_1,클라리소닉 미아2_0,클라리소닉 미아2_1,메이크온 인핸서_0,메이크온 인핸서_1,클라리소닉 브러쉬_0,클라리소닉 브러쉬_1,클라리소닉 프로파일_0,클라리소닉 프로파일_1,프라엘 BWJ1_0,프라엘 BWJ1_1,메르비 피부관리기_0,메르비 피부관리기_1,뉴스킨 루미스파_0,뉴스킨 루미스파_1,클라리소닉 헤드_0,클라리소닉 헤드_1,클렌슈어 마사지기_0,클렌슈어 마사지기_1,프라엘 부스터_0,프라엘 부스터_1,필립스 제모기_0,필립스 제모기_1,누페이스 트리니티_0,누페이스 트리니티_1,클렌슈어 클렌징기_0,클렌슈어 클렌징기_1,클라리소닉 아리아_0,클라리소닉 아리아_1
47,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94339,17.24137,0.0,0.0,0.0,0.0,62.5,58.44155,8.04547,12.90322,61.53846,67.85714,0.0,0.0,0.0,0.0,38.88888,65.85365,70.625,51.38888,0.0,0.0,0.0,0.0,75.76271,75.72463,0.0,73.68421,33.33333,13.28413,0.0,0.0,45.16129,21.62162,20.37037,0.0,66.50943,63.5514,0.0,0.0,0.0,60.0,0.0,0.0,48.76712,39.96366,0.0,0.0,0.0,26.0,66.66666,0.0,35.22458,70.56694,18.29484,14.28571,0.0,0.0,44.56521,20.30075
48,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41509,24.13793,0.0,0.0,0.0,0.0,66.66666,61.03896,3.49803,15.7258,46.15384,85.71428,100.0,0.0,0.0,0.0,30.55555,68.29268,62.5,50.0,0.0,0.0,0.0,0.0,69.8305,69.38405,0.0,31.57894,32.12121,13.28413,0.0,0.0,29.03225,32.43243,37.03703,0.0,75.94339,78.50467,50.0,0.0,0.0,60.0,0.0,0.0,43.21917,35.51316,0.0,0.0,0.0,0.0,91.66666,17.94871,19.85815,64.41495,21.84724,89.46135,0.0,0.0,52.17391,7.51879
49,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.47169,41.37931,0.0,0.0,0.0,0.0,56.94444,74.02597,3.6292,9.67741,35.89743,78.57142,75.0,0.0,0.0,0.0,41.66666,43.90243,52.5,37.5,0.0,0.0,0.0,0.0,60.0,56.52173,0.0,31.57894,36.96969,12.17712,0.0,0.0,80.64516,62.16216,25.92592,0.0,61.32075,93.92523,41.66666,0.0,0.0,50.0,0.0,0.0,40.06849,36.42143,71.42857,0.0,0.0,0.0,41.66666,41.02564,30.26004,56.45355,53.10834,32.0843,0.0,21.73913,77.17391,7.51879
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.49056,31.03448,0.0,0.0,0.0,0.0,44.44444,64.93506,2.27372,16.93548,28.20512,60.71428,0.0,0.0,0.0,0.0,19.44444,39.02439,65.0,33.33333,0.0,0.0,0.0,0.0,76.94915,51.81159,13.15789,0.0,31.51515,14.76014,0.0,0.0,29.03225,35.13513,35.18518,0.0,62.73584,79.90654,0.0,0.0,0.0,60.0,0.0,0.0,37.39726,46.68483,0.0,0.0,0.0,0.0,36.11111,15.38461,39.95271,62.72617,84.9023,25.99531,0.0,0.0,63.04347,12.03007
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.37735,0.0,0.0,0.0,0.0,0.0,48.61111,77.92207,2.31744,14.91935,64.10256,53.57142,87.5,0.0,0.0,0.0,30.55555,58.53658,58.125,48.61111,0.0,0.0,0.0,0.0,71.8644,57.24637,0.0,94.73684,32.12121,19.92619,0.0,0.0,29.03225,83.78378,44.44444,0.0,51.41509,78.97196,0.0,0.0,0.0,0.0,0.0,0.0,35.20547,49.04632,0.0,0.0,0.0,0.0,52.77777,20.51282,30.96926,55.12665,100.0,23.88758,0.0,21.73913,44.56521,8.27067
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,37.93103,0.0,0.0,0.0,0.0,54.16666,53.24675,2.84215,14.51612,58.97435,64.28571,75.0,0.0,0.0,0.0,38.88888,65.85365,60.0,19.44444,0.0,0.0,0.0,0.0,74.40677,79.52898,15.78947,31.57894,40.0,18.81918,0.0,0.0,41.93548,56.75675,35.18518,0.0,50.0,62.14953,0.0,0.0,0.0,0.0,100.0,0.0,33.49315,44.41416,0.0,0.0,0.0,0.0,58.33333,15.38461,31.67848,52.95536,79.21847,17.79859,0.0,0.0,59.7826,12.03007
53,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41509,58.62068,0.0,0.0,0.0,0.0,33.33333,55.84415,3.32313,7.25806,46.15384,71.42857,87.5,0.0,0.0,0.0,25.0,41.46341,41.25,41.66666,0.0,0.0,0.0,0.0,74.91525,84.05797,21.05263,84.21052,21.21212,19.18819,0.0,0.0,45.16129,29.72972,31.48148,0.0,72.16981,57.47663,0.0,0.0,0.0,0.0,26.92307,0.0,36.9863,40.59945,0.0,0.0,0.0,0.0,66.66666,15.38461,27.18676,72.61761,59.14742,16.62763,0.0,39.13043,42.3913,15.03759
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41509,31.03448,0.0,0.0,0.0,0.0,93.05555,67.53246,2.9296,16.53225,64.10256,42.85714,0.0,0.0,0.0,0.0,30.55555,75.60975,55.0,52.77777,0.0,0.0,0.0,0.0,62.88135,70.47101,15.78947,63.15789,33.33333,16.60516,0.0,0.0,32.25806,27.02702,35.18518,0.0,60.84905,80.84112,0.0,0.0,0.0,0.0,61.53846,0.0,40.54794,37.14804,71.42857,100.0,0.0,0.0,80.55555,30.76923,27.18676,57.78045,46.18117,18.03278,0.0,0.0,78.26086,19.54887
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39622,31.03448,0.0,0.0,0.0,0.0,65.27777,48.05194,1.83646,20.56451,38.46153,100.0,0.0,0.0,0.0,0.0,27.77777,92.68292,46.25,37.5,0.0,0.0,0.0,0.0,57.45762,58.87681,0.0,78.94736,35.75757,9.96309,0.0,0.0,38.70967,48.64864,44.44444,0.0,61.79245,90.6542,0.0,0.0,0.0,0.0,0.0,0.0,34.79452,36.3306,0.0,0.0,0.0,0.0,16.66666,28.20512,26.95035,61.03739,47.60213,15.45667,0.0,0.0,51.08695,10.52631
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39622,51.72413,0.0,0.0,0.0,0.0,50.0,61.03896,2.57979,18.14516,38.46153,85.71428,0.0,0.0,0.0,0.0,66.66666,51.21951,45.0,43.05555,0.0,0.0,0.0,0.0,59.66101,69.74637,0.0,31.57894,49.69696,14.39114,0.0,0.0,35.48387,32.43243,31.48148,0.0,65.56603,82.24299,0.0,0.0,0.0,0.0,0.0,0.0,36.23287,38.23796,0.0,0.0,0.0,0.0,41.66666,15.38461,33.56973,63.20868,33.39253,15.45667,0.0,0.0,53.26086,15.78947
57,0.0,70.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94339,34.48275,0.0,0.0,0.0,0.0,48.61111,41.55844,4.15391,29.03225,46.15384,92.85714,0.0,0.0,0.0,0.0,38.88888,58.53658,55.625,43.05555,0.0,0.0,0.0,0.0,62.54237,90.03623,0.0,63.15789,40.0,14.02214,0.0,0.0,48.38709,78.37837,11.11111,0.0,51.41509,85.9813,0.0,0.0,0.0,0.0,0.0,0.0,31.16438,48.77384,0.0,0.0,0.0,0.0,19.44444,20.51282,39.71631,56.69481,30.72824,20.14051,0.0,0.0,45.65217,16.54135
58,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.13207,44.82758,0.0,0.0,0.0,0.0,34.72222,75.32467,2.88587,18.95161,74.35897,89.28571,0.0,0.0,0.0,0.0,38.88888,73.17073,46.875,22.22222,0.0,0.0,0.0,0.0,65.08474,74.81884,18.42105,47.36842,34.54545,9.59409,0.0,0.0,32.25806,75.67567,24.07407,0.0,45.28301,78.03738,0.0,0.0,0.0,50.0,0.0,0.0,30.54794,48.77384,0.0,0.0,0.0,0.0,25.0,0.0,30.96926,55.48854,35.34635,18.50117,0.0,0.0,34.7826,23.30827
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.37735,37.93103,0.0,0.0,0.0,0.0,69.44444,63.63636,2.22999,15.7258,51.28205,32.14285,0.0,0.0,0.0,0.0,30.55555,90.2439,49.375,48.61111,0.0,0.0,0.0,0.0,74.06779,70.47101,18.42105,0.0,27.27272,16.60516,0.0,0.0,54.8387,32.43243,22.22222,0.0,45.28301,83.64485,0.0,0.0,0.0,50.0,0.0,0.0,36.43835,47.41144,0.0,0.0,0.0,10.0,25.0,0.0,37.11583,45.5971,37.83303,18.26697,0.0,0.0,46.73913,100.0
60,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.37735,41.37931,0.0,0.0,0.0,0.0,55.55555,41.55844,2.53607,7.66129,97.43589,46.42857,0.0,0.0,0.0,0.0,55.55555,48.78048,53.125,45.83333,0.0,0.0,0.0,0.0,66.77966,73.91304,15.78947,52.63157,38.18181,7.38007,0.0,0.0,35.48387,35.13513,22.22222,0.0,75.94339,73.83177,0.0,0.0,0.0,50.0,0.0,0.0,33.49315,49.3188,0.0,0.0,0.0,0.0,30.55555,17.94871,30.96926,58.8661,34.81349,16.62763,0.0,0.0,59.7826,49.62406
61,934269,2860,934269,179590,2708,440,6364,4925,934269,130,1086,114478,388,22809,21536,130489,20708,1103,208928,2025,14,146782,79902,290616,22809,4465,25090,22809,59615,12801,5676,22809,415983,203136,5903,290616,1914,102795,1301,25090,641944,290616,1530,2063,13364,5680,1091,416,11976,1181093,55850,49092,58,16989,3237,460215,2875,61059,5901,45576,613885,155794,120416,46167,14855,25016,2875,45574,5275,14342,97110,613885,331345,43973,10984,6960,14342,2575,64094,859959
