,뷰닉스 (sup-22)_0,뷰닉스 (sup-22)_1,다이소 4WAY네일버퍼(오목형)_0,다이소 4WAY네일버퍼(오목형)_1,다이소 파일_0,다이소 파일_1,위드샨 젤램프_0,위드샨 젤램프_1,다이소 네일푸셔&파일_0,다이소 네일푸셔&파일_1,위드샨 핀셋(무광블랙)_0,위드샨 핀셋(무광블랙)_1,위드샨 꾹꾹이_0,위드샨 꾹꾹이_1,이니스프리 보드_0,이니스프리 보드_1,이니스프리 젤램프_0,이니스프리 젤램프_1,젤라또팩토리 젤램프_0,젤라또팩토리 젤램프_1,더샘 푸셔_0,더샘 푸셔_1,필리밀리 버퍼_0,필리밀리 버퍼_1,스킨푸드 볼_0,스킨푸드 볼_1,필리밀리 (소)_0,필리밀리 (소)_1,네이처리퍼블릭 보드_0,네이처리퍼블릭 보드_1,위드샨 램프_0,위드샨 램프_1,미샤 푸셔_0,미샤 푸셔_1,시크릿데이 오버나이트_0,시크릿데이 오버나이트_1,화이트 오버나이트_0,화이트 오버나이트_1,한나 중형_0,한나 중형_1,좋은느낌오버나이트_0,좋은느낌오버나이트_1,암웨이 대형_0,암웨이 대형_1,미샤 여성청결제_0,미샤 여성청결제_1,플레이텍스 [수퍼]_0,플레이텍스 [수퍼]_1,프리메라 티슈_0,프리메라 티슈_1,프리메라 후리_0,프리메라 후리_1,질경이 중형_0,질경이 중형_1,애터미 대형_0,애터미 대형_1,쏘피 슈퍼롱_0,쏘피 슈퍼롱_1,유리아쥬 진-8_0,유리아쥬 진-8_1,위스퍼 대형_0,위스퍼 대형_1,애터미 중형_0,애터미 중형_1,데이위드 워시_0,데이위드 워시_1,아로마티카 여성청결제_0,아로마티카 여성청결제_1,사임당화장품 청결제_0,사임당화장품 청결제_1,올리브영 스팟패치_0,올리브영 스팟패치_1,이지덤뷰티 뷰티_0,이지덤뷰티 뷰티_1,더마리프트 패치_0,더마리프트 패치_1,엘라밴드 도트_0,엘라밴드 도트_1,3M 넥스케어™ 케어_0,3M 넥스케어™ 케어_1
17,0.0,0.0,0.0,0.0,28.30188,44.44444,100.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,80.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.46296,78.21229,72.0,86.15384,0.0,0.0,91.03641,65.2968,0.0,0.0,13.51351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,31.8644,0.0,0.0,0.0,36.92307,79.62962,0.0,0.0,42.85714,54.54545,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,37.10691,69.84126,76.59574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.44444,62.5,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.09259,69.27374,76.0,76.92307,0.0,0.0,100.0,72.14611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,63.63636,0.0,0.0,0.0,0.0,35.9322,0.0,0.0,100.0,47.6923,64.81481,0.0,0.0,64.28571,45.45454,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,37.73584,71.42857,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.88888,45.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75925,52.51396,62.0,100.0,0.0,0.0,91.03641,57.53424,0.0,0.0,24.32432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,38.30508,0.0,0.0,0.0,64.61538,61.11111,0.0,0.0,71.42857,50.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,40.25157,55.55555,87.23404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.77777,35.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,20.83333,67.0391,89.0,84.61538,0.0,0.0,92.43697,48.40182,0.0,0.0,29.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.85714,50.0,0.0,0.0,0.0,0.0,34.57627,0.0,0.0,0.0,53.84615,66.66666,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,40.8805,65.07936,93.61702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,35.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,63.12849,79.0,81.53846,0.0,0.0,83.47338,47.48858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42857,54.54545,0.0,0.0,0.0,0.0,23.38983,0.0,0.0,0.0,46.15384,62.96296,0.0,0.0,0.0,81.81818,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,41.50943,71.42857,82.97872,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,45.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,33.79629,50.83798,74.0,80.76923,0.0,0.0,81.23249,62.10045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,45.45454,0.0,0.0,0.0,0.0,35.59322,0.0,0.0,0.0,60.0,79.62962,0.0,0.0,50.0,45.45454,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,30.81761,46.03174,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33333,67.5,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.37037,57.54189,86.0,83.84615,0.0,0.0,96.63865,58.44748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,95.45454,0.0,0.0,0.0,0.0,36.61016,0.0,0.0,0.0,67.6923,53.7037,0.0,0.0,0.0,36.36363,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,28.93081,39.68253,51.06382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.22222,100.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,70.39106,86.0,96.92307,0.0,0.0,93.27731,50.22831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,34.23728,0.0,0.0,0.0,30.76923,64.81481,0.0,0.0,64.28571,31.81818,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,29.55974,53.96825,38.29787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.55555,72.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57407,34.07821,63.0,77.6923,0.0,0.0,71.70868,47.03196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,22.72727,0.0,0.0,0.0,0.0,27.79661,0.0,0.0,0.0,53.84615,68.51851,0.0,0.0,0.0,27.27272,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,37.10691,57.14285,34.04255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.55555,57.5,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62962,50.27932,81.99999,83.07692,0.0,0.0,86.83473,49.31506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,63.63636,0.0,0.0,0.0,0.0,26.10169,0.0,0.0,0.0,73.84615,20.37037,0.0,0.0,0.0,68.18181,0.0,0.0,0.0,0.0
