,시드물 토닉_0,시드물 토닉_1,아베다 리바이탈라이저_0,아베다 리바이탈라이저_1,아로마티카 인핸서_0,아로마티카 인핸서_1,라우쉬 팅크처_0,라우쉬 팅크처_1,비욘드 토닉_0,비욘드 토닉_1,리클리 토닉)_0,리클리 토닉)_1,닥터포헤어 토닉_0,닥터포헤어 토닉_1,다슈 헤어토닉_0,다슈 헤어토닉_1,힐링버드 향]_0,힐링버드 향]_1,프리메라 토닉_0,프리메라 토닉_1,달리프 스프레이_0,달리프 스프레이_1,닥터포헤어 이펙터_0,닥터포헤어 이펙터_1,어헤즈 토닉_0,어헤즈 토닉_1,바티스트 [오리지널]_0,바티스트 [오리지널]_1,바티스트 후레쉬_0,바티스트 후레쉬_1,클로란 샴푸_0,클로란 샴푸_1,바티스트 체리_0,바티스트 체리_1,코랩 프루티_0,코랩 프루티_1,코랩 프레쉬_0,코랩 프레쉬_1,바티스트 볼륨_0,바티스트 볼륨_1,더마슨 파우더_0,더마슨 파우더_1,바티스트 플로랄_0,바티스트 플로랄_1,네이처리퍼블릭 샴푸_0,네이처리퍼블릭 샴푸_1,코레스 헤어_0,코레스 헤어_1,낫유어마더스 샴푸_0,모로칸오일 샴푸_0,모로칸오일 샴푸_1,헤어커투어 핑크_0,헤어커투어 핑크_1,코랩 엑소틱_0,코랩 엑소틱_1,클로란 드라이샴푸_0,클로란 드라이샴푸_1,프리맨 샴푸_0,프리맨 샴푸_1,퓨어베스 스위트_0,퓨어베스 스위트_1,모로칸오일 오리지날_0,모로칸오일 오리지날_1,시드물 테라피_0,시드물 테라피_1,모로칸오일 트리트먼트_0,모로칸오일 트리트먼트_1,아모스프로페셔널 헤어BB크림_0,아모스프로페셔널 헤어BB크림_1,아모스프로페셔널 2X_0,아모스프로페셔널 2X_1,디올 미스트_0,디올 미스트_1,로레알 파리 리치_0,로레알 파리 리치_1,로레알 파리 프로엑스_0,로레알 파리 프로엑스_1,아모스프로페셔널 컨디셔너_0,아모스프로페셔널 컨디셔너_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,86.11111,64.70588,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.06849,66.43835,0.0,0.0,0.0,0.0,63.24324,39.78494,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,15.70881,0.0,0.0,0.0,31.81818,55.9322,0.0,0.0,0.0,0.0,34.24657,9.93377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8946,59.6685,0.0,0.0,0.0,0.0,35.29411,56.0,0.0,0.0,0.0,0.0,0.0,83.33333
11,0.0,0.0,0.0,75.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,13.23529,63.88888,72.05882,39.74358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.58904,65.06849,0.0,0.0,0.0,0.0,91.35135,51.97132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83908,34.09961,0.0,0.0,0.0,31.81818,77.9661,0.0,0.0,0.0,0.0,45.20547,21.19205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6658,72.92817,0.0,0.0,0.0,0.0,44.11764,20.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,19.11764,91.66666,80.88235,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9041,59.58904,0.0,0.0,0.0,0.0,75.67567,38.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15708,40.22988,0.0,0.0,0.0,47.72727,59.32203,0.0,0.0,0.0,0.0,45.20547,15.23178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.97686,69.06077,0.0,0.0,0.0,0.0,32.35294,28.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,100.0,72.72727,57.14285,0.0,71.42857,0.0,0.0,0.0,0.0,33.82352,91.66666,55.88235,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.42465,58.9041,0.0,0.0,0.0,0.0,77.83783,37.6344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.90421,94.25287,0.0,0.0,0.0,36.36363,49.15254,0.0,0.0,0.0,0.0,43.83561,19.20529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.43958,53.59116,0.0,0.0,0.0,0.0,17.64705,64.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,54.54545,42.85714,0.0,0.0,100.0,0.0,0.0,0.0,29.41176,94.44444,66.17647,29.48717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.43835,53.42465,0.0,0.0,0.0,0.0,76.21621,51.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,93.86973,0.0,0.0,0.0,13.63636,54.23728,0.0,0.0,0.0,0.0,60.27397,20.5298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.69665,57.45856,0.0,0.0,0.0,0.0,23.52941,64.0,0.0,0.0,0.0,0.0,0.0,100.0
15,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,100.0,94.11764,47.43589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.02739,66.43835,0.0,0.0,0.0,0.0,57.83783,39.42652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,100.0,0.0,0.0,0.0,40.90909,42.37288,0.0,0.0,0.0,0.0,58.9041,14.56953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.01028,68.50828,0.0,0.0,0.0,0.0,44.11764,88.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,41.66666,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17647,69.44444,41.17647,60.25641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57534,76.02739,0.0,0.0,0.0,0.0,60.0,51.97132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.36015,92.7203,0.0,0.0,0.0,31.81818,45.76271,0.0,0.0,0.0,0.0,73.9726,5.96026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86889,49.17127,0.0,0.0,0.0,0.0,44.11764,60.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,27.94117,55.55555,35.29411,41.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.26027,46.57534,0.0,0.0,0.0,0.0,70.81081,58.06451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.60536,72.41379,0.0,0.0,0.0,31.81818,54.23728,0.0,0.0,0.0,0.0,52.05479,9.27152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.01028,53.59116,0.0,0.0,0.0,0.0,29.41176,64.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,33.33333,38.23529,56.41025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.30136,47.26027,0.0,0.0,0.0,0.0,65.94594,47.31182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09195,97.318,0.0,0.0,0.0,29.54545,49.15254,0.0,0.0,0.0,0.0,56.16438,15.89403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8946,64.64088,0.0,0.0,0.0,0.0,35.29411,80.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.11764,47.22222,39.70588,58.97435,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,37.67123,36.30136,0.0,0.0,0.0,0.0,71.35135,32.97491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.60536,86.59003,0.0,0.0,0.0,59.0909,59.32203,0.0,0.0,0.0,0.0,30.13698,18.54304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.09768,61.87845,0.0,0.0,0.0,0.0,32.35294,100.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,41.66666,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.82352,47.22222,26.47058,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.68493,37.67123,0.0,0.0,0.0,0.0,85.94594,38.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45593,73.94636,0.0,0.0,0.0,13.63636,61.01694,0.0,0.0,0.0,0.0,63.01369,24.50331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.95629,67.40331,0.0,0.0,0.0,0.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,52.77777,63.23529,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.53424,50.68493,0.0,0.0,0.0,0.0,71.89189,34.76702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.32567,83.5249,0.0,0.0,0.0,43.18181,37.28813,0.0,0.0,0.0,0.0,31.50684,52.31788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.473,66.29834,0.0,0.0,0.0,0.0,50.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,81.81818,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,50.0,47.05882,32.05128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.41095,57.53424,0.0,0.0,0.0,0.0,65.94594,48.02867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30651,70.11494,0.0,0.0,0.0,29.54545,88.13559,0.0,0.0,0.0,0.0,53.42465,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.52956,66.85082,0.0,0.0,0.0,0.0,23.52941,44.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,100.0,75.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,27.94117,63.88888,39.70588,52.5641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04109,40.41095,0.0,0.0,0.0,0.0,60.0,50.53763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92337,78.16091,0.0,0.0,0.0,34.0909,72.88135,0.0,0.0,0.0,0.0,63.01369,56.95364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.41645,56.90607,0.0,0.0,0.0,0.0,35.29411,76.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,88.88888,50.0,24.35897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04109,39.04109,0.0,0.0,0.0,0.0,70.81081,49.46236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,95.01915,0.0,0.0,0.0,31.81818,61.01694,0.0,0.0,0.0,0.0,47.9452,44.37086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.10025,52.48618,0.0,0.0,0.0,0.0,29.41176,56.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,50.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58823,27.77777,20.58823,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.31506,39.04109,0.0,0.0,0.0,0.0,72.43243,75.26881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54022,90.03831,0.0,0.0,0.0,68.18181,38.98305,0.0,0.0,0.0,0.0,63.01369,46.35761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.89974,50.27624,0.0,0.0,0.0,0.0,58.82352,40.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,41.66666,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,30.88235,63.88888,22.05882,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.41095,49.31506,0.0,0.0,0.0,0.0,62.7027,63.79928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111,73.94636,0.0,0.0,0.0,31.81818,54.23728,0.0,0.0,0.0,0.0,46.57534,42.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75578,60.22099,0.0,0.0,0.0,0.0,20.58823,24.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,100.0,54.54545,0.0,0.0,0.0,0.0,0.0,38.23529,30.55555,35.29411,43.58974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57534,40.41095,0.0,0.0,0.0,0.0,60.0,46.59498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.90421,56.32183,0.0,0.0,0.0,63.63636,72.88135,0.0,0.0,0.0,0.0,43.83561,26.49006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.58611,72.37569,0.0,0.0,0.0,0.0,23.52941,68.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,45.45454,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,22.22222,29.41176,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.86301,46.57534,0.0,0.0,0.0,0.0,62.16216,43.01075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28735,61.68582,0.0,0.0,0.0,22.72727,38.98305,0.0,0.0,0.0,0.0,76.71232,28.47682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.93059,55.8011,0.0,0.0,0.0,0.0,85.29411,80.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,32.35294,63.88888,45.58823,39.74358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.84931,69.86301,0.0,0.0,0.0,0.0,41.62162,64.87455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9885,46.74329,0.0,0.0,0.0,47.72727,79.66101,0.0,0.0,0.0,0.0,57.53424,33.77483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.87403,65.74585,0.0,0.0,0.0,0.0,55.88235,32.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94117,80.55555,54.41176,39.74358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.09589,56.84931,0.0,0.0,0.0,0.0,50.81081,89.60573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30651,49.04214,0.0,0.0,0.0,34.0909,86.44067,0.0,0.0,0.0,0.0,63.01369,45.69536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.89717,57.45856,0.0,0.0,0.0,0.0,35.29411,40.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,41.66666,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,41.17647,52.77777,22.05882,55.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.30136,41.09589,0.0,0.0,0.0,0.0,51.89189,83.87096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.43678,47.12643,0.0,0.0,0.0,11.36363,69.49152,0.0,0.0,0.0,0.0,68.49315,45.03311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58354,56.35359,0.0,0.0,0.0,0.0,70.58823,92.0,0.0,0.0,0.0,0.0,0.0,0.0
