,페리페라 컨실러_0,페리페라 컨실러_1,웨이크메이크 컨실러_0,웨이크메이크 컨실러_1,에스티 로더 컨실러_0,에스티 로더 컨실러_1,홀리카홀리카 [SPF30/PA++]_0,홀리카홀리카 [SPF30/PA++]_1,클리오 컨실러_0,클리오 컨실러_1,더샘 [SPF30/PA++]_0,더샘 [SPF30/PA++]_1,에스쁘아 롱웨어_0,에스쁘아 롱웨어_1,메이크업포에버 커버_0,메이크업포에버 커버_1,이니스프리 커버]_0,이니스프리 커버]_1,로라메르시에 카뮤플라지_0,로라메르시에 카뮤플라지_1,맥 컨실러_0,맥 컨실러_1,더샘 [SPF30+/PA++]_0,더샘 [SPF30+/PA++]_1,바비브라운 컨실러_0,바비브라운 컨실러_1,마루빌츠 크림_0,마루빌츠 크림_1,삐아 컨실러_0,삐아 컨실러_1,에뛰드 [오일볼륨]_0,에뛰드 [오일볼륨]_1,이니스프리 [SPF50+/PA+++]_0,이니스프리 [SPF50+/PA+++]_1,나스 [SPF35/PA+++]_0,나스 [SPF35/PA+++]_1,에뛰드 [하이드라]_0,에뛰드 [하이드라]_1,입생로랑 프라이머_0,입생로랑 프라이머_1,더샘 베이스_0,더샘 베이스_1,겔랑 베이스_0,겔랑 베이스_1,코드글로컬러 프라이머_0,코드글로컬러 프라이머_1,에뛰드 프라이머_0,에뛰드 프라이머_1,미샤 스킨밤_0,미샤 스킨밤_1,입생로랑 글로우_0,입생로랑 글로우_1,비디비치 [SPF30/PA++]_0,비디비치 [SPF30/PA++]_1,라네즈 [SPF22/PA++]_0,라네즈 [SPF22/PA++]_1,조르지오아르마니 프라이머_0,조르지오아르마니 프라이머_1,이니스프리 프라이머_0,이니스프리 프라이머_1,보나메두사 딜리트_0,보나메두사 딜리트_1,맥 [SPF45/PA++++]_0,맥 [SPF45/PA++++]_1,미샤 토핑]_0,미샤 토핑]_1,스틸라 팔레트_0,스틸라 팔레트_1,베네피트 포어페셔널_0,베네피트 포어페셔널_1,피몽쉐 밤_0,피몽쉐 밤_1,미샤 비비_0,미샤 비비_1,토니모리 [SPF46/PA++]_0,토니모리 [SPF46/PA++]_1,미샤 42/PA+++]_0,미샤 42/PA+++]_1,미바 [SPF50+/PA+++]_0,미바 [SPF50+/PA+++]_1
13,33.05785,67.76859,40.26258,53.89105,56.60377,34.375,0.0,0.0,41.94831,71.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.49079,91.41104,76.59574,0.0,0.0,46.95121,61.45833,0.0,0.0,56.36363,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03448,50.56179,27.5,41.17647,45.83333,35.1145,55.50847,39.86486,12.61261,9.009,26.12903,33.33333,0.0,50.0,0.0,0.0,0.0,0.0,54.38596,27.42616,26.83706,51.49051,0.0,0.0,0.0,0.0,0.0,0.0,65.26315,48.0,46.89419,42.32081,0.0,0.0,8.79541,9.08221,0.0,0.0,0.0,0.0,0.0,0.0
14,23.55371,59.91735,32.1663,52.72373,32.07547,50.0,0.0,0.0,55.666,62.32558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08333,50.92024,76.68711,61.70212,0.0,0.0,50.0,53.125,0.0,0.0,67.27272,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35632,51.68539,27.5,41.17647,70.0,40.45801,69.06779,51.35135,12.61261,25.22522,16.12903,32.39436,0.0,0.0,0.0,0.0,0.0,0.0,50.87719,11.3924,24.60063,49.05149,0.0,0.0,0.0,0.0,0.0,0.0,37.89473,36.0,37.54266,59.04436,0.0,0.0,6.69216,12.6195,0.0,0.0,0.0,0.0,0.0,0.0
15,40.08264,87.6033,45.2954,55.83657,45.28301,68.75,0.0,0.0,55.666,74.88372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,46.01226,74.23312,70.21276,0.0,0.0,69.51219,68.75,0.0,0.0,61.81818,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,65.16853,32.5,29.41176,67.5,54.19847,41.10169,40.54054,13.51351,18.01801,14.8387,29.57746,50.0,0.0,0.0,0.0,0.0,0.0,63.15789,8.43881,23.32268,46.07046,0.0,0.0,0.0,0.0,0.0,0.0,77.89473,46.66666,38.36177,59.72696,0.0,0.0,9.36902,15.20076,0.0,0.0,0.0,0.0,0.0,0.0
16,35.95041,69.83471,42.66958,55.83657,50.94339,31.25,0.0,0.0,46.71968,72.09302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,54.60122,97.54601,88.29787,0.0,0.0,50.0,83.33333,0.0,0.0,52.72727,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96551,65.16853,45.0,0.0,58.33333,33.58778,28.81355,46.62162,16.21621,14.41441,23.87096,34.74178,0.0,0.0,0.0,0.0,0.0,0.0,70.17543,18.14345,20.76677,39.56639,0.0,0.0,0.0,0.0,0.0,0.0,78.94736,25.33333,37.81569,60.06825,0.0,0.0,6.69216,13.57552,0.0,0.0,0.0,0.0,0.0,0.0
17,39.25619,54.95867,33.47921,53.50194,22.6415,62.5,0.0,0.0,42.94234,72.09302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91666,41.71779,89.57055,68.0851,0.0,0.0,64.63414,73.95833,0.0,0.0,67.27272,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63218,46.06741,25.0,58.82352,63.33333,38.93129,41.52542,35.13513,9.009,16.21621,50.96774,30.98591,0.0,0.0,0.0,0.0,0.0,0.0,38.59649,21.09704,21.08626,46.61246,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.33333,39.04436,52.21843,0.0,0.0,6.50095,23.13575,0.0,0.0,0.0,0.0,0.0,0.0
18,30.99173,59.0909,41.57549,55.44747,24.5283,89.0625,0.0,0.0,66.00397,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,55.82822,92.02453,58.51063,0.0,0.0,46.34146,65.625,0.0,0.0,60.0,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11494,41.57303,20.0,0.0,53.33333,36.64122,100.0,37.83783,25.22522,13.51351,31.29032,26.29107,0.0,58.33333,0.0,0.0,0.0,0.0,77.19298,11.3924,23.32268,46.61246,0.0,0.0,0.0,0.0,0.0,0.0,55.78947,65.33333,44.16382,47.78156,0.0,0.0,7.83938,22.27533,0.0,0.0,0.0,0.0,0.0,0.0
19,33.88429,47.10743,41.13785,49.80544,49.0566,57.8125,0.0,0.0,58.25049,59.53488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,46.62576,71.77914,85.10638,0.0,0.0,59.75609,56.25,0.0,0.0,58.18181,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5862,50.56179,27.5,0.0,55.83333,39.69465,82.62711,32.43243,18.01801,8.1081,30.32258,20.65727,0.0,0.0,0.0,0.0,0.0,0.0,71.92982,16.45569,22.04472,49.86449,0.0,0.0,0.0,0.0,0.0,0.0,42.10526,48.0,50.17064,51.53583,0.0,0.0,7.93499,13.47992,0.0,0.0,0.0,0.0,0.0,0.0
20,40.90909,41.32231,37.41794,48.05447,39.62264,70.3125,0.0,0.0,45.52683,61.86046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08333,53.98773,60.12269,79.78723,0.0,0.0,60.9756,69.79166,0.0,0.0,70.90909,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42528,56.17977,27.5,64.70588,47.5,55.72519,68.64406,38.51351,14.41441,20.72072,34.8387,29.57746,58.33333,58.33333,0.0,0.0,0.0,0.0,98.24561,15.61181,23.96166,42.27642,0.0,0.0,0.0,0.0,0.0,0.0,53.68421,36.0,43.00341,53.92491,0.0,0.0,7.83938,31.07074,0.0,0.0,0.0,0.0,0.0,0.0
21,40.49586,33.88429,46.82713,48.63813,79.24528,51.5625,0.0,0.0,61.82902,63.25581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,49.69325,67.48466,67.02127,0.0,0.0,63.41463,63.54166,0.0,0.0,63.63636,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41379,42.69662,42.5,29.41176,44.16666,32.82442,75.0,38.51351,16.21621,11.71171,63.54838,27.69953,0.0,0.0,0.0,0.0,0.0,0.0,73.68421,12.65822,17.89137,49.32249,0.0,0.0,0.0,0.0,0.0,0.0,66.31578,65.33333,48.7372,100.0,0.0,0.0,9.08221,49.90439,0.0,0.0,0.0,0.0,0.0,0.0
22,48.3471,35.53719,44.63894,82.49027,24.5283,100.0,0.0,0.0,47.91252,71.16279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,58.2822,59.5092,65.95744,0.0,0.0,72.56097,61.45833,0.0,0.0,32.72727,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33333,60.67415,95.0,52.94117,66.66666,23.66412,83.8983,35.13513,13.51351,18.01801,43.2258,84.50704,58.33333,0.0,0.0,0.0,0.0,0.0,59.64912,15.61181,55.27156,40.6504,0.0,0.0,0.0,0.0,0.0,0.0,65.26315,41.33333,43.82252,49.82935,0.0,0.0,12.6195,65.48757,0.0,0.0,0.0,0.0,0.0,0.0
