,렌즈미 그레이_0,렌즈미 그레이_1,렌즈미 쵸코_0,렌즈미 쵸코_1,알콘 워터렌즈_0,알콘 워터렌즈_1,쿠퍼비전 바이오피니티_0,쿠퍼비전 바이오피니티_1,쿠퍼비전 원데이_0,쿠퍼비전 원데이_1,아큐브 난시용_0,아큐브 난시용_1,알콘 아쿠아_0,알콘 아쿠아_1,아큐브 모이스트_0,아큐브 모이스트_1,아큐브 비타_0,아큐브 비타_1,아큐브 오아시스_0,아큐브 오아시스_1,오렌즈 퍼스파인_0,오렌즈 퍼스파인_1,아큐브 원데이_0,아큐브 원데이_1,클리어랩 원데이_0,클리어랩 원데이_1,쿠퍼비전 토릭_0,쿠퍼비전 토릭_1,렌즈미 클리어_0,렌즈미 클리어_1,다비치렌즈 3days_0,다비치렌즈 3days_1,쿠퍼비전 아바이라_0,쿠퍼비전 아바이라_1,프레쉬콘 데일리_0,프레쉬콘 데일리_1,알콘 플러스_0,알콘 플러스_1,알콘 익스프레스_0,알콘 익스프레스_1,알콘 리플레니시_0,알콘 리플레니시_1,알콘 퓨어모이스트_0,알콘 퓨어모이스트_1,바슈롬 렌즈관리용액_0,바슈롬 렌즈관리용액_1,드림아이 드롭드림아이2_0,드림아이 드롭드림아이2_1,바슈롬 클리너_0,바슈롬 클리너_1,오렌즈 습윤액_0,오렌즈 습윤액_1,상아제약 식염수_0,상아제약 식염수_1,퓨어클 습윤액_0,퓨어클 습윤액_1,드림아이 용액_0,드림아이 용액_1,아큐브 솔루션_0,아큐브 솔루션_1,아이메디슨 용액_0,아이메디슨 용액_1,바슈롬 심플러스_0,바슈롬 심플러스_1,중외제약sol._0,중외제약sol._1,메니콘 프로젠트_0,메니콘 프로젠트_1,알콘 케어_0,알콘 케어_1,메니콘 플러스_0,메니콘 플러스_1,메디케어 멀티액_0,메디케어 멀티액_1,중외제약드롭_0,중외제약드롭_1,샤넬 빠르펭_0,샤넬 빠르펭_1,필로소피 EDT_0,필로소피 EDT_1
22,19.7183,54.0,0.0,0.0,34.7619,46.65523,84.29319,84.24821,63.76811,61.17647,0.0,21.56862,0.0,0.0,80.62015,54.45544,55.74324,5.75332,27.85046,66.98113,42.85714,100.0,73.83966,40.84507,44.44444,43.90243,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
23,25.35211,70.0,0.0,0.0,63.33333,53.00171,93.19371,71.36038,53.62318,47.05882,0.0,13.72549,0.0,0.0,72.86821,52.47524,59.12162,12.1539,30.56074,73.27044,51.42857,25.0,67.51054,71.83098,100.0,36.58536,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0
24,33.80281,76.0,0.0,0.0,59.5238,56.7753,83.24607,83.53221,57.97101,47.05882,0.0,16.99346,0.0,0.0,78.29457,61.38613,56.75675,5.98705,36.44859,70.75471,31.42857,17.34693,71.72995,70.42253,55.55555,31.70731,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0
25,38.02816,56.0,0.0,0.0,50.71428,51.28644,82.72251,89.26014,50.72463,76.47058,0.0,16.33986,0.0,0.0,75.19379,52.47524,77.02702,4.78245,40.18691,70.44025,57.14285,15.30612,83.12236,83.09859,62.22222,63.41463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,39.43661,74.0,0.0,0.0,49.7619,54.03087,81.15183,82.57756,53.62318,62.35294,0.0,16.33986,0.0,0.0,65.89147,53.46534,66.89189,22.95936,34.39252,76.41509,51.42857,26.53061,64.9789,63.38028,51.11111,41.46341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
27,40.84507,70.0,0.0,0.0,55.71428,43.56775,95.28795,67.3031,37.68115,50.58823,0.0,24.183,0.0,0.0,100.0,51.48514,62.83783,10.55375,34.95327,85.84905,31.42857,25.0,86.91983,57.74647,35.55555,58.53658,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.72727,0.0,0.0
28,50.70422,94.0,0.0,0.0,51.66666,38.0789,90.57591,75.65632,42.02898,60.0,0.0,18.30065,0.0,0.0,82.94573,50.49504,61.14864,11.18302,38.13084,83.01886,62.85714,26.53061,79.32489,39.43661,31.11111,26.82926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0
29,50.70422,74.0,0.0,0.0,45.47619,32.59005,100.0,77.80429,57.97101,55.29411,0.0,18.95424,0.0,0.0,86.8217,43.56435,63.51351,11.70442,34.29906,82.7044,71.42857,18.36734,78.05907,57.74647,40.0,36.58536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,0.0,0.0
30,47.88732,64.0,0.0,0.0,61.42857,48.88507,88.48167,81.62291,44.92753,41.17647,0.0,27.45098,0.0,0.0,86.04651,53.46534,47.97297,9.83459,30.93457,76.72955,88.57142,16.32653,74.68354,70.42253,42.22222,31.70731,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0
31,53.52112,81.99999,0.0,0.0,46.42857,49.0566,78.01047,69.68973,44.92753,42.35294,0.0,25.49019,0.0,0.0,75.96899,51.48514,51.01351,40.1654,37.00934,76.10062,34.28571,19.89795,73.41772,50.70422,44.44444,58.53658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,0.0
