,다이소 (대)_0,다이소 (대)_1,아리따움 브러시_0,아리따움 브러시_1,미샤 201_0,미샤 201_1,필리밀리 851_0,필리밀리 851_1,에코툴즈 브러시_0,에코툴즈 브러시_1,피카소 블러셔_0,피카소 블러셔_1,에코툴즈 세트_0,에코툴즈 세트_1,필리밀리 세트_0,필리밀리 세트_1,다이소 블렌딩총알브러시_0,다이소 블렌딩총알브러시_1,맥 브러시_0,맥 브러시_1,다이소 브러시_0,다이소 브러시_1,리얼 테크닉스 브러시_0,리얼 테크닉스 브러시_1,무인양품 브러시_0,무인양품 브러시_1,에뛰드 파우더_0,에뛰드 파우더_1,에스쁘아 블렌더_0,에스쁘아 블렌더_1,미샤 [밀착]_0,미샤 [밀착]_1,리얼 테크닉스 스펀지_0,리얼 테크닉스 스펀지_1,포니이펙트 퍼프_0,포니이펙트 퍼프_1,다이소 퍼프_0,다이소 퍼프_1,미샤 퍼프_0,미샤 퍼프_1,클리오 스폰지_0,클리오 스폰지_1,스킨푸드 퍼프_0,스킨푸드 퍼프_1,다이소 미니파우더퍼프_0,다이소 미니파우더퍼프_1,더샘 퍼프_0,더샘 퍼프_1,필리밀리 퍼프_0,필리밀리 퍼프_1,어퓨 퍼프_0,어퓨 퍼프_1,헤라 퍼프_0,헤라 퍼프_1,다이소 8개입_0,다이소 8개입_1,뷰티블렌더 싱글_0,뷰티블렌더 싱글_1,다이소 물방울퍼프_0,다이소 물방울퍼프_1,베네툴 스폰지_0,베네툴 스폰지_1,올리브영 촉촉퍼프_0,올리브영 촉촉퍼프_1,이마트 화장솜_0,이마트 화장솜_1,카이 눈썹칼_0,카이 눈썹칼_1,화이트래빗 타입_0,화이트래빗 타입_1,어퓨 솝_0,어퓨 솝_1,어퓨 빨래판_0,어퓨 빨래판_1,갸스비 페이퍼_0,갸스비 페이퍼_1,시루콧토 화장솜_0,시루콧토 화장솜_1,아리따움 내추럴_0,아리따움 내추럴_1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,13.95348,35.18518,11.6022,41.66666,0.0,0.0,0.0,0.0,26.92307,60.86956,49.217,92.17002,37.43842,46.30541,0.0,0.0,34.64566,63.09523,0.0,0.0,0.0,53.33333,0.0,36.87707,41.66666,29.72972,75.34246,50.63291,0.0,0.0,0.0,0.0,38.09523,70.93333,0.0,0.0,78.94736,6.62878,31.01449,51.69082,53.48837,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25563,53.87323,0.0,0.0
16,0.0,0.0,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,25.0,42.85714,0.0,0.0,0.0,0.0,26.74418,33.33333,6.62983,20.83333,0.0,0.0,0.0,0.0,42.30769,39.13043,69.57494,80.98434,38.91625,46.30541,0.0,0.0,33.07086,60.71428,0.0,0.0,0.0,56.66666,0.0,68.77076,66.66666,18.91891,56.16438,63.29113,0.0,0.0,0.0,0.0,40.23809,61.33333,0.0,0.0,56.14035,3.40909,30.43478,56.03864,100.0,38.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.30827,59.03755,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,32.14285,28.57142,0.0,0.0,0.0,0.0,17.44186,38.88888,6.62983,33.33333,0.0,0.0,0.0,0.0,42.30769,78.26086,74.94407,74.94407,27.09359,33.00492,0.0,0.0,44.88188,55.95238,0.0,0.0,69.23076,36.66666,0.0,100.0,0.0,0.0,64.38356,83.5443,0.0,0.0,0.0,0.0,40.23809,41.06666,0.0,0.0,60.96491,3.40909,26.95652,55.07246,69.76744,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.53759,54.69483,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,12.2093,55.55555,3.31491,23.61111,0.0,0.0,0.0,0.0,42.30769,69.56521,69.12751,79.19463,26.10837,27.09359,0.0,0.0,40.94488,66.66666,0.0,0.0,46.15384,20.0,0.0,74.08637,0.0,32.43243,45.20547,54.43037,0.0,0.0,0.0,0.0,43.57142,33.06666,0.0,0.0,46.92982,3.40909,27.82608,49.27536,69.76744,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.04135,54.57746,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,17.85714,21.42857,0.0,0.0,0.0,0.0,13.95348,40.74074,13.81215,26.38888,0.0,0.0,0.0,0.0,26.92307,34.7826,72.03579,68.9038,38.42364,37.43842,0.0,0.0,36.22047,51.19047,0.0,0.0,46.15384,20.0,0.0,67.77408,41.66666,16.21621,57.53424,39.2405,0.0,0.0,0.0,0.0,36.19047,33.06666,0.0,0.0,46.49122,4.73484,31.5942,40.57971,58.13953,38.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51127,56.92488,0.0,0.0
20,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,42.85714,0.0,0.0,0.0,0.0,18.60465,55.55555,11.04972,23.61111,0.0,0.0,0.0,27.77777,38.46153,47.82608,61.74496,61.52125,43.84236,38.91625,0.0,0.0,65.35433,60.71428,0.0,0.0,69.23076,26.66666,0.0,53.82059,58.33333,27.02702,39.72602,31.64556,0.0,0.0,0.0,0.0,27.61904,37.33333,0.0,0.0,39.91228,32.19696,33.33333,55.07246,74.4186,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.88721,60.21126,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,13.37209,50.0,10.49723,11.11111,0.0,0.0,0.0,0.0,30.76923,69.56521,60.85011,55.70469,26.10837,27.09359,0.0,0.0,45.66929,54.7619,0.0,0.0,38.46153,20.0,0.0,57.8073,50.0,24.32432,45.20547,68.35443,0.0,0.0,0.0,0.0,30.47619,46.13333,0.0,0.0,43.85964,10.98484,30.72463,44.44444,58.13953,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29699,44.48356,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57142,0.0,0.0,0.0,0.0,7.55813,20.37037,5.52486,11.11111,0.0,0.0,0.0,0.0,34.61538,56.52173,65.77181,70.69351,47.29064,26.10837,0.0,0.0,44.09448,48.80952,0.0,0.0,46.15384,40.0,0.0,57.47508,75.0,32.43243,34.24657,79.74683,0.0,0.0,0.0,0.0,30.0,51.46666,0.0,0.0,58.77192,6.81818,21.15942,51.20772,25.58139,26.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.93233,43.77934,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,42.85714,0.0,0.0,0.0,0.0,13.95348,77.77777,0.0,13.88888,0.0,0.0,0.0,0.0,19.23076,47.82608,52.79642,72.03579,46.79802,38.42364,0.0,0.0,55.90551,58.33333,0.0,0.0,0.0,33.33333,0.0,51.82724,0.0,48.64864,61.64383,58.22784,0.0,0.0,0.0,0.0,34.04761,47.46666,0.0,0.0,42.10526,3.40909,22.89855,44.92753,44.18604,21.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8421,58.09859,0.0,0.0
24,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,42.85714,100.0,0.0,0.0,0.0,0.0,8.13953,53.7037,100.0,15.27777,0.0,0.0,0.0,0.0,0.0,65.21739,57.94183,55.25727,52.21674,43.84236,0.0,0.0,82.67716,39.28571,0.0,0.0,0.0,0.0,0.0,47.5083,50.0,32.43243,30.13698,54.43037,0.0,0.0,0.0,0.0,30.0,63.2,0.0,0.0,48.24561,3.97727,22.02898,41.0628,53.48837,31.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3233,57.27699,0.0,0.0
