,아이오페 오일_0,아이오페 오일_1,네오젠 더마로지 드롭_0,네오젠 더마로지 드롭_1,쥴라이 오일_0,쥴라이 오일_1,로벡틴 오일_0,로벡틴 오일_1,리얼베리어 오일_0,리얼베리어 오일_1,겔랑 오일_0,겔랑 오일_1,비오템 오일_0,비오템 오일_1,눅스 오일_0,눅스 오일_1,식물나라 페이스오일_0,식물나라 페이스오일_1,홀리카홀리카 밤_0,홀리카홀리카 밤_1,클라랑스 오키드_0,클라랑스 오키드_1,킵쿨 블루오일_0,킵쿨 블루오일_1,네이밍 [SPF35/PA++]_0,네이밍 [SPF35/PA++]_1,자빈드서울 [SPF50+/PA+++]_0,자빈드서울 [SPF50+/PA+++]_1,바비브라운 [SPF40/PA+++]_0,바비브라운 [SPF40/PA+++]_1,동인비 [SPF50+/PA++++]_0,동인비 [SPF50+/PA++++]_1,메이크업포에버 파운데이션_0,메이크업포에버 파운데이션_1,룩스앤메이 [SPF50+/PA+++]_0,룩스앤메이 [SPF50+/PA+++]_1,에스티 로더 [SPF20/PA+++]_0,에스티 로더 [SPF20/PA+++]_1,조성아22[SPF50/PA++++]_0,조성아22[SPF50/PA++++]_1,랑콤 [SPF38/PA++]_0,랑콤 [SPF38/PA++]_1,설화수 [SPF17/PA+]_0,설화수 [SPF17/PA+]_1,바닐라코 [SPF45/PA++]_0,바닐라코 [SPF45/PA++]_1,미샤 [SPF30/PA++]_0,미샤 [SPF30/PA++]_1,헤라 [SPF25/PA++]_0,헤라 [SPF25/PA++]_1,에스티 로더 [SPF10/PA++]_0,에스티 로더 [SPF10/PA++]_1,디올 [SPF35/PA++]_0,디올 [SPF35/PA++]_1,정샘물 [SPF50/PA++]_0,정샘물 [SPF50/PA++]_1,나스 [SPF23/PA++]_0,나스 [SPF23/PA++]_1,문샷 [SPF50+/PA++++]_0,문샷 [SPF50+/PA++++]_1,머지 [SPF20/PA++]_0,머지 [SPF20/PA++]_1,메이크업포에버 파우더_0,메이크업포에버 파우더_1,마몽드 파우더_0,마몽드 파우더_1,나스 파우더_0,나스 파우더_1,이니스프리 파우더_0,이니스프리 파우더_1,로라메르시에 파우더_0,로라메르시에 파우더_1,바닐라코 파우더_0,바닐라코 파우더_1,스킨푸드 파우더_0,스킨푸드 파우더_1,캔메이크 파우더_0,캔메이크 파우더_1,어퓨 파우더_0,어퓨 파우더_1
10,5.37084,33.24808,0.0,0.0,0.0,0.0,53.2258,16.12903,36.14457,61.44578,46.47887,46.61016,22.22222,42.59259,31.66226,77.22039,0.0,2.53164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.70854,77.74936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86082,79.9043,33.33333,68.93203,21.32352,44.73684,43.68421,46.42857,53.99753,68.29268,31.63841,32.59259,58.33333,70.70707,46.03174,9.48717,21.42857,16.12903
11,4.85933,61.38107,0.0,0.0,0.0,7.48663,25.80645,29.03225,25.3012,100.0,57.74647,61.01694,33.33333,75.92592,31.92612,74.50657,0.0,3.79746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24623,79.02813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33226,72.2488,50.98039,66.99029,42.64705,42.10526,62.10526,77.85714,60.6396,70.4065,34.46327,54.44444,55.55555,60.60606,55.55555,7.6923,25.0,25.80645
12,4.60358,41.43222,0.0,0.0,0.0,0.0,37.09677,32.25806,25.3012,59.03614,64.78873,49.15254,40.74074,51.85185,32.58575,70.72368,0.0,2.53164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.28643,82.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.87208,75.59808,39.21568,66.01941,43.38235,56.14035,55.26315,44.28571,59.28659,63.73983,30.50847,38.51851,47.22222,59.59595,42.85714,9.48717,32.14285,22.58064
13,3.3248,36.57289,0.0,0.0,0.0,0.0,29.03225,48.38709,74.69879,55.42168,49.29577,42.37288,35.18518,27.77777,36.4116,70.3125,0.0,3.79746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2412,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67658,92.34449,35.29411,68.93203,45.58823,60.52631,50.52631,50.0,54.61254,62.76422,40.11299,77.4074,58.33333,62.62626,34.39153,6.15384,17.85714,40.32258
14,5.11508,29.92327,0.0,0.0,0.0,0.0,98.38709,24.19354,84.33734,51.80722,54.92957,50.0,22.22222,62.96296,33.90501,64.80263,0.0,5.90717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24623,91.5601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75703,70.81339,45.09803,56.31067,47.79411,67.54385,49.47368,48.57142,52.02952,66.99186,57.06214,58.51851,0.0,36.36363,29.10052,10.0,25.0,29.03225
15,4.09207,27.62148,0.0,0.0,0.0,0.0,83.87096,35.48387,54.21686,49.39759,54.92957,39.8305,24.07407,38.88888,33.24538,89.39144,0.0,2.53164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.46733,82.60869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.29766,66.50717,50.98039,44.66019,33.82352,74.5614,45.78947,52.85714,46.49446,68.13008,45.19774,47.4074,27.77777,33.33333,41.26984,8.97435,42.85714,35.48387
16,5.11508,27.10997,0.0,0.0,0.0,0.0,74.19354,27.41935,51.80722,38.55421,66.19718,43.22033,14.81481,35.18518,38.52242,86.43092,0.0,5.06329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.70854,67.51918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01045,62.67942,49.0196,54.36893,35.29411,71.05263,57.36842,50.0,56.82656,71.70731,42.37288,52.59259,16.66666,38.38383,32.80423,7.17948,21.42857,27.41935
17,6.1381,21.48337,0.0,0.0,0.0,2.67379,96.77419,53.2258,57.83132,37.34939,61.97183,54.23728,9.25925,98.14814,37.73087,84.53947,0.0,5.06329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.22613,81.07416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2864,87.5598,39.21568,56.31067,37.5,89.47368,49.47368,55.71428,51.04551,72.68292,33.8983,54.07407,25.0,30.30303,41.26984,5.38461,17.85714,56.45161
18,4.60358,19.94884,0.0,0.0,0.0,0.0,96.77419,25.80645,55.42168,57.83132,73.23943,45.76271,22.22222,85.18518,29.55145,77.05592,0.0,9.70464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.46231,67.00767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35559,91.86602,58.82352,63.10679,36.7647,100.0,46.31578,56.42857,51.53751,56.26016,41.8079,65.92592,77.77777,27.27272,46.56084,6.41025,28.57142,41.93548
19,5.37084,20.97186,0.0,0.0,0.0,3.74331,100.0,37.09677,54.21686,67.46987,42.25352,66.10169,33.33333,44.44444,34.30079,100.0,0.0,10.97046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.73366,67.77493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17135,95.69377,90.19607,54.36893,44.11764,92.98245,54.73684,48.57142,59.53259,55.93495,43.50282,48.14814,22.22222,44.44444,35.44973,8.97435,0.0,33.87096
