,이니스프리 왁스_0,이니스프리 왁스_1,새한화장품 휘니쉬_0,새한화장품 휘니쉬_1,마쉐리 EX_0,마쉐리 EX_1,지비에이치 코스메틱 미스트_0,지비에이치 코스메틱 미스트_1,루시도엘 수퍼하드_0,루시도엘 수퍼하드_1,포레스트 스토리 워터스프레이_0,포레스트 스토리 워터스프레이_1,러쉬 알앤비_0,러쉬 알앤비_1,폴미첼 스프레이_0,폴미첼 스프레이_1,네이처리퍼블릭 스프레이_0,네이처리퍼블릭 스프레이_1,TS TS착한헤어왁스_0,TS TS착한헤어왁스_1,에쏘띠 픽서_0,에쏘띠 픽서_1,다슈 스프레이_0,다슈 스프레이_1,착한팩토리 헤어픽서_0,착한팩토리 헤어픽서_1,아모스프로페셔널 스프레이_0,아모스프로페셔널 스프레이_1,세바스찬 텍스처라이저_0,세바스찬 텍스처라이저_1,아모스프로페셔널 왁스_0,아모스프로페셔널 왁스_1,아베다 크림_0,아베다 크림_1,러쉬 데이_0,러쉬 데이_1,웰라 프로페셔널즈 탈색제_0,웰라 프로페셔널즈 탈색제_1,로레알 프로페셔널 파리 쿨커버_0,로레알 프로페셔널 파리 쿨커버_1,로레알 프로페셔널 파리 염색약_0,로레알 프로페셔널 파리 염색약_1,마몽드 섀도우_0,마몽드 섀도우_1,사랑새 매니큐어_0,사랑새 매니큐어_1,리엔 염색_0,리엔 염색_1,더페이스샵 섀도우_0,더페이스샵 섀도우_1,헤이 헤어컬러_0,헤이 헤어컬러_1,더페이스샵 퍼프_0,더페이스샵 퍼프_1,웰라 프로페셔널즈 염모제_0,웰라 프로페셔널즈 염모제_1,토니모리 블리치_0,토니모리 블리치_1,아리따움 블리치_0,아리따움 블리치_1,페인토즈 페인트_0,페인토즈 페인트_1,려 헤어쿠션_0,려 헤어쿠션_1,시세이도 프로페셔널 스트레이트_0,시세이도 프로페셔널 스트레이트_1,에뛰드 컬러_0,에뛰드 컬러_1,네이처리퍼블릭 라이너_0,네이처리퍼블릭 라이너_1,셀리한센 블리치_0,셀리한센 블리치_1,로레알 파리 크림_0,로레알 파리 크림_1,웻브러쉬 브러쉬_0,웻브러쉬 브러쉬_1,탱글티저 오리지널_0,탱글티저 오리지널_1,아베다 브러시_0,아베다 브러시_1
42,18.64406,15.49295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,60.0,12.67605,68.96551,93.69202,53.01794,0.0,0.0,0.0,0.0,0.0,0.0,76.03686,52.79187,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,69.56521,0.0,0.0,31.25,0.0,36.78278,28.40909,0.0,0.0,50.0,39.13043,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,59.5092,14.05867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,32.14285,46.42857,0.0,0.0
43,10.16949,36.61971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,33.33333,0.0,51.72413,100.0,62.64274,0.0,0.0,0.0,0.0,0.0,0.0,87.09677,79.18781,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,22.72727,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,100.0,0.0,0.0,0.0,0.0,45.18442,20.73863,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,48.46625,23.71638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42857,17.85714,0.0,0.0
44,10.16949,21.12676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,40.0,15.49295,44.82758,83.48794,70.63621,0.0,0.0,0.0,0.0,0.0,0.0,76.49769,71.5736,0.0,66.66666,0.0,0.0,0.0,0.0,75.0,0.0,36.36363,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.69565,60.86956,0.0,75.0,31.25,0.0,43.75,30.9659,0.0,0.0,56.66666,52.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.94478,19.68215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,21.42857,0.0,50.0
45,20.33898,26.76056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,7.04225,41.37931,79.03525,58.72756,83.33333,0.0,0.0,0.0,0.0,0.0,61.29032,71.5736,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.81818,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.95652,39.13043,0.0,0.0,0.0,0.0,35.2459,33.80681,0.0,0.0,23.33333,73.91304,0.0,0.0,0.0,83.33333,100.0,81.81818,0.0,0.0,54.60122,16.50366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,42.85714,0.0,0.0
46,20.33898,16.9014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.2676,24.13793,73.65491,71.28874,0.0,0.0,0.0,0.0,0.0,0.0,50.69124,77.66497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,43.75,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,36.95652,50.0,0.0,0.0,62.5,0.0,39.2418,79.26136,0.0,0.0,100.0,52.17391,0.0,0.0,0.0,0.0,20.83333,0.0,0.0,0.0,53.37423,13.08068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,28.57142,0.0,0.0
47,18.64406,19.7183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,11.2676,0.0,60.85343,61.82707,0.0,0.0,0.0,0.0,0.0,0.0,58.52534,82.74111,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,46.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,30.43478,0.0,0.0,0.0,0.0,39.2418,42.61363,0.0,0.0,86.66666,39.13043,0.0,0.0,0.0,100.0,0.0,72.72727,0.0,0.0,52.76073,12.59168,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,64.28571,0.0,0.0
48,11.8644,32.39436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,8.4507,34.48275,66.04823,71.77814,0.0,0.0,0.0,0.0,0.0,0.0,49.30875,96.4467,50.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,31.81818,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82608,50.0,0.0,0.0,0.0,0.0,38.11475,43.4659,0.0,0.0,50.0,52.17391,0.0,0.0,0.0,0.0,41.66666,54.54545,0.0,0.0,45.39877,17.48166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,64.28571,60.71428,100.0,0.0
49,11.8644,22.53521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,46.66666,14.0845,27.5862,99.07235,59.54323,0.0,83.33333,0.0,0.0,0.0,0.0,56.68202,68.0203,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,43.47826,0.0,0.0,0.0,0.0,34.7336,34.94318,0.0,0.0,73.33333,47.82608,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,47.23926,13.81418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,50.0,0.0,0.0
50,22.03389,16.9014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,60.0,18.30985,62.06896,98.51576,64.43719,0.0,0.0,0.0,0.0,0.0,0.0,61.29032,87.30964,0.0,55.55555,0.0,0.0,0.0,0.0,100.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3913,52.17391,0.0,0.0,0.0,0.0,67.7254,44.03409,0.0,0.0,43.33333,30.43478,0.0,0.0,0.0,0.0,33.33333,81.81818,0.0,0.0,100.0,11.91931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,39.28571,0.0,0.0
51,25.42372,22.53521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.85915,58.62068,86.08534,86.78629,0.0,0.0,0.0,0.0,0.0,0.0,50.69124,92.8934,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86956,56.52173,0.0,0.0,0.0,38.46153,56.96721,41.19318,0.0,0.0,63.33333,43.47826,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,43.55828,15.77017,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,71.42857,0.0,0.0
