,아이캔디 브러쉬_0,아이캔디 브러쉬_1,올리브영 브러쉬_0,올리브영 브러쉬_1,다이소 브러쉬_0,다이소 브러쉬_1,에뛰드 헤어브러쉬_0,에뛰드 헤어브러쉬_1,올리브영 올리브영알루미늄헤어롤_0,올리브영 올리브영알루미늄헤어롤_1,웨이크메이크 글리터_0,웨이크메이크 글리터_1,오피아이 락커_0,오피아이 락커_1,에뛰드 네일_0,에뛰드 네일_1,더젤 젤네일_0,더젤 젤네일_1,디올 네일_0,디올 네일_1,샤넬 베르니_0,샤넬 베르니_1,스킨푸드 (푸르츠칵테일)_0,스킨푸드 (푸르츠칵테일)_1,어퓨 네일즈_0,어퓨 네일즈_1,아리따움 네일즈_0,아리따움 네일즈_1,더페이스샵 젤_0,더페이스샵 젤_1,웨이크메이크 네일건_0,웨이크메이크 네일건_1,캐시캣 코드네일_0,캐시캣 코드네일_1,이니스프리 네일_0,이니스프리 네일_1,데보라립만 네일폴리쉬_0,데보라립만 네일폴리쉬_1,미샤 폴리쉬_0,미샤 폴리쉬_1,유키 컬러_0,유키 컬러_1,엘르걸 네일즈_0,엘르걸 네일즈_1,스킨푸드 멜로우)_0,스킨푸드 멜로우)_1,더샘 탑코트_0,더샘 탑코트_1,이니스프리 탑코트_0,이니스프리 탑코트_1,세쉐 탑코트_0,세쉐 탑코트_1,스킨푸드 탑코트_0,스킨푸드 탑코트_1,오피아이 탑코트_0,오피아이 탑코트_1,웨이크메이크 탑코트_0,웨이크메이크 탑코트_1,다이소 탑코트_0,다이소 탑코트_1,미샤 [탑코트]_0,미샤 [탑코트]_1,아리따움 탑코트_0,아리따움 탑코트_1,오피아이 코트_0,오피아이 코트_1,GRACIA베이스젤_0,GRACIA베이스젤_1,아리따움 젤_0,아리따움 젤_1,이니스프리 코트_0,이니스프리 코트_1,네이처리퍼블릭 코트_0,네이처리퍼블릭 코트_1,에뛰드 코트_0,에뛰드 코트_1,셀리한센 탑코트_0,셀리한센 탑코트_1,토니모리 젤탑코트_0,토니모리 젤탑코트_1
28,72.35023,65.44715,44.01197,66.5625,88.45166,71.25748,0.0,100.0,0.0,0.0,42.62295,52.0,0.0,0.0,65.95744,62.5,10.41666,87.10801,84.375,55.31914,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,77.27272,33.33333,51.30434,80.43478,0.0,0.0,72.3618,33.81294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,45.83333,22.6415,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,32.6923,0.0,0.0,52.63157,17.74193,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,67.74193,82.52032,31.73652,59.0625,79.55517,61.07784,0.0,0.0,0.0,0.0,32.78688,88.0,0.0,0.0,38.29787,60.9375,5.20833,90.2439,78.125,59.57446,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,65.21739,65.94202,0.0,0.0,73.86934,24.11965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,37.5,19.81132,100.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,37.03703,26.92307,0.0,0.0,52.63157,25.80645,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,70.96774,64.22764,36.22754,55.3125,73.22497,68.69118,0.0,0.0,0.0,0.0,67.21311,76.0,0.0,0.0,61.70212,73.4375,4.6875,77.00348,68.75,38.29787,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.34782,71.01449,0.0,0.0,77.38693,16.73608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,32.6923,0.0,0.0,76.31578,16.12903,0.0,0.0,0.0,0.0,50.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,50.69124,70.7317,46.70658,63.4375,80.4106,71.77074,0.0,0.0,0.0,0.0,91.80327,100.0,0.0,0.0,51.06382,39.0625,5.46875,77.00348,65.625,59.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,0.0,46.08695,56.52173,0.0,0.0,55.77889,18.43998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,33.33333,14.15094,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,29.62962,63.46153,0.0,0.0,57.89473,29.03225,0.0,0.0,0.0,0.0,41.66666,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,58.52534,73.98373,41.01796,79.0625,70.82976,75.96236,0.0,0.0,0.0,0.0,72.13114,48.0,0.0,0.0,85.10638,54.6875,3.38541,87.45644,34.375,44.68085,23.80952,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,39.13043,46.37681,0.0,0.0,64.82412,16.28171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,41.66666,18.86792,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0,55.55555,28.84615,0.0,0.0,34.21052,25.80645,0.0,0.0,0.0,0.0,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,64.05529,79.26829,40.11976,65.3125,65.44054,64.41402,0.0,0.0,0.0,0.0,47.54098,32.0,0.0,0.0,40.42553,62.5,6.25,87.45644,78.125,57.4468,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.13043,84.05797,0.0,0.0,63.31658,15.82733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,16.03773,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,66.66666,59.61538,0.0,0.0,23.68421,35.48387,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,52.99539,65.44715,35.62874,70.625,80.49615,70.14542,0.0,0.0,0.0,0.0,42.62295,42.0,0.0,0.0,48.93617,54.6875,2.86458,79.79094,53.125,55.31914,42.85714,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,50.43478,66.66666,0.0,0.0,76.88442,12.57099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.16666,17.92452,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,70.37037,32.6923,0.0,0.0,31.57894,37.09677,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,47.46543,56.50406,44.31137,59.375,79.38408,61.42001,0.0,0.0,0.0,0.0,47.54098,54.0,0.0,0.0,46.80851,34.375,3.125,98.25783,68.75,59.57446,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,41.73913,65.21739,0.0,0.0,72.3618,14.27489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,12.26415,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,85.18518,38.46153,0.0,0.0,28.94736,35.48387,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,52.53456,63.00813,41.61676,61.5625,71.25748,64.84174,0.0,0.0,0.0,0.0,34.42622,50.0,0.0,0.0,53.19148,39.0625,1.5625,76.30662,78.125,53.19148,66.66666,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,46.95652,44.92753,0.0,0.0,61.80904,16.88754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,19.81132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,40.38461,0.0,0.0,39.47368,35.48387,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,76.03686,63.82113,42.51497,90.9375,61.07784,60.13686,0.0,0.0,0.0,0.0,45.90163,52.0,0.0,0.0,51.06382,53.125,2.08333,86.75958,75.0,51.06382,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,0.0,57.3913,46.37681,0.0,0.0,63.31658,26.39151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,21.69811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74074,21.15384,0.0,0.0,31.57894,20.96774,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
