,XTM [SPF50+/PA++++]_0,XTM [SPF50+/PA++++]_1,랩시리즈 [SPF35/PA+++]_0,랩시리즈 [SPF35/PA+++]_1,BRTC 썬비비_0,BRTC 썬비비_1,블랙몬스터 밤_0,블랙몬스터 밤_1,보타닉힐 보 아이디얼 포 맨 쿠션_0,보타닉힐 보 아이디얼 포 맨 쿠션_1,그라펜 립_0,그라펜 립_1,아이오페 [SPF50+/PA+++]_0,아이오페 [SPF50+/PA+++]_1,닥터영 [SPF35/PA++]_0,닥터영 [SPF35/PA++]_1,블랙몬스터 [SPF50+/PA+++]_0,블랙몬스터 [SPF50+/PA+++]_1,낫츠 포맨_0,낫츠 포맨_1,더페이스샵 [SPF50+/PA+++]_0,더페이스샵 [SPF50+/PA+++]_1,챕스틱 [SPF15]_0,챕스틱 [SPF15]_1,니베아 맨 케어_0,니베아 맨 케어_1,디티알티 레디_0,디티알티 레디_1,닥터자르트 비비크림_0,닥터자르트 비비크림_1,엠솔릭 바디_0,엠솔릭 바디_1,헬로스킨 젤_0,헬로스킨 젤_1,엠솔릭 클렌저_0,엠솔릭 클렌저_1,랩시리즈 워시_0,랩시리즈 워시_1,이니스프리 폼_0,이니스프리 폼_1,불독 워시_0,불독 워시_1,비오템옴므 클렌저_0,비오템옴므 클렌저_1,스웨거 파이터_0,스웨거 파이터_1,시세이도 스크럽_0,시세이도 스크럽_1,아이소이 클렌징폼_0,아이소이 클렌징폼_1,프리메라 클렌저_0,프리메라 클렌저_1,빌리프 폼_0,빌리프 폼_1,비오템옴므 클렌져_0,비오템옴므 클렌져_1,홍콩시티팝 클렌저_0,홍콩시티팝 클렌저_1,키엘 멀티-젤_0,키엘 멀티-젤_1,시세이도 클렌저_0,시세이도 클렌저_1,보닌 폼_0,보닌 폼_1,니베아 맨 폼_0,니베아 맨 폼_1,불독 젤_0,불독 젤_1,비오템옴므 쉐이브_0,비오템옴므 쉐이브_1,니베아 맨 젤_0,니베아 맨 젤_1,러쉬 프린스_0,러쉬 프린스_1,젠틀프로젝트 오일_0,젠틀프로젝트 오일_1,니베아 맨 로션_0,니베아 맨 로션_1,질레트 크림_0,질레트 크림_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,77.74647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,25.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,40.0,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,14.89361,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7563,79.43661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.42857,26.53061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.40425,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.83193,78.02816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.28571,16.32653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,17.02127,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94957,90.42253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.85714,36.73469,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,19.14893,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.27731,71.2676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,58.57142,32.65306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,12.76595,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.39495,57.18309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,100.0,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,75.77464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57142,14.28571,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,10.63829,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.98319,79.43661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,45.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.73469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.02521,84.50704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.14285,22.44897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,10.63829,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2605,71.83098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.85714,30.61224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93617,0.0,0.0,0.0,0.0,0.0,0.0
