,카멕스 단지형_0,카멕스 단지형_1,웨이크메이크 라이너_0,웨이크메이크 라이너_1,비오엠 아이라이너_0,비오엠 아이라이너_1,키스미 킵_0,키스미 킵_1,에스쁘아 펜슬_0,에스쁘아 펜슬_1,클리오 라이너_0,클리오 라이너_1,베르사유의장미아이라이너_0,베르사유의장미아이라이너_1,프로에잇청담 라이너_0,프로에잇청담 라이너_1,키스미 아이라이너_0,키스미 아이라이너_1,베르사유의장미브라운_0,베르사유의장미브라운_1,삐아 슬림_0,삐아 슬림_1,케이트 펜슬_0,케이트 펜슬_1,릴리바이레드 아이라이너_0,릴리바이레드 아이라이너_1,클리오 XP_0,클리오 XP_1,페어리드롭스 워터프루프_0,페어리드롭스 워터프루프_1,머지 아이라이너_0,머지 아이라이너_1,더샘 아이라이너_0,더샘 아이라이너_1,fmgt 라이너_0,fmgt 라이너_1,KVD 비건뷰티 라이너_0,KVD 비건뷰티 라이너_1,돌리윙크 아이라이너Ⅱ_0,돌리윙크 아이라이너Ⅱ_1,손앤박 라이너_0,손앤박 라이너_1,슈에무라 포뮬라_0,슈에무라 포뮬라_1,아나스타샤 베버리힐즈 위즈_0,아나스타샤 베버리힐즈 위즈_1,아이돈띵쏘 펜슬_0,아이돈띵쏘 펜슬_1,아리따움 케익_0,아리따움 케익_1,베네피트 펜슬_0,베네피트 펜슬_1,라네즈 쿠션-카라_0,라네즈 쿠션-카라_1,클리오 펜슬_0,클리오 펜슬_1,키스미 아이브로우_0,키스미 아이브로우_1,아나스타샤 베버리힐즈 포마드_0,아나스타샤 베버리힐즈 포마드_1,아이오페 펜슬_0,아이오페 펜슬_1,바비브라운 펜슬_0,바비브라운 펜슬_1,미샤 브로우_0,미샤 브로우_1,우드버리 아이브로우_0,우드버리 아이브로우_1,바비브라운 쉐이퍼_0,바비브라운 쉐이퍼_1,맥 세트_0,맥 세트_1,키스미 노즈섀도우_0,키스미 노즈섀도우_1,스킨푸드 파우더케익_0,스킨푸드 파우더케익_1,베네피트 브로우_0,베네피트 브로우_1,클리오 하드펜슬_0,클리오 하드펜슬_1
10,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,27.77777,0.0,33.33333,0.0,17.24137,0.0,0.0,64.34176,64.02877,0.0,0.0,88.88888,83.33333,0.0,0.0,76.95652,18.83072,57.6923,52.94117,0.0,0.0,59.41375,38.08219,45.03311,25.56237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,55.0,100.0,78.67867,87.83068,0.0,0.0,0.0,0.0,46.66666,43.75,0.0,54.54545,60.08064,98.18181,0.0,0.0,55.0,50.0,38.46153,0.0,0.0,0.0,5.38243,32.47863,0.0,0.0
11,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,38.09523,25.0,12.64367,0.0,0.0,66.87009,49.06474,0.0,0.0,0.0,0.0,100.0,60.0,76.08695,15.63562,65.38461,35.29411,0.0,0.0,66.17812,36.9863,37.74834,25.05112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,25.0,70.37037,81.08108,69.31216,0.0,0.0,0.0,0.0,60.0,34.375,0.0,0.0,64.91935,91.81818,0.0,0.0,65.0,50.0,38.46153,0.0,0.0,0.0,9.63172,34.18803,0.0,0.0
12,0.0,0.0,33.33333,80.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,42.85714,50.0,18.96551,0.0,0.0,100.0,55.82733,0.0,0.0,55.55555,0.0,0.0,0.0,67.10144,17.40312,96.15384,35.29411,0.0,0.0,73.61894,32.87671,50.99337,23.92638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,65.0,55.55555,99.09909,76.19047,0.0,100.0,0.0,0.0,93.33333,62.5,0.0,0.0,54.43548,83.63636,0.0,0.0,35.0,21.05263,53.84615,0.0,0.0,71.42857,20.96317,46.15384,0.0,0.0
13,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,38.46153,27.77777,63.15789,90.47619,37.5,18.3908,0.0,0.0,85.61464,59.28057,0.0,0.0,0.0,0.0,0.0,0.0,68.55072,20.59823,34.61538,41.17647,0.0,0.0,67.30552,38.08219,58.27814,21.37014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,40.0,48.14814,55.85585,63.49206,0.0,0.0,0.0,0.0,60.0,37.5,0.0,45.45454,95.56451,83.63636,0.0,0.0,60.0,55.26315,0.0,0.0,0.0,0.0,16.99716,38.88888,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,27.77777,42.10526,80.95238,45.83333,18.3908,0.0,0.0,95.72798,87.76978,0.0,0.0,0.0,83.33333,0.0,0.0,58.11594,17.19918,61.53846,0.0,0.0,0.0,70.91319,39.04109,64.23841,22.69938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,40.0,48.14814,47.14714,79.36507,0.0,0.0,0.0,0.0,73.33333,56.25,0.0,0.0,81.45161,73.63636,45.45454,0.0,85.0,50.0,0.0,0.0,0.0,0.0,17.84702,54.70085,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.88888,57.89473,47.61904,58.33333,25.28735,0.0,0.0,77.33217,58.12949,0.0,0.0,0.0,0.0,0.0,0.0,62.46376,21.21006,61.53846,0.0,0.0,0.0,66.74182,33.9726,48.34437,19.52965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,100.0,55.55555,54.35435,57.14285,0.0,0.0,0.0,0.0,53.33333,68.75,0.0,0.0,100.0,52.72727,0.0,0.0,25.0,15.78947,61.53846,0.0,0.0,0.0,10.48158,41.45299,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,47.36842,0.0,54.16666,17.81609,0.0,0.0,70.18308,59.13669,0.0,0.0,0.0,0.0,50.0,0.0,60.43478,22.97756,61.53846,0.0,0.0,0.0,68.77113,33.28767,55.62913,21.57464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,100.0,37.03703,58.25825,64.55026,0.0,0.0,0.0,0.0,56.66666,56.25,0.0,100.0,89.91935,43.63636,0.0,0.0,0.0,39.47368,0.0,0.0,0.0,0.0,12.46458,50.0,0.0,0.0
17,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,26.92307,38.88888,31.57894,52.38095,50.0,16.66666,0.0,0.0,80.73234,59.42446,0.0,0.0,0.0,0.0,0.0,0.0,67.3913,21.34602,100.0,0.0,0.0,0.0,79.48139,33.83561,72.18543,24.13087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.37037,49.54954,70.37037,0.0,0.0,0.0,0.0,56.66666,34.375,31.25,63.63636,78.62903,48.18181,0.0,0.0,0.0,34.21052,0.0,0.0,38.46153,0.0,17.56373,32.05128,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,38.88888,26.31578,76.19047,45.83333,15.51724,0.0,0.0,88.66608,57.1223,0.0,0.0,0.0,0.0,0.0,0.0,61.5942,31.13528,65.38461,0.0,0.0,0.0,77.45208,30.41095,55.62913,30.06134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,0.0,50.0,29.62962,53.45345,58.73015,0.0,0.0,0.0,0.0,60.0,68.75,0.0,81.81818,75.40322,75.45454,63.63636,0.0,40.0,28.94736,0.0,0.0,0.0,0.0,16.1473,39.31623,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,94.44444,47.36842,66.66666,45.83333,18.3908,0.0,0.0,85.87619,63.59712,0.0,0.0,0.0,0.0,50.0,70.0,67.97101,100.0,69.23076,0.0,0.0,0.0,67.64374,30.54794,52.98013,25.97137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,38.88888,0.0,0.0,50.0,25.92592,50.75075,62.96296,0.0,0.0,0.0,0.0,63.33333,53.125,0.0,90.90909,53.2258,75.45454,54.54545,62.5,30.0,52.63157,0.0,0.0,46.15384,0.0,13.59773,21.79487,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,38.88888,73.68421,28.57142,29.16666,21.83908,0.0,0.0,79.07585,63.16546,0.0,0.0,0.0,0.0,0.0,0.0,91.44927,39.49694,30.76923,29.41176,0.0,0.0,60.54114,29.17808,58.94039,29.5501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,0.0,35.0,22.22222,57.35735,80.42328,100.0,0.0,0.0,0.0,60.0,75.0,0.0,72.72727,80.24193,87.27272,54.54545,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,14.1643,32.90598,0.0,0.0
