,디올 맥시마이저_0,디올 맥시마이저_1,에센스 립글로스_0,에센스 립글로스_1,맥 글라스_0,맥 글라스_1,랑콤 크림_0,랑콤 크림_1,홀리카홀리카 부스터_0,홀리카홀리카 부스터_1,에스티 로더 글로스_0,에스티 로더 글로스_1,스틸라 글로스_0,스틸라 글로스_1,디올 글로스_0,디올 글로스_1,어퓨 플럼퍼_0,어퓨 플럼퍼_1,에뛰드 시럽_0,에뛰드 시럽_1,미샤 글로스_0,미샤 글로스_1,듀왑 시리즈_0,듀왑 시리즈_1,맥 립_0,맥 립_1,캔메이크 모이스트인_0,캔메이크 모이스트인_1,엘르걸 스틱_0,엘르걸 스틱_1,프레쉬 테라피_0,프레쉬 테라피_1,입생로랑 퍼펙터_0,입생로랑 퍼펙터_1,에스쁘아 프라이머_0,에스쁘아 프라이머_1,칼리 프라이머_0,칼리 프라이머_1,마이달리아 립밤앤컨실러_0,마이달리아 립밤앤컨실러_1,바닐라코 서비스_0,바닐라코 서비스_1,네이처리퍼블릭 컨실러_0,네이처리퍼블릭 컨실러_1,포니이펙트 프라이머_0,포니이펙트 프라이머_1,더샘 컨실러_0,더샘 컨실러_1,토니모리 컨실러_0,토니모리 컨실러_1,라네즈 립프라이머_0,라네즈 립프라이머_1,겔랑 리프트_0,겔랑 리프트_1,에뛰드 컨실러]_0,에뛰드 컨실러]_1,이니스프리 컨실러_0,이니스프리 컨실러_1,케이트 [SPF13/PA+]_0,케이트 [SPF13/PA+]_1,케이트 [SPF10/PA+]_0,케이트 [SPF10/PA+]_1,세컨디자인 수딩_0,세컨디자인 수딩_1,카멕스 클래식_0,카멕스 클래식_1,이니스프리 마스크_0,이니스프리 마스크_1,시드물 에센스_0,시드물 에센스_1,멘소래담 립젤_0,멘소래담 립젤_1,유리아쥬 레브르_0,유리아쥬 레브르_1,아리따움 마스크_0,아리따움 마스크_1,라네즈 마스크_0,라네즈 마스크_1,헤라 밤_0,헤라 밤_1
14,28.30626,73.50993,0.0,0.0,0.0,0.0,74.48979,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5283,48.5849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,65.95744,0.0,0.0,0.0,0.0,0.0,0.0,89.65517,56.86274,0.0,0.0,56.48535,58.12395,57.14285,10.20408,0.0,0.0,0.0,0.0,0.0,0.0,10.9529,7.66703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.25806,60.0,58.62068,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,64.28571,0.0
15,26.56612,67.54966,60.0,0.0,0.0,0.0,95.91836,45.34883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.98113,30.18867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.42553,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,22.54901,0.0,0.0,73.43096,66.66666,21.42857,17.34693,0.0,0.0,0.0,0.0,0.0,0.0,15.22453,8.54326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,48.38709,46.66666,34.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0
16,24.82598,43.7086,0.0,0.0,0.0,0.0,94.89795,59.30232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.16981,29.71698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.41269,70.21276,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,34.31372,0.0,0.0,66.7364,55.61139,35.71428,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,13.80065,7.88608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.35483,73.33333,86.20689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,28.07424,47.68211,0.0,0.0,0.0,0.0,79.59183,60.46511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.18867,32.07547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,55.31914,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.94117,0.0,0.0,51.25523,53.93634,28.57142,19.38775,0.0,0.0,0.0,0.0,0.0,0.0,15.55312,8.43373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.80645,100.0,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,35.71428,12.0
18,29.46635,55.62913,0.0,0.0,0.0,0.0,77.55102,65.11627,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.77358,45.28301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,70.21276,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.33333,0.0,0.0,55.23012,58.29145,30.95238,16.32653,0.0,0.0,0.0,0.0,0.0,0.0,37.13033,10.9529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,16.12903,46.66666,55.17241,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35.71428,28.0
19,27.84222,49.66887,0.0,0.0,0.0,0.0,69.38775,58.13953,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49056,22.6415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,74.46808,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,47.05882,0.0,0.0,53.55648,46.90117,35.71428,24.48979,0.0,0.0,0.0,0.0,0.0,0.0,47.207,15.22453,0.0,0.0,0.0,0.0,0.0,0.0,60.0,46.15384,48.0,16.12903,0.0,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
20,25.75406,40.39735,0.0,0.0,0.0,0.0,71.42857,81.39534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75471,23.5849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.39682,36.17021,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,45.09803,0.0,0.0,52.71966,48.40871,33.33333,12.24489,0.0,0.0,0.0,0.0,0.0,0.0,40.41621,13.80065,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,36.0,0.0,66.66666,93.10344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,95.24361,49.00662,0.0,0.0,0.0,0.0,61.22448,61.6279,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.37735,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31746,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,30.39215,0.0,0.0,63.80753,52.59631,50.0,8.16326,0.0,0.0,0.0,0.0,0.0,0.0,38.33515,15.55312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,80.0,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,35.71428,14.0
22,100.0,54.30463,0.0,0.0,100.0,0.0,78.57142,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.60377,20.75471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,19.60784,0.0,0.0,89.95815,67.50418,35.71428,20.40816,0.0,0.0,0.0,0.0,0.0,0.0,31.3253,37.13033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,29.03225,66.66666,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,64.28571,0.0
23,39.79118,32.45033,100.0,26.31578,0.0,0.0,67.34693,59.30232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96226,22.16981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.60317,51.06382,0.0,0.0,0.0,0.0,0.0,0.0,75.86206,35.29411,0.0,0.0,98.11715,55.27638,47.61904,16.32653,0.0,0.0,0.0,0.0,0.0,0.0,42.93537,47.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,16.12903,33.33333,27.5862,0.0,0.0,0.0,0.0,0.0,100.0,83.33333,0.0,0.0,14.0
