,레시피 [SPF50+/PA+++]_0,레시피 [SPF50+/PA+++]_1,온더바디 선스프레이_0,온더바디 선스프레이_1,데메테르 썬스프레이_0,데메테르 썬스프레이_1,바이오더마 [SPF50+]_0,바이오더마 [SPF50+]_1,암웨이 [SPF50+/PA+++]_0,암웨이 [SPF50+/PA+++]_1,오휘 [SPF50+/PA+++]_0,오휘 [SPF50+/PA+++]_1,폴라돌프 [SPF50+/PA+++]_0,폴라돌프 [SPF50+/PA+++]_1,아크웰 [SPF50+/PA+++]_0,아크웰 [SPF50+/PA+++]_1,카트린 [SPF46/PA+++]_0,카트린 [SPF46/PA+++]_1,리더스코스메틱 [SPF50+/PA++++]_0,리더스코스메틱 [SPF50+/PA++++]_1,비오템 [SPF30]_0,비오템 [SPF30]_1,JM솔루션 [SPF50+/PA++++]_0,JM솔루션 [SPF50+/PA++++]_1,Dr.G [SPF50+/PA++++]_0,Dr.G [SPF50+/PA++++]_1,닥터아토 [SPF50+/PA+++]_0,닥터아토 [SPF50+/PA+++]_1,오스트레일리안골드 [SPF8]_0,오스트레일리안골드 [SPF8]_1,하와이안 트로픽 오일_0,하와이안 트로픽 오일_1,디자이너스킨 태닝로션_0,디자이너스킨 태닝로션_1,바나나보트 태닝오일_0,바나나보트 태닝오일_1,오스트레일리안골드 태닝스프레이젤_0,오스트레일리안골드 태닝스프레이젤_1,오스트레일리안골드 스프레이_0,오스트레일리안골드 스프레이_1,비엘렌다 미스트_0,비엘렌다 미스트_1,오스트레일리안골드 태닝로션_0,오스트레일리안골드 태닝로션_1,오스트레일리안골드 브론저_0,오스트레일리안골드 브론저_1,플레이보이 맨션_0,플레이보이 맨션_1,플레이보이 태닝로션_0,플레이보이 태닝로션_1,플레이보이 Bronzer_0,플레이보이 Bronzer_1,스키니탠 태너_0,스키니탠 태너_1,하와이안 트로픽 [SPF4]_0,하와이안 트로픽 [SPF4]_1,캐리비안 오일_0,캐리비안 오일_1,일리윤 젤_0,일리윤 젤_1,홀리카홀리카 수딩젤_0,홀리카홀리카 수딩젤_1,아로마티카 젤_0,아로마티카 젤_1,사임당화장품 알로젤_0,사임당화장품 알로젤_1,토니모리 수딩젤_0,토니모리 수딩젤_1,A24 수딩겔_0,A24 수딩겔_1,홀리카홀리카 (프레쉬)_0,홀리카홀리카 (프레쉬)_1,비욘드 수딩젤_0,비욘드 수딩젤_1,시드물 에센셜_0,시드물 에센셜_1,홀리카홀리카 모이스쳐라이징_0,홀리카홀리카 모이스쳐라이징_1,더페이스샵 수딩젤_0,더페이스샵 수딩젤_1
10,0.0,0.0,49.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,56.81818,0.0,0.0,37.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.25,47.05882,0.0,0.0,0.0,0.0,21.42857,33.05785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.76158,47.91666
11,0.0,0.0,75.43859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,47.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.68085,0.0,75.0,0.47348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,76.47058,0.0,0.0,0.0,0.0,100.0,52.89256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.84105,35.41666
12,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.57894,65.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55319,0.0,62.5,0.47348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,41.17647,0.0,0.0,0.0,0.0,27.14285,37.19008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.39735,31.25
13,0.0,0.0,43.85964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,40.90909,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,53.19148,0.0,0.0,0.47348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,29.16666,47.05882,0.0,0.0,0.0,0.0,17.14285,42.14876,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,27.81456,47.91666
14,0.0,0.0,50.87719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,22.72727,0.0,0.0,37.5,0.0,0.0,0.0,0.0,15.95744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,52.94117,0.0,0.0,0.0,0.0,20.0,29.75206,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,34.43708,25.0
15,0.0,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.73684,38.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,70.58823,0.0,0.0,0.0,0.0,21.42857,31.40495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.86754,25.0
16,0.0,0.0,38.59649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.36842,52.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,47.05882,0.0,0.0,100.0,0.0,14.28571,30.57851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.50331,47.91666
17,0.0,0.0,29.82456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,47.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57446,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,52.94117,0.0,0.0,0.0,0.0,25.71428,17.35537,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.19205,25.0
18,0.0,0.0,57.89473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.26315,34.0909,0.0,0.0,29.16666,0.0,0.0,0.0,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,22.85714,24.79338,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,27.15231,27.08333
19,0.0,0.0,28.07017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23404,0.0,75.0,0.0,8.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,47.05882,0.0,0.0,0.0,0.0,22.85714,14.04958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.80132,41.66666
