,샤넬 엥땅스_0,샤넬 엥땅스_1,크리니크 립스_0,크리니크 립스_1,포인트 립앤아이리무버_0,포인트 립앤아이리무버_1,라네즈 립&아이리무버_0,라네즈 립&아이리무버_1,에뛰드 리무버_0,에뛰드 리무버_1,미샤 리무버_0,미샤 리무버_1,아리따움 리무버_0,아리따움 리무버_1,스킨푸드 리무버_0,스킨푸드 리무버_1,구달 패드_0,구달 패드_1,시드물 필링젤_0,시드물 필링젤_1,프리메라 필링_0,프리메라 필링_1,더샘 젤_0,더샘 젤_1,참존 콘트롤크림_0,참존 콘트롤크림_1,클레어스 젠틀블랙슈거페이셜폴리쉬_0,클레어스 젠틀블랙슈거페이셜폴리쉬_1,참존 마사지_0,참존 마사지_1,세컨디자인 부스트_0,세컨디자인 부스트_1,나인위시스 폴리쉬_0,나인위시스 폴리쉬_1,스킨푸드 젤_0,스킨푸드 젤_1,비욘드 스크럽_0,비욘드 스크럽_1,엘러브 필링패드_0,엘러브 필링패드_1,브라운랩 필링패드_0,브라운랩 필링패드_1,나이팅게일 [티트리]_0,나이팅게일 [티트리]_1,스킨푸드 2X_0,스킨푸드 2X_1,셀리맥스 패드_0,셀리맥스 패드_1,투쿨포스쿨 스크럽_0,투쿨포스쿨 스크럽_1,파파레서피 토너_0,파파레서피 토너_1,VDL 엑스폴리언트_0,VDL 엑스폴리언트_1,어퓨 메이커_0,어퓨 메이커_1,시드물 버블메이커_0,시드물 버블메이커_1,미샤 메이커_0,미샤 메이커_1,에뛰드 메이커_0,에뛰드 메이커_1,이니스프리 메이커_0,이니스프리 메이커_1,다이소 샤워볼_0,다이소 샤워볼_1,시크릿키 브러쉬_0,시크릿키 브러쉬_1,이니스프리 스펀지_0,이니스프리 스펀지_1,아리따움 거품망_0,아리따움 거품망_1,올리브영 거품망_0,올리브영 거품망_1,올리브영 클렌징퍼프_0,올리브영 클렌징퍼프_1,크룬 세안용_0,크룬 세안용_1,아임미미 브러쉬_0,아임미미 브러쉬_1
37,0.0,0.0,0.0,0.0,63.15789,45.71428,0.0,0.0,44.68085,47.61904,50.0,33.01886,50.0,35.09933,23.95833,42.05607,59.5238,64.28571,15.84158,37.34939,98.48484,47.56097,0.0,0.0,48.74815,61.10429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,0.0,0.0,0.0,19.13357,42.6282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,72.34042,0.0,0.0,58.33333,57.14285,75.0,47.82608,56.60377,55.10204,32.38095,22.85714,0.0,0.0,56.25,36.36363
38,0.0,0.0,0.0,0.0,57.89473,28.57142,0.0,0.0,29.78723,19.04761,50.0,30.18867,35.0,33.77483,27.08333,44.85981,30.95238,50.0,17.32673,26.50602,68.18181,37.80487,0.0,0.0,41.82621,58.2822,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,29.60288,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71428,34.04255,0.0,0.0,29.16666,28.57142,0.0,39.13043,67.92452,57.14285,100.0,24.7619,0.0,0.0,57.5,27.27272
39,0.0,0.0,0.0,0.0,63.15789,22.85714,0.0,0.0,36.17021,40.47619,46.42857,27.35849,50.0,51.65562,32.29166,36.44859,35.71428,71.42857,16.83168,53.01204,54.54545,31.70731,0.0,0.0,57.29013,59.7546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,24.90974,48.71794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857,46.80851,0.0,0.0,37.5,33.33333,0.0,0.0,39.62264,51.0204,27.61904,30.0,0.0,0.0,60.0,48.48484
40,0.0,0.0,0.0,0.0,36.8421,34.28571,0.0,0.0,76.59574,33.33333,60.71428,38.67924,32.5,62.9139,30.20833,100.0,40.47619,76.78571,14.35643,37.34939,27.27272,69.51219,0.0,0.0,69.21944,66.01226,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.56521,0.0,0.0,22.38267,51.60256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82978,0.0,0.0,0.0,42.85714,0.0,47.82608,37.73584,65.30612,26.66666,16.66666,0.0,0.0,32.5,48.48484
41,0.0,0.0,0.0,0.0,68.42105,28.57142,0.0,0.0,44.68085,35.71428,25.0,33.96226,32.5,62.25165,43.75,45.79439,80.95238,62.5,13.86138,43.37349,40.90909,57.31707,0.0,0.0,76.58321,53.25153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,39.13043,0.0,0.0,28.51985,51.28205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85714,65.95744,0.0,0.0,20.83333,47.61904,0.0,30.43478,66.03773,55.10204,28.09523,16.19047,0.0,0.0,52.5,54.54545
42,71.42857,0.0,0.0,0.0,36.8421,42.85714,0.0,0.0,36.17021,66.66666,42.85714,51.88679,100.0,37.08609,28.125,44.85981,76.19047,35.71428,19.30693,26.50602,71.21212,62.19512,0.0,0.0,72.01767,48.46625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,33.33333,21.73913,0.0,0.0,23.82671,42.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,29.78723,0.0,0.0,25.0,42.85714,0.0,0.0,56.60377,57.14285,53.33333,25.71428,0.0,0.0,76.25,18.18181
43,0.0,0.0,0.0,0.0,42.10526,42.85714,0.0,0.0,29.78723,100.0,25.0,28.30188,62.5,35.09933,100.0,56.07476,59.5238,44.64285,23.26732,19.2771,86.36363,67.07317,0.0,0.0,64.6539,51.65644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,30.43478,0.0,0.0,18.05054,38.78205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42857,19.14893,0.0,0.0,0.0,57.14285,0.0,26.08695,69.81132,75.5102,27.14285,16.19047,0.0,0.0,82.5,24.24242
44,0.0,0.0,0.0,0.0,42.10526,48.57142,0.0,0.0,25.53191,35.71428,42.85714,40.56603,52.5,37.08609,55.20833,40.18691,45.23809,57.14285,23.76237,28.91566,78.78787,84.14634,0.0,100.0,64.50662,53.37423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,65.21739,0.0,0.0,34.65703,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14285,59.57446,0.0,0.0,0.0,38.09523,0.0,43.47826,52.83018,53.06122,25.71428,27.14285,0.0,0.0,56.25,21.21212
45,0.0,0.0,0.0,0.0,36.8421,14.28571,0.0,0.0,100.0,40.47619,64.28571,40.56603,92.5,35.76158,48.95833,33.64485,50.0,60.71428,24.75247,25.3012,50.0,84.14634,0.0,0.0,52.13549,41.47239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,27.07581,88.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571,44.68085,0.0,0.0,0.0,42.85714,75.0,26.08695,35.84905,77.55102,23.33333,16.19047,0.0,0.0,78.75,18.18181
46,0.0,0.0,0.0,0.0,31.57894,40.0,0.0,0.0,82.97872,57.14285,82.14285,34.90566,40.0,27.81456,69.79166,23.36448,30.95238,44.64285,15.34653,37.34939,48.48484,79.26829,100.0,0.0,52.13549,46.50306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,16.9675,74.03846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571,57.4468,0.0,0.0,20.83333,38.09523,0.0,0.0,35.84905,63.2653,34.7619,21.90476,0.0,0.0,60.0,36.36363
