,샤넬 알뤼르_0,샤넬 알뤼르_1,메이크업포에버 매트_0,메이크업포에버 매트_1,레어카인드 립스틱_0,레어카인드 립스틱_1,샤넬 코코_0,샤넬 코코_1,샤넬 플래쉬_0,샤넬 플래쉬_1,삐아 틴트5_0,삐아 틴트5_1,삐아 4_0,삐아 4_1,삐아 틴트3_0,삐아 틴트3_1,블랙루즈 벨벳틴트3_0,블랙루즈 벨벳틴트3_1,헤라 글로스_0,헤라 글로스_1,블랙루즈 벨벳틴트2_0,블랙루즈 벨벳틴트2_1,블랙루즈 벨벳틴트_0,블랙루즈 벨벳틴트_1,입생로랑 크림_0,입생로랑 크림_1,어퓨 틴트_0,어퓨 틴트_1,KVD 비건뷰티 립스틱_0,KVD 비건뷰티 립스틱_1,롬앤 틴트_0,롬앤 틴트_1,랑콤 라커_0,랑콤 라커_1,맥 오일_0,맥 오일_1,비바이바닐라 틴트_0,비바이바닐라 틴트_1,삐아 틴트1_0,삐아 틴트1_1,디어달리아 무스_0,디어달리아 무스_1,로레알 파리 시그니처_0,로레알 파리 시그니처_1,홀리카홀리카 에어_0,홀리카홀리카 에어_1,컬러그램톡 틴트_0,컬러그램톡 틴트_1,웨이크메이크 틴트_0,웨이크메이크 틴트_1,나스 펜슬_0,나스 펜슬_1,메이크업포에버 블러쉬_0,메이크업포에버 블러쉬_1,더페이스샵 립라이너_0,더페이스샵 립라이너_1,맥 펜슬_0,맥 펜슬_1,마몽드 인텐스_0,마몽드 인텐스_1,마몽드 글라이드_0,마몽드 글라이드_1,웨이크메이크 초크_0,웨이크메이크 초크_1,더페이스샵 스틱_0,더페이스샵 스틱_1,레브론 매트밤_0,레브론 매트밤_1,에뛰드 AD_0,에뛰드 AD_1,어퓨 [매트]_0,어퓨 [매트]_1,미샤 매트_0,미샤 매트_1,마몽드 라이트_0,마몽드 라이트_1,부르조아 써니스틱_0,부르조아 써니스틱_1,미샤 멜티_0,미샤 멜티_1
10,52.94117,39.10256,0.0,0.0,0.0,0.0,61.53846,83.33333,14.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.53246,13.13131,53.84615,0.0,31.25,21.42857,41.93548,25.80645,11.49012,32.18884,0.0,0.0,39.36591,39.21901,32.87671,0.0,25.0,9.61538,0.0,10.86956,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,4.10557,39.5238,30.94512,40.10695,48.14814,46.34146,0.0,0.0,0.0,76.47058,33.33333,30.0,19.13043,25.92592,13.69863,0.0,0.0,0.0,47.82608,11.90476,17.77777,53.33333,0.0,0.0,0.0,0.0,0.0,21.49532,0.0,0.0,44.18604,0.0,0.0,0.0
11,50.42016,38.46153,0.0,33.33333,0.73206,0.0,66.92307,54.54545,17.64705,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,53.24675,12.12121,76.92307,0.0,40.625,26.78571,35.48387,51.6129,10.41292,26.60944,0.0,0.0,39.89431,35.31409,46.57534,0.0,57.14285,0.0,0.0,10.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74486,30.47619,32.92682,50.0,29.62962,78.04878,0.0,100.0,25.0,38.23529,20.83333,65.0,14.7826,70.37037,16.43835,0.0,0.0,0.0,43.47826,0.0,33.33333,17.77777,0.0,0.0,0.0,0.0,0.0,17.757,0.0,0.0,0.0,0.0,0.0,0.0
12,54.62184,52.5641,85.71428,0.0,0.0,0.0,56.92307,73.48484,64.70588,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.23376,52.52525,0.0,69.23076,50.0,16.07142,64.51612,41.93548,11.31059,32.61802,0.0,0.0,31.17569,36.67232,50.68493,0.0,28.57142,11.53846,0.0,17.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69208,45.71428,33.84146,49.46524,55.55555,100.0,75.0,0.0,25.0,35.29411,33.33333,35.0,12.17391,48.14814,23.28767,0.0,0.0,0.0,0.0,85.71428,13.33333,33.33333,0.0,0.0,0.0,0.0,0.0,7.47663,0.0,0.0,25.58139,0.0,0.0,0.0
13,55.46218,50.0,0.0,0.0,1.46412,0.0,56.15384,53.0303,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.84415,22.22222,84.61538,53.84615,25.0,25.0,25.80645,29.03225,10.05385,21.03004,0.0,0.0,29.06208,32.7674,56.16438,0.0,28.57142,9.61538,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69208,43.80952,30.33536,47.86096,37.03703,34.14634,0.0,0.0,25.0,29.41176,50.0,0.0,13.91304,44.44444,12.32876,0.0,0.0,0.0,34.7826,42.85714,31.11111,13.33333,0.0,0.0,0.0,0.0,0.0,7.47663,0.0,0.0,27.90697,0.0,0.0,0.0
14,55.46218,32.6923,0.0,0.0,0.0,0.0,56.92307,73.48484,23.52941,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.23376,16.16161,38.46153,69.23076,28.125,0.0,51.6129,51.6129,8.25852,29.18454,0.0,0.0,29.72258,33.27674,43.83561,0.0,50.0,0.0,6.54205,32.60869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50439,48.09523,31.40243,59.35828,44.44444,34.14634,62.5,0.0,0.0,38.23529,54.16666,50.0,16.52173,40.74074,19.17808,0.0,0.0,0.0,39.13043,35.71428,0.0,31.11111,0.0,0.0,0.0,0.0,0.0,10.28037,0.0,0.0,27.90697,0.0,0.0,0.0
15,47.05882,51.92307,71.42857,0.0,0.0,0.0,76.15384,66.66666,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,11.11111,38.46153,38.46153,25.0,26.78571,41.93548,100.0,12.38779,46.78111,0.0,0.0,32.49669,31.23938,43.83561,53.42465,35.71428,0.0,10.28037,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,6.15835,38.09523,29.57317,50.0,55.55555,53.65853,0.0,0.0,0.0,14.70588,41.66666,25.0,38.26086,51.85185,34.24657,0.0,0.0,0.0,34.7826,23.80952,13.33333,0.0,0.0,0.0,0.0,0.0,0.0,34.57943,9.61538,0.0,39.53488,0.0,0.0,0.0
16,47.89915,37.82051,0.0,0.0,0.87847,0.0,64.61538,63.63636,32.35294,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,84.41558,23.23232,53.84615,100.0,28.125,19.64285,29.03225,54.8387,11.66965,40.34334,0.0,0.0,30.91149,38.87945,52.05479,13.69863,28.57142,25.0,10.28037,17.3913,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,100.0,6.15835,36.19047,33.84146,71.92513,59.25925,46.34146,0.0,0.0,0.0,58.82352,45.83333,50.0,19.13043,51.85185,9.58904,0.0,0.0,0.0,30.43478,35.71428,26.66666,13.33333,0.0,0.0,0.0,0.0,0.0,19.62616,0.0,11.53846,37.2093,0.0,0.0,0.0
17,44.53781,39.74358,71.42857,27.77777,1.61054,0.0,76.15384,72.72727,14.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.15584,31.31313,0.0,53.84615,40.625,33.92857,51.6129,35.48387,11.66965,46.78111,0.0,0.0,42.00792,54.49915,87.67123,35.61643,57.14285,0.0,17.757,10.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27859,43.33333,31.25,47.3262,40.74074,60.9756,62.5,0.0,0.0,32.35294,50.0,30.0,21.73913,37.03703,30.13698,0.0,0.0,100.0,43.47826,90.47619,31.11111,26.66666,0.0,0.0,0.0,0.0,0.0,19.62616,0.0,0.0,11.6279,0.0,0.0,0.0
18,41.17647,34.61538,0.0,0.0,2.92825,0.0,66.15384,64.39393,0.0,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,19.19191,46.15384,76.92307,21.875,32.14285,100.0,32.25806,14.72172,35.19313,0.0,0.0,39.76221,100.0,67.12328,36.9863,53.57142,0.0,8.41121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15835,51.90476,32.92682,51.33689,33.33333,75.60975,0.0,0.0,30.0,70.58823,58.33333,60.0,20.86956,44.44444,13.69863,0.0,0.0,75.0,21.73913,40.47619,35.55555,31.11111,0.0,0.0,0.0,0.0,0.0,13.08411,11.53846,11.53846,30.23255,0.0,0.0,0.0
19,61.34453,33.33333,0.0,0.0,3.07467,0.73206,72.30769,73.48484,0.0,25.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,88.31168,42.42424,38.46153,0.0,37.5,25.0,54.8387,58.06451,58.34829,39.48497,0.0,0.0,37.78071,84.71986,10.9589,35.61643,28.57142,25.0,5.60747,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.48973,42.38095,33.53658,51.06951,40.74074,60.9756,0.0,0.0,0.0,38.23529,20.83333,45.0,21.73913,70.37037,100.0,0.0,0.0,0.0,21.73913,100.0,13.33333,35.55555,0.0,0.0,0.0,0.0,0.0,14.01869,9.61538,0.0,48.8372,0.0,0.0,0.0
20,53.78151,23.71794,0.0,88.88888,5.56368,0.0,67.6923,76.51515,23.52941,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,100.0,84.61538,84.61538,40.625,26.78571,35.48387,93.54838,38.77917,37.33905,0.0,0.0,44.25363,69.10016,17.80821,21.9178,42.85714,13.46153,0.0,69.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.60997,47.14285,30.64024,48.12834,51.85185,46.34146,0.0,0.0,0.0,26.47058,70.83333,45.0,20.0,40.74074,91.78082,0.0,47.36842,75.0,21.73913,64.28571,42.22222,13.33333,0.0,0.0,0.0,0.0,0.0,12.14953,11.53846,0.0,76.74418,0.0,0.0,0.0
