,셀퓨전씨 필스_0,셀퓨전씨 필스_1,이니스프리 클렌저_0,이니스프리 클렌저_1,SRB세안제_0,SRB세안제_1,휘게 클렌저_0,휘게 클렌저_1,프리메라 폼_0,프리메라 폼_1,이즈앤트리 워시_0,이즈앤트리 워시_1,애즈이즈투비 클렌저_0,애즈이즈투비 클렌저_1,해서린 클렌징젤_0,해서린 클렌징젤_1,미샤 클렌저_0,미샤 클렌저_1,닥터오라클 폼_0,닥터오라클 폼_1,잇퍼 클렌징폼_0,잇퍼 클렌징폼_1,유리프 폼클렌저_0,유리프 폼클렌저_1,라로슈포제 크림_0,라로슈포제 크림_1,설화수 폼_0,설화수 폼_1,시드물 젤)_0,시드물 젤)_1,에이밀 폼_0,에이밀 폼_1,메이크프렘 폼_0,메이크프렘 폼_1,시드물 클렌져_0,시드물 클렌져_1,룩스앤메이 클렌저_0,룩스앤메이 클렌저_1,러쉬 스킨_0,러쉬 스킨_1,더샘 워터_0,더샘 워터_1,바닐라코 오리지널_0,바닐라코 오리지널_1,니베아 워터_0,니베아 워터_1,킵쿨 워터_0,킵쿨 워터_1,더샘 패드_0,더샘 패드_1,헤이미쉬 밤_0,헤이미쉬 밤_1,키노닉스 패드_0,키노닉스 패드_1,라로슈포제 스킨_0,라로슈포제 스킨_1,비페스타 시트_0,비페스타 시트_1,비오투름 밀크_0,비오투름 밀크_1,가르니에 워터_0,가르니에 워터_1,브라운랩 워터_0,브라운랩 워터_1,크리니크 오일_0,크리니크 오일_1,슈에무라 오일_0,슈에무라 오일_1,설화수 오일_0,설화수 오일_1,세컨디자인 프레쉬_0,세컨디자인 프레쉬_1,시드물 밀크_0,시드물 밀크_1,16BRAND 밤_0,16BRAND 밤_1,아리얼 패드_0,아리얼 패드_1,에뛰드 클리너_0,에뛰드 클리너_1
10,0.0,0.0,0.0,0.0,60.23166,39.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,32.43243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90476,6.0,0.0,0.0,0.0,0.0,45.90163,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,71.42857,35.71428,54.8387,61.53846,68.96551,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,49.03474,25.625,0.0,0.0,62.5,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,48.64864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,17.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111,14.0,0.0,0.0,0.0,0.0,86.88524,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,81.72043,61.53846,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,83.33333,48.64864,39.375,0.0,62.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,32.43243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,23.80952,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,14.0,0.0,0.0,0.0,0.0,59.01639,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,53.57142,80.64516,58.97435,34.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,44.40154,23.125,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,43.24324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,16.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87301,11.0,0.0,0.0,0.0,31.57894,67.21311,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,57.14285,32.14285,70.96774,64.10256,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,83.33333,30.50193,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,67.56756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,11.42857,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87301,10.0,0.0,0.0,0.0,0.0,45.90163,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,35.71428,28.57142,45.16129,74.35897,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,52.50965,43.125,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51515,59.45945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,8.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7619,11.0,0.0,0.0,0.0,0.0,62.29508,45.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,75.0,60.21505,33.33333,62.06896,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,35.52123,27.5,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51515,72.97297,0.0,68.42105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5238,8.0,0.0,0.0,0.0,0.0,67.21311,80.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,64.51612,46.15384,75.86206,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,39.38223,31.25,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57575,45.94594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,6.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111,12.0,0.0,0.0,0.0,0.0,45.90163,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,59.13978,64.10256,62.06896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34.36293,17.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,54.05405,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,11.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73015,13.0,100.0,0.0,0.0,0.0,42.62295,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,17.85714,66.66666,46.15384,62.06896,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,30.88803,31.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,37.83783,55.55555,68.42105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111,12.0,0.0,0.0,0.0,0.0,39.34426,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,50.0,57.14285,79.56989,41.02564,27.5862,0.0,0.0,0.0,72.72727,0.0,0.0,26.31578,0.0,0.0,0.0
