,아리따움 팁_0,아리따움 팁_1,미샤 라이너_0,미샤 라이너_1,이니스프리 쥬얼_0,이니스프리 쥬얼_1,키스뉴욕 프레스앤고_0,키스뉴욕 프레스앤고_1,이니스프리 팁_0,이니스프리 팁_1,인코코 매니큐어_0,인코코 매니큐어_1,데싱디바 매직프레스_0,데싱디바 매직프레스_1,데싱디바 페디큐어_0,데싱디바 페디큐어_1,젤라또팩토리 패디_0,젤라또팩토리 패디_1,오호라 [페디]_0,오호라 [페디]_1,젤라또팩토리 프리미엄_0,젤라또팩토리 프리미엄_1,데싱디바 페디_0,데싱디바 페디_1,데싱디바 스톤]_0,데싱디바 스톤]_1,웨이크메이크 영양제]_0,웨이크메이크 영양제]_1,위드샨 이레이저_0,위드샨 이레이저_1,오피아이 엔비_0,오피아이 엔비_1,마이크로셀 바이탈_0,마이크로셀 바이탈_1,스킨푸드 네일에센스_0,스킨푸드 네일에센스_1,에뛰드 스파_0,에뛰드 스파_1,이니스프리 강화제_0,이니스프리 강화제_1,아리따움 오일_0,아리따움 오일_1,다이소 오일_0,다이소 오일_1,스킨푸드 오일_0,스킨푸드 오일_1,웨이크메이크 강화제]_0,웨이크메이크 강화제]_1,아리따움 하드너_0,아리따움 하드너_1,오피아이 오일_0,오피아이 오일_1,Nail TekII_0,Nail TekII_1,네이처리퍼블릭 펜_0,네이처리퍼블릭 펜_1,데싱디바 전용]_0,데싱디바 전용]_1,보브 네일케어_0,보브 네일케어_1,시드물 앰플_0,시드물 앰플_1,라벨영 쇼킹구해줘네일밤_0,라벨영 쇼킹구해줘네일밤_1,네이처리퍼블릭 초강력네일리무버_0,네이처리퍼블릭 초강력네일리무버_1,다이소 패드_0,다이소 패드_1,아리따움 띠너_0,아리따움 띠너_1,이니스프리 리무버_0,이니스프리 리무버_1,다이소 라벤더_0,다이소 라벤더_1,에뛰드 (마일드)_0,에뛰드 (마일드)_1,다이소 리무버_0,다이소 리무버_1,오피아이 리무버_0,오피아이 리무버_1
50,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,63.15789,0.0,0.0,0.0,0.0,55.0065,53.85934,36.0,68.03278,73.83419,73.31606,0.0,0.0,0.0,0.0,83.10679,44.11764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,26.92307,100.0,41.37931,78.18181,17.53554,0.0,0.0,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.96774,36.17021,0.0,0.0,0.0,0.0,53.57142,54.7619,0.0,0.0,55.95238,43.58974,74.4186,54.16666,0.0,0.0,68.18181,29.62962,0.0,0.0
51,0.0,0.0,91.66666,0.0,0.0,0.0,25.53191,0.0,0.0,0.0,0.0,0.0,47.85435,45.45454,42.66666,85.2459,64.50777,71.24352,0.0,0.0,0.0,0.0,84.07766,32.35294,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,63.63636,15.38461,37.03703,44.82758,29.0909,10.90047,0.0,0.0,14.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.64516,40.42553,0.0,0.0,0.0,0.0,67.85714,50.0,0.0,0.0,48.80952,61.53846,55.81395,62.5,0.0,0.0,86.36363,37.03703,0.0,0.0
52,0.0,0.0,75.0,0.0,0.0,0.0,31.91489,73.68421,0.0,0.0,0.0,0.0,56.43693,39.27958,29.33333,97.54098,62.6943,82.90155,0.0,0.0,0.0,0.0,100.0,76.47058,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.96296,48.27586,29.0909,15.63981,0.0,0.0,44.11764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.67741,48.93617,0.0,0.0,0.0,0.0,60.71428,40.47619,0.0,38.46153,45.23809,79.48717,32.55813,29.16666,0.0,0.0,86.36363,44.44444,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,40.42553,0.0,0.0,0.0,0.0,0.0,78.28348,58.31903,33.33333,69.67213,69.17098,52.84974,0.0,0.0,0.0,0.0,87.96116,64.70588,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,54.54545,61.53846,40.74074,34.48275,16.36363,14.69194,0.0,0.0,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2258,58.51063,0.0,0.0,0.0,0.0,39.28571,42.85714,0.0,46.15384,42.85714,30.76923,41.86046,70.83333,0.0,0.0,100.0,40.74074,0.0,0.0
54,0.0,0.0,0.0,50.0,0.0,0.0,80.85106,26.31578,0.0,0.0,0.0,0.0,74.51235,43.39622,42.66666,82.78688,71.24352,53.1088,0.0,0.0,0.0,0.0,84.66019,82.35294,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,45.45454,44.23076,70.37037,44.82758,21.81818,24.17061,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.29032,37.23404,0.0,0.0,0.0,0.0,50.0,42.85714,0.0,53.84615,29.7619,35.89743,27.90697,66.66666,0.0,0.0,95.45454,48.14814,0.0,0.0
55,0.0,0.0,0.0,50.0,0.0,0.0,78.7234,63.15789,0.0,0.0,0.0,0.0,64.75942,46.65523,40.0,100.0,73.31606,57.77202,0.0,0.0,0.0,0.0,93.0097,26.47058,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,13.46153,59.25925,44.82758,30.90909,15.63981,0.0,0.0,26.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.96774,39.3617,0.0,0.0,0.0,0.0,71.42857,83.33333,0.0,0.0,52.38095,41.02564,37.2093,45.83333,0.0,0.0,50.0,51.85185,0.0,0.0
56,0.0,0.0,75.0,0.0,0.0,0.0,65.95744,36.8421,0.0,0.0,0.0,0.0,58.90767,45.11149,66.66666,86.06557,71.24352,61.91709,0.0,0.0,0.0,0.0,86.99029,47.05882,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15384,25.92592,31.03448,21.81818,12.32227,0.0,0.0,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.64516,36.17021,0.0,0.0,0.0,0.0,60.71428,42.85714,0.0,53.84615,22.61904,35.89743,46.51162,41.66666,0.0,0.0,54.54545,40.74074,0.0,0.0
57,0.0,0.0,0.0,41.66666,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,57.3472,49.0566,42.66666,71.31147,82.90155,58.54922,0.0,0.0,0.0,0.0,85.82524,82.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30769,55.55555,24.13793,23.63636,19.43127,0.0,0.0,29.41176,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.29032,26.59574,0.0,0.0,0.0,0.0,42.85714,57.14285,0.0,46.15384,38.09523,51.28205,44.18604,29.16666,0.0,0.0,50.0,33.33333,0.0,0.0
58,0.0,0.0,0.0,58.33333,0.0,0.0,76.59574,63.15789,0.0,0.0,0.0,0.0,62.6788,46.65523,40.0,95.08196,52.84974,64.76683,0.0,0.0,0.0,0.0,93.59223,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,40.74074,44.82758,32.72727,10.42654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6129,43.61702,0.0,0.0,0.0,0.0,60.71428,54.7619,0.0,0.0,51.19047,38.46153,34.88372,79.16666,0.0,0.0,90.90909,40.74074,0.0,0.0
59,0.0,0.0,0.0,50.0,0.0,0.0,53.19148,78.94736,0.0,0.0,0.0,0.0,60.46814,40.13722,32.0,97.54098,53.1088,63.98963,0.0,0.0,0.0,0.0,86.40776,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,44.44444,51.72413,12.72727,14.218,0.0,0.0,20.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.77419,47.87234,0.0,0.0,0.0,0.0,71.42857,78.57142,0.0,0.0,29.7619,23.07692,53.48837,70.83333,0.0,0.0,86.36363,37.03703,0.0,0.0
60,0.0,0.0,0.0,58.33333,0.0,0.0,55.31914,100.0,0.0,0.0,0.0,0.0,67.75032,60.54888,29.33333,71.31147,57.77202,77.97927,0.0,0.0,0.0,0.0,74.95145,20.58823,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61538,66.66666,41.37931,23.63636,11.3744,0.0,0.0,32.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93548,50.0,0.0,0.0,0.0,0.0,42.85714,66.66666,0.0,46.15384,33.33333,48.71794,69.76744,25.0,0.0,0.0,59.0909,37.03703,71.42857,0.0
61,918,827,4996,1155197,4817,82991,5684,2843,411603,18454,6784,224101,626839,9955,25946,5233,79531,4451,21255,1192,4155,12530,5233,25946,626839,8794,23735,14596,47739,192589,463,19214,549,168,225,562669,2732,82683,317706,99199,770099,770332,36562,1064653,3144,921,23735,226192,226192,14596,14596,154782,44215,15115,931,702052,626839,65131,139307,268543,2890,54354,254,564237,2092,174402,3882,19778,174402,217042,6665,317706,813,4627,62893,468529,49960,1064653,251911,1716
