,아리따움 쿨러_0,아리따움 쿨러_1,다이소 (44535)_0,다이소 (44535)_1,이니스프리 스패튤라_0,이니스프리 스패튤라_1,닥터자르트 쉐이퍼_0,닥터자르트 쉐이퍼_1,어퓨 마사저_0,어퓨 마사저_1,글로우힐 브러시_0,글로우힐 브러시_1,어퓨 커버_0,어퓨 커버_1,이니스프리 브러시_0,이니스프리 브러시_1,입생로랑 마사저_0,입생로랑 마사저_1,에뛰드 마사저_0,에뛰드 마사저_1,황후연이혈기석_0,황후연이혈기석_1,에뛰드 쿨러_0,에뛰드 쿨러_1,루데아 브이밴드_0,루데아 브이밴드_1,미샤 브러시_0,미샤 브러시_1,자르딘 롤러_0,자르딘 롤러_1,오멜론 페이스_0,오멜론 페이스_1,싸이닉 키트_0,싸이닉 키트_1,이니스프리 볼_0,이니스프리 볼_1,아이소이 링클케어_0,아이소이 링클케어_1,더마퀸 페이스용_0,더마퀸 페이스용_1,클레어스 [SPF50+/PA++++]_0,클레어스 [SPF50+/PA++++]_1,휘게 [SPF50+/PA++++]_0,휘게 [SPF50+/PA++++]_1,AHC 선세럼)_0,AHC 선세럼)_1,이자녹스 [SPF50+/PA++++]_0,이자녹스 [SPF50+/PA++++]_1,엑스와이지 포뮬러 [SPF50+/PA+++]_0,엑스와이지 포뮬러 [SPF50+/PA+++]_1,달바 [SPF50+/PA++++]_0,달바 [SPF50+/PA++++]_1,미샤 [SPF50+/PA++++]_0,미샤 [SPF50+/PA++++]_1,어퓨 [SPF50+/PA++++]_0,어퓨 [SPF50+/PA++++]_1,셀퓨전씨 [SPF50+/PA+++]_0,셀퓨전씨 [SPF50+/PA+++]_1,미샤 [SPF45/PA+++]_0,미샤 [SPF45/PA+++]_1,더프트앤도프트 [SPF50+/PA++++]_0,더프트앤도프트 [SPF50+/PA++++]_1,더페이스샵 50+/PA++++]_0,더페이스샵 50+/PA++++]_1,라로슈포제 [SPF50/PA++++]_0,라로슈포제 [SPF50/PA++++]_1,입생로랑 [SPF50+/PA+++]_0,입생로랑 [SPF50+/PA+++]_1,랩노 [SPF50+/PA++++]_0,랩노 [SPF50+/PA++++]_1,더프트앤도프트 [SPF50+/PA+++]_0,더프트앤도프트 [SPF50+/PA+++]_1,싸이닉 [SPF50+/PA+++]_0,싸이닉 [SPF50+/PA+++]_1,에뛰드 [SPF50+/PA++++]_0,에뛰드 [SPF50+/PA++++]_1,AHC [SPF50+/PA++++]_0,AHC [SPF50+/PA++++]_1,식물나라 [SPF50+/PA+++]_0,식물나라 [SPF50+/PA+++]_1
26,25.71428,36.17021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,17.85714,13.63636,30.0,53.57142,0.0,24.0,57.24137,83.33333,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,20.0,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,45.0,20.23809,0.0,0.0,69.65517,100.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,22.85714,34.04255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,11.36363,0.0,16.66666,0.0,24.0,73.10344,68.75,22.22222,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,70.21276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.90909,30.0,22.61904,0.0,20.0,57.24137,60.41666,0.0,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,14.28571,44.68085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,50.0,29.7619,0.0,24.0,66.20689,77.08333,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,14.28571,40.42553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,0.0,0.0,45.45454,45.0,26.19047,0.0,40.0,55.86206,77.08333,0.0,55.55555,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,17.14285,44.68085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0909,30.0,15.47619,0.0,100.0,51.03448,77.08333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,17.14285,27.65957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.18181,0.0,15.47619,0.0,48.0,53.7931,75.0,18.51851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,0.0,0.0,0.0,0.0,20.45454,25.0,16.66666,0.0,48.0,57.24137,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,37.14285,29.78723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26086,0.0,0.0,0.0,15.90909,60.0,21.42857,0.0,24.0,61.37931,54.16666,18.51851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
