,스킨79 [SPF50+/PA+++]_0,스킨79 [SPF50+/PA+++]_1,닥터자르트 [SPF35/PA++]_0,닥터자르트 [SPF35/PA++]_1,스킨79 [SPF30/PA++]_0,스킨79 [SPF30/PA++]_1,Dr.G [SPF30/PA++]_0,Dr.G [SPF30/PA++]_1,부르조아 CC크림_0,부르조아 CC크림_1,바닐라코 [SPF30/PA++]_0,바닐라코 [SPF30/PA++]_1,설화수 CC유액_0,설화수 CC유액_1,숨37˚ [SPF28/PA++]_0,숨37˚ [SPF28/PA++]_1,숨37˚ [SPF50+/PA+++]_0,숨37˚ [SPF50+/PA+++]_1,에스케이투 [SPF50/PA+++]_0,에스케이투 [SPF50/PA+++]_1,프리메라 [SPF50+/PA+++]_0,프리메라 [SPF50+/PA+++]_1,VT COSMETICS [SPF22/PA++]_0,VT COSMETICS [SPF22/PA++]_1,아가타 코스메틱 팩트_0,아가타 코스메틱 팩트_1,홀리카홀리카 [SPF32/PA++]_0,홀리카홀리카 [SPF32/PA++]_1,VT COSMETICS [SPF50/PA+++]_0,VT COSMETICS [SPF50/PA+++]_1,시크릿키 CC크림_0,시크릿키 CC크림_1,라비다 [SPF30/PA++]_0,라비다 [SPF30/PA++]_1,시크릿키 쿠션_0,시크릿키 쿠션_1,포렌코즈 [SPF50+/PA+++]_0,포렌코즈 [SPF50+/PA+++]_1,지방시 뷰티 [SPF15/PA+]_0,지방시 뷰티 [SPF15/PA+]_1,반트 36.5 [SPF40/PA+++]_0,반트 36.5 [SPF40/PA+++]_1,싸이닉 커버쿠션CC_0,싸이닉 커버쿠션CC_1,토니모리 [SPF30/PA++]_0,토니모리 [SPF30/PA++]_1,어반디케이 스프레이_0,어반디케이 스프레이_1,헤라 픽서_0,헤라 픽서_1,쏘내추럴 픽서_0,쏘내추럴 픽서_1,투쿨포스쿨 픽서_0,투쿨포스쿨 픽서_1,에스티 로더 미스트_0,에스티 로더 미스트_1,미샤 픽서_0,미샤 픽서_1,입생로랑 스프레이_0,입생로랑 스프레이_1,메이크업포에버 픽스_0,메이크업포에버 픽스_1,에스쁘아 미스트_0,에스쁘아 미스트_1,메리케이 스프레이_0,메리케이 스프레이_1,자트인사이트 픽서_0,자트인사이트 픽서_1,어반디케이 올나이터_0,어반디케이 올나이터_1,네이처리퍼블릭 픽서_0,네이처리퍼블릭 픽서_1,아리따움 픽서_0,아리따움 픽서_1,바비브라운 칼라_0,바비브라운 칼라_1,투쿨포스쿨 로즈_0,투쿨포스쿨 로즈_1,랑콤 루즈_0,랑콤 루즈_1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.68965,54.36893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02702,44.18604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,58.69565,39.63963,39.63963,36.92307,46.15384,83.01886,71.42857,18.18181,28.0,0.0,0.0,0.0,0.0,41.17647,60.0,0.0,0.0,22.95918,75.0,50.0,20.43795,0.0,0.0,47.92626,21.94304,0.0,0.0,0.0,0.0,92.30769,25.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.93203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,60.46511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,51.72413,41.30434,66.66666,66.66666,73.84615,38.46153,71.69811,57.14285,18.18181,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,33.16326,73.16176,56.0,30.65693,0.0,0.0,42.85714,17.25293,0.0,0.0,62.5,0.0,38.46153,14.0625
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.31034,36.8932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91891,51.16279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,62.06896,93.47826,50.45045,50.45045,24.61538,38.46153,60.37735,78.57142,21.81818,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,38.2653,91.17647,100.0,27.00729,0.0,0.0,42.85714,13.90284,0.0,0.0,62.5,0.0,34.61538,59.375
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.72413,58.25242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13513,53.48837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,69.56521,60.36036,60.36036,50.76923,30.76923,62.26415,78.57142,12.72727,24.0,0.0,0.0,0.0,0.0,29.41176,50.0,0.0,0.0,60.71428,95.58823,46.0,56.9343,0.0,0.0,57.60368,14.07035,0.0,0.0,0.0,0.0,50.0,54.6875
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7931,64.07766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.45945,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,78.26086,42.34234,42.34234,73.84615,21.79487,41.50943,42.85714,16.36363,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,56.12244,71.32352,32.0,30.65693,0.0,0.0,56.68202,16.2479,0.0,0.0,62.5,0.0,42.30769,40.625
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.48275,64.07766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,70.27027,53.48837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51724,76.08695,59.45945,59.45945,50.76923,37.17948,45.28301,71.42857,92.72727,88.0,0.0,0.0,0.0,71.42857,35.29411,0.0,0.0,0.0,22.44897,70.58823,34.0,18.24817,0.0,45.45454,50.69124,13.06532,0.0,0.0,0.0,0.0,61.53846,60.9375
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.48275,67.96116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,27.02702,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,24.13793,56.52173,41.44144,41.44144,55.38461,33.33333,50.94339,42.85714,70.90909,84.0,0.0,0.0,77.77777,0.0,29.41176,60.0,0.0,0.0,24.48979,75.73529,58.0,36.49635,0.0,0.0,55.29953,14.90787,0.0,0.0,0.0,0.0,23.07692,64.0625
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.34482,55.3398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,45.94594,51.16279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,58.62068,45.65217,50.45045,50.45045,40.0,33.33333,52.83018,35.71428,38.18181,52.0,0.0,0.0,88.88888,0.0,0.0,50.0,0.0,0.0,16.32653,56.25,54.0,22.62773,0.0,63.63636,59.447,10.05025,0.0,0.0,87.5,0.0,38.46153,42.1875
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.89655,47.57281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,56.75675,37.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,60.86956,60.36036,60.36036,29.23076,29.48717,69.81132,50.0,54.54545,76.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,0.0,4.59183,52.57352,66.0,29.19708,0.0,0.0,37.32718,14.07035,0.0,0.0,0.0,0.0,23.07692,59.375
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.31034,60.19417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.67567,53.48837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75862,80.43478,49.54954,49.54954,53.84615,34.61538,45.28301,0.0,76.36363,56.0,0.0,0.0,55.55555,100.0,100.0,0.0,100.0,0.0,7.14285,73.16176,60.0,27.00729,0.0,0.0,33.17972,14.23785,0.0,0.0,0.0,0.0,34.61538,28.125
