,라벤더_0,라벤더_1,라벤더_2,퍼퓸드 디퓨저        작약_0,퍼퓸드 디퓨저        작약_1,퍼퓸드 디퓨저        작약_2,꽃담초 섬유탈취제   연꽃_0,꽃담초 섬유탈취제   연꽃_1,꽃담초 섬유탈취제   연꽃_2,섬유향수 로제_0,섬유향수 로제_1,섬유향수 로제_2,비치워크_0,비치워크_1,비치워크_2,섬유향수 그레이프향_0,섬유향수 그레이프향_1,섬유향수 그레이프향_2,미드나잇 쟈스민_0,미드나잇 쟈스민_1,미드나잇 쟈스민_2,잉글리쉬 페어 앤 프리지아 디퓨저_0,잉글리쉬 페어 앤 프리지아 디퓨저_1,잉글리쉬 페어 앤 프리지아 디퓨저_2,퍼퓸드 디퓨저        삼나무_0,퍼퓸드 디퓨저        삼나무_1,퍼퓸드 디퓨저        삼나무_2,퍼퓸드 디퓨저        한란_0,퍼퓸드 디퓨저        한란_1,퍼퓸드 디퓨저        한란_2,루나 미니  _0,루나 미니  _1,루나 미니  _2,미아 _0,미아 _1,미아 _2,클렌징 인핸서_0,클렌징 인핸서_1,럭스 캐시미어 페이셜 브러쉬_0,럭스 캐시미어 페이셜 브러쉬_1,럭스 캐시미어 페이셜 브러쉬_2,스마트 프로파일_0,스마트 프로파일_1,스마트 프로파일_2,더마 LED 마스크 BWJ _0,더마 LED 마스크 BWJ _1,더마 LED 마스크 BWJ _2,피부관리기_0,피부관리기_1,피부관리기_2,에이지락 루미스파_0,에이지락 루미스파_1,에이지락 루미스파_2,딥 포어 브러시 헤드_0,딥 포어 브러시 헤드_1,딥 포어 브러시 헤드_2,갈바닉 미세진동 마사지기_0,갈바닉 미세진동 마사지기_1,갈바닉 미세진동 마사지기_2,갈바닉 이온 부스터_0,갈바닉 이온 부스터_1,갈바닉 이온 부스터_2,루메아 에센셜 IPL 제모기_0,루메아 에센셜 IPL 제모기_1,루메아 에센셜 IPL 제모기_2,울트라 리프팅 트리니티_0,울트라 리프팅 트리니티_1,울트라 리프팅 트리니티_2,화산석 미세모 회전 클렌징기_0,화산석 미세모 회전 클렌징기_1,화산석 미세모 회전 클렌징기_2,브라이트 소닉 브러시 헤드_0,브라이트 소닉 브러시 헤드_1,아리아_0,아리아_1,아리아_2,플래시앤고 프리덤_0,플래시앤고 프리덤_1,플래시앤고 프리덤_2,초음파 클렌저_0,초음파 클렌저_1,초음파 클렌저_2,커버앤클린핏_0,커버앤클린핏_1,커버앤클린핏_2,에그디바이스 _0,에그디바이스 _1,에그디바이스 _2,플랫형 GP   _0,플랫형 GP   _1,플랫형 GP   _2,헤어 드라이어 HP     _0,헤어 드라이어 HP     _1,헤어 드라이어 HP     _2,슈퍼소닉 헤어 드라이어_0,슈퍼소닉 헤어 드라이어_1,슈퍼소닉 헤어 드라이어_2, M    A  전문가용 헤어드라이어_0, M    A  전문가용 헤어드라이어_1, M    A  전문가용 헤어드라이어_2,글램웨이브 봉고데기   mm_0,글램웨이브 봉고데기   mm_1,글램웨이브 봉고데기   mm_2,MA   A  토네이도 드라이기 _0,MA   A  토네이도 드라이기 _1,MA   A  토네이도 드라이기 _2,드라이기 리스펙트 무빙에어 HV    KO_0,드라이기 리스펙트 무빙에어 HV    KO_1,드라이기 리스펙트 무빙에어 HV    KO_2,소프트바 판고데기_0,소프트바 판고데기_1,소프트바 판고데기_2,미니고데기_0,미니고데기_1,미니고데기_2
48,58.79341,51.91096,78.13528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46938,30.61224,23.40425,28.35959,88.06941,56.26822,24.24242,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,0.0,52.28215,43.9834,78.91566,26.31578,19.62025,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.52631,56.61764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.96254,54.63917,0.0,0.0,3.32103,14.92537,37.69633,32.46073,0.0,8.06451,39.13043,18.93095,13.41164,47.67025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,79.30635,70.4241,69.61429
49,61.6819,57.83284,90.34734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.61224,31.63265,16.31205,28.82298,80.47722,57.4344,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,51.86721,61.41078,50.0,28.07017,14.55696,70.0,0.0,0.0,0.0,0.0,0.0,0.0,84.51612,41.05263,58.08823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42848,86.49262,51.98821,0.0,0.0,2.95202,26.36815,32.46073,19.1972,0.0,0.0,26.08695,23.30178,10.71953,52.56869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.22543,64.0625,73.8476
50,65.99634,50.35699,92.28519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.63265,24.48979,15.60283,32.90083,77.87418,49.56268,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,51.45228,41.90871,71.68674,17.54385,13.92405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.70967,51.57894,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.20328,82.51986,52.87187,0.0,0.0,0.0,17.41293,19.1972,18.3246,0.0,8.06451,0.0,19.18151,8.46793,39.30704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4393,73.4375,62.65286
51,68.19012,52.70894,78.06215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48979,23.46938,100.0,39.0176,80.47722,54.66472,21.21212,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,40.6639,30.70539,63.25301,33.33333,15.82278,35.0,0.0,0.0,0.0,0.0,0.0,0.0,89.67741,69.1228,52.20588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.89896,83.54143,61.41384,0.0,0.0,11.07011,31.34328,18.3246,20.9424,0.0,12.90322,78.26086,17.59465,11.45374,32.01911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.19653,89.50892,73.56538
52,62.19378,47.54304,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46938,15.30612,26.95035,30.95458,74.62039,45.33527,15.15151,0.0,0.0,0.0,0.0,0.0,42.30769,0.0,0.0,0.0,0.0,47.3029,38.17427,75.90361,21.05263,17.72151,45.0,0.0,0.0,0.0,0.0,0.0,0.0,76.12903,42.45614,63.97058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03651,85.92508,63.99116,0.0,0.0,11.43911,100.0,20.9424,26.00349,0.0,12.90322,78.26086,13.27951,19.48115,35.24492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.13294,75.89285,95.29633
53,58.82998,49.09701,76.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.30612,20.40816,22.69503,27.8962,87.41865,42.56559,18.18181,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,0.0,0.0,35.2697,30.29045,64.45783,33.33333,16.45569,25.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29032,62.45614,52.20588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.33414,88.42224,56.8483,0.0,0.0,11.43911,41.29353,26.00349,15.00872,0.0,12.90322,69.56521,8.37973,15.81008,30.10752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,96.41618,79.01785,69.89651
54,63.07129,52.75094,81.20658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11764,33.33333,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.40816,11.22448,17.73049,30.12048,78.30802,54.95626,39.39393,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,49.79253,30.70539,46.98795,29.82456,12.02531,50.0,0.0,0.0,0.0,0.0,0.0,0.0,90.96774,43.85964,74.2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.36822,86.2656,61.26656,0.0,0.0,9.96309,26.86567,15.00872,15.35776,0.0,16.12903,43.47826,10.1893,18.06167,82.55675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.12138,81.58482,73.75352
55,58.64716,60.22679,77.47714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.70588,61.11111,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22448,21.42857,6.38297,28.7303,81.56182,52.47813,39.39393,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,0.0,36.92946,44.39834,66.86746,19.29824,15.18987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.93548,48.07017,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8034,91.03291,61.3402,0.0,0.0,21.77121,18.90547,15.35776,40.66317,0.0,25.80645,39.13043,11.91536,13.75428,60.69295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.23699,72.87946,64.72248
56,62.01096,62.11675,64.0585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,55.55555,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,15.30612,12.05673,31.69601,76.13882,47.66763,27.27272,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,0.0,32.78008,36.51452,62.6506,22.80701,18.35443,30.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2258,44.5614,66.91176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.21241,85.13053,48.96907,0.0,0.0,23.98523,14.42786,40.66317,25.82897,0.0,9.67741,78.26086,11.44209,10.47479,41.93548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0289,66.85267,59.17215
57,78.53747,100.0,89.83546,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,29.41176,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.30612,17.34693,18.43971,32.25208,80.04338,49.12536,39.39393,0.0,0.0,0.0,0.0,0.0,42.30769,0.0,0.0,0.0,0.0,53.9419,29.46058,77.71084,26.31578,15.18987,25.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74193,41.75438,67.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.03043,80.1362,48.23269,0.0,0.0,27.30627,19.90049,25.82897,25.82897,0.0,16.12903,47.82608,14.86636,10.67058,37.87335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.00578,74.44196,54.46848
