,바이 플라워 립 컨실러_0,바이 플라워 립 컨실러_1,매트 립 부스팅 프라이머_0,매트 립 부스팅 프라이머_1,커버 퍼펙션 립 컨실러_0,커버 퍼펙션 립 컨실러_1,페이스믹스 프라이머 립 컨실러_0,페이스믹스 프라이머 립 컨실러_1,립프라이머_0,립프라이머_1,키스키스 립 리프트_0,키스키스 립 리프트_1,미니 투 매치 립스틱  립 컨실러 _0,미니 투 매치 립스틱  립 컨실러 _1,톡톡 립 컨실러_0,톡톡 립 컨실러_1,CC 립 프라이머  SPF   PA  _0,CC 립 프라이머  SPF   PA  _1,CC 립 프라이머 틴트  SPF   PA  _0,CC 립 프라이머 틴트  SPF   PA  _1,퍼스트 립밤 리스토어 앤 수딩_0,퍼스트 립밤 리스토어 앤 수딩_1,모이스처라이징 립밤 클래식_0,모이스처라이징 립밤 클래식_1,그린티 립 슬리핑 마스크_0,그린티 립 슬리핑 마스크_1,호호바 립 에센스_0,호호바 립 에센스_1,메디케이티드 립젤_0,메디케이티드 립젤_1,배리어덤 시카 레브르_0,배리어덤 시카 레브르_1,진저 슈가 오버나이트 립 마스크_0,진저 슈가 오버나이트 립 마스크_1,립 슬리핑 마스크_0,립 슬리핑 마스크_1,센슈얼 스파이시 누드 밤_0,센슈얼 스파이시 누드 밤_1,블루베리 하이드레이팅 허니 립 밤_0,블루베리 하이드레이팅 허니 립 밤_1,미니 립테라피 오리지널_0,미니 립테라피 오리지널_1,아토덤 립스틱_0,아토덤 립스틱_1,엑스트라 립 틴트_0,엑스트라 립 틴트_1,데일리 립 컨디셔너 립밤_0,데일리 립 컨디셔너 립밤_1,미니 립 테라피 코코아버터_0,미니 립 테라피 코코아버터_1,립 리페어_0,립 리페어_1,립 메덱스_0,립 메덱스_1,모이스처라이징 립밤 체리 스틱_0,모이스처라이징 립밤 체리 스틱_1,인스턴트 라이트 립 컴포트 오일_0,인스턴트 라이트 립 컴포트 오일_1,모이스처라이징 립밤 체리 단지형_0,모이스처라이징 립밤 체리 단지형_1,리얼젤 핏 라이너_0,리얼젤 핏 라이너_1,원더프루프 펜 아이라이너_0,원더프루프 펜 아이라이너_1,히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_0,히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_1,브론즈 페인팅 워터프루프 아이 펜슬_0,브론즈 페인팅 워터프루프 아이 펜슬_1,샤프 쏘 심플 워터프루프 펜슬 라이너_0,샤프 쏘 심플 워터프루프 펜슬 라이너_1,리퀴드 아이라이너_0,리퀴드 아이라이너_1,리퀴드 디파인 라이너_0,리퀴드 디파인 라이너_1,히로인 메이크 스무스 리퀴드 아이라이너_0,히로인 메이크 스무스 리퀴드 아이라이너_1,프린세스 앙투아네트 리퀴드 아이라이너 브라운_0,프린세스 앙투아네트 리퀴드 아이라이너 브라운_1,라스트 오토 젤 아이라이너 슬림_0,라스트 오토 젤 아이라이너 슬림_1
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28571,15.625,0.0,10.16949,15.21739,14.0625,0.0,0.0,0.0,0.0,31.03448,0.0,44.57831,38.96103,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3618,61.08374,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.37704,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3394,0.0,0.0,0.0,0.0,0.0,28.57142,21.875,11.53846,0.0,22.82608,37.5,0.0,0.0,0.0,0.0,37.93103,0.0,15.66265,40.25974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,81.40703,65.02463,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.34426,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.92255,0.0,0.0,0.0,0.0,0.0,45.71428,18.75,21.79487,15.25423,42.3913,26.5625,0.0,0.0,0.0,0.0,44.82758,0.0,50.6024,51.94805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.86432,63.54679,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.42622,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.74487,0.0,0.0,0.0,0.0,0.0,14.28571,46.875,28.20512,11.8644,22.82608,34.375,0.0,0.0,0.0,0.0,0.0,0.0,34.93975,35.06493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3819,64.0394,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.93621,0.0,0.0,0.0,0.0,0.0,20.0,15.625,100.0,15.25423,15.21739,43.75,0.0,0.0,0.0,0.0,34.48275,0.0,44.57831,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33165,80.78817,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.62295,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72209,0.0,0.0,0.0,0.0,0.0,45.71428,0.0,14.10256,37.28813,20.65217,79.6875,0.0,0.0,0.0,0.0,17.24137,0.0,55.42168,55.84415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.40201,85.71428,0.0,0.0,34.0,80.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7377,44.64285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.98861,77.77777,0.0,0.0,0.0,0.0,62.85714,25.0,6.41025,20.33898,28.26086,64.0625,0.0,100.0,0.0,0.0,0.0,14.28571,54.21686,38.96103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.95979,84.23645,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9836,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.61538,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,15.625,10.25641,16.94915,28.26086,56.25,0.0,0.0,0.0,0.0,0.0,0.0,60.24096,37.66233,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.88442,68.96551,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.81967,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.45102,0.0,0.0,0.0,0.0,0.0,14.28571,0.0,6.41025,10.16949,10.86956,45.3125,0.0,63.63636,0.0,0.0,0.0,0.0,59.03614,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.83417,59.60591,0.0,0.0,22.0,50.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.01639,48.21428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,17.88154,0.0,0.0,0.0,0.0,0.0,0.0,31.25,8.97435,10.16949,23.91304,50.0,0.0,63.63636,0.0,0.0,0.0,28.57142,44.57831,55.84415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.43216,100.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.06557,67.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,21.07061,0.0,0.0,0.0,0.0,0.0,28.57142,100.0,12.82051,13.55932,18.47826,57.8125,0.0,0.0,0.0,0.0,0.0,0.0,34.93975,100.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.80904,88.17733,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.45901,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,18.33712,0.0,0.0,0.0,0.0,0.0,14.28571,59.375,7.6923,30.50847,15.21739,75.0,0.0,0.0,0.0,0.0,24.13793,0.0,53.01204,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.83919,76.35467,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18032,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92027,0.0,0.0,0.0,0.0,0.0,20.0,18.75,11.53846,15.25423,22.82608,45.3125,0.0,0.0,0.0,0.0,41.37931,0.0,42.16867,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3819,94.08866,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.70491,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00911,0.0,0.0,0.0,0.0,0.0,25.71428,40.625,19.23076,11.8644,7.60869,84.375,0.0,0.0,0.0,0.0,31.03448,0.0,38.55421,44.15584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,77.88944,71.42857,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86885,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2984,0.0,0.0,0.0,0.0,0.0,0.0,18.75,8.97435,13.55932,27.17391,100.0,0.0,0.0,0.0,0.0,0.0,20.0,18.07228,44.15584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.27638,82.75862,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18032,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.42596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97435,22.03389,5.43478,34.375,0.0,0.0,0.0,0.0,37.93103,20.0,37.34939,64.93506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.86934,50.2463,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9836,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38461,35.59322,25.0,43.75,0.0,0.0,0.0,0.0,17.24137,17.14285,30.12048,51.94805,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.85929,81.28078,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58997,0.0,0.0,0.0,0.0,0.0,31.42857,18.75,15.38461,23.72881,22.82608,79.6875,0.0,0.0,0.0,0.0,0.0,0.0,43.37349,41.55844,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.87437,90.64039,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4918,41.07142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.50341,66.66666,0.0,0.0,0.0,0.0,22.85714,0.0,8.97435,42.37288,20.65217,62.5,0.0,0.0,0.0,0.0,17.24137,0.0,32.53012,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89949,74.38423,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.96721,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25056,55.55555,0.0,0.0,0.0,0.0,0.0,18.75,8.97435,35.59322,15.21739,21.875,0.0,0.0,0.0,0.0,20.68965,0.0,31.3253,57.14285,0.0,0.0,0.0,0.0,100.0,0.0,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.35175,87.19211,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.08196,33.92857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94533,0.0,0.0,0.0,0.0,0.0,14.28571,18.75,12.82051,27.11864,100.0,18.75,0.0,0.0,0.0,0.0,0.0,40.0,25.3012,41.55844,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32663,63.05418,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.93442,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07289,0.0,0.0,0.0,0.0,0.0,45.71428,37.5,6.41025,28.81355,38.04347,56.25,0.0,0.0,0.0,0.0,17.24137,14.28571,33.73493,51.94805,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,60.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.31155,62.06896,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.29508,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97435,37.28813,30.43478,29.6875,0.0,0.0,0.0,0.0,20.68965,0.0,25.3012,46.75324,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.77889,66.99507,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
