,레시피 롤링 스틱 조이풀 스페셜 에디션_0,레시피 롤링 스틱 조이풀 스페셜 에디션_1,가슴크림_0,가슴크림_1,아쿠아데스톡 소프트 바디 솔루션 크림_0,아쿠아데스톡 소프트 바디 솔루션 크림_1,진저 플라이트 테라피_0,진저 플라이트 테라피_1,레시피 롤링 스틱 해피 스페셜 에디션_0,레시피 롤링 스틱 해피 스페셜 에디션_1,아로마테라피롤온  웨이크닝 _0,아로마테라피롤온  웨이크닝 _1,그린티 라벤더 마사지 오일_0,그린티 라벤더 마사지 오일_1,라벤더 앤 로즈마리 배스 마사지 오일_0,라벤더 앤 로즈마리 배스 마사지 오일_1,아로마 슬리밍 마사지 오일_0,아로마 슬리밍 마사지 오일_1,티트리 에센셜 오일_0,티트리 에센셜 오일_1,레져렉션 아로마틱 핸드 워시_0,레져렉션 아로마틱 핸드 워시_1,핸드N네일 인텐시브 플러스_0,핸드N네일 인텐시브 플러스_1,티 룸 핸드크림  플라워티 _0,티 룸 핸드크림  플라워티 _1,센서티브 핸드 리페어 앤 케어 크림_0,센서티브 핸드 리페어 앤 케어 크림_1,핸드 릴리프 _0,핸드 릴리프 _1,카밀 핸드크림 튜브_0,카밀 핸드크림 튜브_1,손소독제_0,손소독제_1,클래식 핸드크림 딥 모이스처_0,클래식 핸드크림 딥 모이스처_1,핸드앤 네일크림 바이탈 큐텐_0,핸드앤 네일크림 바이탈 큐텐_1,제주 라이프 퍼퓸드 핸드크림    월 햇살 아래 산딸기_0,제주 라이프 퍼퓸드 핸드크림    월 햇살 아래 산딸기_1,제주 라이프 퍼퓸드 핸드크림    월 핑크 코랄_0,제주 라이프 퍼퓸드 핸드크림    월 핑크 코랄_1,핸드 앤 네이처 핸드 크림   릴리_0,핸드 앤 네이처 핸드 크림   릴리_1,인텐스 릴리프 핸드크림_0,인텐스 릴리프 핸드크림_1,스트롱 프로텍션 크림 튜브형_0,스트롱 프로텍션 크림 튜브형_1,레저렉션 아로마틱 핸드 밤_0,레저렉션 아로마틱 핸드 밤_1,자연을 닮은 핸드크림   서리태_0,자연을 닮은 핸드크림   서리태_1,시어 드라이 스킨 핸드 크림 시어버터 핸드크림 _0,시어 드라이 스킨 핸드 크림 시어버터 핸드크림 _1,핸드 크림_0,핸드 크림_1,퍼퓸드 핸드 라이트 에센스  그레이프프루츠 _0,퍼퓸드 핸드 라이트 에센스  그레이프프루츠 _1,아이깨끗해 항균 폼 핸드솝 순 파우더향 _0,아이깨끗해 항균 폼 핸드솝 순 파우더향 _1,노르웨이젼 포뮬러 풋 크림_0,노르웨이젼 포뮬러 풋 크림_1,발을씻자 코튼풋샴푸  프레쉬 레몬 민트 _0,발을씻자 코튼풋샴푸  프레쉬 레몬 민트 _1,시어 버터 풋 크림_0,시어 버터 풋 크림_1,풋 케어 크림_0,풋 케어 크림_1,샤이니 풋 슈퍼 필링 리퀴드_0,샤이니 풋 슈퍼 필링 리퀴드_1,수드 쿨링 풋 스프레이_0,수드 쿨링 풋 스프레이_1,발샴푸_0,발샴푸_1,풋크림 프리미엄_0,풋크림 프리미엄_1,얼음샷 발샴푸_0,얼음샷 발샴푸_1,파라핀 풋마스크_0,파라핀 풋마스크_1
10,0.0,0.0,52.30769,84.42622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67918,0.19887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,74.5614,0.0,0.0,0.0,0.0,85.15713,40.50022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.60869,35.65573,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,60.0,72.54098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.14965,0.22822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19191,70.17543,0.0,0.0,0.0,0.0,79.47747,60.76181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,42.21311,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,75.07692,87.70491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.69015,0.44457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15151,56.14035,0.0,0.0,0.0,0.0,62.09769,59.06379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.56521,50.40983,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,79.07692,90.16393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.62981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29292,70.17543,0.0,0.0,0.0,0.0,82.24157,61.86324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,57.3913,36.88524,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,74.46153,79.50819,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,13.55932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.70795,1.01706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29292,71.05263,0.0,0.0,0.0,0.0,83.79401,59.08673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,50.43478,39.34426,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,100.0,78.68852,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,60.88842,1.30541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.20202,51.75438,0.0,0.0,0.0,0.0,83.07459,55.36943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,47.54098,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,72.0,85.65573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5741,1.22817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16161,41.22807,0.0,0.0,0.0,0.0,78.75804,42.54245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.60869,31.55737,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,62.46153,77.86885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,16.94915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,42.04781,3.07357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24242,51.75438,0.0,0.0,0.0,0.0,77.2056,46.90224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.60869,36.88524,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,67.07692,57.78688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.74857,8.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13131,80.70175,0.0,0.0,0.0,0.0,66.07345,60.89949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,44.67213,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,68.61538,80.7377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.89934,22.70233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24242,84.21052,0.0,0.0,0.0,0.0,71.71525,61.38136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26086,56.14754,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,68.0,72.95081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,34.4351,94.58261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,85.96491,0.0,0.0,0.0,0.0,99.65921,66.42955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.43478,48.77049,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,77.53846,81.96721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.90332,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.49494,100.0,0.0,0.0,0.0,0.0,93.26012,65.71821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91304,66.80327,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,70.15384,76.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70373,69.39528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23232,76.31578,0.0,0.0,0.0,0.0,97.69026,69.48141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,53.84615,0.0,0.0,0.0,0.0,52.17391,32.37704,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,65.84615,83.60655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.78742,73.11719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,54.38596,0.0,0.0,0.0,0.0,80.0833,59.63744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.61538,0.0,0.0,0.0,0.0,59.13043,43.03278,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,59.07692,81.14754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68838,42.71344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,57.89473,0.0,0.0,0.0,0.0,71.52593,64.13492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69565,39.34426,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,68.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5619,38.83739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.14141,76.31578,0.0,0.0,0.0,0.0,53.76751,77.85681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,58.26086,40.9836,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,72.0,88.93442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.10285,49.31041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23232,66.66666,0.0,0.0,0.0,0.0,59.21999,77.51262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.73913,43.03278,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,67.38461,92.21311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,15.36012,34.86662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29292,72.80701,0.0,0.0,0.0,0.0,75.61529,69.91739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.86956,46.31147,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,63.38461,92.62295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01188,31.88986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29292,71.92982,0.0,0.0,0.0,0.0,69.59485,87.19596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.43478,47.54098,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,74.76923,90.57377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.47037,30.40165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.41414,64.03508,0.0,0.0,0.0,0.0,73.49488,70.4681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,67.82608,43.85245,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,56.92307,87.70491,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,14.11278,24.27616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34343,52.63157,0.0,0.0,0.0,0.0,69.40552,56.63148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.95652,43.44262,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,44.61538,94.67213,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.64378,13.64796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.28282,55.26315,0.0,0.0,0.0,0.0,51.60923,57.61817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.47826,54.09836,0.0,0.0,0.0,0.0,0.0,0.0
