,태닝 오일 스프레이  SPF  _0,태닝 오일 스프레이  SPF  _1,다크 태닝 오일_0,다크 태닝 오일_1,쥬시 디자이어   X 브론저 태닝로션_0,쥬시 디자이어   X 브론저 태닝로션_1,딥 태닝오일_0,딥 태닝오일_1,엑셀러레이터 다크 태닝스프레이젤_0,엑셀러레이터 다크 태닝스프레이젤_1,인텐시파이어 브론징 드라이 태닝오일 스프레이_0,인텐시파이어 브론징 드라이 태닝오일 스프레이_1,매직 브론즈 셀프태닝 오일 미스트_0,매직 브론즈 셀프태닝 오일 미스트_1,블랙 누아르   X 태닝로션_0,블랙 누아르   X 태닝로션_1,셀프 태닝로션_0,셀프 태닝로션_1,일루시브   X 다크 태닝로션_0,일루시브   X 다크 태닝로션_1,엑셀레이터 다크 태닝로션 브론저_0,엑셀레이터 다크 태닝로션 브론저_1,글램 슬램 듀얼 브론징 태닝로션_0,글램 슬램 듀얼 브론징 태닝로션_1,디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_0,디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_1,  캐럿 골드러쉬   X 브론저 태닝로션_0,  캐럿 골드러쉬   X 브론저 태닝로션_1,  X 브론저 VIP 앳 더 맨션_0,  X 브론저 VIP 앳 더 맨션_1,DARK ANGEL    X 다크 엔젤 BLACK BRONZER 다크 태닝로션_0,DARK ANGEL    X 다크 엔젤 BLACK BRONZER 다크 태닝로션_1,OOH LA LA At The Mansion Extreme Hot Tingle Bronzer_0,OOH LA LA At The Mansion Extreme Hot Tingle Bronzer_1,그래쥬얼 태너_0,그래쥬얼 태너_1,다크 태닝오일 선스크린 스프레이  SPF  _0,다크 태닝오일 선스크린 스프레이  SPF  _1,다크태닝 스프레이 오일_0,다크태닝 스프레이 오일_1,세라마이드 아토 수딩 젤_0,세라마이드 아토 수딩 젤_1,알로에     수딩젤_0,알로에     수딩젤_1,유기농 알로에 베라 젤_0,유기농 알로에 베라 젤_1,알로젤_0,알로젤_1,알로에     촉촉 수딩젤_0,알로에     촉촉 수딩젤_1,캘리포니안 네이처 스킨 수딩겔_0,캘리포니안 네이처 스킨 수딩겔_1,알로에    수딩젤  프레쉬 _0,알로에    수딩젤  프레쉬 _1,제주 대나무 수딩젤_0,제주 대나무 수딩젤_1,알로에 에센셜_0,알로에 에센셜_1,알로에     수딩로션 인텐시브 모이스쳐라이징_0,알로에     수딩로션 인텐시브 모이스쳐라이징_1,프레시 카밍 퀵 모닝 마스크_0,프레시 카밍 퀵 모닝 마스크_1,신선한 제주 알로에 수딩젤_0,신선한 제주 알로에 수딩젤_1,허니 촉촉 보습 젤   _0,허니 촉촉 보습 젤   _1,티트리 에센셜_0,티트리 에센셜_1,순정 수분 진정 올인원 젤_0,순정 수분 진정 올인원 젤_1,제주 생생 알로에 수딩 젤    _0,제주 생생 알로에 수딩 젤    _1,알로에 베라     수딩겔_0,알로에 베라     수딩겔_1,이초이스 알로에베라 수딩 젤_0,이초이스 알로에베라 수딩 젤_1,프리미엄 알로에 수딩젤_0,프리미엄 알로에 수딩젤_1,알로에 수딩 젤_0,알로에 수딩 젤_1
17,0.0,0.0,26.31578,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28571,47.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2277,35.18601,51.78571,87.64044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2277,35.18601
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.28571,27.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73251,41.14746,48.21428,66.29213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73251,41.14746
19,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14285,41.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.27709,42.62662,64.28571,78.65168,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.27709,42.62662
20,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,33.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.59122,34.60331,57.14285,65.16853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.59122,34.60331
21,0.0,0.0,42.10526,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.14285,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,65.15775,33.07933,42.85714,78.65168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.15775,33.07933
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.28571,28.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,65.02057,39.75795,27.67857,74.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.02057,39.75795
23,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,33.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.48971,37.20304,55.35714,65.16853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.48971,37.20304
24,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57142,33.91304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.13991,35.45495,54.46428,71.91011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.13991,35.45495
25,0.0,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42857,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5336,37.65127,27.67857,52.80898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5336,37.65127
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28571,28.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.11796,46.61586,38.39285,58.42696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.11796,46.61586
