,데일리 모이스춰라이징 로션_0,데일리 모이스춰라이징 로션_1,굳세라 아토릴리프 오일 로션_0,굳세라 아토릴리프 오일 로션_1,아토덤 크림_0,아토덤 크림_1,슬리피_0,슬리피_1,하이드레이팅 핸드 앤 바디로션_0,하이드레이팅 핸드 앤 바디로션_1,그린티 허니 드롭스 바디크림_0,그린티 허니 드롭스 바디크림_1,노르웨이젼 포뮬러 바디 에멀젼_0,리뉴 인텐시브 스킨 로션_0,리뉴 인텐시브 스킨 로션_1,울트라 리페어 로션_0,울트라 리페어 로션_1,스트레스 릴리프 모이스처라이징 로션_0,스트레스 릴리프 모이스처라이징 로션_1,퓨어 스킨 젤리 오리지널_0,퓨어 스킨 젤리 오리지널_1,바디 오일 모로칸 가드너_0,바디 오일 모로칸 가드너_1,레미디얼 크림_0,레미디얼 크림_1,데일리 모이스처 바디 오일_0,데일리 모이스처 바디 오일_1,마일드 모이스처 밀크 오일_0,마일드 모이스처 밀크 오일_1,큐어 플러스 크림_0,큐어 플러스 크림_1,포포크림_0,포포크림_1,토닉 바디 트리트먼트 오일_0,토닉 바디 트리트먼트 오일_1,수딩 오인트먼트_0,수딩 오인트먼트_1,로즈버드살브 오리지널_0,로즈버드살브 오리지널_1,센텔라 멀티 밤_0,센텔라 멀티 밤_1,로즈페탈 살브_0,로즈페탈 살브_1,퓨어 시어 버터 EFT  에코서트_0,퓨어 시어 버터 EFT  에코서트_1,모링가 뷰티파잉 오일_0,모링가 뷰티파잉 오일_1,레몬 앤 비타민 E 바스 앤 바디 오일_0,레몬 앤 비타민 E 바스 앤 바디 오일_1,딥 모이스처 바디 오일_0,딥 모이스처 바디 오일_1,민트 로즈 튜브_0,민트 로즈 튜브_1,수딩 스킨 밤_0,수딩 스킨 밤_1,아몬드 서플 스킨 오일_0,아몬드 서플 스킨 오일_1,디바인 오일_0,디바인 오일_1,딥 모이스처 바디 미스트_0,딥 모이스처 바디 미스트_1,트와일라잇_0,트와일라잇_1,스톡홀름로즈 파인프라그란스 헤어   바디미스트_0,스톡홀름로즈 파인프라그란스 헤어   바디미스트_1,바디미스트  화이트포션 _0,바디미스트  화이트포션 _1,바디미스트 아쿠아키스_0,바디미스트 아쿠아키스_1,웨딩데이 판타지 바디 스프레이_0,웨딩데이 판타지 바디 스프레이_1,핑크 포션_0,핑크 포션_1,화이트 머스크 후레그런스 미스트_0,화이트 머스크 후레그런스 미스트_1,시트러스 버베나 바디 스플래쉬_0,시트러스 버베나 바디 스플래쉬_1,바디 오 드 뚜왈렛   _0,바디 오 드 뚜왈렛   _1
10,0.0,0.0,0.0,0.0,46.66666,77.77777,0.83262,1.66789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125,46.47887,80.35019,67.84586,0.0,0.0,0.0,0.0,0.0,0.0,5.58659,8.37988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,48.97678,71.66621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.56603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,10.66666,59.25925,1.87405,0.68972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4375,64.78873,72.04928,72.5837,0.0,0.0,0.0,0.0,0.0,0.0,7.26256,9.4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57929,55.43354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5283,60.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30.66666,74.07407,0.84689,0.54411,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,49.29577,64.46173,78.01642,0.0,0.0,0.0,0.0,0.0,0.0,8.37988,10.61452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,43.88036,52.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90566,0.0,0.0,42.85714,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,34.66666,29.62962,1.07125,1.70741,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3125,69.01408,61.21919,71.38344,0.0,0.0,0.0,0.0,0.0,0.0,9.4972,14.52513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.17394,46.18102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86792,46.66666,0.0,35.71428,0.0,0.0,83.33333,0.0
14,0.0,0.0,0.0,0.0,29.33333,66.66666,0.82354,0.42867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.6875,70.42253,66.92607,61.71825,0.0,0.0,0.0,0.0,0.0,0.0,10.61452,11.73184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.34395,43.92497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6415,33.33333,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,29.33333,51.85185,0.79047,0.36453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.875,70.42253,72.63294,60.9602,0.0,0.0,0.0,0.0,0.0,0.0,14.52513,7.26256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.36127,41.1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1132,40.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24.0,44.44444,1.20938,1.00815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9375,67.60563,93.06095,67.59317,0.0,0.0,0.0,0.0,0.0,0.0,11.73184,8.37988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.97323,40.59255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.43396,40.0,0.0,35.71428,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,28.0,96.29629,0.67634,15.53124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6875,66.19718,100.0,72.71004,0.0,0.0,0.0,0.0,0.0,0.0,7.26256,8.93854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.07319,37.29817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,24.0,92.59259,0.5259,1.93397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8125,66.19718,85.0843,73.53126,0.0,0.0,0.0,0.0,0.0,0.0,8.37988,10.05586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86186,37.74395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.43396,0.0,0.0,0.0,0.0,0.0,83.33333,0.0
19,0.0,0.0,0.0,0.0,24.0,37.03703,0.43382,1.29538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,47.88732,77.75616,70.56222,0.0,0.0,0.0,0.0,0.0,0.0,8.93854,9.4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,47.24517,38.86382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
