,촉촉한 자연보습 베이비로션_0,촉촉한 자연보습 베이비로션_1,촉촉한 자연보습 베이비로션_2,수딩내추럴 너리싱 로션_0,수딩내추럴 너리싱 로션_1,수딩내추럴 너리싱 로션_2,베드 타임 로션_0,베드 타임 로션_1,베드 타임 로션_2,MLE 크림_0,MLE 크림_1,MLE 크림_2,울트라 케어 크림_0,울트라 케어 크림_1,울트라 케어 크림_2,파우더_0,파우더_1,파우더_2,베드타임 오일_0,베드타임 오일_1,베드타임 오일_2,레귤러 오일_0,레귤러 오일_1,레귤러 오일_2,화이트 후레쉬 로션_0,화이트 후레쉬 로션_1,화이트 후레쉬 로션_2,바텀 밤_0,바텀 밤_1,바텀 밤_2,울트라 케어 로션_0,울트라 케어 로션_1,울트라 케어 로션_2,베이비 로션_0,베이비 로션_1,베이비 로션_2,촉촉한 자연보습 울트라크림_0,촉촉한 자연보습 울트라크림_1,촉촉한 자연보습 울트라크림_2,베드타임 파우더_0,베드타임 파우더_1,베드타임 파우더_2,크림 마사지 오일_0,크림 마사지 오일_1,크림 마사지 오일_2,힘센 보습 울트라 로션_0,힘센 보습 울트라 로션_1,힘센 보습 울트라 로션_2,베이비 퓨어 로션_0,베이비 퓨어 로션_1,베이비 퓨어 로션_2,카모마일 오일_0,카모마일 오일_1,카모마일 오일_2,수딩내추럴 수드 앤드 프로텍트 밤_0,수딩내추럴 수드 앤드 프로텍트 밤_1,수딩내추럴 수드 앤드 프로텍트 밤_2,탑투토 워시_0,탑투토 워시_1,탑투토 워시_2,앤젤베이비 바디워시앤삼푸_0,앤젤베이비 바디워시앤삼푸_1,앤젤베이비 바디워시앤삼푸_2,베이비 샴푸 바스_0,베이비 샴푸 바스_1,베이비 샴푸 바스_2,촉촉한 자연보습 베이비워시_0,촉촉한 자연보습 베이비워시_1,촉촉한 자연보습 베이비워시_2,베드타임 바스_0,베드타임 바스_1,베드타임 바스_2,카렌듈라 네츄럴 샴푸 앤 바디워시_0,카렌듈라 네츄럴 샴푸 앤 바디워시_1,카렌듈라 네츄럴 샴푸 앤 바디워시_2,젠틀 클렌징 젤_0,젠틀 클렌징 젤_1,젠틀 클렌징 젤_2,클래식 바스앤샤워 밀크_0,클래식 바스앤샤워 밀크_1,클래식 바스앤샤워 밀크_2,NB워시_0,NB워시_1,NB워시_2,마이키즈 워시_0,마이키즈 워시_1,마이키즈 워시_2,마이키즈 샴푸_0,마이키즈 샴푸_1,마이키즈 샴푸_2,약산성 베이비 바스 앤 샴푸_0,약산성 베이비 바스 앤 샴푸_1,약산성 베이비 바스 앤 샴푸_2,베이비 샴푸_0,베이비 샴푸_1,베이비 샴푸_2,워시 샴푸_0,워시 샴푸_1,워시 샴푸_2,베이비 헤어 바디 클렌저_0,베이비 헤어 바디 클렌저_1,베이비 헤어 바디 클렌저_2,베베 끄렘 라방떼_0,베베 끄렘 라방떼_1,베베 끄렘 라방떼_2,페이셜 폼 워시_0,페이셜 폼 워시_1,페이셜 폼 워시_2,키즈에코 바디 워시_0,키즈에코 바디 워시_1,키즈에코 바디 워시_2,베이비 워시_0,베이비 워시_1,베이비 워시_2
31,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,32.0,43.39622,0.0,0.0,0.0,68.75957,87.5569,87.93103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,38.46153,0.0,45.45454,0.0,0.0,47.77777,80.83623,45.16129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.70967,62.5,0.0,0.0,0.0,37.5,40.8805,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,41.17647,0.0,0.0,0.0,0.0,36.45833,33.84223,32.55813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25423,64.44444,76.19047
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,47.16981,0.0,0.0,0.0,67.84073,100.0,76.55172,0.0,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,72.72727,0.0,0.0,0.0,61.85185,65.15679,49.87593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,35.71428,40.8805,22.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,40.0,0.0,0.0,0.0,19.79166,63.35877,27.90697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67796,100.0,63.49206
33,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,60.0,0.0,0.0,100.0,54.71698,0.0,0.0,0.0,81.47013,92.56449,81.89655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,100.0,0.0,23.80952,94.07407,90.2439,72.45657,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,28.57142,77.41935,62.5,0.0,0.0,0.0,30.35714,42.76729,40.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,28.125,59.03307,59.30232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.54237,80.0,49.20634
34,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,44.0,52.83018,0.0,0.0,0.0,86.83001,87.70864,85.51724,0.0,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,45.45454,100.0,0.0,0.0,94.44444,94.07665,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.48387,58.33333,0.0,0.0,0.0,44.64285,60.37735,15.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.54166,42.23918,56.97674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.71186,55.55555,73.01587
35,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,70.0,0.0,84.61538,48.0,60.37735,0.0,0.0,0.0,86.52373,79.05918,95.51724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,69.23076,45.45454,0.0,0.0,23.80952,78.51851,64.80836,82.38213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,35.48387,66.66666,0.0,0.0,0.0,51.78571,40.8805,27.38095,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,26.04166,40.45801,53.48837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62711,73.33333,76.19047
36,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,84.61538,40.0,41.50943,0.0,0.0,0.0,76.11026,71.16843,91.20689,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,45.45454,63.63636,100.0,0.0,84.44444,78.39721,73.9454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,67.74193,25.0,0.0,0.0,0.0,53.57142,29.55974,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,66.66666,0.0,53.33333,0.0,0.0,0.0,33.33333,30.53435,68.60465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.45762,46.66666,85.71428
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,88.0,24.5283,0.0,0.0,0.0,70.4441,89.2261,91.20689,0.0,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,93.03135,74.68982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,19.35483,45.83333,0.0,0.0,0.0,48.21428,32.7044,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,33.33333,0.0,0.0,0.0,64.58333,26.20865,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.23728,55.55555,79.36507
38,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,41.66666,0.0,52.0,35.84905,0.0,0.0,0.0,60.79632,98.3308,74.13793,0.0,23.07692,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,55.55555,99.30313,58.80893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,22.58064,45.83333,0.0,0.0,0.0,14.28571,50.94339,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08333,29.51653,19.76744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.98305,75.55555,66.66666
39,0.0,0.0,0.0,0.0,100.0,0.0,52.38095,0.0,58.33333,46.15384,20.0,26.41509,0.0,0.0,0.0,63.70597,95.2959,85.34482,19.23076,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,54.54545,0.0,0.0,59.62962,100.0,64.01985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,32.25806,0.0,0.0,0.0,0.0,21.42857,55.97484,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.20833,45.03816,25.58139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.76271,51.11111,44.44444
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,0.0,0.0,52.83018,0.0,0.0,0.0,81.62327,86.34294,73.27586,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,89.62962,91.28919,71.96029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,51.6129,33.33333,0.0,0.0,0.0,23.21428,48.42767,32.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,51.14503,37.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,67.79661,57.77777,23.80952
