,리페어포스 키토 트리트먼트_0,리페어포스 키토 트리트먼트_1,리페어포스 키토 트리트먼트 CMC_0,리페어포스 키토 트리트먼트 CMC_1,프리미엄 리페어 마스크_0,프리미엄 리페어 마스크_1,퍼펙트  분 살롱 마스크팩_0,퍼펙트  분 살롱 마스크팩_1,토탈 리페어   인스턴트 미라클 헤어팩_0,토탈 리페어   인스턴트 미라클 헤어팩_1,리커버리 밤 B_0,리커버리 밤 B_1,프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_0,프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_1,칼라포스 리브 인 트리트먼트_0,칼라포스 리브 인 트리트먼트_1,아쿠아큐링 헤어트리트먼트_0,아쿠아큐링 헤어트리트먼트_1,데미지 리페어 헤어 마스크_0,데미지 리페어 헤어 마스크_1,트리트먼트_0,트리트먼트_1,릴렉스 헤어마스크_0,릴렉스 헤어마스크_1,에그 레미디 헤어 팩_0,에그 레미디 헤어 팩_1,딥 모이스트 리페어 헤어 마스크_0,딥 모이스트 리페어 헤어 마스크_1,모이스처 헤어 마스크 와이_0,모이스처 헤어 마스크 와이_1,카올린 스칼프 팩_0,카올린 스칼프 팩_1,골든미라클 트리트먼트  극손상케어 _0,골든미라클 트리트먼트  극손상케어 _1,리얼시어 프로틴 리차징 리브인 트리트먼트_0,리얼시어 프로틴 리차징 리브인 트리트먼트_1,헤어 트리트먼트 미라클  X_0,헤어 트리트먼트 미라클  X_1,I 트리트먼트_0,I 트리트먼트_1,루트 레미디 스칼프 토닉_0,루트 레미디 스칼프 토닉_1,티테라피 두피팅처_0,티테라피 두피팅처_1,스위스 허벌 헤어 토닉_0,스위스 허벌 헤어 토닉_1,녹차실감 인텐시브 토닉_0,녹차실감 인텐시브 토닉_1,프리미엄 토탈 헤어토닉_0,프리미엄 토탈 헤어토닉_1,클로렐라 베러 루트 헤어토닉_0,클로렐라 베러 루트 헤어토닉_1,애터미 액 탈모케어 _0,애터미 액 탈모케어 _1,닥터트럽 스칼프 토닉_0,닥터트럽 스칼프 토닉_1,인바티 어드밴스드  스칼프 리바이탈라이저_0,인바티 어드밴스드  스칼프 리바이탈라이저_1,로즈마리 루트 인핸서_0,로즈마리 루트 인핸서_1,오리지널 헤어 팅크처_0,오리지널 헤어 팅크처_1,프로페셔널 디펜스 스캘프 토닉_0,프로페셔널 디펜스 스캘프 토닉_1,RECLE AP 데일리 스칼프 토닉  리클리 토닉 _0,RECLE AP 데일리 스칼프 토닉  리클리 토닉 _1,세범 컨트롤 토닉_0,세범 컨트롤 토닉_1,데일리 안티 헤어로스 허브 헤어토닉_0,데일리 안티 헤어로스 허브 헤어토닉_1,스칼프 클리어센트 스틱  프리지아 그린부케 향 _0,스칼프 클리어센트 스틱  프리지아 그린부케 향 _1,블랙씨드 스칼프 릴리프 헤어 토닉_0,블랙씨드 스칼프 릴리프 헤어 토닉_1,클로렐라 베러 루트 쿨링 스프레이_0,클로렐라 베러 루트 쿨링 스프레이_1,폴리젠 스팟 이펙터_0,폴리젠 스팟 이펙터_1,프리미엄 히든 테라피 토닉_0,프리미엄 히든 테라피 토닉_1
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,72.44033,71.5102,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,51.28205,0.0,0.0,54.64743,32.19315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,67.7551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,23.07692,0.0,0.0,41.98717,26.15694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29715,69.38775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,33.33333,0.0,0.0,37.98076,26.35814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.51886,76.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,25.64102,41.02564,0.0,0.0,31.73076,25.75452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,65.204,91.42857,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,20.51282,0.0,100.0,33.49358,29.97987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4311,82.93877,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.02564,12.82051,0.0,0.0,41.34615,30.38229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88888,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,71.42857,0.0,0.0,0.0,0.0,50.11547,84.89795,0.0,0.0,10.86956,63.63636,0.0,0.0,0.0,0.0,55.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,28.20512,25.64102,0.0,0.0,55.28846,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.12548,69.38775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.64102,38.46153,0.0,66.66666,46.15384,21.32796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.59892,72.57142,0.0,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,0.0,20.51282,15.38461,0.0,0.0,47.91666,22.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.55555,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59353,66.53061,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.02564,20.51282,0.0,0.0,36.53846,16.29778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
