,유노하나 파우더_0,유노하나 파우더_1,더 컴포터_0,더 컴포터_1,바디 밸런스 스크럽_0,바디 밸런스 스크럽_1,토탈 리커버리 샤워크림_0,토탈 리커버리 샤워크림_1,바디 밸런스 더 프리미엄 에디션_0,바디 밸런스 더 프리미엄 에디션_1,섹스 밤_0,섹스 밤_1,바디스크럽   로즈티_0,바디스크럽   로즈티_1,브라이트사이드_0,브라이트사이드_1,벨먼 내추럴 스파 사해소금 스크럽 바디워시_0,벨먼 내추럴 스파 사해소금 스크럽 바디워시_1,딥 모이스처 샤워 크림_0,딥 모이스처 샤워 크림_1,스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_0,스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_1,써니사이드_0,써니사이드_1,스킨유 스킨에멀전 샤워젤_0,스킨유 스킨에멀전 샤워젤_1,인터갈락틱_0,인터갈락틱_1,바디스크럽   딜리케이트 자스민_0,바디스크럽   딜리케이트 자스민_1,리모델링 스크럽_0,리모델링 스크럽_1,세라마이드 아토     탑투토워시_0,세라마이드 아토     탑투토워시_1,이몰리언트 바디스크럽_0,이몰리언트 바디스크럽_1,핑크 그레이프후룻 샤워젤_0,핑크 그레이프후룻 샤워젤_1,피치코코 스크럽_0,피치코코 스크럽_1,화이트 톤업 바디 세럼  SPF   _0,화이트 톤업 바디 세럼  SPF   _1,꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_0,꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_1,샤이닝 드레스 크림_0,샤이닝 드레스 크림_1,코나커피 태닝로션 브론저  SPF   _0,코나커피 태닝로션 브론저  SPF   _1,보데나 렉스 스프레이_0,보데나 렉스 스프레이_1,훌라 제로 탠 라인 바디 브론저_0,훌라 제로 탠 라인 바디 브론저_1,피브완 플로라 쉬머링 오일_0,피브완 플로라 쉬머링 오일_1,원더렉스_0,원더렉스_1,쉼미 쉼미_0,쉼미 쉼미_1,더 샤인 바디밤_0,더 샤인 바디밤_1,테이크 어 픽쳐 잇 래스트 롱거_0,테이크 어 픽쳐 잇 래스트 롱거_1,스파클링 바디쿠션_0,스파클링 바디쿠션_1,   아워 브론저_0,   아워 브론저_1,그래듀얼 셀프 태닝 바디 로션_0,그래듀얼 셀프 태닝 바디 로션_1,그래주얼 선레스 셀프태닝 로션_0,그래주얼 선레스 셀프태닝 로션_1,글리터 하이라이터 글리터 젤_0,글리터 하이라이터 글리터 젤_1,드 솔레일 브론징 페이스 바디 스프레이_0,드 솔레일 브론징 페이스 바디 스프레이_1,모노이 바디 글로우 브론징 바디 오일_0,모노이 바디 글로우 브론징 바디 오일_1,바디 라바 바디 루미나이저_0,바디 라바 바디 루미나이저_1,블랙 스타킹스_0,블랙 스타킹스_1
10,88.88888,42.10526,19.23076,70.0,100.0,0.0,0.0,0.0,0.0,0.0,42.85714,89.24731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8284,36.99633,0.0,0.0,18.18181,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,100.0,47.36842,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.08225,75.80645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.42011,32.96703,0.0,0.0,24.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,66.66666,23.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.56277,56.45161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75739,24.35897,0.0,0.0,48.48484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,55.55555,34.21052,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.99134,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.01183,24.17582,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,55.55555,26.31578,38.46153,0.0,100.0,6.18556,0.0,0.0,0.0,0.0,39.82683,54.8387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.68639,25.09157,0.0,0.0,100.0,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,55.55555,44.73684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,58.06451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,41.57509,0.0,0.0,51.51515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,44.44444,28.94736,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96103,54.30107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.29585,38.27838,0.0,0.0,21.21212,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,55.55555,31.57894,26.92307,0.0,88.88888,0.0,0.0,100.0,0.0,0.0,35.06493,79.03225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.34911,46.52014,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33.33333,47.36842,0.0,0.0,0.0,7.21649,0.0,0.0,0.0,0.0,35.93073,79.03225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19526,32.05128,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,28.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.74025,68.27956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23668,37.54578,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
