,새틴 립 펜슬_0,새틴 립 펜슬_1,벨벳 매트 립 펜슬_0,벨벳 매트 립 펜슬_1,아티스트 립 블러쉬_0,아티스트 립 블러쉬_1,크리미 터치 립라이너_0,크리미 터치 립라이너_1,페이턴트폴리쉬 립 펜슬_0,페이턴트폴리쉬 립 펜슬_1,크리미 틴트 컬러 밤 인텐스_0,크리미 틴트 컬러 밤 인텐스_1,립 펜슬_0,립 펜슬_1,크리미 틴트 컬러밤 글라이드_0,크리미 틴트 컬러밤 글라이드_1,철벽 컬러 립 초크_0,철벽 컬러 립 초크_1,플랫 벨벳 스틱_0,플랫 벨벳 스틱_1,컬러버스트 매트밤_0,컬러버스트 매트밤_1,소프트 터치 오토 립 라이너 AD_0,소프트 터치 오토 립 라이너 AD_1,컬러 립 펜슬  매트 _0,컬러 립 펜슬  매트 _1,립펜슬 이탈프리즘   매트_0,립펜슬 이탈프리즘   매트_1,크리미 틴트 컬러 밤 라이트_0,크리미 틴트 컬러 밤 라이트_1,써니스틱_0,써니스틱_1,립펜슬 이탈프리즘   멜티_0,립펜슬 이탈프리즘   멜티_1,비타 컬러 딜리셔스 스트로 벨벳 _0,비타 컬러 딜리셔스 스트로 벨벳 _1,샘물 스머지 립 크레용_0,샘물 스머지 립 크레용_1,립 크레용_0,립 크레용_1,글래스팅 워터 글로스_0,글래스팅 워터 글로스_1,립 젤리 글로스_0,립 젤리 글로스_1,립매터_0,립매터_1,앵두알 촉촉 립 글로우_0,앵두알 촉촉 립 글로우_1,샘물 세럼 립글로스_0,샘물 세럼 립글로스_1,립 글로스_0,립 글로스_1,루쥬 코코 글로스_0,루쥬 코코 글로스_1,어딕트 립 맥시마이저_0,어딕트 립 맥시마이저_1,샤인 샤인 샤인 립글로스_0,샤인 샤인 샤인 립글로스_1,크림쉰 글라스_0,크림쉰 글라스_1,압솔뤼 글로스 크림_0,압솔뤼 글로스 크림_1,멀티 글로이 부스터_0,멀티 글로이 부스터_1,퓨어 칼라 엔비 립 글로스_0,퓨어 칼라 엔비 립 글로스_1,뷰티 보스 립 글로스_0,뷰티 보스 립 글로스_1,어딕트 울트라 글로스_0,어딕트 울트라 글로스_1,와사비야 립 플럼퍼_0,와사비야 립 플럼퍼_1,플럼핑 펄 시럽_0,플럼핑 펄 시럽_1,펄 인 러브 글로스_0,펄 인 러브 글로스_1,립 베놈 시리즈_0,립 베놈 시리즈_1,어딕트 립 글로스_0,어딕트 립 글로스_1
46,0.0,53.125,0.0,0.0,30.43478,62.5,0.0,0.0,0.0,0.0,19.11764,25.0,69.01408,63.92405,0.0,33.76623,6.32911,0.0,5.89812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87804,9.14634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,52.14723,0.0,23.33333,0.0,0.0,29.70297,0.0,34.375,0.0,0.0,0.0,58.45771,60.199,27.5862,5.7971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.125,46.66666,14.81481,29.72972,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,11.7647,0.0,54.92957,51.89873,0.0,40.25974,8.86075,0.0,3.48525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31707,20.7317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,56.44171,0.0,0.0,0.0,0.0,23.76237,8.47457,21.875,0.0,0.0,0.0,61.94029,54.97512,25.61576,3.62318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.41379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,22.22222,18.91891,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,27.53623,0.0,0.0,0.0,0.0,0.0,8.82352,0.0,66.19718,62.65822,0.0,32.46753,10.12658,0.0,1.60857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53658,21.95121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,61.34969,0.0,0.0,0.0,0.0,22.77227,0.0,21.875,0.0,0.0,0.0,62.43781,59.95024,52.21674,12.31884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,100.0,0.0,14.81481,13.51351,0.0,0.0,0.0,0.0,0.0
49,0.0,34.375,0.0,0.0,15.94202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.74647,60.12658,0.0,67.53246,13.92405,0.0,2.94906,1.60857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.85365,20.12195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,69.93865,0.0,0.0,0.0,0.0,22.77227,0.0,28.125,33.33333,0.0,0.0,53.98009,48.50746,53.20197,7.24637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.375,0.0,31.48148,37.83783,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,18.84057,0.0,0.0,0.0,0.0,0.0,19.11764,0.0,67.60563,53.16455,0.0,11.68831,6.32911,0.0,16.62198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41463,16.46341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,64.41717,0.0,0.0,0.0,0.0,47.52475,0.0,14.58333,0.0,0.0,0.0,50.24875,58.45771,51.23152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.375,53.33333,14.81481,16.21621,0.0,0.0,0.0,0.0,0.0
51,0.0,100.0,0.0,0.0,34.7826,87.5,0.0,0.0,0.0,0.0,22.05882,0.0,97.18309,49.36708,0.0,0.0,0.0,0.0,28.95442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36585,12.80487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,52.76073,0.0,0.0,0.0,0.0,36.63366,23.72881,10.41666,0.0,0.0,0.0,50.74626,61.94029,48.76847,3.62318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,43.75,0.0,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,20.58823,0.0,85.91549,58.22784,0.0,0.0,7.59493,0.0,70.24128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3.04878,23.78048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.25766,0.0,0.0,0.0,0.0,38.61386,20.33898,19.79166,0.0,0.0,0.0,49.25373,62.43781,30.04926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,14.81481,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,17.64705,0.0,98.59154,59.49367,0.0,0.0,6.32911,0.0,75.87131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53658,21.95121,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,39.8773,0.0,0.0,0.0,0.0,27.72277,0.0,13.54166,0.0,0.0,0.0,55.47263,53.98009,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.06896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,12.96296,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,18.84057,0.0,0.0,0.0,0.0,0.0,20.58823,45.0,64.78873,50.63291,0.0,7.7922,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,17.07317,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,58.8957,0.0,0.0,0.0,0.0,29.70297,0.0,8.33333,0.0,0.0,0.0,59.70149,50.24875,24.63054,4.34782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,0.0,22.22222,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,23.1884,0.0,0.0,0.0,0.0,0.0,7.35294,30.0,69.01408,43.03797,0.0,0.0,0.0,100.0,59.24932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.65853,26.82926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,47.23926,0.0,0.0,0.0,0.0,26.73267,11.8644,8.33333,0.0,0.0,0.0,61.94029,50.74626,19.21182,3.62318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875,0.0,11.11111,13.51351,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,24.63768,0.0,0.0,0.0,0.0,0.0,19.11764,25.0,76.05633,47.46835,0.0,0.0,10.12658,0.0,48.25737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2439,16.46341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,70.55214,0.0,0.0,0.0,0.0,17.82178,0.0,6.25,0.0,0.0,0.0,76.1194,49.25373,21.18226,5.07246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.06896,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,21.875,0.0,12.96296,13.51351,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,18.84057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.70422,51.89873,0.0,0.0,10.12658,0.0,50.67024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90243,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,61.96319,0.0,0.0,0.0,0.0,28.71287,0.0,6.25,0.0,0.0,100.0,60.69651,55.47263,14.28571,7.97101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.625,33.33333,18.51851,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,37.68115,0.0,0.0,0.0,0.0,0.0,8.82352,0.0,69.01408,31.01265,36.0,0.0,0.0,0.0,36.19302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04878,79.26829,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,55.21472,0.0,0.0,0.0,0.0,30.69306,8.47457,12.5,0.0,0.0,0.0,55.72139,59.70149,25.61576,4.34782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.62068,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,34.375,0.0,22.22222,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,18.75,0.0,0.0,36.23188,0.0,0.0,0.0,0.0,0.0,17.64705,25.0,85.91549,51.89873,0.0,0.0,10.12658,0.0,22.7882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58536,87.80487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,53.98773,0.0,0.0,0.0,0.0,100.0,8.47457,13.54166,0.0,0.0,0.0,61.94029,61.94029,18.71921,8.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,56.25,40.0,37.03703,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,13.04347,0.0,0.0,0.0,0.0,0.0,7.35294,0.0,61.97183,40.50632,0.0,0.0,15.18987,60.0,5.89812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9756,59.14634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,50.30674,0.0,0.0,0.0,0.0,68.31683,0.0,5.20833,0.0,0.0,0.0,59.95024,76.1194,13.30049,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.41379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,32569,149711,32569,1352,10357,68311,11708,10669,249,15808,394507,117670,98739,20617,117670,10166,138973,6817,40078,4954,1174912,52359,11708,37543,169898,32569,14561,2452,67948,1012515,81437,46011,244,3341,13740,23983,45190,495118,711,170050,118958,84289,1859,16843,19689,21507,9926,71219,56835,71219,71219,118958,38347,4999,4909,9776,86276,1928843,207375,22292,1054,3693,27196,217451,823,7284,2712,16843,84446,66829,2329,18638,90479,2542,8656,619,58561,45277,84446,90479
