,오랄린스 아이시 민트_0,오랄린스 아이시 민트_1,오랄린스 아이시 민트_2,치약 플러스_0,치약 플러스_1,치약 플러스_2,  cm 스프레이_0,  cm 스프레이_1,  cm 스프레이_2,치약_0,치약_1,치약_2,덴탈튜브 라임만다린 치약_0,덴탈튜브 라임만다린 치약_1,덴탈튜브 라임만다린 치약_2,덴탈튜브 패츌리머스크 치약_0,덴탈튜브 패츌리머스크 치약_1,덴탈튜브 패츌리머스크 치약_2,히말라야 핑크솔트 담은치약  아이스 카밍 민트 _0,히말라야 핑크솔트 담은치약  아이스 카밍 민트 _1,히말라야 핑크솔트 담은치약  아이스 카밍 민트 _2,칸디데 치약_0,칸디데 치약_1,칸디데 치약_2,동의청은차고은진 치약_0,동의청은차고은진 치약_1,칫솔_0,칫솔_1,칫솔_2,스페니쉬 리얼그레이_0,스페니쉬 리얼그레이_1,스페니쉬 리얼그레이_2,스페니쉬 리얼올리브_0,스페니쉬 리얼올리브_1,스페니쉬 리얼올리브_2,시크리스  콘 내츄럴 그레이_0,시크리스  콘 내츄럴 그레이_1,시크리스  콘 내츄럴 그레이_2,시크리스  콘 코랄 그레이_0,시크리스  콘 코랄 그레이_1,시크리스  콘 코랄 그레이_2,크리스탈  콘 그레이_0,크리스탈  콘 그레이_1,크리스탈  콘 그레이_2,시크리스  콘 내츄럴 브라운_0,시크리스  콘 내츄럴 브라운_1,시크리스  콘 내츄럴 브라운_2,안나수이 돌리걸 틴트 브라운_0,안나수이 돌리걸 틴트 브라운_1,안나수이 돌리걸 틴트 브라운_2,스페니쉬 써클그레이_0,스페니쉬 써클그레이_1,스페니쉬 써클그레이_2,츄잉  콘 그레이_0,츄잉  콘 그레이_1,츄잉  콘 그레이_2,아이스 골드_0,아이스 골드_1,아이스 골드_2,샤이닝퓨어 초코_0,샤이닝퓨어 초코_1,샤이닝퓨어 초코_2,라벤더 골드_0,라벤더 골드_1,라벤더 골드_2,미스티 내츄럴초코_0,미스티 내츄럴초코_1,미스티 내츄럴초코_2,스페니쉬 써클브라운_0,스페니쉬 써클브라운_1,스페니쉬 써클브라운_2,비비링 브라운_0,비비링 브라운_1,비비링 브라운_2,오션골드_0,오션골드_1,오션골드_2,아이블랑 틴트 그레이_0,아이블랑 틴트 그레이_1,아이블랑 틴트 그레이_2,워터앰플 쵸코_0,워터앰플 쵸코_1,워터앰플 쵸코_2,썸데이 그레이_0,썸데이 그레이_1,썸데이 그레이_2,카리브  콘 그레이_0,카리브  콘 그레이_1,카리브  콘 그레이_2,데일리스 토탈원 워터렌즈_0,데일리스 토탈원 워터렌즈_1,데일리스 토탈원 워터렌즈_2,바이오피니티_0,바이오피니티_1,바이오피니티_2,클래리티 원데이_0,클래리티 원데이_1,클래리티 원데이_2,오아시스 난시용_0,오아시스 난시용_1,오아시스 난시용_2,에어옵틱스 나이트 앤 데이 아쿠아_0,에어옵틱스 나이트 앤 데이 아쿠아_1,에어옵틱스 나이트 앤 데이 아쿠아_2,오아시스 원데이 난시용_0,오아시스 원데이 난시용_1,오아시스 원데이 난시용_2,원데이 모이스트_0,원데이 모이스트_1,원데이 모이스트_2,비타_0,비타_1,비타_2,오아시스_0,오아시스_1,오아시스_2,원데이 모이스트 난시용_0,원데이 모이스트 난시용_1,원데이 모이스트 난시용_2
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30774,61.01694,84.92207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.16783,73.45299,88.92197,0.0,75.86206,9.42408,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.11627,43.37899,0.0,0.0,51.31578,78.35051,0.0,0.0,0.0,82.22222,31.11111,23.7569,0.0,62.5,0.0,0.0,0.0,25.0,37.12121,0.0,0.0,100.0,7.21649,88.88888,66.17647,56.71641,48.52941,0.0,59.45945,0.0,13.55932,0.0,0.0,0.0,0.0,0.0,95.23809,70.12987,50.0,0.0,0.0,0.0,0.0,38.88888,55.55555,58.06451,65.18987,21.7877,36.95652,83.56164,71.60493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.03867,83.69565,91.83673,26.97822,44.19695,82.14208,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.82331,70.86359,79.88401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.56643,72.46102,85.70577,18.42105,58.62068,7.8534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.44186,26.48401,30.76923,100.0,86.8421,38.14432,0.0,0.0,0.0,77.77777,33.33333,29.28176,0.0,62.5,0.0,0.0,0.0,14.77272,22.72727,0.0,0.0,0.0,0.0,55.55555,50.0,43.28358,54.41176,4.7619,72.97297,0.0,12.99435,0.0,0.0,0.0,0.0,0.0,76.19047,46.75324,85.71428,0.0,0.0,0.0,0.0,0.0,38.88888,48.38709,59.49367,25.69832,38.04347,82.19178,79.01234,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,46.96132,82.60869,78.57142,30.19118,46.07268,58.13599,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.67849,93.94673,71.87386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.15384,70.85498,81.7153,18.42105,48.27586,9.42408,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4186,23.74429,23.07692,0.0,59.21052,52.57731,0.0,0.0,0.0,64.44444,57.77777,26.51933,0.0,0.0,0.0,0.0,0.0,15.90909,21.21212,0.0,60.0,43.75,0.0,0.0,54.41176,47.76119,52.94117,19.04761,54.05405,0.0,45.19774,0.0,0.0,0.0,0.0,0.0,71.42857,61.03896,38.09523,0.0,0.0,0.0,0.0,33.33333,30.55555,60.32258,64.55696,17.87709,31.52173,42.46575,69.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.51381,84.7826,44.89795,26.68613,42.28214,64.76211,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.60463,85.55286,81.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31468,66.27302,80.28588,21.05263,68.96551,10.4712,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.04651,33.78995,23.07692,0.0,38.15789,54.63917,0.0,0.0,0.0,46.66666,62.22222,24.86187,0.0,0.0,0.0,60.0,0.0,11.36363,62.12121,100.0,0.0,56.25,0.0,0.0,66.17647,52.2388,52.94117,29.5238,67.56756,0.0,47.45762,0.0,0.0,0.0,0.0,0.0,69.04761,100.0,23.80952,0.0,0.0,0.0,0.0,38.88888,0.0,56.12903,56.96202,20.11173,38.04347,83.56164,62.96296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.11602,72.82608,50.0,28.49176,45.29112,82.70693,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24475,78.36965,97.71656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,60.93528,67.83799,44.73684,48.27586,6.28272,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.48837,44.74885,30.76923,0.0,46.05263,60.82474,0.0,0.0,0.0,77.77777,68.88888,29.83425,0.0,0.0,0.0,50.0,0.0,26.13636,45.45454,0.0,0.0,0.0,0.0,66.66666,100.0,55.22388,54.41176,20.0,18.91891,0.0,74.57627,0.0,0.0,0.0,0.0,0.0,52.38095,100.0,23.80952,0.0,0.0,0.0,0.0,38.88888,13.88888,40.64516,58.22784,24.581,33.69565,71.23287,72.8395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.51381,88.04347,85.71428,26.0223,42.63384,84.53182,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.78566,81.39628,91.59115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.65734,73.92536,62.7159,18.42105,48.27586,6.80628,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.79069,37.44292,0.0,0.0,53.94736,48.4536,0.0,0.0,0.0,26.66666,64.44444,23.7569,0.0,0.0,0.0,70.0,0.0,23.86363,46.21212,0.0,0.0,0.0,0.0,55.55555,79.41176,46.26865,33.82352,33.33333,48.64864,0.0,93.78531,0.0,0.0,0.0,0.0,0.0,80.95238,88.31168,38.09523,0.0,0.0,0.0,0.0,27.77777,13.88888,59.67741,72.15189,30.16759,52.17391,39.72602,53.08641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.51381,77.17391,72.44897,29.10249,51.19187,70.2368,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.87979,69.45117,88.69155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.12587,80.96362,68.67182,18.42105,44.82758,6.28272,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16279,30.13698,23.07692,0.0,44.73684,45.36082,0.0,0.0,0.0,35.55555,46.66666,30.38674,0.0,0.0,0.0,0.0,50.0,17.04545,49.24242,0.0,0.0,0.0,5.15463,0.0,67.64705,31.34328,42.64705,100.0,32.43243,0.0,78.53107,0.0,0.0,0.0,0.0,0.0,66.66666,92.20779,38.09523,0.0,0.0,0.0,0.0,100.0,0.0,92.90322,76.58227,34.07821,100.0,49.31506,71.60493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59116,84.7826,70.40816,28.89006,75.14654,86.53052,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.67632,58.07102,91.6274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.64335,81.62494,93.09112,21.05263,37.93103,8.37696,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.18604,31.96347,0.0,0.0,42.10526,48.4536,0.0,0.0,0.0,46.66666,26.66666,54.69613,0.0,0.0,0.0,50.0,50.0,12.5,23.48484,0.0,50.0,37.5,5.15463,0.0,67.64705,56.71641,77.94117,69.5238,29.72972,66.66666,65.53672,0.0,0.0,0.0,0.0,0.0,50.0,93.50649,40.47619,0.0,0.0,0.0,61.53846,100.0,19.44444,65.16129,80.37974,32.96089,55.43478,63.01369,79.01234,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,49.17127,75.0,77.55102,31.99681,51.3091,70.54095,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.39029,74.77804,80.71765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.36363,72.08313,81.06015,36.8421,48.27586,6.28272,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.3105,19.23076,41.66666,38.15789,49.48453,0.0,0.0,0.0,73.33333,73.33333,59.6685,0.0,0.0,0.0,50.0,80.0,22.72727,13.63636,0.0,50.0,0.0,0.0,0.0,73.52941,40.2985,55.88235,18.09523,29.72972,55.55555,43.50282,0.0,0.0,0.0,0.0,0.0,40.47619,77.92207,45.23809,0.0,0.0,0.0,38.46153,50.0,25.0,61.6129,100.0,37.43016,64.13043,46.57534,61.72839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.75138,65.21739,75.5102,30.53637,62.64165,55.50727,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.30919,94.10815,76.54947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17482,73.87812,81.00059,100.0,41.37931,5.75916,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4186,79.45205,30.76923,0.0,43.42105,53.60824,0.0,0.0,0.0,37.77777,64.44444,50.82872,0.0,0.0,0.0,60.0,0.0,17.04545,29.54545,0.0,0.0,0.0,0.0,0.0,54.41176,62.68656,42.64705,26.66666,29.72972,77.77777,58.19209,0.0,0.0,0.0,0.0,0.0,100.0,84.41558,19.04761,0.0,0.0,0.0,0.0,33.33333,16.66666,56.12903,76.58227,42.4581,38.04347,100.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.19337,100.0,78.57142,28.30589,49.15982,62.06821,0.0,0.0,0.0
