,아이 메이크업 브러시 세트_0,아이 메이크업 브러시 세트_1,NEW     아이섀도우_0,NEW     아이섀도우_1,블렌딩총알브러시_0,블렌딩총알브러시_1,    블렌딩 브러시_0,    블렌딩 브러시_1,핑크팝 브러시_0,핑크팝 브러시_1,    아이 쉐이더 브러시_0,    아이 쉐이더 브러시_1,세팅 브러시_0,세팅 브러시_1,치크 브러시_0,치크 브러시_1,마이뷰티툴 브러시     파우더_0,마이뷰티툴 브러시     파우더_1,스몰 테이퍼드 브러시_0,스몰 테이퍼드 브러시_1,스키니 픽스 블렌더_0,스키니 픽스 블렌더_1,텐션 팩트 퍼프  밀착 _0,텐션 팩트 퍼프  밀착 _1,미라클 컴플렉션 스펀지_0,미라클 컴플렉션 스펀지_1,스무스 도우 퍼프_0,스무스 도우 퍼프_1,블렌딩 퍼프_0,블렌딩 퍼프_1,와플 퍼프_0,와플 퍼프_1,하이드로 스폰지_0,하이드로 스폰지_1,웨지 퍼프_0,웨지 퍼프_1,미니파우더퍼프_0,미니파우더퍼프_1,쫀쫀 밀착 퍼프_0,쫀쫀 밀착 퍼프_1,쿠션 팡팡 퍼프_0,쿠션 팡팡 퍼프_1,눈사람 퍼프_0,눈사람 퍼프_1,블랙쿠션 퍼프_0,블랙쿠션 퍼프_1,워터 인 퍼프_0,워터 인 퍼프_1,UV 미스트 쿠션 퍼프_0,UV 미스트 쿠션 퍼프_1,PU 물방울 퍼프  개입_0,PU 물방울 퍼프  개입_1,오리지널 뷰티 블렌더 싱글_0,오리지널 뷰티 블렌더 싱글_1,물방울퍼프_0,물방울퍼프_1,웨지 스폰지_0,웨지 스폰지_1,촉촉퍼프_0,촉촉퍼프_1,잘 스며드는 화장솜_0,잘 스며드는 화장솜_1,EBR 눈썹칼_0,EBR 눈썹칼_1,플레인 타입_0,플레인 타입_1,노 더티 브러쉬 클렌징 솝_0,노 더티 브러쉬 클렌징 솝_1,뽀드득 브러쉬 빨래판_0,뽀드득 브러쉬 빨래판_1,파우더 오일 클리어 페이퍼_0,파우더 오일 클리어 페이퍼_1,우루우루 화장솜_0,우루우루 화장솜_1,아이돌래쉬 내추럴_0,아이돌래쉬 내추럴_1,오일클리어 필름   회색_0,오일클리어 필름   회색_1,소프트  겹 화장솜_0,소프트  겹 화장솜_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.16438,36.4532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,96.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.05797,49.16387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.72727,62.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9041,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,23.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,41.13712,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45454,73.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,79.45205,51.72413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.46376,41.80602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0909,86.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,87.67123,42.36453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,56.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.53623,53.17725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36363,76.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.85714,35.29411,0.0,0.0,0.0,0.0,87.67123,46.55172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.49275,60.86956,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.63636,56.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,82.35294,0.0,0.0,0.0,0.0,78.08219,44.58128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.33333,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.60869,67.22408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.18181,61.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.71428,41.17647,0.0,0.0,0.0,0.0,65.75342,47.78325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,53.33333,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.89855,55.18394,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0909,84.0,0.0,100.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,94.11764,0.0,0.0,0.0,0.0,50.68493,54.18719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,32.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36231,41.47157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,64.70588,0.0,0.0,0.0,0.0,86.30136,66.00985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.15942,40.46822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.27272,78.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,47.05882,0.0,0.0,0.0,0.0,71.23287,55.17241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,53.33333,0.0,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,48.82943,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.27272,78.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,41.17647,0.0,0.0,0.0,0.0,87.67123,62.80788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,43.33333,17.64705,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,32.75362,47.15719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.18181,50.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,64.70588,0.0,0.0,0.0,0.0,82.19178,94.82758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,36.66666,0.0,32.35294,0.0,0.0,0.0,0.0,0.0,0.0,39.42028,48.49498,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.27272,50.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,47.05882,0.0,0.0,0.0,0.0,67.12328,81.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82608,51.83946,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.45454,73.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,71.23287,79.55665,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,44.44444,43.33333,20.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.71014,40.46822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,79.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57534,78.81773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,23.33333,14.70588,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,28.11594,66.22073,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.36363,87.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,41.17647,0.0,0.0,0.0,0.0,57.53424,71.18226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,20.0,20.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.71014,60.20066,0.0,0.0,20.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.81818,89.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,35.29411,0.0,0.0,0.0,0.0,83.56164,68.71921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.72463,56.52173,0.0,0.0,48.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0909,100.0,0.0,0.0,0.0,0.0,0.0,0.0
