,잉크 블랙 카라 AD  롱래쉬 컬링 _0,잉크 블랙 카라 AD  롱래쉬 컬링 _1,오 마이 래쉬 쌩얼 카라_0,오 마이 래쉬 쌩얼 카라_1,제트 컬링 마스카라_0,제트 컬링 마스카라_1,히로인 메이크 롱앤컬 마스카라 EX_0,히로인 메이크 롱앤컬 마스카라 EX_1,히로인 메이크 롱앤컬 마스카라 슈퍼 워터프루프_0,히로인 메이크 롱앤컬 마스카라 슈퍼 워터프루프_1,아이크러쉬 서클 볼륨 마스카라 서클 블랙_0,아이크러쉬 서클 볼륨 마스카라 서클 블랙_1,울트라 파워프루프 마스카라  컬 업 볼륨 _0,울트라 파워프루프 마스카라  컬 업 볼륨 _1,프로 터치 시그니처 뮤즈 마스카라_0,프로 터치 시그니처 뮤즈 마스카라_1,히로인 메이크 롱앤컬 마스카라 S 브라운_0,히로인 메이크 롱앤컬 마스카라 S 브라운_1,울트라 파워프루프 마스카라 컬업 슬림_0,울트라 파워프루프 마스카라 컬업 슬림_1,프로 프라임 스머지 프루프 아이섀도우 베이스_0,프로 프라임 스머지 프루프 아이섀도우 베이스_1,프렙 프라임    아워 익스텐드 아이 베이스_0,프렙 프라임    아워 익스텐드 아이 베이스_1,컬러 픽스 아이 프라이머_0,컬러 픽스 아이 프라이머_1,엑스퍼트 컬러 프라이머 포 아이즈_0,엑스퍼트 컬러 프라이머 포 아이즈_1,아이섀도우 프라이머 포션_0,아이섀도우 프라이머 포션_1,L  픽스 온 아이프라이머_0,L  픽스 온 아이프라이머_1,컬러 락 아이 프라이머_0,컬러 락 아이 프라이머_1,롱웨어 아이 베이스_0,롱웨어 아이 베이스_1,스머지 프루프 아이섀도우 베이스_0,스머지 프루프 아이섀도우 베이스_1,미네랄 아이 컬러 프라이머_0,미네랄 아이 컬러 프라이머_1,G 루미에르 아이 프라이머_0,G 루미에르 아이 프라이머_1,섀도우 인슈어런스_0,섀도우 인슈어런스_1,꾸뛰르 아이 프라이머_0,꾸뛰르 아이 프라이머_1,샘물 아이 프라이머_0,샘물 아이 프라이머_1,아임 스머지 헌터_0,아임 스머지 헌터_1,프루프 잇 워터프루프 아이섀도우 프라이머_0,프루프 잇 워터프루프 아이섀도우 프라이머_1,아티스트 올 픽스 아이 프라이머_0,아티스트 올 픽스 아이 프라이머_1,듀얼프라이머 포 립앤아이_0,듀얼프라이머 포 립앤아이_1,포토포커스 아이섀도우 프라이머_0,포토포커스 아이섀도우 프라이머_1,샘물 글리터 아이 프라이머_0,샘물 글리터 아이 프라이머_1,매트 레디언스 베이크드 파우더 새틴 하이라이터_0,매트 레디언스 베이크드 파우더 새틴 하이라이터_1,메가글로 하이라이터_0,메가글로 하이라이터_1,미네랄라이즈 스킨피니쉬_0,미네랄라이즈 스킨피니쉬_1,쉬머링 스킨 퍼펙터 프레스드 하이라이터_0,쉬머링 스킨 퍼펙터 프레스드 하이라이터_1,엑스트라 디멘션 스킨피니쉬_0,엑스트라 디멘션 스킨피니쉬_1,프리즘 에어 하이라이터_0,프리즘 에어 하이라이터_1,릿지 하이라이터_0,릿지 하이라이터_1,새틴 하이라이터 이탈프리즘_0,새틴 하이라이터 이탈프리즘_1,헤븐스 휴 하이라이터_0,헤븐스 휴 하이라이터_1,단델리온 트윙클_0,단델리온 트윙클_1
10,0.0,0.0,34.0909,19.2771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.00303,7.89074,0.0,0.0,60.0,0.0,22.6415,28.03738
11,0.0,0.0,27.27272,19.2771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12746,11.07738,0.0,0.0,0.0,0.0,11.32075,49.53271
12,0.0,0.0,34.0909,87.9518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54779,8.49772,0.0,0.0,0.0,0.0,11.32075,43.92523
13,0.0,0.0,29.54545,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1745,11.83611,0.0,0.0,0.0,0.0,11.32075,43.92523
14,0.0,0.0,38.63636,39.75903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.4704,0.0,0.0,0.0,0.0,0.0,31.7757
15,0.0,0.0,0.0,24.09638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.40298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.76479,9.55993,0.0,0.0,0.0,0.0,15.09433,35.51401
16,0.0,0.0,36.36363,19.2771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.06525,11.98786,0.0,0.0,50.0,0.0,26.41509,33.64485
17,0.0,0.0,25.0,24.09638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14719,6.22154,0.0,0.0,0.0,0.0,0.0,34.57943
18,0.0,0.0,11.36363,22.89156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.57056,6.37329,0.0,0.0,0.0,0.0,0.0,20.56074
19,0.0,0.0,22.72727,31.3253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54779,10.01517,0.0,0.0,0.0,0.0,18.86792,9.34579
