,드라이샴푸 브라이트 라이브리 플로랄_0,드라이샴푸 브라이트 라이브리 플로랄_1,자연의 올리브  분 드라이 샴푸_0,자연의 올리브  분 드라이 샴푸_1,아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_0,아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_1,클릭 프릭 리프레싱 드라이 샴푸_0,클릭 프릭 리프레싱 드라이 샴푸_1,드라이 샴푸_0,드라이 샴푸_1,드라이 샴푸 레즐리 핑크_0,드라이 샴푸 레즐리 핑크_1,드라이 샴푸   엑소틱_0,드라이 샴푸   엑소틱_1,오트밀크 드라이샴푸_0,오트밀크 드라이샴푸_1,피스트 웨이비 컬리 헤어 드라이 샴푸_0,피스트 웨이비 컬리 헤어 드라이 샴푸_1,노웨이팅 드라이샴푸   스위트_0,노웨이팅 드라이샴푸   스위트_1,트리트먼트 오리지날_0,트리트먼트 오리지날_1,헤어 테라피_0,헤어 테라피_1,라이트 오일 트리트먼트_0,라이트 오일 트리트먼트_1,리페어포스 헤어BB크림_0,리페어포스 헤어BB크림_1,컬링 에센스  X_0,컬링 에센스  X_1,미스 디올 헤어 미스트_0,미스 디올 헤어 미스트_1,엑스트라 오디네리 오일 엑스트라 리치_0,엑스트라 오디네리 오일 엑스트라 리치_1,엑스트라 오디네리 오일 리치_0,엑스트라 오디네리 오일 리치_1,토탈리페어  세럼 프로엑스_0,토탈리페어  세럼 프로엑스_1,소프트닝 컨디셔너_0,소프트닝 컨디셔너_1,레지스턴스 시몽 테르미크_0,레지스턴스 시몽 테르미크_1,데미지 케어 컨센트레이트_0,데미지 케어 컨센트레이트_1,헤어비타민 헤어 트리트먼트_0,헤어비타민 헤어 트리트먼트_1,울트라 프로틴 헤어오일 리치_0,울트라 프로틴 헤어오일 리치_1,실키 오일 세럼_0,실키 오일 세럼_1,아르간 헤어 트리트먼트 오일_0,아르간 헤어 트리트먼트 오일_1,샹스 오 땅드르 헤어 미스트_0,샹스 오 땅드르 헤어 미스트_1,리페어포스 테라피 에센셜 오일_0,리페어포스 테라피 에센셜 오일_1,아로마 리페어 오일_0,아로마 리페어 오일_1,엑스트라 오디네리 보태니컬 오일_0,엑스트라 오디네리 보태니컬 오일_1,에르네뜨 스프레이_0,에르네뜨 스프레이_1,카멜리아 에센셜 잔머리 스틱 왁스_0,카멜리아 에센셜 잔머리 스틱 왁스_1,글로발 체리 미러클 휘니쉬_0,글로발 체리 미러클 휘니쉬_1,컬 셋 로션 EX_0,컬 셋 로션 EX_1,볼륨 미스트_0,볼륨 미스트_1,스프레이 수퍼하드_0,스프레이 수퍼하드_1,슈퍼하드 워터스프레이_0,슈퍼하드 워터스프레이_1,알앤비_0,알앤비_1,프리즈 앤 샤인 슈퍼 스프레이_0,프리즈 앤 샤인 슈퍼 스프레이_1,허브 스타일링 헤어 스프레이_0,허브 스타일링 헤어 스프레이_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.88405,2.98408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,12.5,0.0,0.0,0.0,0.0,0.0,0.0,64.89361,11.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,47.36842,51.11111,0.0,0.0,66.66666,61.90476,56.81818,64.36781,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.24637,2.92352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,21.875,0.0,0.0,0.0,0.0,0.0,0.0,63.82978,11.81818,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,48.27586,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,52.63157,48.88888,0.0,0.0,66.66666,71.42857,56.25,68.3908,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41545,2.65374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46153,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,58.51063,20.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.66666,0.0,0.0,0.0,26.31578,28.88888,0.0,0.0,37.03703,28.57142,57.95454,58.62068,60.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.55072,2.83543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,14.58333,0.0,0.0,0.0,0.0,0.0,0.0,53.19148,44.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,44.44444,0.0,0.0,0.0,0.0,56.81818,61.49425,50.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.07729,3.2869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15384,18.75,0.0,0.0,0.0,0.0,0.0,0.0,68.0851,31.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.13793,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,31.11111,0.0,0.0,37.03703,57.14285,49.43181,77.5862,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10628,3.61173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.84615,20.83333,0.0,0.0,0.0,0.0,0.0,0.0,59.57446,13.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,84.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263,26.66666,0.0,0.0,55.55555,47.61904,52.27272,73.56321,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.94685,3.24836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46153,11.45833,0.0,0.0,0.0,0.0,0.0,0.0,52.12765,12.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,39.47368,24.44444,0.0,0.0,22.22222,80.95238,62.5,63.7931,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76328,3.8705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15384,31.25,0.0,0.0,0.0,0.0,0.0,0.0,52.12765,16.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,26.66666,0.0,0.0,0.0,33.33333,59.65909,72.41379,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.09178,4.15129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,19.79166,0.0,0.0,0.0,0.0,0.0,0.0,92.55319,11.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,84.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,53.33333,0.0,0.0,0.0,0.0,67.04545,61.49425,90.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.41062,3.50712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30769,21.875,0.0,0.0,0.0,0.0,0.0,0.0,70.21276,39.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,31.57894,40.0,0.0,0.0,18.51851,28.57142,47.72727,51.72413,0.0,0.0,0.0,0.0
