,매직프레스 페디큐어_0,매직프레스 페디큐어_1,하또하또핏 패디_0,하또하또핏 패디_1,매직프레스 페디큐어 슈퍼 슬림핏_0,매직프레스 페디큐어 슈퍼 슬림핏_1,세미 큐어 젤  페디 _0,세미 큐어 젤  페디 _1, 빅스톤 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_0, 빅스톤 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_1,띠부띠부팁 패디_0,띠부띠부팁 패디_1,띠부띠부팁 패디 프리미엄_0,띠부띠부팁 패디 프리미엄_1, 에뛰드 에디션  매직프레스 페디큐어_0, 에뛰드 에디션  매직프레스 페디큐어_1, 이니스프리 에디션  매직프레스 페디큐어 슈퍼 슬림핏_0, 이니스프리 에디션  매직프레스 페디큐어 슈퍼 슬림핏_1, 하바나 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_0, 하바나 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_1, 빅스톤 컬렉션  프리미엄 글로스 페디_0, 빅스톤 컬렉션  프리미엄 글로스 페디_1, 팔로우미 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0, 팔로우미 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1,글로스 페디 스트립_0,글로스 페디 스트립_1, 더퀸 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0, 더퀸 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1, 보노보노 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0, 보노보노 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1, 보노보노컬렉션  글로스 페디_0, 보노보노컬렉션  글로스 페디_1, 빅스톤 컬렉션  글로스 페디_0, 빅스톤 컬렉션  글로스 페디_1, 빅플레져컬렉션  글로스 페디  터키 스톤 _0, 빅플레져컬렉션  글로스 페디  터키 스톤 _1, 소프트샤인  매직프레스 페디큐어 슈퍼 슬림핏_0, 소프트샤인  매직프레스 페디큐어 슈퍼 슬림핏_1, 오  캘리포니아 컬렉션  글로스 페디_0, 오  캘리포니아 컬렉션  글로스 페디_1,네일건 케어  핑크 영양제 _0,네일건 케어  핑크 영양제 _1,이레이저_0,이레이저_1,오리지널 엔비_0,오리지널 엔비_1,네일 바이탈_0,네일 바이탈_1,레몬 버터 큐티클 크림_0,레몬 버터 큐티클 크림_1,호호바 오일 네일에센스_0,호호바 오일 네일에센스_1,헬프 마이 핑거 에센스 스파_0,헬프 마이 핑거 에센스 스파_1,네일 강화제_0,네일 강화제_1,모디 에센셜 오일_0,모디 에센셜 오일_1,큐티클 오일_0,큐티클 오일_1,파인 넛 큐티클 오일_0,파인 넛 큐티클 오일_1,네일건 케어  핑크 강화제 _0,네일건 케어  핑크 강화제 _1,모디 하드너_0,모디 하드너_1,아보플렉스 큐티클 오일_0,아보플렉스 큐티클 오일_1,인텐시브 테라피 II_0,인텐시브 테라피 II_1,컬러 앤 네이처 네일 케어 에센스 펜_0,컬러 앤 네이처 네일 케어 에센스 펜_1,레드테라피 데미지 릴리프  매직프레스 전용 _0,레드테라피 데미지 릴리프  매직프레스 전용 _1,네일콘 네일케어_0,네일콘 네일케어_1,민중기 KGF 손톱 영양 앰플_0,민중기 KGF 손톱 영양 앰플_1,쇼킹구해줘네일밤_0,쇼킹구해줘네일밤_1
20,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,73.56321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52941,38.41059,0.0,0.0,12.19512,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,55.0,77.77777,0.0,0.0,68.26923,91.78885,0.0,0.0,0.0,0.0,63.38028,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.97297,0.0
21,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57471,55.17241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.11764,35.09933,0.0,0.0,29.26829,37.03703,66.66666,0.0,0.0,0.0,0.0,0.0,85.0,53.7037,87.5,0.0,61.29807,85.92375,0.0,0.0,0.0,0.0,47.88732,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.05405,0.0
22,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41379,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.29411,29.80132,0.0,0.0,26.82926,37.03703,0.0,55.55555,0.0,0.0,0.0,0.0,60.0,53.7037,62.5,0.0,58.89423,88.8563,0.0,0.0,0.0,0.0,47.88732,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
23,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.06896,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.64705,31.12582,0.0,0.0,26.82926,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,70.0,62.96296,0.0,0.0,52.40384,97.94721,0.0,0.0,0.0,0.0,33.80281,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02702,0.0
24,0.0,0.0,6.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57471,71.26436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.94117,19.86754,0.0,0.0,21.95121,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,74.07407,0.0,0.0,60.57692,82.11143,0.0,0.0,0.0,0.0,43.66197,32.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43243,0.0
25,84.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.56321,77.01149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.64705,23.84105,0.0,0.0,24.39024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.33333,44.44444,0.0,0.0,57.93269,76.53958,0.0,0.0,0.0,0.0,23.94366,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32432,0.0
26,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,51.72413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,29.80132,0.0,0.0,68.29268,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.18518,0.0,0.0,61.29807,80.93841,0.0,0.0,0.0,0.0,26.76056,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54054,0.0
27,53.84615,0.0,15.78947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,71.26436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.29411,39.73509,0.0,0.0,36.58536,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,75.0,53.7037,0.0,0.0,62.5,83.87096,0.0,0.0,0.0,0.0,33.80281,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13513,0.0
28,0.0,0.0,19.73684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.91954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,22.51655,0.0,0.0,26.82926,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,56.66666,35.18518,0.0,0.0,69.71153,86.80351,0.0,0.0,0.0,0.0,22.53521,32.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54054,0.0
29,0.0,0.0,35.52631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.26436,63.21839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.1788,0.0,0.0,19.51219,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,55.0,46.29629,0.0,0.0,68.26923,84.75073,0.0,0.0,0.0,0.0,28.16901,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.67567,0.0
30,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.01149,45.97701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,22.51655,0.0,0.0,17.07317,25.92592,0.0,55.55555,0.0,0.0,0.0,0.0,71.66666,38.88888,0.0,0.0,89.66346,77.7126,0.0,0.0,0.0,0.0,33.80281,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32432,0.0
31,46.15384,0.0,28.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.72413,71.26436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23529,17.88079,0.0,0.0,17.07317,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,55.0,51.85185,0.0,0.0,90.625,90.32258,0.0,0.0,0.0,0.0,33.80281,32.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62162,0.0
32,53.84615,0.0,17.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.26436,60.91954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.47058,29.13907,0.0,0.0,36.58536,33.33333,0.0,77.77777,0.0,0.0,0.0,0.0,60.0,61.11111,0.0,0.0,62.01923,86.51026,0.0,0.0,0.0,0.0,39.43661,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,38.46153,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.91954,28.73563,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70588,33.77483,0.0,0.0,46.34146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.33333,62.96296,0.0,0.0,73.3173,98.53372,0.0,0.0,0.0,0.0,32.39436,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24324,0.0
34,76.92307,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.21839,45.97701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.82352,37.74834,0.0,0.0,100.0,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,93.33333,50.0,0.0,0.0,78.60576,80.93841,0.0,0.0,0.0,0.0,25.35211,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91891,0.0
35,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.97701,42.52873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52941,26.49006,0.0,0.0,46.34146,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,65.0,81.48148,0.0,0.0,77.40384,91.78885,0.0,0.0,0.0,0.0,43.66197,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13513,0.0
36,0.0,0.0,55.26315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.26436,49.42528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.29411,31.12582,0.0,0.0,17.07317,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,43.33333,59.25925,62.5,62.5,74.75961,78.88563,0.0,0.0,0.0,0.0,29.57746,53.57142,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.35135,0.0
37,0.0,0.0,22.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.91954,50.57471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.64705,18.54304,0.0,0.0,65.85365,100.0,0.0,55.55555,0.0,0.0,0.0,0.0,85.0,62.96296,0.0,0.0,77.88461,95.89442,0.0,0.0,0.0,0.0,52.11267,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.94594,0.0
38,46.15384,0.0,22.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73563,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17647,21.19205,0.0,0.0,43.90243,74.07407,0.0,0.0,0.0,0.0,0.0,0.0,50.0,81.48148,0.0,0.0,60.09615,80.93841,0.0,0.0,0.0,0.0,21.12676,32.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43243,0.0
39,53.84615,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.97701,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.35294,25.16556,0.0,0.0,39.02439,62.96296,0.0,77.77777,0.0,0.0,0.0,0.0,46.66666,46.29629,0.0,0.0,63.9423,78.00586,0.0,0.0,0.0,0.0,28.16901,67.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,56.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.52873,32.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.11764,27.15231,0.0,0.0,63.41463,37.03703,0.0,66.66666,0.0,0.0,0.0,0.0,43.33333,66.66666,62.5,0.0,68.75,82.9912,0.0,0.0,0.0,0.0,21.12676,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21621,0.0
