,블랙헤드 올 클리어 키트_0,블랙헤드 올 클리어 키트_1,제주 화산토 클리어 코팩_0,제주 화산토 클리어 코팩_1,시크릿 퓨어 노오즈 클리어 키트      _0,시크릿 퓨어 노오즈 클리어 키트      _1,립앤아이 트윈패치_0,립앤아이 트윈패치_1,미니 포어 워터클레이 마스크_0,미니 포어 워터클레이 마스크_1,포어 클리어 화이트 코팩_0,포어 클리어 화이트 코팩_1,진생베리 아이 리프트 패치_0,진생베리 아이 리프트 패치_1,디스패치 포어라스틱 포 노즈 앤 치크_0,디스패치 포어라스틱 포 노즈 앤 치크_1,레몬 티트리 코팩_0,레몬 티트리 코팩_1,스킨후리 까만 참숯 코팩_0,스킨후리 까만 참숯 코팩_1,아이스 카밍 쿨러_0,아이스 카밍 쿨러_1,팩브러시        _0,팩브러시        _1,뷰티툴 말랑한 팩 스패튤라_0,뷰티툴 말랑한 팩 스패튤라_1,리프트라 컨투어 쉐이퍼_0,리프트라 컨투어 쉐이퍼_1,쿨링 마사저_0,쿨링 마사저_1,실리콘 팩 브러시_0,실리콘 팩 브러시_1,실리콘 마스크 커버_0,실리콘 마스크 커버_1,뷰티툴 팩 브러시_0,뷰티툴 팩 브러시_1,포에버 유스 리버레이터 와이 쉐이프 마사저_0,포에버 유스 리버레이터 와이 쉐이프 마사저_1,더 잠 테라피 마사저_0,더 잠 테라피 마사저_1,이혈기석_0,이혈기석_1,아이싱 쿨러_0,아이싱 쿨러_1,브이라인 리프팅 브이밴드_0,브이라인 리프팅 브이밴드_1,팩 브러시_0,팩 브러시_1,보석 페이스 롤러_0,보석 페이스 롤러_1,더마쿨러 페이스_0,더마쿨러 페이스_1,   페이스 메이킹 키트_0,   페이스 메이킹 키트_1,그린티 씨드 아이 앤 페이스 볼_0,그린티 씨드 아이 앤 페이스 볼_1,불가리안 로즈 브라이트닝 링클케어_0,불가리안 로즈 브라이트닝 링클케어_1,쿨링마사지   페이스용_0,쿨링마사지   페이스용_1,미드데이 블루 UV 쉴드  SPF    PA     _0,미드데이 블루 UV 쉴드  SPF    PA     _1,릴리프 선 모이스처라이저  SPF    PA     _0,릴리프 선 모이스처라이저  SPF    PA     _1,소프트 에어리 UV 에센스  SPF    PA     _0,소프트 에어리 UV 에센스  SPF    PA     _1,UV 선프로     익스트림 선 플루이드  SPF    PA     _0,UV 선프로     익스트림 선 플루이드  SPF    PA     _1,오메가 레스큐 선크림  SPF    PA    _0,오메가 레스큐 선크림  SPF    PA    _1,워터풀 에센스 선크림  SPF    PA     _0,워터풀 에센스 선크림  SPF    PA     _1,세이프 블록RX 올 파워풀 선  SPF    PA     _0,세이프 블록RX 올 파워풀 선  SPF    PA     _1,슈퍼에어핏 마일드 선크림 데일리  SPF    PA     _0,슈퍼에어핏 마일드 선크림 데일리  SPF    PA     _1,레이저 썬스크린     SPF    PA    _0,레이저 썬스크린     SPF    PA    _1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,42.30769,0.0,0.0,22.67441,11.19402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42201,19.90291,39.73063,38.0368,0.0,13.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.90697,11.19402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66972,13.10679,36.70033,28.22085,0.0,15.21739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,16.27906,29.85074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.96116,42.42424,30.06134,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02325,24.62686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04587,5.82524,58.92255,34.96932,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12844,9.70873,47.81144,25.76687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,26.74418,24.62686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.211,10.67961,46.80134,34.96932,0.0,23.91304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,17.44186,23.88059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66972,10.67961,47.81144,36.19631,0.0,15.21739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,36.6279,38.80597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04587,12.62135,37.03703,30.06134,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,37.2093,23.13432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0,0.0,0.0,0.0,0.0,6.31067,30.63973,40.49079,0.0,54.34782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,35.46511,23.88059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12844,11.65048,32.32323,30.06134,0.0,13.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
