,파파야 그래뉼 필스_0,파파야 그래뉼 필스_1,트루케어 칼라민     클렌저_0,트루케어 칼라민     클렌저_1,쌀뜨물 미강 효소 세안제_0,쌀뜨물 미강 효소 세안제_1,약산성 히알루론 젤 클렌저_0,약산성 히알루론 젤 클렌저_1,내추럴 리치 클렌징 폼_0,내추럴 리치 클렌징 폼_1,스팟 세이버 쑥 파우더 워시_0,스팟 세이버 쑥 파우더 워시_1,pH 밸런싱 젤 클렌저_0,pH 밸런싱 젤 클렌저_1,모닝 듀 비타 클렌징젤_0,모닝 듀 비타 클렌징젤_1,타임 레볼루션 개똥쑥 팩 폼 클렌저_0,타임 레볼루션 개똥쑥 팩 폼 클렌저_1,안티박 아크네 클렌징 폼_0,안티박 아크네 클렌징 폼_1,에브리데이 밸런싱 약산성 쑥쑥 클렌징폼_0,에브리데이 밸런싱 약산성 쑥쑥 클렌징폼_1,셋업 폼클렌저_0,셋업 폼클렌저_1,에빠끌라 딥 클렌징 포밍 크림_0,에빠끌라 딥 클렌징 포밍 크림_1,순행 클렌징 폼_0,순행 클렌징 폼_1,엔자임 클렌징 젤 효소 클렌징 젤 _0,엔자임 클렌징 젤 효소 클렌징 젤 _1,슈퍼 그레인 버블 폼_0,슈퍼 그레인 버블 폼_1,세이프 미 릴리프 모이스처 클렌징 폼_0,세이프 미 릴리프 모이스처 클렌징 폼_1,카카두 아미노 클렌져_0,카카두 아미노 클렌져_1,아미노 버블 약산성 클렌저_0,아미노 버블 약산성 클렌저_1,엔젤스 온 배어 스킨_0,엔젤스 온 배어 스킨_1,힐링 티 가든 티트리 클렌징 워터_0,힐링 티 가든 티트리 클렌징 워터_1,클린 잇 제로 클렌징 밤 오리지널_0,클린 잇 제로 클렌징 밤 오리지널_1,프로페셔널 미셀라에어 클렌징 워터_0,프로페셔널 미셀라에어 클렌징 워터_1,수드 피토 그린 샤워 클렌징 워터_0,수드 피토 그린 샤워 클렌징 워터_1,힐링 티 가든 클렌징 코튼 패드_0,힐링 티 가든 클렌징 코튼 패드_1,올 클린 밤_0,올 클린 밤_1,카모 클렌징 패드_0,카모 클렌징 패드_1,미셀라 클렌징워터 울트라 센시티브 스킨_0,미셀라 클렌징워터 울트라 센시티브 스킨_1,힐링 티 가든 그린티 클렌징 워터_0,힐링 티 가든 그린티 클렌징 워터_1,클렌징 시트_0,클렌징 시트_1,클렌징 밀크_0,클렌징 밀크_1,미셀라 클렌징 워터_0,미셀라 클렌징 워터_1,애시드 밸런스 페이셜 클렌징 워터_0,애시드 밸런스 페이셜 클렌징 워터_1,테이크 더 데이 오프 클렌징 오일_0,테이크 더 데이 오프 클렌징 오일_1,안티 폴루션 클렌징 오일_0,안티 폴루션 클렌징 오일_1,순행 클렌징 오일_0,순행 클렌징 오일_1,퍼스트 클렌징 오일 퓨어 앤 프레쉬_0,퍼스트 클렌징 오일 퓨어 앤 프레쉬_1,닥터트럽 스킨 리터닝 클렌징 밀크_0,닥터트럽 스킨 리터닝 클렌징 밀크_1,   만능 슈퍼 클렌징 밤_0,   만능 슈퍼 클렌징 밤_1,스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드_0,스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드_1
10,0.0,83.33333,0.0,0.0,75.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,70.58823,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02684,77.51004,19.48051,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,52.67423,39.64421,75.94936,43.18181,0.0,0.0,0.0,0.0,0.0,100.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.43624,100.0,23.37662,29.87012,0.0,0.0,0.0,0.0,0.0,0.0,52.51215,28.58958,64.55696,52.27272,0.0,0.0,0.0,0.0,0.0,56.0,23.80952,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,83.33333,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10738,73.89558,11.68831,20.77922,0.0,0.0,0.0,0.0,0.0,0.0,59.31928,46.37865,79.74683,44.31818,0.0,0.0,0.0,0.0,0.0,88.0,71.42857,38.88888,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,37.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.50335,41.36546,20.77922,33.76623,0.0,0.0,0.0,0.0,27.77777,0.0,92.86871,50.69885,67.0886,31.81818,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,57.64705,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.21476,38.95582,19.48051,53.24675,0.0,0.0,0.0,0.0,0.0,0.0,100.0,55.78144,83.5443,42.04545,0.0,0.0,0.0,0.0,0.0,56.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.15436,28.91566,100.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,84.11669,33.16391,68.35443,44.31818,0.0,0.0,0.0,0.0,0.0,80.0,71.42857,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2953,32.93172,42.85714,33.76623,0.0,0.0,0.0,0.0,0.0,0.0,65.15397,34.18043,58.22784,39.77272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,43.52941,0.0,0.0,0.0,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.73154,26.50602,58.44155,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,67.74716,31.385,49.36708,42.04545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.89932,0.0,27.27272,50.64935,0.0,0.0,0.0,0.0,0.0,0.0,66.93679,53.62134,58.22784,56.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.17647,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.80536,0.0,53.24675,44.15584,0.0,0.0,0.0,0.0,0.0,0.0,83.46839,48.03049,56.96202,32.95454,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
