,셀다운 너리싱 크림_0,셀다운 너리싱 크림_1,타이거밤 넥앤숄더 크림_0,타이거밤 넥앤숄더 크림_1,바디슬리밍 핫 테라피 크림_0,바디슬리밍 핫 테라피 크림_1,피곤하지 마사지 볼_0,피곤하지 마사지 볼_1,야간용 슈퍼 롱 압박 스타킹_0,야간용 슈퍼 롱 압박 스타킹_1,바디 핏 엑스퍼트 카피톤_0,바디 핏 엑스퍼트 카피톤_1,뷔스트 뷰티 로션_0,뷔스트 뷰티 로션_1,갈바닉 스파 시스템 에이지락바디_0,갈바닉 스파 시스템 에이지락바디_1,크렘 마스벨트_0,크렘 마스벨트_1,팻 걸 식스팩_0,팻 걸 식스팩_1,버치 셀룰라이트 오일_0,버치 셀룰라이트 오일_1,바디 리프트 컨트롤_0,바디 리프트 컨트롤_1,마사지 핫볼_0,마사지 핫볼_1,리얼 쿨 바디_0,리얼 쿨 바디_1,날씬 미녀 크림_0,날씬 미녀 크림_1,더 바디 슬림 이펙터_0,더 바디 슬림 이펙터_1,더 바디 슬림 젤_0,더 바디 슬림 젤_1,레그 리커버리 수면쉐이퍼_0,레그 리커버리 수면쉐이퍼_1,리커버리 크림_0,리커버리 크림_1,미네랄 데오드란트 스틱_0,미네랄 데오드란트 스틱_1,미네랄 데오드란트 롤온  무향 _0,미네랄 데오드란트 롤온  무향 _1,데오드란트 바디 스프레이_0,데오드란트 바디 스프레이_1,사라사라 파우더시트_0,사라사라 파우더시트_1,데오프레쉬 바디 프라이머_0,데오프레쉬 바디 프라이머_1,바디 데오 스틱  무향 _0,바디 데오 스틱  무향 _1,틴 스피릿 솔리드 핑크 크러쉬 데오드란트_0,틴 스피릿 솔리드 핑크 크러쉬 데오드란트_1,바디 데오 스틱  바닐라 파우더리향 _0,바디 데오 스틱  바닐라 파우더리향 _1,데오드란트 롤온 드라이 컴포트_0,데오드란트 롤온 드라이 컴포트_1,데오도란트_0,데오도란트_1,엑스트라 화이트  스틱 _0,엑스트라 화이트  스틱 _1,데오드란트 미스트_0,데오드란트 미스트_1,데오도란트 두세르_0,데오도란트 두세르_1,슈퍼 쿨링 파우더 시트 클린 솝 향_0,슈퍼 쿨링 파우더 시트 클린 솝 향_1,데오드란트 스틱드라이콤포트_0,데오드란트 스틱드라이콤포트_1,데오드란트 스프레이 패뷸러스 플라워_0,데오드란트 스프레이 패뷸러스 플라워_1,안티 퍼스피런트 데오드란트 스틱 패션_0,안티 퍼스피런트 데오드란트 스틱 패션_1,슈퍼쿨링파우더시트_0,슈퍼쿨링파우더시트_1,엑스트라 화이트  롤온 _0,엑스트라 화이트  롤온 _1,롤온 데오드란트  뱀부 _0,롤온 데오드란트  뱀부 _1
10,2.7027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.58823,78.31325,0.0,0.0,0.0,0.0,0.0,0.0,71.18644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23762,70.58823,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12844,22.58064,0.0,0.0,0.0,0.0
11,5.06756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.32558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,62.6506,0.0,0.0,0.0,0.0,0.0,0.0,69.49152,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.64356,67.40196,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75268,0.0,0.0,0.0,0.0
12,4.05405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.56862,74.69879,0.0,0.0,0.0,0.0,0.0,0.0,72.88135,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23762,63.72549,0.0,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27956,0.0,0.0,0.0,50.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15686,89.15662,0.0,0.0,0.0,0.0,0.0,0.0,32.20338,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69306,69.11764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27956,0.0,0.0,0.0,50.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.03921,97.59036,0.0,0.0,0.0,0.0,0.0,0.0,37.28813,24.0,1.10091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.18811,73.7745,0.0,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4301,0.0,0.0,50.0,50.0
15,2.7027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8.72093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47058,61.44578,0.0,0.0,0.0,0.0,0.0,0.0,40.67796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.16831,53.92156,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.80645,0.0,0.0,0.0,60.0
16,4.05405,10.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.65116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.92771,0.0,0.0,0.0,0.0,0.0,0.0,27.11864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17821,51.71568,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29357,13.97849,0.0,0.0,0.0,0.0
17,2.02702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.37254,59.03614,0.0,0.0,0.0,0.0,0.0,0.0,42.37288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75247,74.2647,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12844,19.35483,0.0,0.0,0.0,70.0
18,4.05405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,4.94186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,51.80722,0.0,0.0,0.0,0.0,0.0,0.0,42.37288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66336,63.23529,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4301,0.0,0.0,0.0,0.0
19,1.68918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.49019,62.6506,0.0,0.0,0.0,0.0,0.0,0.0,30.50847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17821,59.55882,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4301,0.0,0.0,0.0,0.0
