,블론더 멀티 블론드 파우더 탈색약 탈색제_0,블론더 멀티 블론드 파우더 탈색약 탈색제_1,마지렐 쿨커버_0,마지렐 쿨커버_1,마지렐 염색약_0,마지렐 염색약_1,팡팡 헤어 섀도우_0,팡팡 헤어 섀도우_1,안토시아닌 헤어 매니큐어_0,안토시아닌 헤어 매니큐어_1,흑모비책 크림 염색_0,흑모비책 크림 염색_1,퀵 헤어 섀도우_0,퀵 헤어 섀도우_1,씨리얼 헤어컬러_0,씨리얼 헤어컬러_1,퀵 헤어 퍼프_0,퀵 헤어 퍼프_1,콜레스톤 퍼펙트 염모제_0,콜레스톤 퍼펙트 염모제_1,리얼 헤어 메이크업 젤리 컨실러_0,리얼 헤어 메이크업 젤리 컨실러_1,메이크 에이치디 헤어 블리치_0,메이크 에이치디 헤어 블리치_1,컬러라이즈 헤어 블리치_0,컬러라이즈 헤어 블리치_1,컬러 트리트먼트 페인트_0,컬러 트리트먼트 페인트_1,헤어쿠션_0,헤어쿠션_1,크리스탈라이징 스트레이트_0,크리스탈라이징 스트레이트_1,투톤 트리트먼트 헤어 컬러_0,투톤 트리트먼트 헤어 컬러_1,시크릿 헤어 라이너_0,시크릿 헤어 라이너_1,크림 헤어 블리치_0,크림 헤어 블리치_1,엑셀랑스 크림_0,엑셀랑스 크림_1,WET 브러쉬_0,WET 브러쉬_1,오리지널_0,오리지널_1,우든 패들 브러시_0,우든 패들 브러시_1,컴팩트 스타일러_0,컴팩트 스타일러_1,레인보우 볼륨 S 브러시_0,레인보우 볼륨 S 브러시_1,브러시형 두피 마사지기_0,브러시형 두피 마사지기_1,헤어고정시트_0,헤어고정시트_1,살롱 엘리트_0,살롱 엘리트_1,영국런던 헤어 브러시_0,영국런던 헤어 브러시_1,집게형헤어컬_0,집게형헤어컬_1,레인보우 볼륨 S 브러쉬 컴팩트_0,레인보우 볼륨 S 브러쉬 컴팩트_1,앞머리 헤어롤_0,앞머리 헤어롤_1,Wet앤탱글 쿠션브러시_0,Wet앤탱글 쿠션브러시_1,레인보우 반달 브러쉬_0,레인보우 반달 브러쉬_1,리본형 헤어고정시트_0,리본형 헤어고정시트_1,두피마사지 샴푸 브러쉬_0,두피마사지 샴푸 브러쉬_1,샴푸 브러쉬_0,샴푸 브러쉬_1,마이뷰티툴 러블리에띠 스탠딩 헤어브러쉬_0,마이뷰티툴 러블리에띠 스탠딩 헤어브러쉬_1,올리브영알루미늄헤어롤_0,올리브영알루미늄헤어롤_1,집게 헤어롤_0,집게 헤어롤_1
31,0.0,0.0,44.44444,28.0,90.90909,21.42857,0.0,34.7826,82.31292,80.44871,0.0,0.0,0.0,0.0,0.0,0.0,22.03389,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,70.12239,47.31385,0.0,0.0,100.0,25.80645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,62.32558,22.65795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51807,63.39869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.08542,100.0,0.0,0.0,0.0,0.0,28.57142,65.38461
32,0.0,0.0,0.0,0.0,45.45454,21.42857,0.0,21.73913,73.46938,93.26923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,75.66594,35.81526,0.0,0.0,45.80645,22.58064,0.0,0.0,0.0,55.55555,50.0,0.0,40.0,60.0,87.44186,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.46987,59.47712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3819,86.04651,0.0,0.0,0.0,0.0,42.85714,61.53846
33,0.0,0.0,0.0,92.0,45.45454,17.85714,0.0,0.0,79.36507,66.66666,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,40.67674,75.49481,0.0,0.0,7.74193,38.70967,0.0,0.0,0.0,0.0,60.0,0.0,33.33333,24.0,90.69767,39.43355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.78787,20.37037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6265,38.56209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.67839,83.87596,0.0,0.0,0.0,0.0,32.14285,57.6923
34,0.0,0.0,38.88888,0.0,45.45454,35.71428,0.0,39.13043,60.0907,68.91025,0.0,0.0,0.0,0.0,0.0,0.0,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,25.0,0.0,0.0,34.41324,39.77379,0.0,0.0,5.16129,35.48387,0.0,0.0,66.66666,55.55555,0.0,0.0,0.0,28.0,72.09302,30.50108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,31.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.37349,49.6732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.35678,82.63565,0.0,0.0,0.0,0.0,92.85714,26.92307
35,0.0,0.0,44.44444,36.0,0.0,42.85714,0.0,0.0,60.0907,71.47435,0.0,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.82145,58.43543,0.0,0.0,0.0,16.12903,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,64.65116,32.67973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51515,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.37349,41.83006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.68341,77.51937,0.0,0.0,0.0,0.0,92.85714,57.6923
36,0.0,0.0,0.0,36.0,0.0,42.85714,0.0,30.43478,62.81179,68.26923,0.0,0.0,0.0,90.90909,0.0,0.0,11.8644,0.0,0.0,0.0,100.0,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,55.14758,31.29123,0.0,0.0,5.16129,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,20.0,53.02325,33.76906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.14457,39.86928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07537,69.45736,0.0,0.0,0.0,83.33333,39.28571,30.76923
37,0.0,0.0,0.0,48.0,0.0,42.85714,0.0,26.08695,69.61451,74.35897,0.0,0.0,0.0,54.54545,0.0,0.0,15.25423,0.0,0.0,0.0,33.33333,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,30.09359,40.7163,0.0,0.0,12.90322,16.12903,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,57.67441,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.30303,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6506,61.4379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.67839,60.46511,0.0,0.0,0.0,0.0,46.42857,69.23076
38,0.0,0.0,94.44444,56.0,0.0,25.0,0.0,21.73913,86.1678,79.48717,100.0,0.0,0.0,0.0,0.0,0.0,16.94915,35.0,0.0,0.0,45.83333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14182,32.13949,0.0,0.0,9.03225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,71.6279,22.44008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.83132,63.39869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.39698,73.17829,0.0,0.0,0.0,0.0,25.0,57.6923
39,0.0,0.0,33.33333,20.0,0.0,100.0,0.0,21.73913,100.0,76.60256,0.0,0.0,0.0,0.0,0.0,0.0,22.03389,0.0,0.0,0.0,70.83333,34.61538,0.0,0.0,0.0,0.0,0.0,0.0,25.77393,47.12535,0.0,0.0,10.96774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,84.65116,33.55119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,42.59259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.06024,61.4379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.17085,78.91472,0.0,0.0,100.0,0.0,17.85714,57.6923
40,0.0,0.0,0.0,24.0,0.0,17.85714,0.0,30.43478,79.81859,77.88461,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,33.33333,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,18.57451,30.72573,0.0,0.0,8.38709,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,33.33333,48.0,87.44186,41.6122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.39393,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.37349,35.94771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41206,66.66666,0.0,0.0,0.0,0.0,42.85714,50.0
