,케어플러스 상처커버 스팟패치_0,케어플러스 상처커버 스팟패치_1,이지덤 뷰티_0,이지덤 뷰티_1,프레쉬덤 안티 블레미쉬 패치_0,프레쉬덤 안티 블레미쉬 패치_1,하이드로 도트_0,하이드로 도트_1,블레미쉬 패치 케어_0,블레미쉬 패치 케어_1,케어플러스 잘라쓰는 사각패치_0,케어플러스 잘라쓰는 사각패치_1,스팟 케어 패치 키트_0,스팟 케어 패치 키트_1,위드덤 스킨커버 프렌드 실속형_0,위드덤 스킨커버 프렌드 실속형_1,닥터트럽 트러블 클리어 패치_0,닥터트럽 트러블 클리어 패치_1,에이씨 컬렉션 아크네 패치_0,에이씨 컬렉션 아크네 패치_1,하이맘 밴드_0,하이맘 밴드_1,트러블 큐어_0,트러블 큐어_1,아크네 핌플 마스터 패치_0,아크네 핌플 마스터 패치_1,티트리 솔루션 스팟 클리어 패치_0,티트리 솔루션 스팟 클리어 패치_1,이지케어 스팟패치_0,이지케어 스팟패치_1,스피디 솔루션  안티 트러블 패치 _0,스피디 솔루션  안티 트러블 패치 _1,원더패치_0,원더패치_1,클래리파잉 스팟 패치 키트_0,클래리파잉 스팟 패치 키트_1,매디큐어 하이드 밴드_0,매디큐어 하이드 밴드_1,스팟 패치_0,스팟 패치_1,지압자극 쿨링시트_0,지압자극 쿨링시트_1,휴족휴면_0,휴족휴면_1,쿨링시트_0,쿨링시트_1,수액시트_0,수액시트_1,종아리 알패치_0,종아리 알패치_1,스팀 아이마스크_0,스팀 아이마스크_1,더마 릴렉스 힐링 패치_0,더마 릴렉스 힐링 패치_1,컴포트 레스트 아이워머_0,컴포트 레스트 아이워머_1,데일리 아이마스크_0,데일리 아이마스크_1,아이워머_0,아이워머_1,꿀잠안대_0,꿀잠안대_1,휴식시간_0,휴식시간_1,베어 스팀 아이마스크_0,베어 스팀 아이마스크_1,수면 온열안대_0,수면 온열안대_1,쿨링풋_0,쿨링풋_1,호박 종아리패치_0,호박 종아리패치_1,히팅 아이 마스크_0,히팅 아이 마스크_1,데이리어 링거 오리발 팩_0,데이리어 링거 오리발 팩_1,스팀 아이 마스크_0,스팀 아이 마스크_1,아이온팩_0,아이온팩_1
21,53.33333,0.0,1.41376,49.66248,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48896,6.15384,40.0,12.26851,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,50.0,97.68211,0.0,0.0,0.0,0.0,89.47368,79.41176,0.0,0.0,56.0,100.0,33.5426,17.08683,31.91489,31.11111,0.0,0.0,30.18867,63.15789,81.54613,52.11267,0.0,0.0,64.70588,61.53846,10.32258,42.1875,0.0,0.0,53.27102,61.93548,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.18867,63.15789,34.375,35.0
22,40.0,0.0,1.67052,53.13404,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57215,8.22281,46.66666,12.03703,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,100.0,0.0,0.0,0.0,0.0,69.29824,67.05882,0.0,0.0,52.0,63.2,23.13901,18.20728,27.65957,57.77777,77.77777,0.0,45.28301,64.03508,81.79551,55.6338,0.0,0.0,58.82352,38.46153,18.06451,39.0625,0.0,0.0,47.66355,43.87096,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.28301,64.03508,25.0,48.33333
23,53.33333,45.45454,1.33134,58.1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36842,8.32891,0.0,10.18518,0.0,10.63829,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,95.28145,0.0,0.0,0.0,0.0,82.45614,100.0,0.0,0.0,54.0,54.4,24.57399,18.20728,89.3617,62.22222,0.0,0.0,33.96226,64.03508,63.84039,57.39436,0.0,0.0,44.11764,0.0,21.93548,42.1875,0.0,14.70588,28.03738,45.80645,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96226,64.03508,25.0,38.33333
24,40.0,0.0,1.11262,54.48408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77589,8.43501,53.33333,9.9537,0.0,31.91489,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,88.41059,0.0,0.0,0.0,0.0,83.33333,56.47058,0.0,0.0,49.6,51.2,39.19282,11.48459,70.21276,100.0,0.0,0.0,16.98113,42.10526,60.34912,54.22535,0.0,0.0,52.45098,38.46153,26.45161,31.25,0.0,23.52941,32.71028,57.41935,0.0,14.28571,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98113,42.10526,31.25,60.0
25,0.0,0.0,1.12213,34.32979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87436,8.16976,40.0,12.26851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,79.38741,0.0,0.0,0.0,0.0,84.21052,60.58823,0.0,0.0,100.0,46.4,22.15246,18.48739,72.34042,46.66666,0.0,0.0,28.30188,56.14035,68.57855,49.29577,0.0,0.0,50.0,46.15384,26.45161,48.4375,12.5,0.0,43.92523,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.30188,56.14035,25.0,61.66666
26,0.0,0.0,1.25843,37.02989,0.0,0.0,0.0,0.0,75.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94227,7.7984,0.0,13.88888,0.0,17.02127,0.0,0.0,0.0,0.0,0.0,0.0,50.0,78.89072,0.0,0.0,0.0,0.0,77.19298,66.47058,0.0,0.0,63.2,59.2,24.39461,18.48739,48.93617,86.66666,66.66666,0.0,33.96226,37.71929,65.83541,46.83098,0.0,0.0,54.41176,0.0,25.80645,46.875,10.41666,14.70588,62.61682,57.41935,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,33.96226,37.71929,21.875,61.66666
27,66.66666,0.0,1.34402,44.64802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55687,100.0,0.0,7.17592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571,88.99006,0.0,0.0,0.0,0.0,54.38596,64.11764,0.0,0.0,54.4,45.2,24.39461,21.0084,46.80851,57.77777,0.0,0.0,62.26415,56.14035,63.34164,40.84507,0.0,0.0,43.13725,0.0,16.77419,51.5625,0.0,14.70588,55.14018,60.64516,0.0,0.0,0.0,43.47826,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,62.26415,56.14035,18.75,35.0
28,40.0,0.0,1.18553,49.66248,0.0,0.0,0.0,66.66666,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1494,6.04774,0.0,5.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7086,0.0,0.0,0.0,0.0,57.01754,47.05882,0.0,0.0,51.2,55.6,27.98206,18.20728,51.06382,44.44444,0.0,0.0,24.5283,100.0,51.87032,40.84507,0.0,0.0,44.11764,0.0,17.41935,81.25,0.0,0.0,40.18691,40.64516,0.0,14.28571,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5283,100.0,31.25,58.33333
29,33.33333,0.0,1.42327,50.33751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97623,7.5862,73.33333,6.71296,0.0,25.53191,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,93.87417,0.0,0.0,0.0,0.0,57.89473,41.7647,0.0,0.0,46.4,51.2,30.40358,17.08683,34.04255,55.55555,0.0,0.0,49.0566,79.82456,47.38154,45.77464,0.0,0.0,100.0,0.0,35.48387,50.0,25.0,0.0,53.27102,29.03225,0.0,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,79.82456,37.5,41.66666
30,40.0,0.0,2.98602,48.69816,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12733,9.23076,0.0,10.64814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,92.63245,0.0,0.0,0.0,0.0,59.64912,47.05882,0.0,0.0,59.2,56.79999,32.1973,16.80672,78.7234,53.33333,0.0,0.0,49.0566,66.66666,43.64089,43.66197,0.0,0.0,51.96078,0.0,34.19354,43.75,100.0,0.0,33.64485,41.93548,0.0,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0566,66.66666,31.25,41.66666
