,모디 컬러 네일즈_0,모디 컬러 네일즈_1,네일건_0,네일건_1,코드네일_0,코드네일_1,플레이 네일_0,플레이 네일_1,리얼 컬러 네일_0,리얼 컬러 네일_1,글리터 네일폴리쉬_0,글리터 네일폴리쉬_1,젤라틱 네일 폴리쉬_0,젤라틱 네일 폴리쉬_1,젤네일 컬러_0,젤네일 컬러_1,워너비 네일즈_0,워너비 네일즈_1,생과일 네일  플럼 멜로우 _0,생과일 네일  플럼 멜로우 _1,네일 웨어 젤 탑코트_0,네일 웨어 젤 탑코트_1,네일 탑코트_0,네일 탑코트_1,Seche Vite 드라이 패스트 탑코트_0,Seche Vite 드라이 패스트 탑코트_1,허니 젤네일 탑코트_0,허니 젤네일 탑코트_1,탑코트_0,탑코트_1,네일건 탑코트_0,네일건 탑코트_1,매트 탑코트_0,매트 탑코트_1,젤라틱 네일 폴리쉬  탑코트 _0,젤라틱 네일 폴리쉬  탑코트 _1,모디 메가 탑코트_0,모디 메가 탑코트_1,베이스 코트_0,베이스 코트_1,지젤리 베이스젤_0,지젤리 베이스젤_1,모디 탑 젤_0,모디 탑 젤_1,네일 베이스 코트_0,네일 베이스 코트_1,컬러 앤 네이처 네일 케어 베이스 코트_0,컬러 앤 네이처 네일 케어 베이스 코트_1,플레이 네일 스무딩 베이스 코트_0,플레이 네일 스무딩 베이스 코트_1,인스타드라이 탑코트_0,인스타드라이 탑코트_1,토니네일 젤광 젤탑코트_0,토니네일 젤광 젤탑코트_1,돼지탑_0,돼지탑_1,네일 젤탑코트_0,네일 젤탑코트_1,라라네일탑 베이스코트_0,라라네일탑 베이스코트_1,세미 큐어 젤  네일 _0,세미 큐어 젤  네일 _1, 네일 팔레트 컬렉션  글로스 젤네일 스트립_0, 네일 팔레트 컬렉션  글로스 젤네일 스트립_1,모디 쥬얼 스티커_0,모디 쥬얼 스티커_1, 빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_0, 빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_1, 글램무브 컬렉션  글로스 젤네일 스트립_0, 글램무브 컬렉션  글로스 젤네일 스트립_1,매직프레스 프리미엄_0,매직프레스 프리미엄_1,하또하또핏 PRO 네일_0,하또하또핏 PRO 네일_1,셀프 네일 스티커   디자인_0,셀프 네일 스티커   디자인_1,모디 젤 네일 디자인 팁_0,모디 젤 네일 디자인 팁_1,프렌치네일 팁 라이너_0,프렌치네일 팁 라이너_1
47,20.20202,0.0,44.06779,44.06779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.81818,82.52427,0.0,0.0,0.0,0.0,0.0,0.0,82.81938,46.73913,0.0,0.0,0.0,0.0,64.63768,61.9217,0.0,0.0,43.37349,66.36363,0.0,0.0,100.0,29.03225,72.8395,43.87755,87.14285,53.57142,34.7826,53.57142,87.38738,87.30158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93721,18.91891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40425,23.26139,0.0,0.0
48,48.48484,33.33333,55.9322,55.9322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,86.34361,13.40579,0.0,0.0,0.0,0.0,72.75362,67.61565,0.0,0.0,55.42168,47.27272,0.0,0.0,0.0,16.12903,67.90123,55.10204,72.85714,75.71428,86.95652,35.71428,92.79279,80.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.21076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14893,45.20383,0.0,0.0
49,39.39393,33.33333,74.57627,74.57627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.81818,74.75728,0.0,0.0,0.0,0.0,0.0,0.0,76.65198,5.7971,0.0,0.0,0.0,0.0,80.86956,75.80071,0.0,0.0,66.26506,36.36363,0.0,0.0,0.0,16.12903,88.88888,43.87755,65.0,90.71428,30.43478,25.0,77.47747,63.49206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.48878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76595,32.97362,0.0,0.0
50,35.35353,38.88888,47.45762,47.45762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.27272,58.25242,0.0,0.0,0.0,100.0,0.0,0.0,71.80616,7.24637,0.0,0.0,0.0,0.0,88.9855,61.56583,0.0,0.0,72.28915,31.81818,0.0,0.0,15.38461,19.35483,69.1358,46.93877,68.57142,77.14285,78.26086,35.71428,70.27027,39.68253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.31838,16.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78723,31.65467,0.0,0.0
51,33.33333,94.44444,54.23728,54.23728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90909,93.20388,0.0,0.0,0.0,0.0,0.0,0.0,82.37885,6.88405,0.0,0.0,0.0,0.0,82.89855,68.3274,0.0,0.0,44.57831,37.27272,0.0,0.0,0.0,0.0,79.01234,56.12244,70.71428,55.0,65.21739,39.28571,80.18018,60.31746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6278,17.56756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38297,26.13908,0.0,0.0
52,23.23232,50.0,18.64406,18.64406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0909,85.43689,0.0,0.0,0.0,0.0,0.0,0.0,75.33039,9.05797,0.0,0.0,0.0,0.0,71.88405,67.61565,0.0,0.0,68.67469,14.54545,0.0,0.0,12.82051,16.12903,69.1358,42.85714,84.28571,49.28571,43.47826,57.14285,79.27927,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52466,18.91891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57446,27.21822,0.0,0.0
53,15.15151,44.44444,22.03389,22.03389,100.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.63636,88.34951,0.0,0.0,0.0,0.0,0.0,0.0,93.83259,8.69565,0.0,0.0,0.0,0.0,73.62318,58.36298,0.0,0.0,57.83132,39.0909,0.0,0.0,0.0,0.0,59.25925,36.73469,93.57142,50.71428,26.08695,57.14285,73.87387,68.25396,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45291,10.81081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27659,26.7386,0.0,0.0
54,29.29292,44.44444,77.9661,77.9661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45454,98.05825,0.0,0.0,0.0,0.0,0.0,0.0,89.42731,7.97101,0.0,0.0,0.0,0.0,79.42028,66.19217,0.0,0.0,60.24096,30.90909,0.0,0.0,15.38461,16.12903,76.5432,40.81632,61.42857,52.85714,47.82608,32.14285,77.47747,87.30158,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,16.66666,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7982,14.86486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95744,29.01678,0.0,0.0
55,14.14141,55.55555,57.62711,57.62711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.72727,78.64077,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.33333,0.0,0.0,0.0,0.0,83.1884,98.93238,0.0,0.0,56.6265,56.36363,0.0,0.0,0.0,0.0,90.12345,50.0,60.71428,69.28571,47.82608,53.57142,90.99099,74.60317,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,33.33333,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04255,26.25899,0.0,0.0
56,25.25252,83.33333,37.28813,37.28813,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.90909,82.52427,0.0,0.0,0.0,0.0,0.0,0.0,93.39207,7.97101,0.0,0.0,0.0,0.0,83.47826,77.22419,0.0,0.0,71.08433,81.81818,0.0,0.0,0.0,29.03225,81.48148,39.79591,60.71428,67.85714,60.86956,60.71428,79.27927,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87234,22.30215,0.0,0.0
57,15.15151,55.55555,84.74576,84.74576,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,77.27272,68.93203,0.0,0.0,0.0,0.0,0.0,0.0,79.73568,8.33333,0.0,0.0,0.0,0.0,83.1884,76.86832,0.0,0.0,51.80722,51.81818,0.0,0.0,0.0,16.12903,77.77777,39.79591,53.57142,65.0,47.82608,32.14285,63.06306,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46808,19.06474,0.0,0.0
58,21.21212,38.88888,50.84745,50.84745,75.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,76.36363,84.46601,0.0,0.0,0.0,0.0,0.0,0.0,98.23788,7.24637,0.0,0.0,0.0,0.0,82.60869,81.85053,0.0,0.0,59.03614,99.0909,0.0,0.0,0.0,19.35483,100.0,41.83673,75.71428,67.14285,52.17391,60.71428,90.09009,71.42857,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.48878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61702,25.17985,0.0,0.0
59,13.13131,33.33333,40.67796,40.67796,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,89.32038,0.0,0.0,0.0,0.0,0.0,0.0,87.22466,12.68115,0.0,0.0,0.0,0.0,80.0,80.78291,0.0,0.0,63.85542,51.81818,0.0,0.0,0.0,0.0,74.07407,39.79591,90.71428,66.42857,0.0,57.14285,85.58558,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.42152,9.45945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3617,26.85851,0.0,0.0
60,18.18181,77.77777,64.40677,64.40677,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.54545,93.20388,0.0,0.0,0.0,0.0,0.0,0.0,87.66519,6.52173,0.0,0.0,0.0,0.0,82.02898,84.34163,0.0,0.0,73.49397,58.18181,0.0,0.0,12.82051,16.12903,88.88888,43.87755,77.14285,67.14285,43.47826,46.42857,100.0,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.90134,6.75675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3617,24.22062,0.0,0.0
61,12847,4157,1529,1459,119,14369,30991,28258,14374,103513,4672,58272,29353,29565,40875,25772,36562,7504379,125166,3994,14369,22308,22308,14369,26296,2789,22308,14369,93189,22308,174433,1529,22722,274869,5104,12409,14369,185844,22308,717,35564,9391,11743,9567,22308,1126,174433,5771,1129,22339,2117,22308,14369,10515,67486,2724405,14369,28991,11743,111456,7064,6360,59808,1445,47603,29034,1202,9955,1445,477,9955,627448,4155,6777,17310,127760,29034,127760,76534,3468
