,제모젤 클래식_0,제모젤 클래식_1,비너스 스파 면도기_0,비너스 스파 면도기_1,바디 면도기_0,바디 면도기_1,비너스 앤 올레이 면도기_0,비너스 앤 올레이 면도기_1,전자렌지용 왁스_0,전자렌지용 왁스_1,퓨어 코마치 여성 면도기_0,퓨어 코마치 여성 면도기_1,비너스 임브레이스 스냅 면도기_0,비너스 임브레이스 스냅 면도기_1,브라질리안 비키니 왁스_0,브라질리안 비키니 왁스_1,내추럴 헤어 리무버 젤_0,내추럴 헤어 리무버 젤_1, 중날 휴대용 면도기_0, 중날 휴대용 면도기_1,프로바이오틱스 탈모증상완화 샴푸  두피강화 _0,프로바이오틱스 탈모증상완화 샴푸  두피강화 _1,안티 댄드러프 샴푸_0,안티 댄드러프 샴푸_1,녹차실감 샴푸  지성용 _0,녹차실감 샴푸  지성용 _1,녹차실감 샴푸  중건성 _0,녹차실감 샴푸  중건성 _1,새티니크 글로시 리페어 샴푸_0,새티니크 글로시 리페어 샴푸_1,프리즈 이즈 미라큘러스 리커버리 샴푸_0,프리즈 이즈 미라큘러스 리커버리 샴푸_1,클리닉 샴푸_0,클리닉 샴푸_1,씨솔트 스케일러_0,씨솔트 스케일러_1,씨닉_0,씨닉_1,피토테라피 샴푸_0,피토테라피 샴푸_1,빅_0,빅_1,새티니크 스무드 모이스처 샴푸_0,새티니크 스무드 모이스처 샴푸_1,프리미엄 샴푸_0,프리미엄 샴푸_1,칼라포스 프로텍티브 샴푸_0,칼라포스 프로텍티브 샴푸_1,프로페셔널 디펜스 샴푸_0,프로페셔널 디펜스 샴푸_1,핑크브리즈 퍼퓸드 헤어 샴푸_0,핑크브리즈 퍼퓸드 헤어 샴푸_1,알베르 헤어 샴푸_0,알베르 헤어 샴푸_1,너리싱 샴푸_0,너리싱 샴푸_1,리햅_0,리햅_1,NEW 아로마 리페어 샴푸_0,NEW 아로마 리페어 샴푸_1,프리즈 이즈 미라큘러스 리커버리 컨디셔너_0,프리즈 이즈 미라큘러스 리커버리 컨디셔너_1,컨디셔닝 린스 극손상 케어_0,컨디셔닝 린스 극손상 케어_1,풀리페어 하이드레이트 레스큐 딥 컨디셔너_0,풀리페어 하이드레이트 레스큐 딥 컨디셔너_1,프로페셔널 디펜스 컨디셔너_0,프로페셔널 디펜스 컨디셔너_1,실크리페어 리커버리 컨디셔너_0,실크리페어 리커버리 컨디셔너_1,실크 리페어 컨디셔너  시그니처 _0,실크 리페어 컨디셔너  시그니처 _1,내추럴 모로코 아르간 오일 컨디셔너_0,내추럴 모로코 아르간 오일 컨디셔너_1,토탈 리페어  컨디셔너_0,토탈 리페어  컨디셔너_1,안티에이징 린스_0,안티에이징 린스_1,퍼펙트 리페어 린스_0,퍼펙트 리페어 린스_1
10,0.0,0.0,0.0,12.03703,46.34146,65.85365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.06349,79.06976,41.37931,67.1875,35.71428,0.0,8.62068,0.0,6.8763,37.68421,0.0,0.0,44.73684,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,56.5432,50.30549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,26.85185,48.78048,41.46341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.01587,48.8372,58.62068,54.6875,42.85714,0.0,4.02298,22.72727,10.20739,30.17004,0.0,0.0,28.94736,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.20987,47.2505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,10.18518,46.34146,34.14634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,60.46511,31.03448,37.5,0.0,0.0,4.02298,0.0,22.47644,27.4008,0.0,0.0,63.15789,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.48148,52.54582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,25.92592,43.90243,46.34146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.47619,67.44186,51.72413,37.5,0.0,0.0,3.44827,59.0909,22.96892,25.63562,0.0,0.0,21.05263,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.87654,44.39918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,24.07407,51.21951,48.78048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07936,81.39534,25.86206,32.8125,50.0,0.0,4.02298,0.0,18.65594,28.5668,0.0,0.0,28.94736,80.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,64.93827,45.21384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,21.29629,39.02439,85.36585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.50793,86.04651,44.82758,28.125,0.0,0.0,5.17241,22.72727,27.99767,33.9757,0.0,0.0,60.52631,61.53846,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,100.0,67.65432,47.04684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,11.11111,41.46341,58.53658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,51.16279,51.72413,56.25,100.0,0.0,9.77011,22.72727,30.99229,30.78542,0.0,0.0,68.42105,42.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,61.23456,29.9389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,24.07407,46.34146,78.04878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07936,55.81395,39.65517,53.125,0.0,0.0,20.68965,31.81818,66.11709,24.50202,0.0,0.0,65.78947,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.32098,34.62321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,25.92592,53.65853,56.09756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15873,53.48837,39.65517,56.25,35.71428,0.0,30.45977,22.72727,100.0,20.72874,0.0,0.0,60.52631,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666,68.88888,34.41955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,24.07407,39.02439,56.09756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.03174,48.8372,39.65517,51.5625,0.0,62.5,24.13793,0.0,78.21485,21.63562,0.0,0.0,55.26315,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.39506,39.71486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
