,센텔라 릴렉세이션 퍼펙트 카밍 마스크_0,센텔라 릴렉세이션 퍼펙트 카밍 마스크_1,마누카 허니 프로폴리스 퍼펙트 쉴드 마스크_0,마누카 허니 프로폴리스 퍼펙트 쉴드 마스크_1,블룸 꿀보카도 극세사마스크_0,블룸 꿀보카도 극세사마스크_1,아임 쏘리 포 마이 스킨  스텝 트래블 젤리 마스크_0,아임 쏘리 포 마이 스킨  스텝 트래블 젤리 마스크_1,껌딱지 시트마스크 어성초 스티커_0,껌딱지 시트마스크 어성초 스티커_1,티트리 케어솔루션 에센셜 마스크 REX_0,티트리 케어솔루션 에센셜 마스크 REX_1,퓨어 에센스 마스크 시트  아보카도 _0,퓨어 에센스 마스크 시트  아보카도 _1,카렌듈라 딥 모이스처 카밍 마스크_0,카렌듈라 딥 모이스처 카밍 마스크_1,시카 리페어 릴렉싱 시트 마스크_0,시카 리페어 릴렉싱 시트 마스크_1,안티에이징 바이오셀룰로오스 마스크_0,안티에이징 바이오셀룰로오스 마스크_1,아임 쏘리 포 마이 스킨 pH    젤리 마스크  수딩 _0,아임 쏘리 포 마이 스킨 pH    젤리 마스크  수딩 _1,티트리 안티더스트 카밍 마스크_0,티트리 안티더스트 카밍 마스크_1,리페어 노니시카 극세사 마스크_0,리페어 노니시카 극세사 마스크_1,장벽 앰플 마스크 시트_0,장벽 앰플 마스크 시트_1,진주 콜라겐 벨벳 마스크_0,진주 콜라겐 벨벳 마스크_1,아임 쏘리 포 마이 스킨 릴렉싱 젤리 마스크_0,아임 쏘리 포 마이 스킨 릴렉싱 젤리 마스크_1,시그니처 바이오 시트 마스크_0,시그니처 바이오 시트 마스크_1,    테라피 에어 마스크 티트리_0,    테라피 에어 마스크 티트리_1,티트리 케어솔루션 에센셜 마스크 이엑스_0,티트리 케어솔루션 에센셜 마스크 이엑스_1,껌딱지 시트마스크 마데카소사이드 스티커_0,껌딱지 시트마스크 마데카소사이드 스티커_1,프리미엄 쿨 티트리 모델링 마스크_0,프리미엄 쿨 티트리 모델링 마스크_1,시카페어 슬리페어 앰플 인 마스크_0,시카페어 슬리페어 앰플 인 마스크_1,퍼스트 에이드 오버나이트 스킨 리제네레이션 마스크_0,퍼스트 에이드 오버나이트 스킨 리제네레이션 마스크_1,비비 씨위드_0,비비 씨위드_1,블랙티 인스턴트 퍼펙팅 마스크_0,블랙티 인스턴트 퍼펙팅 마스크_1,달빛유자 수면팩_0,달빛유자 수면팩_1,아크바이  모델링 마스크 팩_0,아크바이  모델링 마스크 팩_1,마스크 오브 매그너민티_0,마스크 오브 매그너민티_1,수블리마지 마스크_0,수블리마지 마스크_1,여윤팩_0,여윤팩_1,프레시 파워 에센스 파우치 팩 강력보습_0,프레시 파워 에센스 파우치 팩 강력보습_1,옥용팩_0,옥용팩_1,올인 닥터 규조토 모델링 고무팩_0,올인 닥터 규조토 모델링 고무팩_1,시카 슬리핑 마스크_0,시카 슬리핑 마스크_1,워터 슬리핑 마스크_0,워터 슬리핑 마스크_1,티트리 퓨리파잉 마스크_0,티트리 퓨리파잉 마스크_1,프리미엄 콜라겐 모델링 마스크팩_0,프리미엄 콜라겐 모델링 마스크팩_1,리얼 머그워트 클레이 마스크_0,리얼 머그워트 클레이 마스크_1,테라비타_0,테라비타_1,오이스터 안티 다크닝 테라피_0,오이스터 안티 다크닝 테라피_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,0.0,0.0,18.18181,34.0,0.0,0.0,48.48484,56.52173,0.0,0.0,70.21276,31.81818,0.0,0.0,53.73134,85.41666,0.0,0.0,42.64705,100.0,0.0,0.0,0.0,8.57142,0.0,0.0,0.0,0.0,0.0,88.23529,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,32.35294,68.0,100.0,0.0,11.36363,40.0,0.0,0.0,0.0,54.34782,0.0,0.0,78.7234,39.77272,0.0,0.0,32.83582,47.91666,0.0,0.0,51.47058,51.72413,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,19.11764,32.0,0.0,0.0,11.36363,44.0,0.0,87.5,15.15151,36.95652,0.0,0.0,78.7234,39.77272,0.0,0.0,74.62686,75.0,0.0,0.0,45.58823,56.55172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,47.05882,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058,64.0,0.0,0.0,0.0,26.0,0.0,0.0,15.15151,39.13043,0.0,0.0,100.0,27.27272,0.0,0.0,70.14925,58.33333,0.0,0.0,33.82352,51.03448,0.0,0.0,19.04761,0.0,0.0,0.0,0.0,0.0,21.73913,29.41176,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.88235,56.0,0.0,0.0,13.63636,20.0,0.0,0.0,15.15151,47.82608,0.0,0.0,61.70212,47.72727,0.0,0.0,64.1791,58.33333,0.0,0.0,23.52941,48.96551,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.82352,52.0,0.0,0.0,11.36363,10.0,62.5,0.0,0.0,41.30434,0.0,0.0,74.46808,60.22727,0.0,0.0,59.70149,77.08333,0.0,0.0,26.47058,33.10344,0.0,0.0,19.04761,11.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.82352,76.0,0.0,0.0,27.27272,10.0,0.0,0.0,18.18181,65.21739,0.0,0.0,36.17021,100.0,0.0,0.0,59.70149,100.0,0.0,0.0,48.52941,63.44827,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,60.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,54.34782,0.0,0.0,82.97872,46.5909,0.0,0.0,50.74626,62.5,0.0,0.0,70.58823,59.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.88235,28.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,58.69565,0.0,0.0,72.34042,46.5909,0.0,0.0,38.80597,41.66666,0.0,0.0,52.94117,58.62068,0.0,0.0,19.04761,0.0,0.0,0.0,0.0,0.0,56.52173,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,30.88235,36.0,0.0,0.0,0.0,14.0,62.5,0.0,39.39393,34.7826,0.0,0.0,93.61702,37.5,0.0,0.0,52.2388,70.83333,0.0,0.0,94.11764,55.86206,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
