,탑 시크릿 메이크업 세팅 스프레이_0,탑 시크릿 메이크업 세팅 스프레이_1,미스트 앤 픽스_0,미스트 앤 픽스_1,페이스 프라임 글로우 픽스 미스트_0,페이스 프라임 글로우 픽스 미스트_1,칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_0,칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_1,메이크업 피니싱 스프레이_0,메이크업 피니싱 스프레이_1,울트라 세팅 진짜 픽서_0,울트라 세팅 진짜 픽서_1,여행용 체리 올나이터_0,여행용 체리 올나이터_1,아트클래스 익스트림 세팅 픽서_0,아트클래스 익스트림 세팅 픽서_1,프로방스 스마트 베리어 메이크업 픽서_0,프로방스 스마트 베리어 메이크업 픽서_1,올데이 필터 픽서_0,올데이 필터 픽서_1,럭스 립 칼라_0,럭스 립 칼라_1,글램락 미스티 로즈_0,글램락 미스티 로즈_1,압솔뤼 루즈_0,압솔뤼 루즈_1,글램락 허쉬 브라운_0,글램락 허쉬 브라운_1,매드 매트 립_0,매드 매트 립_1,르 루즈_0,르 루즈_1,너리싱 립 칼라_0,너리싱 립 칼라_1,데어 루즈 벨벳_0,데어 루즈 벨벳_1,누드롭 듀이스틱_0,누드롭 듀이스틱_1,루즈 아르마니_0,루즈 아르마니_1,립컷 루즈 벨벳_0,립컷 루즈 벨벳_1,스무스 매트 립스틱_0,스무스 매트 립스틱_1,루즈 건 제로_0,루즈 건 제로_1,압솔뤼 루즈 드라마 마뜨_0,압솔뤼 루즈 드라마 마뜨_1,루쥬 알뤼르_0,루쥬 알뤼르_1,아티스트 루즈 매트_0,아티스트 루즈 매트_1,매드 매트 스테인 립_0,매드 매트 스테인 립_1,페이드 매트 립스틱_0,페이드 매트 립스틱_1,루쥬 코코_0,루쥬 코코_1,루쥬 코코 플래쉬_0,루쥬 코코 플래쉬_1,라스트 벨벳 립 틴트 _0,라스트 벨벳 립 틴트 _1,라스트 벨벳 립 틴트  _0,라스트 벨벳 립 틴트  _1,에어 핏 벨벳틴트 _0,에어 핏 벨벳틴트 _1,센슈얼 스파이시 누드 글로스_0,센슈얼 스파이시 누드 글로스_1,에어 핏 벨벳틴트_0,에어 핏 벨벳틴트_1,베르니 아 레브르 바이닐 크림_0,베르니 아 레브르 바이닐 크림_1,과즙팡 무스 틴트_0,과즙팡 무스 틴트_1,에버라스팅 리퀴드 립스틱_0,에버라스팅 리퀴드 립스틱_1
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.95238,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,42.30769,0.0,0.0,76.92307,27.86885,28.57142,24.5614,55.4054,18.51851,0.0,30.43478,40.0,0.0,5.0505,3.64963,51.42857,68.57142,27.77777,17.94871,0.0,0.0,0.0,0.0,19.87577,9.94475,0.0,0.0,26.92307,22.22222,66.66666,0.0,33.60655,0.0,0.0,0.0,26.92307,0.0,0.0,46.15384,0.0,16.25,0.0,16.25,30.13698,91.48936,52.94117,0.0,30.13698,91.48936,33.48017,0.0,12.24489,71.42857,0.0,0.0
53,0.0,0.0,33.33333,40.74074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,32.78688,23.80952,31.57894,69.59459,48.14814,26.08695,60.86956,33.33333,0.0,6.0606,0.0,68.57142,17.14285,27.77777,28.20512,0.0,0.0,0.0,0.0,18.63354,8.28729,0.0,0.0,23.07692,40.74074,0.0,0.0,22.95081,0.0,0.0,0.0,23.07692,0.0,15.38461,25.0,72.72727,8.75,72.72727,8.75,23.28767,96.4539,27.73109,0.0,23.28767,96.4539,27.7533,20.68965,14.28571,44.89795,0.0,0.0
54,0.0,0.0,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,26.92307,0.0,0.0,0.0,14.75409,16.66666,33.33333,60.13513,37.03703,0.0,0.0,0.0,71.42857,9.0909,0.0,17.14285,28.57142,36.11111,33.33333,0.0,77.77777,0.0,0.0,9.31677,9.39226,0.0,0.0,0.0,0.0,77.77777,0.0,37.70491,0.0,0.0,0.0,0.0,30.76923,15.38461,26.92307,0.0,8.75,0.0,8.75,33.56164,100.0,16.80672,0.0,33.56164,100.0,32.59911,17.24137,26.53061,65.30612,0.0,0.0
55,100.0,0.0,48.14814,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,19.23076,0.0,0.0,0.0,16.39344,0.0,43.85964,36.48648,100.0,0.0,26.08695,0.0,0.0,5.0505,0.0,28.57142,22.85714,25.0,23.07692,0.0,0.0,0.0,0.0,12.73291,9.39226,0.0,0.0,26.92307,22.22222,0.0,0.0,14.75409,8.57142,10.63829,0.0,0.0,0.0,0.0,23.07692,45.45454,10.0,45.45454,10.0,27.39726,74.46808,13.44537,0.0,27.39726,74.46808,31.71806,72.41379,24.48979,26.53061,0.0,0.0
56,0.0,0.0,25.92592,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,61.53846,18.03278,0.0,31.57894,47.29729,0.0,0.0,47.82608,0.0,0.0,6.0606,0.0,22.85714,22.85714,55.55555,28.20512,0.0,0.0,0.0,0.0,9.62732,11.6022,0.0,0.0,0.0,0.0,77.77777,0.0,10.65573,0.0,23.40425,10.63829,0.0,0.0,9.61538,34.61538,0.0,22.5,0.0,22.5,23.9726,49.64539,24.36974,0.0,23.9726,49.64539,30.837,48.27586,0.0,30.61224,0.0,0.0
57,0.0,71.42857,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,0.0,0.0,76.92307,36.06557,14.28571,37.71929,34.45945,18.51851,26.08695,21.73913,0.0,0.0,7.0707,0.0,22.85714,17.14285,22.22222,23.07692,0.0,0.0,0.0,0.0,6.52173,6.07734,0.0,0.0,23.07692,22.22222,0.0,0.0,17.21311,0.0,23.40425,23.40425,0.0,0.0,0.0,32.6923,0.0,16.25,0.0,16.25,15.06849,73.04964,27.73109,15.12605,15.06849,73.04964,27.31277,27.5862,20.40816,34.69387,0.0,0.0
58,0.0,100.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,19.23076,0.0,0.0,46.15384,24.59016,0.0,50.87719,63.51351,33.33333,0.0,30.43478,0.0,0.0,10.10101,0.0,17.14285,0.0,25.0,46.15384,0.0,0.0,0.0,0.0,9.31677,12.15469,0.0,0.0,50.0,22.22222,0.0,0.0,23.77049,0.0,0.0,23.40425,19.23076,0.0,17.30769,36.53846,81.81818,20.0,81.81818,20.0,17.12328,48.22695,16.80672,0.0,17.12328,48.22695,35.68281,0.0,24.48979,24.48979,0.0,0.0
59,0.0,0.0,25.92592,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,26.92307,0.0,0.0,0.0,31.14754,16.66666,44.73684,56.08108,0.0,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,22.85714,50.0,61.53846,0.0,0.0,0.0,0.0,6.52173,15.46961,0.0,0.0,57.6923,0.0,0.0,0.0,21.31147,0.0,0.0,0.0,0.0,19.23076,11.53846,21.15384,54.54545,22.5,54.54545,22.5,30.82191,43.26241,19.32773,0.0,30.82191,43.26241,25.99118,24.13793,71.42857,10.20408,0.0,0.0
60,0.0,0.0,0.0,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,26.92307,0.0,0.0,0.0,49.18032,0.0,40.35087,75.0,18.51851,0.0,0.0,0.0,85.71428,13.13131,0.0,22.85714,22.85714,25.0,28.20512,0.0,0.0,0.0,0.0,11.49068,12.15469,0.0,0.0,42.30769,0.0,0.0,0.0,18.03278,0.0,0.0,0.0,0.0,0.0,11.53846,11.53846,54.54545,33.75,54.54545,33.75,26.02739,46.80851,10.92436,6.72268,26.02739,46.80851,45.81497,48.27586,44.89795,30.61224,0.0,0.0
61,75975,70420,1090,429,10477,144031,144031,703090,3024520,70420,14901,30326,29005,12999,144031,56507,20661,4575,70420,144031,81604,53718,5041,45547,92155,35972,60145,36949,242198,218147,51936,14316,398076,64717,217771,26010,18952,31668,45719,256027,558,619,29759,2121,419545,81841,92155,6143,1644,27397,3367,18625,218147,8873,105921,90320,6661,5257,6661,5257,357614,594837,357614,594837,361641,190819,433953,225179,361641,190819,149382,173350,309088,82483,34239,2729
