,상품명
1150,제모젤 클래식
1151,비너스 스파 면도기
1152,바디 면도기
1153,비너스 앤 올레이 면도기
1154,전자렌지용 왁스
1155,퓨어 코마치 여성 면도기
1156,비너스 임브레이스 스냅 면도기
1157,브라질리안 비키니 왁스
1158,내추럴 헤어 리무버 젤
1159, 중날 휴대용 면도기
1160,프로바이오틱스 탈모증상완화 샴푸  두피강화 
1161,안티 댄드러프 샴푸
1162,녹차실감 샴푸  지성용 
1163,녹차실감 샴푸  중건성 
1164,새티니크 글로시 리페어 샴푸
1165,프리즈 이즈 미라큘러스 리커버리 샴푸
1166,클리닉 샴푸
1167,씨솔트 스케일러
1168,씨닉
1169,피토테라피 샴푸
1170,빅
1171,새티니크 스무드 모이스처 샴푸
1172,프리미엄 샴푸
1173,칼라포스 프로텍티브 샴푸
1174,프로페셔널 디펜스 샴푸
1175,핑크브리즈 퍼퓸드 헤어 샴푸
1176,알베르 헤어 샴푸
1177,너리싱 샴푸
1178,리햅
1179,NEW 아로마 리페어 샴푸
1180,프리즈 이즈 미라큘러스 리커버리 컨디셔너
1181,컨디셔닝 린스 극손상 케어
1182,풀리페어 하이드레이트 레스큐 딥 컨디셔너
1183,프로페셔널 디펜스 컨디셔너
1184,실크리페어 리커버리 컨디셔너
1185,실크 리페어 컨디셔너  시그니처 
1186,내추럴 모로코 아르간 오일 컨디셔너
1187,토탈 리페어  컨디셔너
1188,안티에이징 린스
1189,퍼펙트 리페어 린스
