,상품명
300,새틴 립 펜슬
301,벨벳 매트 립 펜슬
302,아티스트 립 블러쉬
303,크리미 터치 립라이너
304,페이턴트폴리쉬 립 펜슬
305,크리미 틴트 컬러 밤 인텐스
306,립 펜슬
307,크리미 틴트 컬러밤 글라이드
308,철벽 컬러 립 초크
309,플랫 벨벳 스틱
310,컬러버스트 매트밤
311,소프트 터치 오토 립 라이너 AD
312,컬러 립 펜슬  매트 
313,립펜슬 이탈프리즘   매트
314,크리미 틴트 컬러 밤 라이트
315,써니스틱
316,립펜슬 이탈프리즘   멜티
317,비타 컬러 딜리셔스 스트로 벨벳 
318,샘물 스머지 립 크레용
319,립 크레용
320,글래스팅 워터 글로스
321,립 젤리 글로스
322,립매터
323,앵두알 촉촉 립 글로우
324,샘물 세럼 립글로스
325,립 글로스
326,루쥬 코코 글로스
327,어딕트 립 맥시마이저
328,샤인 샤인 샤인 립글로스
329,크림쉰 글라스
330,압솔뤼 글로스 크림
331,멀티 글로이 부스터
332,퓨어 칼라 엔비 립 글로스
333,뷰티 보스 립 글로스
334,어딕트 울트라 글로스
335,와사비야 립 플럼퍼
336,플럼핑 펄 시럽
337,펄 인 러브 글로스
338,립 베놈 시리즈
339,어딕트 립 글로스
