,상품명
1950,남성 향수 샤워젤 룰브레이커
1951,남성 향수 샤워젤 샷콜러
1952,데오드란트 롤온 쿨 킥
1953,패션 바디스프레이
1954,퍼퓸 스프레이   코튼 허그
1955,맨 블랙 앤 화이트 스프레이
1956,남성청결제
1957,데오드란트 바디워시
1958,라스트 샷
1959,블루 드 샤넬 샤워 젤
1960,퍼펙트 아이 치크 팔레트
1961,잉크 피팅 컬러 팔레트
1962,아임 멀티 큐브
1963,마이 매거진
1964,저스트 팔레트
1965,글로우  컬러 필터 섀도우 팔레트
1966,내추럴룩키트
1967,데일리 팔레트
1968, 토이스토리 컬렉션  로지 피기 팔레트
1969,플레이 컬러 멀티 팔레트
1970,백톡 아이 치크 멀티 팔레트
1971,파티 투 고 립   아이
1972,아이 앤드 치크 팔레드 아토믹 블론드
1973,     S S 룩북 팔레트  허니멜로우 
1974,미스치프 밍스 팔레트
1975,치키 스토어웨이즈
1976,인스턴트 프리티 아이 앤 치크 팔레트
1977,   S S 룩북
1978,데어 컬렉션 페어리 비즈
1979,클래식 멀티 팔레트
