,상품명
1250,드라이샴푸 브라이트 라이브리 플로랄
1251,자연의 올리브  분 드라이 샴푸
1252,아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어
1253,클릭 프릭 리프레싱 드라이 샴푸
1254,드라이 샴푸
1255,드라이 샴푸 레즐리 핑크
1256,드라이 샴푸   엑소틱
1257,오트밀크 드라이샴푸
1258,피스트 웨이비 컬리 헤어 드라이 샴푸
1259,노웨이팅 드라이샴푸   스위트
1260,트리트먼트 오리지날
1261,헤어 테라피
1262,라이트 오일 트리트먼트
1263,리페어포스 헤어BB크림
1264,컬링 에센스  X
1265,미스 디올 헤어 미스트
1266,엑스트라 오디네리 오일 엑스트라 리치
1267,엑스트라 오디네리 오일 리치
1268,토탈리페어  세럼 프로엑스
1269,소프트닝 컨디셔너
1270,레지스턴스 시몽 테르미크
1271,데미지 케어 컨센트레이트
1272,헤어비타민 헤어 트리트먼트
1273,울트라 프로틴 헤어오일 리치
1274,실키 오일 세럼
1275,아르간 헤어 트리트먼트 오일
1276,샹스 오 땅드르 헤어 미스트
1277,리페어포스 테라피 에센셜 오일
1278,아로마 리페어 오일
1279,엑스트라 오디네리 보태니컬 오일
1280,에르네뜨 스프레이
1281,카멜리아 에센셜 잔머리 스틱 왁스
1282,글로발 체리 미러클 휘니쉬
1283,컬 셋 로션 EX
1284,볼륨 미스트
1285,스프레이 수퍼하드
1286,슈퍼하드 워터스프레이
1287,알앤비
1288,프리즈 앤 샤인 슈퍼 스프레이
1289,허브 스타일링 헤어 스프레이
