,브랜드,상품명
1920,갸스비 (GATSBY),무빙 락 스프레이 슈퍼하드
1921,스웨거 (swagger),헤어 스터너 왁스(매트&하드)
1922,알페신 (Alpecin),카페인 샴푸 C1
1923,XTM (엑스티엠),이지 헤어라이너
1924,미쟝센 (miseenscene),파 워스윙 스타일 킵 스프레이9
1925,스웨거 (swagger),헤어 슬래머 포마드
1926,우르오스 (ULOS),스칼프샴푸
1927,제이슨 (JASON),댄드러프 트리트먼트 샴푸
1928,미쟝센 (miseenscene),파워스윙왁스맥스하드M9
1929,미쟝센 (miseenscene),머그샷 이블락킹 워터스프레이
1930,갸스비 (GATSBY),스타일링 젤 슈퍼하드
1931,바바리안H (BARBARIAN H),마린브럴리티 포마드 왁스
1932,아베다 (AVEDA),맨 퓨어-포먼스™ 컨디셔너
1933,수아베시토포마드 (SUAVECITO),홀드 포마드
1934,블랙몬스터 (BLACK MONSTER),다운 펌
1935,러쉬 (LUSH),칼라마주
1936,스웨거 (swagger),헤어 스릴러 멘톨 샴푸
1937,스웨거 (swagger),헤어 스터너 왁스 크림 타입 (크리미&소프트)
1938,그라펜 (GRAFEN),해수 포마드
1939,로레알 프로페셔널 파리 (LOREAL PROFESSIONNEL PARIS),테크니아트 스티프 왁스
1940,엠솔릭 (MSOLIC),쿨리스트 맨 올인원 워시
1941,우르오스 (ULOS),스킨워시
1942,XTM (엑스티엠),퍼퓸건
1943,젠틀코드 (gentlecode),올 데이 매너 스프레이 [젠틀맨]
1944,미쟝센 (miseenscene),멘 헤드투토 올인원 샤워젤
1945,더바디샵 (THE BODY SHOP),화이트 머스크 스포츠 헤어 앤 바디 워시
1946,더바디샵 (THE BODY SHOP),화이트 머스크 포 맨 헤어 & 바디 워시
1947,브로앤팁스 (BRO&TIPS),수퍼 클리어 바디워시
1948,스킨푸드 (SKINFOOD),비어 원샷 클렌저 포맨
1949,카밀 (Kamill),카밀핸드 맨
1950,스웨거 (swagger),남성 향수 샤워젤 룰브레이커
1951,스웨거 (swagger),남성 향수 샤워젤 샷콜러
1952,니베아 맨 (NIVEA MEN),데오드란트 롤온 쿨 킥
1953,보드맨 (BODMAN),패션 바디스프레이
1954,포맨트 (Forment),퍼퓸 스프레이 - 코튼 허그
1955,니베아 (NIVEA),맨 블랙 앤 화이트 스프레이
1956,포블랑시 (FOBLANGCHI),남성청결제
1957,칼밋 (KKALMiT),데오드란트 바디워시
1958,디티알티 (DTRT),라스트 샷
