,브랜드,상품명
40,설화수 (Sulwhasoo),명의본초앰플
41,홀리카홀리카 (HOLIKA HOLIKA),굳세라 수퍼 세라마이드 크림 인 세럼
42,빌리프 (belif),유쓰 크리에이터 에이지 넉다운 워터 에센스
43,샤넬 (CHANEL),이드라 뷰티 마이크로 버블 쎄럼
44,토리든 (Torriden),다이브인 저분자 히알루론산 세럼
45,미샤 (MISSHA),타임 레볼루션 나이트 리페어 프로바이오 보랏빛 앰플
46,한율 (hanyul),다홍매실 비움 초
47,구달 (goodal),맑은 어성초 진정 에센스
48,미샤 (MISSHA),비폴렌 리뉴 앰풀러
49,스팀베이스 (STEAMBASE),로즈허브 퍼펙트 빌드 업 세럼
50,스킨푸드 (SKINFOOD),로열허니 프로폴리스 인리치 에센스
51,세렌디뷰티 (SERENDIBEAUTY),레드 프로폴리스 트리플 앰플
52,더마토리 (DERMATORY),프로 히알샷 물광 앰플
53,미샤 (MISSHA),비타씨플러스 잡티씨 탄력앰플
54,빌리프 (belif),유쓰 크리에이터 에이지 넉다운 밤
55,록시땅 (LOCCITANE),이모르뗄 오버나이트 리셋 오일 인 세럼
56,이즈앤트리 (IsNtree),히아루론산 워터 에센스
57,하루하루 (Haruharu),원더 블랙라이스 히알루로닉 에센스
58,로지컬리스킨 (Logically Skin),아쿠아타이드 리서페이스 세럼
59,에스티 로더 (ESTEE LAUDER),어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트
60,제로이드 (ZEROID),인텐시브 오인트 크림
61,센텔리안24 (CENTELLIAN24),마데카크림 파워 부스팅 포뮬러
62,미샤 (MISSHA),수퍼 아쿠아 울트라 히알론 크림
63,에스트라 (AESTURA),아토베리어 365 크림
64,아이오페 (IOPE),슈퍼바이탈 크림 리치
65,아티스트리 (ARTISTRY),하이드라V 모이스처 크림
66,에스티 로더 (ESTEE LAUDER),리바이탈라이징 수프림+ 나이트 인텐시브 크림
67,유세린 (Eucerin),우레아 리페어 크림
68,엘러브 (L'LOVE),듀얼 블루밍 캡슐 앰플 & 하이드라 바이탈라이징 크림
69,유리프 (youlief),셋업 크림
70,AHC (에이에이치씨),에이지리스 리얼 아이크림 포 페이스
71,한율 (hanyul),어린쑥 수분진정 크림
72,보타니티 (BOTANITY),플라본 인텐시브 크림
73,닥터벨머 (Dr.Belmeur),어드밴스드 시카 수분 크림
74,더마토리 (DERMATORY),하이포알러제닉 모이스처라이징 밤 크림
75,Dr.G (닥터지),필라그린 배리어 밤
76,블랑풀 (BLANC POOL),필터크림
77,더샘 (the SAEM),더마 플랜 울트라 밤 크림
78,참존 (CHARMZONE),마유 크림 엑스트라 골든 컴플렉스
