,브랜드,상품명
0,코스알엑스 (COSRX),풀핏 프로폴리스 시너지 토너
1,더랩 바이 블랑두 (THE LAB by blanc doux),올리고 히알루론산 7멀티 포뮬라 패드
2,프레쥬 (Fraijour),프로 모이스처 크리미 토너
3,스팀베이스 (STEAMBASE),테르물레 클리어 패드
4,더모테라피 (Dermo therapie),리페어레이션 에센스 토너
5,홀리카홀리카 (HOLIKA HOLIKA),레스온스킨 에센스 패드
6,오휘 (O HUI),더 퍼스트 제너츄어 스킨 소프너
7,시드물 (SIDMOOL),카렌듈라 앰플 토너
8,바디버든프로젝트 (BODYBURDEN PROJECT),시카 토너 패드
9,언파코스메틱 (unpa),바이바이 시카토너
10,더마토리 (DERMATORY),하이포알러제닉 모이스처라이징 크림 보습패드
11,프리메라 (primera),수딩 센서티브 워터
12,브링그린 (BRINGGREEN),찹쌀 배리어 크림 스킨
13,미샤 (MISSHA),비폴렌 리뉴 앰풀 스킨
14,아이소이 (isoi),파하 퍼스트 토너 (각질파토)
15,이퀄베리 (Eqqualberry),데일리 필링 수영장 토너
16,비플랫 (be Flat),퓨어 토너
17,토니모리 (TONYMOLY),원더 세라마이드 모찌 토너
18,얼트루 (ultru),아임 쏘리 포 마이 스킨 릴렉싱 토너
19,보타니티 (BOTANITY),플라본 부스터
20,에스트라 (AESTURA),아토베리어 365 로션
21,제로이드 (ZEROID),인텐시브 로션
22,피지오겔 (PHYSIOGEL),카밍릴리프 AI 리페어 로션
23,에스트라 (AESTURA),아토베리어 로션
24,유리프 (youlief),셋업 에멀전
25,라포티셀 (LAPOTHICELL),세라마이드 하이드라 플루이드
26,빌리프 (belif),크리미 모이스춰라이저 딥 모이스트
27,빌리프 (belif),밀키 모이스춰라이저 하이드라 밸런싱
28,킵쿨 (KEEP COOL),수드 대나무 로션
29,한율 (hanyul),어린쑥 수분진정 플루이드
30,제로이드 (ZEROID),수딩로션
31,닥터벨머 (Dr.Belmeur),데일리리페어 모이스처라이저
32,잇퍼 (itfer),하이드로 인텐시브 모이스쳐라이징 에멀젼
33,닥터뉴엘 (Dr.NUELL),워터풀 스킨베리어 로센스
34,Dr.G (닥터지),레드 블레미쉬 멀티 플루이드
35,셀라피 (Cellapy),에이리페어 오리지날 로션
36,홀리카홀리카 (HOLIKA HOLIKA),굳세라 수퍼 세라마이드 에멀젼
37,이니스프리 (innisfree),오트 마일드 모이스처 인텐시브 로션
38,싸이닉 (SCINIC),더 심플 데일리 로션
