,브랜드,상품명
1960,스틸라 (stila),퍼펙트 아이&치크 팔레트
1961,페리페라 (peripera),잉크 피팅 컬러 팔레트
1962,아임미미 (I'M MEME),아임 멀티 큐브
1963,16BRAND (식스틴브랜드),마이 매거진
1964,라카 (LAKA),저스트 팔레트
1965,미샤 (MISSHA),글로우2 컬러 필터 섀도우 팔레트
1966,NYX (닉스),내추럴룩키트
1967,VT COSMETICS (브이티코스메틱),데일리 팔레트
1968,이니스프리 (innisfree),[토이스토리 컬렉션] 로지 피기 팔레트
1969,에뛰드 (ETUDE),플레이 컬러 멀티 팔레트
1970,어반디케이 (URBAN DECAY),백톡 아이&치크 멀티 팔레트
1971,바비브라운 (BOBBI BROWN),파티 투 고 립 & 아이
1972,나스 (NARS),아이 앤드 치크 팔레드 아토믹 블론드
1973,에스쁘아 (espoir),2020 S/S 룩북 팔레트 [허니멜로우]
1974,맥 (MAC),미스치프 밍스 팔레트
1975,베네피트 (benefit),치키 스토어웨이즈
1976,바비브라운 (BOBBI BROWN),인스턴트 프리티 아이 앤 치크 팔레트
1977,에스쁘아 (espoir),19 S/S 룩북
1978,미샤 (MISSHA),데어 컬렉션 페어리 비즈
1979,컨시크 (CONCHIC),클래식 멀티 팔레트
