,브랜드,상품명
1200,아모스프로페셔널 (amos PROFESSIONAL),리페어포스 키토 트리트먼트
1201,아모스프로페셔널 (amos PROFESSIONAL),리페어포스 키토 트리트먼트 CMC
1202,츠바키 (TSUBAKI),프리미엄 리페어 마스크
1203,미쟝센 (miseenscene),퍼펙트 3분 살롱 마스크팩
1204,로레알 파리 (LOREAL PARIS),토탈 리페어 5 인스턴트 미라클 헤어팩
1205,모레모 (moremo),리커버리 밤 B
1206,존프리다 (JOHN FRIEDA),프리즈이즈 미라큘러스 리커버리 딥 컨디셔너
1207,아모스프로페셔널 (amos PROFESSIONAL),칼라포스 리브 인 트리트먼트
1208,아쿠아더마 (AQUADERMA),아쿠아큐링 헤어트리트먼트
1209,허니체 (Honeyce),데미지 리페어 헤어 마스크
1210,헤드스파7 (HEADSPA7),트리트먼트
1211,에스테티카 (ESTETICA),릴렉스 헤어마스크
1212,투쿨포스쿨 (too cool for school),에그 레미디 헤어 팩
1213,허니체 (Honeyce),딥 모이스트 리페어 헤어 마스크
1214,허니체 (Honeyce),모이스처 헤어 마스크 와이
1215,닥터포헤어 (Dr.FORHAIR),카올린 스칼프 팩
1216,팬틴 (PANTENE),골든미라클 트리트먼트 [극손상케어]
1217,레이티드 그린 (RATED GREEN),리얼시어 프로틴 리차징 리브인 트리트먼트
1218,모레모 (moremo),헤어 트리트먼트 미라클 2X
1219,무코타 (MUCOTA),I 트리트먼트
1220,커리쉴 (CURLY SHYLL),루트 레미디 스칼프 토닉
1221,피토더마 (PHYTO DERMA),티테라피 두피팅처
1222,라우쉬 (RAUSCH),스위스 허벌 헤어 토닉
1223,아모스프로페셔널 (amos PROFESSIONAL),녹차실감 인텐시브 토닉
1224,테라픽 (TERAPIC),프리미엄 토탈 헤어토닉
1225,달리프 (DALEAF),클로렐라 베러 루트 헤어토닉
1226,애터미 (atomy),애터미 액(탈모케어)
1227,시드물 (SIDMOOL),닥터트럽 스칼프 토닉
1228,아베다 (AVEDA),인바티 어드밴스드™ 스칼프 리바이탈라이저
1229,아로마티카 (AROMATICA),로즈마리 루트 인핸서
1230,라우쉬 (RAUSCH),오리지널 헤어 팅크처
1231,비욘드 (BEYOND),프로페셔널 디펜스 스캘프 토닉
1232,리클리 (RECLE),RECLE.AP 데일리 스칼프 토닉 (리클리 토닉)
1233,닥터포헤어 (Dr.FORHAIR),세범 컨트롤 토닉
1234,다슈 (DASHU),데일리 안티 헤어로스 허브 헤어토닉
1235,힐링버드 (Healing Bird),스칼프 클리어센트 스틱 [프리지아&그린부케 향]
1236,프리메라 (primera),블랙씨드 스칼프 릴리프 헤어 토닉
1237,달리프 (DALEAF),클로렐라 베러 루트 쿨링 스프레이
1238,닥터포헤어 (Dr.FORHAIR),폴리젠 스팟 이펙터
