,슈에무라 하드 포뮬라_0,슈에무라 하드 포뮬라_1,아나스타샤 베버리힐즈 브로우 위즈_0,아나스타샤 베버리힐즈 브로우 위즈_1,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_0,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_1,아리따움 아이돌 브로우 파우더 케익_0,아리따움 아이돌 브로우 파우더 케익_1,베네피트 프리사이슬리 마이 브로우 펜슬_0,베네피트 프리사이슬리 마이 브로우 펜슬_1,라네즈 아이브로우 쿠션 카라_0,라네즈 아이브로우 쿠션 카라_1,클리오 킬 브로우 오토 하드 브로우 펜슬_0,클리오 킬 브로우 오토 하드 브로우 펜슬_1,키스미 헤비로테이션 컬러링 아이브로우_0,키스미 헤비로테이션 컬러링 아이브로우_1,베네피트 구프 프루프 브로우 펜슬_0,베네피트 구프 프루프 브로우 펜슬_1,아나스타샤 베버리힐즈 딥브로우 포마드_0,아나스타샤 베버리힐즈 딥브로우 포마드_1,아이오페 아이브로우 오토 펜슬_0,아이오페 아이브로우 오토 펜슬_1,바비브라운 퍼펙틀리 디파인드 롱웨어 브라우 펜슬_0,바비브라운 퍼펙틀리 디파인드 롱웨어 브라우 펜슬_1,미샤 스머지프루프 우드 브로우_0,미샤 스머지프루프 우드 브로우_1,우드버리 하드텍스처 아이브로우_0,우드버리 하드텍스처 아이브로우_1,바비브라운 내추럴 브라우 쉐이퍼_0,바비브라운 내추럴 브라우 쉐이퍼_1,맥 프로 롱웨어 워터프루프 브로우 세트_0,맥 프로 롱웨어 워터프루프 브로우 세트_1,키스미 헤비로테이션 파우더 아이브로우    D 노즈섀도우_0,키스미 헤비로테이션 파우더 아이브로우    D 노즈섀도우_1,스킨푸드 초코 아이브로우 파우더케익_0,스킨푸드 초코 아이브로우 파우더케익_1,베네피트 카 브로우_0,베네피트 카 브로우_1,클리오 킬브로우    mm 슬림테크 하드펜슬_0,클리오 킬브로우    mm 슬림테크 하드펜슬_1,로라메르시에 매트 아이 컬러_0,로라메르시에 매트 아이 컬러_1,바비브라운 아이섀도우_0,바비브라운 아이섀도우_1,홀리카홀리카 피스 매칭 섀도우  매트 _0,홀리카홀리카 피스 매칭 섀도우  매트 _1,미샤 모던 섀도우 이탈프리즘  쉬머 _0,미샤 모던 섀도우 이탈프리즘  쉬머 _1,클리오 프리즘 에어 섀도우 스파클링_0,클리오 프리즘 에어 섀도우 스파클링_1,어반디케이 문더스트 아이섀도우_0,어반디케이 문더스트 아이섀도우_1,바비브라운 럭스 아이섀도우_0,바비브라운 럭스 아이섀도우_1,홀리카홀리카 피스 매칭   구 섀도우 팔레트  머추어 피치 _0,홀리카홀리카 피스 매칭   구 섀도우 팔레트  머추어 피치 _1,에스쁘아 아이섀도우 시퀸_0,에스쁘아 아이섀도우 시퀸_1,로라메르시에 새틴 아이컬러_0,로라메르시에 새틴 아이컬러_1,에뛰드 룩 앳 마이 아이즈  카페 _0,에뛰드 룩 앳 마이 아이즈  카페 _1,홀리카홀리카 피스 매칭 섀도우 쉬머_0,홀리카홀리카 피스 매칭 섀도우 쉬머_1,타르트 타르트레트  인 블룸 클레이 팔레트_0,타르트 타르트레트  인 블룸 클레이 팔레트_1,에뛰드 룩 앳 마이 아이즈  메이플로드   카페 _0,에뛰드 룩 앳 마이 아이즈  메이플로드   카페 _1,바비브라운 스파클 아이섀도우_0,바비브라운 스파클 아이섀도우_1,롬앤 베러 댄 아이즈_0,롬앤 베러 댄 아이즈_1,스틸라 매그니피센트 메탈 글리터   글로우 리퀴드 아이섀도우_0,스틸라 매그니피센트 메탈 글리터   글로우 리퀴드 아이섀도우_1,홀리카홀리카 피스 매칭   구 섀도우 팔레트  어메이징 나이트 _0,홀리카홀리카 피스 매칭   구 섀도우 팔레트  어메이징 나이트 _1,클리오 프로 싱글 섀도우_0,클리오 프로 싱글 섀도우_1,미샤 모던 섀도우 이탈프리즘  매트 _0,미샤 모던 섀도우 이탈프리즘  매트 _1
42,31.06287,75.67829,0.0,0.0,0.0,0.0,3.53982,0.0,0.0,100.0,0.0,13.94422,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51724,36.20689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,55.0,49.31506,0.0,0.0,0.0,29.41176,75.36231,50.97087,0.0,0.0,0.0,0.0,30.70866,36.02941,0.0,0.0,67.69759,51.2605,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,32.43243,0.0,0.0,0.0,0.0,0.0,0.0,35.55555,66.12903,36.85185,23.16476,0.0,0.0,0.0,0.0,76.78571,62.84153,0.0,0.0
43,32.5973,75.67829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35856,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,29.31034,36.20689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,47.9452,0.0,0.0,31.25,29.41176,89.85507,53.39805,0.0,0.0,0.0,0.0,37.79527,28.67647,0.0,0.0,81.95876,59.66386,0.0,0.0,0.0,0.0,0.0,0.0,36.20689,24.32432,0.0,0.0,0.0,0.0,0.0,0.0,75.55555,72.58064,33.33333,16.72104,0.0,0.0,0.0,0.0,62.5,74.86338,0.0,0.0
44,30.50149,72.38372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.94422,15.625,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.13793,20.68965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,36.9863,0.0,0.0,0.0,29.41176,60.86956,64.5631,0.0,0.0,0.0,0.0,24.40944,30.88235,0.0,0.0,63.05841,52.94117,0.0,0.0,63.63636,0.0,0.0,0.0,39.65517,50.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.12903,37.22222,15.33442,0.0,0.0,0.0,0.0,87.5,84.69945,0.0,0.0
45,35.47904,78.58527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99203,7.56972,21.875,78.125,55.55555,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51724,48.27586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,41.09589,0.0,0.0,0.0,41.17647,57.48792,64.07766,0.0,0.0,0.0,0.0,24.40944,30.14705,0.0,0.0,81.61512,40.33613,0.0,0.0,0.0,0.0,0.0,0.0,44.82758,43.24324,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,25.0,15.08972,0.0,0.0,0.0,0.0,48.21428,51.91256,0.0,0.0
46,42.02844,84.59302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18725,15.13944,0.0,78.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,36.9863,0.0,0.0,0.0,47.05882,49.75845,40.29126,0.0,0.0,0.0,0.0,25.98425,23.52941,0.0,0.0,55.32646,45.37815,0.0,0.0,54.54545,0.0,0.0,0.0,31.03448,29.72972,0.0,0.0,0.0,0.0,0.0,0.0,91.11111,82.25806,27.22222,18.67862,0.0,0.0,0.0,0.0,44.64285,47.54098,0.0,0.0
47,36.75149,86.4341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58565,14.74103,15.625,56.25,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86206,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,70.0,57.53424,0.0,0.0,37.5,41.17647,52.657,64.5631,0.0,0.0,0.0,0.0,27.55905,41.17647,0.0,0.0,61.85567,60.5042,0.0,0.0,54.54545,0.0,0.0,0.0,13.7931,18.91891,0.0,0.0,0.0,0.0,0.0,0.0,82.22222,85.48387,27.77777,18.84176,0.0,0.0,0.0,0.0,51.78571,54.09836,0.0,0.0
48,34.84281,88.56589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38247,10.35856,0.0,53.125,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551,31.03448,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,42.5,43.83561,0.0,0.0,50.0,35.29411,35.74879,73.7864,0.0,0.0,0.0,0.0,16.53543,30.14705,63.63636,0.0,51.20274,39.49579,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,24.32432,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,53.2258,32.96296,16.80261,0.0,0.0,0.0,0.0,28.57142,35.51912,0.0,0.0
49,36.15269,89.82558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57768,6.3745,0.0,96.875,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31034,29.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,60.27397,0.0,0.0,0.0,0.0,58.93719,68.4466,0.0,0.0,0.0,0.0,33.85826,27.94117,0.0,0.0,67.18213,54.62184,0.0,0.0,100.0,0.0,0.0,0.0,34.48275,6.75675,0.0,0.0,0.0,0.0,0.0,0.0,60.0,43.54838,28.33333,17.0473,0.0,0.0,0.0,0.0,53.57142,48.08743,0.0,0.0
50,33.94461,87.1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99203,7.56972,15.625,84.375,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86206,32.75862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,60.0,54.79452,0.0,0.0,37.5,0.0,47.34299,59.70873,0.0,0.0,0.0,0.0,51.1811,38.97058,0.0,0.0,57.73195,59.66386,0.0,0.0,0.0,0.0,0.0,0.0,15.51724,18.91891,0.0,0.0,0.0,0.0,0.0,0.0,48.88888,56.45161,23.33333,12.64274,0.0,0.0,0.0,0.0,39.28571,73.77049,0.0,0.0
51,32.85928,81.20155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57768,8.36653,37.5,90.625,55.55555,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.20689,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,67.12328,0.0,0.0,31.25,0.0,59.90338,64.5631,0.0,0.0,0.0,0.0,61.41732,27.94117,0.0,0.0,72.16494,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,46.55172,24.32432,0.0,0.0,0.0,0.0,0.0,0.0,28.88888,59.67741,32.03703,13.29526,0.0,0.0,0.0,0.0,44.64285,53.55191,0.0,0.0
