,필리밀리 아이 메이크업 브러시 세트_0,필리밀리 아이 메이크업 브러시 세트_1,피카소 NEW     아이섀도우_0,피카소 NEW     아이섀도우_1,다이소 블렌딩총알브러시_0,다이소 블렌딩총알브러시_1,맥     블렌딩 브러시_0,맥     블렌딩 브러시_1,다이소 핑크팝 브러시_0,다이소 핑크팝 브러시_1,맥     아이 쉐이더 브러시_0,맥     아이 쉐이더 브러시_1,리얼 테크닉스 세팅 브러시_0,리얼 테크닉스 세팅 브러시_1,무인양품 치크 브러시_0,무인양품 치크 브러시_1,에뛰드 마이뷰티툴 브러시     파우더_0,에뛰드 마이뷰티툴 브러시     파우더_1,이엘에프 코스메틱스 스몰 테이퍼드 브러시_0,이엘에프 코스메틱스 스몰 테이퍼드 브러시_1,에스쁘아 스키니 픽스 블렌더_0,에스쁘아 스키니 픽스 블렌더_1,미샤 텐션 팩트 퍼프  밀착 _0,미샤 텐션 팩트 퍼프  밀착 _1,리얼 테크닉스 미라클 컴플렉션 스펀지_0,리얼 테크닉스 미라클 컴플렉션 스펀지_1,포니이펙트 스무스 도우 퍼프_0,포니이펙트 스무스 도우 퍼프_1,다이소 블렌딩 퍼프_0,다이소 블렌딩 퍼프_1,미샤 와플 퍼프_0,미샤 와플 퍼프_1,클리오 하이드로 스폰지_0,클리오 하이드로 스폰지_1,스킨푸드 웨지 퍼프_0,스킨푸드 웨지 퍼프_1,다이소 미니파우더퍼프_0,다이소 미니파우더퍼프_1,더샘 쫀쫀 밀착 퍼프_0,더샘 쫀쫀 밀착 퍼프_1,필리밀리 쿠션 팡팡 퍼프_0,필리밀리 쿠션 팡팡 퍼프_1,어퓨 눈사람 퍼프_0,어퓨 눈사람 퍼프_1,헤라 블랙쿠션 퍼프_0,헤라 블랙쿠션 퍼프_1,미샤 워터 인 퍼프_0,미샤 워터 인 퍼프_1,헤라 UV 미스트 쿠션 퍼프_0,헤라 UV 미스트 쿠션 퍼프_1,다이소 PU 물방울 퍼프  개입_0,다이소 PU 물방울 퍼프  개입_1,뷰티블렌더 오리지널 뷰티 블렌더 싱글_0,뷰티블렌더 오리지널 뷰티 블렌더 싱글_1,다이소 물방울퍼프_0,다이소 물방울퍼프_1,베네툴 웨지 스폰지_0,베네툴 웨지 스폰지_1,올리브영 촉촉퍼프_0,올리브영 촉촉퍼프_1,이마트 잘 스며드는 화장솜_0,이마트 잘 스며드는 화장솜_1,카이 EBR 눈썹칼_0,카이 EBR 눈썹칼_1,화이트래빗 플레인 타입_0,화이트래빗 플레인 타입_1,어퓨 노 더티 브러쉬 클렌징 솝_0,어퓨 노 더티 브러쉬 클렌징 솝_1,어퓨 뽀드득 브러쉬 빨래판_0,어퓨 뽀드득 브러쉬 빨래판_1,갸스비 파우더 오일 클리어 페이퍼_0,갸스비 파우더 오일 클리어 페이퍼_1,시루콧토 우루우루 화장솜_0,시루콧토 우루우루 화장솜_1,아리따움 아이돌래쉬 내추럴_0,아리따움 아이돌래쉬 내추럴_1,갸스비 오일클리어 필름   회색_0,갸스비 오일클리어 필름   회색_1,미샤 소프트  겹 화장솜_0,미샤 소프트  겹 화장솜_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.59574,25.0,32.95454,0.0,0.0,60.96866,77.64705,0.0,0.0,0.0,0.0,27.77777,0.0,5.71428,0.0,56.70103,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7619,53.06666,0.0,0.0,32.45614,7.76515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31914,21.42857,25.0,0.0,0.0,53.56125,80.0,0.0,0.0,0.0,0.0,38.88888,0.0,8.57142,0.0,74.2268,11.18881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.95238,52.53333,0.0,0.0,37.71929,6.43939,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35714,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.95744,53.57142,37.5,0.0,0.0,54.70085,66.47058,0.0,0.0,0.0,0.0,44.44444,0.0,5.71428,0.0,93.81443,11.18881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.19047,26.13333,0.0,0.0,32.01754,5.49242,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.89361,28.57142,23.86363,0.0,0.0,48.71794,95.29411,0.0,0.0,0.0,0.0,0.0,47.36842,12.38095,0.0,72.16494,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14285,46.66666,0.0,0.0,42.54385,3.21969,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.51063,75.0,21.5909,0.0,0.0,60.39886,73.52941,0.0,0.0,0.0,0.0,0.0,0.0,4.7619,0.0,68.04123,20.27972,3.24324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04761,56.26666,0.0,0.0,57.89473,3.97727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78571,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.40425,50.0,28.40909,0.0,0.0,55.84045,83.82352,0.0,0.0,0.0,0.0,0.0,42.10526,8.57142,0.0,43.29896,13.98601,5.67567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,70.93333,0.0,0.0,78.94736,6.62878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64285,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65957,57.14285,25.0,0.0,0.0,56.12535,75.29411,0.0,0.0,0.0,0.0,0.0,36.8421,15.23809,0.0,43.29896,21.67832,9.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23809,61.33333,0.0,0.0,56.14035,3.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.38297,25.0,20.45454,0.0,0.0,68.37606,80.88235,0.0,0.0,0.0,0.0,33.33333,57.89473,10.47619,0.0,51.54639,20.27972,4.32432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23809,41.06666,0.0,0.0,60.96491,3.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21428,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,0.0,89.3617,28.57142,20.45454,0.0,0.0,56.98005,74.70588,0.0,0.0,0.0,0.0,0.0,52.63157,0.0,0.0,71.13402,32.16783,4.86486,3.24324,0.0,0.0,0.0,0.0,0.0,0.0,43.57142,33.06666,87.5,0.0,46.92982,3.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,91.48936,17.85714,36.36363,0.0,0.0,64.10256,73.52941,0.0,0.0,100.0,0.0,55.55555,0.0,10.47619,0.0,60.82474,33.56643,3.51351,5.67567,100.0,0.0,0.0,0.0,0.0,0.0,36.19047,33.06666,0.0,0.0,46.49122,4.73484,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.70212,28.57142,14.77272,0.0,0.0,66.95156,62.94117,0.0,0.0,0.0,0.0,44.44444,0.0,9.5238,0.0,59.79381,32.16783,4.05405,9.72972,0.0,0.0,0.0,0.0,0.0,0.0,27.61904,37.33333,0.0,0.0,39.91228,32.19696,0.0,0.0,0.0,0.0,31.25,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.07142,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,76.59574,28.57142,25.0,0.0,0.0,76.63817,72.64705,0.0,0.0,0.0,0.0,0.0,36.8421,13.33333,0.0,85.56701,52.44755,3.24324,4.32432,0.0,0.0,0.0,0.0,0.0,0.0,30.47619,46.13333,0.0,0.0,43.85964,10.98484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,0.0,59.57446,0.0,19.31818,0.0,0.0,68.37606,62.94117,0.0,0.0,0.0,0.0,27.77777,36.8421,13.33333,0.0,53.60824,37.76223,4.59459,4.86486,0.0,0.0,0.0,0.0,0.0,0.0,30.0,51.46666,0.0,0.0,58.77192,6.81818,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
