,어퓨 수퍼 파워 네일 리무버_0,어퓨 수퍼 파워 네일 리무버_1,오피아이 넌 아세톤 리무버_0,오피아이 넌 아세톤 리무버_1,엘르걸 스위트 네일 리무버_0,엘르걸 스위트 네일 리무버_1,닥터원더 세라믹 포켓 루즈스킨 리무버_0,닥터원더 세라믹 포켓 루즈스킨 리무버_1,미샤 셀프 네일 살롱 리무버  아세톤 프리 _0,미샤 셀프 네일 살롱 리무버  아세톤 프리 _1,데싱디바 매직 오프   케어_0,데싱디바 매직 오프   케어_1,오피아이 엑스퍼트터치 리무버_0,오피아이 엑스퍼트터치 리무버_1,토니모리 토니네일 리무버_0,토니모리 토니네일 리무버_1,웨이크메이크 퍼펙트 네일 리무버_0,웨이크메이크 퍼펙트 네일 리무버_1,프로랑스 비타민 네일 리무버_0,프로랑스 비타민 네일 리무버_1,오호라 젤램프_0,오호라 젤램프_1,위드샨 루비푸셔_0,위드샨 루비푸셔_1,다이소 네일아트 스틱_0,다이소 네일아트 스틱_1,뷰닉스 UV gel lamp  sup    _0,뷰닉스 UV gel lamp  sup    _1,다이소  WAY네일버퍼 오목형 _0,다이소  WAY네일버퍼 오목형 _1,다이소 우드 파일_0,다이소 우드 파일_1,위드샨 프로 젤램프_0,위드샨 프로 젤램프_1,다이소 세라믹 양면 네일푸셔 파일_0,다이소 세라믹 양면 네일푸셔 파일_1,위드샨 핀셋 무광블랙 _0,위드샨 핀셋 무광블랙 _1,위드샨 꾹꾹이_0,위드샨 꾹꾹이_1,이니스프리 뷰티툴 네일 에모리 보드_0,이니스프리 뷰티툴 네일 에모리 보드_1,이니스프리 UV LED 젤램프_0,이니스프리 UV LED 젤램프_1,젤라또팩토리 하또하또 젤램프_0,젤라또팩토리 하또하또 젤램프_1,더샘 네일 푸셔_0,더샘 네일 푸셔_1,필리밀리  단계 사각 버퍼_0,필리밀리  단계 사각 버퍼_1,스킨푸드 네일 컬러 쉐이킹 볼_0,스킨푸드 네일 컬러 쉐이킹 볼_1,필리밀리 손톱깎이  소 _0,필리밀리 손톱깎이  소 _1,네이처리퍼블릭 뷰티 툴 에모리 보드_0,네이처리퍼블릭 뷰티 툴 에모리 보드_1,위드샨 이피다 램프_0,위드샨 이피다 램프_1,미샤 셀프 네일 살롱 큐티클 푸셔_0,미샤 셀프 네일 살롱 큐티클 푸셔_1,시크릿데이 입는 오버나이트_0,시크릿데이 입는 오버나이트_1,화이트 입는 오버나이트_0,화이트 입는 오버나이트_1,한나 중형_0,한나 중형_1,좋은느낌입는 오버나이트_0,좋은느낌입는 오버나이트_1,암웨이 후아 내추럴 순면커버 생리대 대형_0,암웨이 후아 내추럴 순면커버 생리대 대형_1,미샤 타임 레볼루션 개똥쑥 약산성 여성청결제_0,미샤 타임 레볼루션 개똥쑥 약산성 여성청결제_1,좋은느낌수퍼롱 오버나이트_0,좋은느낌수퍼롱 오버나이트_1,플레이텍스 플레이텍스 젠틀 글라이드      수퍼 _0,플레이텍스 플레이텍스 젠틀 글라이드      수퍼 _1,프리메라 후리 앤 후리 티슈_0,프리메라 후리 앤 후리 티슈_1,프리메라 후리 앤 후리_0,프리메라 후리 앤 후리_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3956,33.21299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.03571,36.65689,36.81102,54.43037,0.0,0.0,48.70395,47.36842,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,71.42857,0.0,79.48717,10.75268
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,28.15884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,38.70967,29.13385,42.72151,0.0,0.0,50.75034,56.22009,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,46.15384,44.87179,15.05376
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.01098,51.98555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45833,39.00293,32.28346,46.83544,0.0,0.0,48.15825,48.80382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.02564,14.62365
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36263,37.18411,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.375,32.84457,33.66141,63.29113,0.0,0.0,51.29604,47.12918,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,100.0,0.0,48.71794,15.48387
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2967,33.21299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.22619,100.0,27.95275,55.06329,0.0,0.0,47.61255,46.88995,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,100.0,52.5641,100.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.96703,57.76173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,43.69501,35.62992,49.68354,0.0,0.0,58.5266,62.67942,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,69.23076,9.46236
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,65.34296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.41666,37.53665,41.92913,50.0,0.0,0.0,61.39154,54.06698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.79487,6.23655
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.91208,90.2527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.625,39.58944,45.27559,62.65822,0.0,0.0,58.39017,49.52153,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,62.82051,6.88172
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.27472,85.19855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7738,44.28152,48.42519,63.60759,0.0,0.0,68.89495,59.0909,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,64.10256,11.39784
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48351,72.56317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11309,45.16129,49.60629,52.8481,0.0,0.0,61.93724,48.32535,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,52.5641,12.47311
