,바티스트 드라이샴푸 브라이트 라이브리 플로랄_0,바티스트 드라이샴푸 브라이트 라이브리 플로랄_1,네이처리퍼블릭 자연의 올리브  분 드라이 샴푸_0,네이처리퍼블릭 자연의 올리브  분 드라이 샴푸_1,코레스 아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_0,코레스 아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_1,낫유어마더스 클릭 프릭 리프레싱 드라이 샴푸_0,낫유어마더스 클릭 프릭 리프레싱 드라이 샴푸_1,모로칸오일 드라이 샴푸_0,모로칸오일 드라이 샴푸_1,헤어커투어 드라이 샴푸 레즐리 핑크_0,헤어커투어 드라이 샴푸 레즐리 핑크_1,코랩 드라이 샴푸   엑소틱_0,코랩 드라이 샴푸   엑소틱_1,클로란 오트밀크 드라이샴푸_0,클로란 오트밀크 드라이샴푸_1,프리맨 피스트 웨이비 컬리 헤어 드라이 샴푸_0,프리맨 피스트 웨이비 컬리 헤어 드라이 샴푸_1,퓨어베스 노웨이팅 드라이샴푸   스위트_0,퓨어베스 노웨이팅 드라이샴푸   스위트_1,모로칸오일 트리트먼트 오리지날_0,모로칸오일 트리트먼트 오리지날_1,시드물 헤어 테라피_0,시드물 헤어 테라피_1,모로칸오일 라이트 오일 트리트먼트_0,모로칸오일 라이트 오일 트리트먼트_1,아모스프로페셔널 리페어포스 헤어BB크림_0,아모스프로페셔널 리페어포스 헤어BB크림_1,아모스프로페셔널 컬링 에센스  X_0,아모스프로페셔널 컬링 에센스  X_1,디올 미스 디올 헤어 미스트_0,디올 미스 디올 헤어 미스트_1,로레알 파리 엑스트라 오디네리 오일 엑스트라 리치_0,로레알 파리 엑스트라 오디네리 오일 엑스트라 리치_1,로레알 파리 엑스트라 오디네리 오일 리치_0,로레알 파리 엑스트라 오디네리 오일 리치_1,로레알 파리 토탈리페어  세럼 프로엑스_0,로레알 파리 토탈리페어  세럼 프로엑스_1,아모스프로페셔널 소프트닝 컨디셔너_0,아모스프로페셔널 소프트닝 컨디셔너_1,케라스타즈 레지스턴스 시몽 테르미크_0,케라스타즈 레지스턴스 시몽 테르미크_1,에스테티카 데미지 케어 컨센트레이트_0,에스테티카 데미지 케어 컨센트레이트_1,엘립스 헤어비타민 헤어 트리트먼트_0,엘립스 헤어비타민 헤어 트리트먼트_1,힐링버드 울트라 프로틴 헤어오일 리치_0,힐링버드 울트라 프로틴 헤어오일 리치_1,커리쉴 실키 오일 세럼_0,커리쉴 실키 오일 세럼_1,루시도엘 아르간 헤어 트리트먼트 오일_0,루시도엘 아르간 헤어 트리트먼트 오일_1,샤넬 샹스 오 땅드르 헤어 미스트_0,샤넬 샹스 오 땅드르 헤어 미스트_1,아모스프로페셔널 리페어포스 테라피 에센셜 오일_0,아모스프로페셔널 리페어포스 테라피 에센셜 오일_1,록시땅 아로마 리페어 오일_0,록시땅 아로마 리페어 오일_1,로레알 파리 엑스트라 오디네리 보태니컬 오일_0,로레알 파리 엑스트라 오디네리 보태니컬 오일_1,로레알 파리 에르네뜨 스프레이_0,로레알 파리 에르네뜨 스프레이_1,이니스프리 카멜리아 에센셜 잔머리 스틱 왁스_0,이니스프리 카멜리아 에센셜 잔머리 스틱 왁스_1,새한화장품 글로발 체리 미러클 휘니쉬_0,새한화장품 글로발 체리 미러클 휘니쉬_1,마쉐리 컬 셋 로션 EX_0,마쉐리 컬 셋 로션 EX_1,지비에이치 코스메틱 볼륨 미스트_0,지비에이치 코스메틱 볼륨 미스트_1,루시도엘 스프레이 수퍼하드_0,루시도엘 스프레이 수퍼하드_1,포레스트 스토리 슈퍼하드 워터스프레이_0,포레스트 스토리 슈퍼하드 워터스프레이_1,러쉬 알앤비_0,러쉬 알앤비_1,폴미첼 프리즈 앤 샤인 슈퍼 스프레이_0,폴미첼 프리즈 앤 샤인 슈퍼 스프레이_1,네이처리퍼블릭 허브 스타일링 헤어 스프레이_0,네이처리퍼블릭 허브 스타일링 헤어 스프레이_1
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,57.6923,50.0,0.0,0.0,71.29629,51.85185,0.0,0.0,0.0,0.0,13.63636,0.0,0.0,0.0,69.23076,23.80952,0.0,0.0,64.28571,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,32.35294,34.48275,35.71428,43.85964,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,65.74074,40.74074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.41176,27.5862,0.0,52.63157,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.07692,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,55.55555,62.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,14.70588,62.06896,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,69.23076,41.66666,0.0,0.0,45.37037,43.51851,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,58.62068,35.71428,33.33333,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.30769,0.0,0.0,0.0,37.96296,37.96296,0.0,0.0,0.0,0.0,11.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,58.62068,0.0,57.89473,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,0.0,0.0,0.0,45.37037,26.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,80.95238,0.0,0.0,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31.03448,42.85714,64.91228,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,57.4074,42.59259,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,80.95238,0.0,0.0,42.85714,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.11764,58.62068,71.42857,42.10526,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,34.61538,41.66666,0.0,0.0,28.7037,46.29629,0.0,0.0,0.0,0.0,13.63636,0.0,0.0,0.0,0.0,52.38095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,37.93103,0.0,29.82456,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38461,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,100.0,0.0,0.0,37.03703,47.22222,0.0,0.0,0.0,0.0,15.90909,0.0,0.0,0.0,53.84615,47.61904,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.23529,51.72413,0.0,61.4035,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,30.55555,26.85185,0.0,0.0,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,20.58823,48.27586,0.0,35.08771,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,58.33333,0.0,0.0,33.33333,49.07407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,41.37931,0.0,14.03508,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,100.0,0.0,0.0,28.7037,43.51851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,28.57142,0.0,0.0,0.0,63.63636,71.42857,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,47.05882,31.03448,0.0,61.4035,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.29629,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,32.35294,27.5862,0.0,47.36842,0.0,0.0
61,371,567806,69992,18624,1223414,2656,3116,18624,545225,9914,9914,678097,14058,15515,24900,18624,3845,2447,488869,1121,545225,900,306,545225,6032,900,9888,545225,9888,20943,48316,143849,545225,49644,545225,49644,14006,383767,6796,383767,14287,2450,545225,383767,120,383767,545225,1088,13650,125,16403,1229,26793,3416,25,702,165,545225,211,203,24681,37570,14195,314948,13081,90211,693,110911,638,203569,90211,14765,2916,90211,6236,315036,12747,12264,90211,7173
