,아비노 데일리 모이스춰라이징 로션_0,아비노 데일리 모이스춰라이징 로션_1,홀리카홀리카 굳세라 아토릴리프 오일 로션_0,홀리카홀리카 굳세라 아토릴리프 오일 로션_1,바이오더마 아토덤 크림_0,바이오더마 아토덤 크림_1,러쉬 슬리피_0,러쉬 슬리피_1,암웨이 하이드레이팅 핸드 앤 바디로션_0,암웨이 하이드레이팅 핸드 앤 바디로션_1,엘리자베스아덴 그린티 허니 드롭스 바디크림_0,엘리자베스아덴 그린티 허니 드롭스 바디크림_1,뉴트로지나 노르웨이젼 포뮬러 바디 에멀젼_0,뉴트로지나 노르웨이젼 포뮬러 바디 에멀젼_1,멜라루카 리뉴 인텐시브 스킨 로션_0,멜라루카 리뉴 인텐시브 스킨 로션_1,일리윤 울트라 리페어 로션_0,일리윤 울트라 리페어 로션_1,아비노 스트레스 릴리프 모이스처라이징 로션_0,아비노 스트레스 릴리프 모이스처라이징 로션_1,바세린 퓨어 스킨 젤리 오리지널_0,바세린 퓨어 스킨 젤리 오리지널_1,헉슬리 바디 오일 모로칸 가드너_0,헉슬리 바디 오일 모로칸 가드너_1,메디포포 레미디얼 크림_0,메디포포 레미디얼 크림_1,더마비 데일리 모이스처 바디 오일_0,더마비 데일리 모이스처 바디 오일_1,더마비 마일드 모이스처 밀크 오일_0,더마비 마일드 모이스처 밀크 오일_1,김정문알로에큐어 플러스 크림_0,김정문알로에큐어 플러스 크림_1,LUCAS PAPAW REMEDIES 포포크림_0,LUCAS PAPAW REMEDIES 포포크림_1,클라랑스 토닉 바디 트리트먼트 오일_0,클라랑스 토닉 바디 트리트먼트 오일_1,아쿠아퍼 수딩 오인트먼트_0,아쿠아퍼 수딩 오인트먼트_1,로즈버드 퍼퓸 컴퍼니 로즈버드살브 오리지널_0,로즈버드 퍼퓸 컴퍼니 로즈버드살브 오리지널_1,퓨어포레 센텔라 멀티 밤_0,퓨어포레 센텔라 멀티 밤_1,ROSE & CO.로즈페탈 살브_0,ROSE & CO.로즈페탈 살브_1,록시땅 퓨어 시어 버터 EFT  에코서트_0,록시땅 퓨어 시어 버터 EFT  에코서트_1,더바디샵 모링가 뷰티파잉 오일_0,더바디샵 모링가 뷰티파잉 오일_1,버츠비 레몬 앤 비타민 E 바스 앤 바디 오일_0,버츠비 레몬 앤 비타민 E 바스 앤 바디 오일_1,비욘드 딥 모이스처 바디 오일_0,비욘드 딥 모이스처 바디 오일_1,로즈버드 퍼퓸 컴퍼니 민트 로즈 튜브_0,로즈버드 퍼퓸 컴퍼니 민트 로즈 튜브_1,아쿠아퍼 수딩 스킨 밤_0,아쿠아퍼 수딩 스킨 밤_1,록시땅 아몬드 서플 스킨 오일_0,록시땅 아몬드 서플 스킨 오일_1,꼬달리 디바인 오일_0,꼬달리 디바인 오일_1,비욘드 딥 모이스처 바디 미스트_0,비욘드 딥 모이스처 바디 미스트_1,러쉬 트와일라잇_0,러쉬 트와일라잇_1,더프트앤도프트 스톡홀름로즈 파인프라그란스 헤어   바디미스트_0,더프트앤도프트 스톡홀름로즈 파인프라그란스 헤어   바디미스트_1,바디홀릭 바디미스트  화이트포션 _0,바디홀릭 바디미스트  화이트포션 _1,빅토리아시크릿 바디미스트 아쿠아키스_0,빅토리아시크릿 바디미스트 아쿠아키스_1,바디판타지 웨딩데이 판타지 바디 스프레이_0,바디판타지 웨딩데이 판타지 바디 스프레이_1,바디홀릭 핑크 포션_0,바디홀릭 핑크 포션_1,더바디샵 화이트 머스크 후레그런스 미스트_0,더바디샵 화이트 머스크 후레그런스 미스트_1,록시땅 시트러스 버베나 바디 스플래쉬_0,록시땅 시트러스 버베나 바디 스플래쉬_1,프라도어 바디 오 드 뚜왈렛   _0,프라도어 바디 오 드 뚜왈렛   _1
22,0.0,100.0,0.0,0.0,45.20856,68.8612,44.53125,99.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.76767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,36.11111,0.0,0.0,0.0,0.0,27.48201,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,100.0,60.0,0.0,34.88372,0.0,0.0,0.0,64.5614,59.44272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10119,56.25,0.0,0.0,0.0,0.0,0.0,0.0
23,56.25,0.0,0.0,0.0,52.53664,74.02135,53.125,82.45614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6279,52.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.56521,33.33333,0.0,0.0,0.0,0.0,30.07194,23.00884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,91.30434,0.0,0.0,48.8372,100.0,56.25,0.0,67.71929,54.17956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2738,52.08333,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,45.09582,77.58007,40.625,84.21052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.63768,30.55555,0.0,0.0,0.0,0.0,29.06474,17.10914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,39.13043,50.0,0.0,46.51162,0.0,37.5,0.0,70.52631,65.01547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,70.83333,100.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,57.60992,82.02846,49.21875,80.70175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93023,52.52525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3913,13.88888,0.0,0.0,0.0,0.0,28.05755,23.00884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,69.56521,0.0,0.0,18.60465,54.54545,56.25,0.0,74.03508,56.03715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23214,50.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,55.35512,69.39501,51.5625,85.08771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.90697,46.96969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46376,22.22222,0.0,0.0,0.0,0.0,21.29496,25.07374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,39.13043,0.0,0.0,34.88372,22.72727,43.75,0.0,87.36842,68.73065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67857,37.5,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,72.82976,66.01423,53.125,90.35087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.71717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3913,16.66666,0.0,0.0,0.0,0.0,21.29496,24.77876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,52.17391,0.0,40.0,16.27906,0.0,62.5,0.0,100.0,53.86996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23214,62.5,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,65.8399,46.79715,51.5625,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.11594,36.11111,0.0,0.0,0.0,0.0,20.57553,35.39823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,43.47826,0.0,25.0,37.2093,0.0,31.25,100.0,90.17543,54.17956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33928,45.83333,0.0,0.0,0.0,0.0,0.0,0.0
29,56.25,0.0,0.0,0.0,68.32018,52.31316,51.5625,94.73684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.29292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,20.28985,0.0,0.0,0.0,0.0,0.0,24.46043,41.59292,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,52.17391,0.0,0.0,25.58139,27.27272,0.0,0.0,84.91228,72.75541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35714,31.25,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,63.13416,51.42348,56.25,92.98245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.60465,37.62626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,33.33333,0.0,0.0,0.0,0.0,27.05035,41.59292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,69.56521,0.0,0.0,34.88372,45.45454,56.25,25.0,80.0,79.87616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6369,33.33333,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,100.0,0.0,0.0,80.49605,63.52313,38.28125,78.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2093,70.20202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,42.02898,25.0,0.0,0.0,0.0,0.0,18.41726,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,0.0,0.0,23.25581,27.27272,56.25,25.0,73.33333,62.53869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52976,45.83333,0.0,0.0,0.0,0.0,0.0,0.0
