,셀퓨전씨 파파야 그래뉼 필스_0,셀퓨전씨 파파야 그래뉼 필스_1,이니스프리 트루케어 칼라민     클렌저_0,이니스프리 트루케어 칼라민     클렌저_1,SRB쌀뜨물 미강 효소 세안제_0,SRB쌀뜨물 미강 효소 세안제_1,휘게 약산성 히알루론 젤 클렌저_0,휘게 약산성 히알루론 젤 클렌저_1,프리메라 내추럴 리치 클렌징 폼_0,프리메라 내추럴 리치 클렌징 폼_1,이즈앤트리 스팟 세이버 쑥 파우더 워시_0,이즈앤트리 스팟 세이버 쑥 파우더 워시_1,애즈이즈투비 pH 밸런싱 젤 클렌저_0,애즈이즈투비 pH 밸런싱 젤 클렌저_1,해서린 모닝 듀 비타 클렌징젤_0,해서린 모닝 듀 비타 클렌징젤_1,미샤 타임 레볼루션 개똥쑥 팩 폼 클렌저_0,미샤 타임 레볼루션 개똥쑥 팩 폼 클렌저_1,닥터오라클 안티박 아크네 클렌징 폼_0,닥터오라클 안티박 아크네 클렌징 폼_1,잇퍼 에브리데이 밸런싱 약산성 쑥쑥 클렌징폼_0,잇퍼 에브리데이 밸런싱 약산성 쑥쑥 클렌징폼_1,유리프 셋업 폼클렌저_0,유리프 셋업 폼클렌저_1,라로슈포제 에빠끌라 딥 클렌징 포밍 크림_0,라로슈포제 에빠끌라 딥 클렌징 포밍 크림_1,설화수 순행 클렌징 폼_0,설화수 순행 클렌징 폼_1,시드물 엔자임 클렌징 젤 효소 클렌징 젤 _0,시드물 엔자임 클렌징 젤 효소 클렌징 젤 _1,에이밀 슈퍼 그레인 버블 폼_0,에이밀 슈퍼 그레인 버블 폼_1,메이크프렘 세이프 미 릴리프 모이스처 클렌징 폼_0,메이크프렘 세이프 미 릴리프 모이스처 클렌징 폼_1,시드물 카카두 아미노 클렌져_0,시드물 카카두 아미노 클렌져_1,룩스앤메이 아미노 버블 약산성 클렌저_0,룩스앤메이 아미노 버블 약산성 클렌저_1,러쉬 엔젤스 온 배어 스킨_0,러쉬 엔젤스 온 배어 스킨_1,더샘 힐링 티 가든 티트리 클렌징 워터_0,더샘 힐링 티 가든 티트리 클렌징 워터_1,바닐라코 클린 잇 제로 클렌징 밤 오리지널_0,바닐라코 클린 잇 제로 클렌징 밤 오리지널_1,니베아 프로페셔널 미셀라에어 클렌징 워터_0,니베아 프로페셔널 미셀라에어 클렌징 워터_1,킵쿨 수드 피토 그린 샤워 클렌징 워터_0,킵쿨 수드 피토 그린 샤워 클렌징 워터_1,더샘 힐링 티 가든 클렌징 코튼 패드_0,더샘 힐링 티 가든 클렌징 코튼 패드_1,헤이미쉬 올 클린 밤_0,헤이미쉬 올 클린 밤_1,키노닉스 카모 클렌징 패드_0,키노닉스 카모 클렌징 패드_1,라로슈포제 미셀라 클렌징워터 울트라 센시티브 스킨_0,라로슈포제 미셀라 클렌징워터 울트라 센시티브 스킨_1,더샘 힐링 티 가든 그린티 클렌징 워터_0,더샘 힐링 티 가든 그린티 클렌징 워터_1,비페스타 클렌징 시트_0,비페스타 클렌징 시트_1,비오투름 클렌징 밀크_0,비오투름 클렌징 밀크_1,가르니에 미셀라 클렌징 워터_0,가르니에 미셀라 클렌징 워터_1,브라운랩 애시드 밸런스 페이셜 클렌징 워터_0,브라운랩 애시드 밸런스 페이셜 클렌징 워터_1,크리니크 테이크 더 데이 오프 클렌징 오일_0,크리니크 테이크 더 데이 오프 클렌징 오일_1,슈에무라 안티 폴루션 클렌징 오일_0,슈에무라 안티 폴루션 클렌징 오일_1,설화수 순행 클렌징 오일_0,설화수 순행 클렌징 오일_1,세컨디자인 퍼스트 클렌징 오일 퓨어 앤 프레쉬_0,세컨디자인 퍼스트 클렌징 오일 퓨어 앤 프레쉬_1,시드물 닥터트럽 스킨 리터닝 클렌징 밀크_0,시드물 닥터트럽 스킨 리터닝 클렌징 밀크_1,16BRAND    만능 슈퍼 클렌징 밤_0,16BRAND    만능 슈퍼 클렌징 밤_1,아리얼 스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드_0,아리얼 스트레스 릴리빙 퓨어풀 립앤아이 리무버 패드_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.16129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,68.64406,60.0,0.0,0.0,0.0,0.0,35.294109999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.53897,8.54978,0.0,0.0,0.0,0.0,0.0,0.0,16.101689999999998,0.0,40.42553,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.55882,50.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,88.17204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8644,64.0,0.0,0.0,0.0,0.0,29.411759999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.44766,13.74458,0.0,0.0,0.0,0.0,0.0,0.0,22.88135,31.03448,54.255309999999994,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.55882,46.875,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77966,32.0,0.0,0.0,0.0,0.0,0.0,38.461529999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.66592,12.770560000000001,52.38095,0.0,0.0,0.0,0.0,0.0,30.508470000000003,31.03448,25.53191,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,76.34408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.50846999999999,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.01559,18.614710000000002,0.0,0.0,0.0,0.0,0.0,0.0,12.71186,27.5862,31.914890000000003,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.352940000000004,47.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.18279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.27118,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70155,20.779220000000002,23.809520000000003,0.0,0.0,0.0,0.0,0.0,22.03389,100.0,30.851059999999997,20.49999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47058,44.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.10752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57627,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.40534,17.96536,0.0,0.0,0.0,0.0,0.0,0.0,9.32203,48.275859999999994,100.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.88235,46.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.18279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.33898,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.26057,17.96536,23.809520000000003,0.0,0.0,0.0,0.0,0.0,9.32203,68.96551,76.59574,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.97058,66.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.05376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.54237,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.48775,18.50649,0.0,0.0,0.0,0.0,0.0,0.0,17.79661,31.03448,68.0851,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14705,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.73118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.06779,40.999990000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.561240000000005,2.38095,0.0,0.0,0.0,0.0,0.0,0.0,16.94915,48.275859999999994,43.617020000000004,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7647,54.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.54237,31.0,0.0,0.0,0.0,0.0,35.294109999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.88864,2.05627,0.0,0.0,0.0,0.0,0.0,0.0,6.779660000000001,48.275859999999994,41.48936,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.70588,36.71875,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
